Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 17 | Litigation (jpg:17,idx:16)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.04761905,1.0,(15|45)
0.04687500,2.0,(12|48)
0.04651163,1.0,(6|39)
0.04615385,4.0,(22|25)
0.04566210,4.0,(2|4)
0.04545455,3.0,(7|48)
0.04545455,1.0,(16|12)
0.04545455,1.0,(21|9)
0.04494382,3.0,(26|49)
0.04411765,2.0,(18|7)
0.04384134,3.0,(5|43)
0.04347826,1.0,(20|43)
0.04347826,4.0,(23|20)
0.04255319,2.0,(13|21)
0.04210526,2.0,(9|48)
0.04109589,2.0,(12|0)
0.04081633,1.0,(16|14)
0.04032258,2.0,(1|15)
0.04000000,4.0,(19|44)
0.03846154,1.0,(13|45)
0.03846154,2.0,(28|0)
0.03835616,3.0,(17|12)
0.03787879,4.0,(22|23)
0.03787879,4.0,(23|23)
0.03773585,2.0,(14|15)
0.03765690,3.0,(44|45)
0.03750000,1.0,(16|47)
0.03673469,4.0,(17|41)
0.03642384,3.0,(18|6)
0.03636364,2.0,(0|29)
0.03636364,2.0,(19|49)
0.03603604,2.0,(9|14)
0.03571429,1.0,(4|41)
0.03571429,2.0,(4|47)
0.03571429,2.0,(4|48)
0.03571429,1.0,(15|15)
0.03571429,1.0,(19|40)
0.03571429,1.0,(20|40)
0.03539823,3.0,(8|48)
0.03511706,5.0,(20|44)
0.03508772,1.0,(13|43)
0.03488372,2.0,(21|10)
0.03448276,4.0,(6|4)
0.03448276,3.0,(10|1)
0.03448276,1.0,(17|10)
0.03448276,3.0,(26|5)
0.03433476,3.0,(27|13)
0.03396226,4.0,(21|20)
0.03389831,2.0,(7|40)
0.03389831,3.0,(7|45)
0.03361345,2.0,(9|25)
0.03333334,1.0,(9|47)
0.03278688,4.0,(13|42)
0.03278688,2.0,(26|23)
0.03260870,4.0,(2|12)
0.03246753,3.0,(10|0)
0.03225806,2.0,(3|40)
0.03205128,3.0,(8|1)
0.03191489,3.0,(10|45)
0.03174603,2.0,(1|12)
0.03174603,2.0,(2|11)
0.03174603,2.0,(2|13)
0.03174603,2.0,(3|12)
0.03149606,1.0,(19|21)
0.03056769,4.0,(14|4)
0.03030303,2.0,(1|2)
0.03030303,2.0,(16|7)
0.03012048,1.0,(30|8)
0.02985075,1.0,(5|0)
0.02985075,1.0,(5|2)
0.02985075,1.0,(10|18)
0.02985075,1.0,(12|19)
0.02985075,1.0,(12|49)
0.02958580,2.0,(15|5)
0.02941176,1.0,(11|3)
0.02857143,2.0,(9|0)
0.02857143,1.0,(11|38)
0.02857143,2.0,(12|14)
0.02857143,4.0,(28|48)
