Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:24)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.06000000,1.0,(37|0)
0.05921053,2.0,(39|9)
0.05882353,2.0,(33|19)
0.05882353,1.0,(36|32)
0.05882353,1.0,(37|33)
0.05882353,2.0,(49|14)
0.05882353,1.0,(49|22)
0.05813954,2.0,(31|18)
0.05806452,1.0,(39|47)
0.05660377,1.0,(35|21)
0.05450237,2.0,(35|34)
0.05405406,2.0,(46|47)
0.05405406,1.0,(48|25)
0.05263158,1.0,(39|8)
0.05263158,1.0,(49|0)
0.05263158,2.0,(49|44)
0.05172414,4.0,(32|18)
0.04958678,1.0,(44|13)
0.04918033,1.0,(33|22)
0.04918033,1.0,(37|26)
0.04878049,1.0,(35|33)
0.04615385,3.0,(47|11)
0.04608295,1.0,(44|20)
0.04545455,1.0,(7|29)
0.04545455,1.0,(37|2)
0.04545455,1.0,(47|20)
0.04516129,1.0,(46|20)
0.04504504,4.0,(48|13)
0.04444445,2.0,(41|44)
0.04347826,1.0,(43|29)
0.04333333,1.0,(37|18)
0.04313726,1.0,(43|10)
0.04250000,1.0,(39|22)
0.04225352,2.0,(34|19)
0.04195804,3.0,(46|9)
0.04195804,3.0,(48|9)
0.04180064,1.0,(35|19)
0.04166667,1.0,(44|10)
0.04152249,1.0,(41|24)
0.04149378,3.0,(42|14)
0.04147466,1.0,(36|3)
0.04109589,2.0,(39|10)
0.04089219,1.0,(37|32)
0.04081633,1.0,(40|18)
0.04059041,1.0,(39|32)
0.03968254,2.0,(44|11)
0.03960396,2.0,(36|1)
0.03930131,2.0,(40|8)
0.03906250,2.0,(36|6)
0.03846154,1.0,(45|21)
0.03846154,1.0,(45|46)
0.03835616,1.0,(42|26)
0.03693182,1.0,(49|16)
0.03636364,1.0,(30|17)
0.03636364,1.0,(31|17)
0.03603604,1.0,(35|2)
0.03597122,3.0,(42|43)
0.03589744,1.0,(40|14)
0.03571429,1.0,(18|24)
0.03550296,1.0,(41|9)
0.03508772,1.0,(43|41)
0.03457447,1.0,(38|25)
0.03424658,1.0,(40|9)
0.03378378,1.0,(36|13)
0.03378378,1.0,(38|20)
0.03376623,1.0,(37|30)
0.03370786,2.0,(41|8)
0.03349282,1.0,(42|20)
0.03333334,3.0,(45|20)
0.03333334,1.0,(46|22)
0.03333334,1.0,(47|45)
0.03324808,1.0,(46|19)
0.03311258,1.0,(36|8)
0.03296703,2.0,(45|22)
0.03225806,1.0,(17|30)
0.03211009,1.0,(37|10)
0.03191489,1.0,(43|16)
0.03178484,1.0,(41|32)
0.03149606,1.0,(42|15)
0.03114187,2.0,(43|36)
0.03100775,1.0,(43|9)
0.03041825,2.0,(40|16)
0.03030303,4.0,(43|18)
0.03021148,3.0,(45|10)
0.03018868,1.0,(44|14)
0.03017241,1.0,(41|19)
0.02997275,1.0,(37|23)
0.02962963,1.0,(41|10)
0.02941176,1.0,(18|33)
0.02919708,2.0,(38|11)
0.02906977,1.0,(42|35)
0.02875399,1.0,(42|29)
0.02857143,1.0,(39|6)
0.02848101,1.0,(42|16)
0.02834008,1.0,(42|32)
0.02816901,1.0,(29|30)
0.02768166,1.0,(39|23)
