Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 56 | Workers Compensation (jpg:56,idx:50)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.6255230,1.0,(15|46)
0.4211823,1.0,(14|47)
0.3214286,1.0,(15|47)
0.2471910,1.0,(16|46)
0.1428571,1.0,(15|45)
0.1250000,1.0,(15|48)
0.09090909,1.0,(20|4)
0.06666667,1.0,(17|46)
0.04000000,1.0,(20|2)
0.03750000,1.0,(16|47)
0.03333334,1.0,(2|6)
0.02500000,1.0,(17|47)
0.02409638,1.0,(47|30)
0.01886792,1.0,(11|43)
0.01652892,1.0,(0|3)
0.01612903,1.0,(1|3)
0.01612903,1.0,(49|3)
0.01515152,1.0,(16|7)
0.01428571,1.0,(16|6)
0.01369863,1.0,(7|4)
0.01027397,1.0,(33|42)
0.009727626,1.0,(0|42)
0.009523810,1.0,(17|1)
0.009433962,1.0,(20|9)
0.009345794,1.0,(3|49)
0.009174312,1.0,(21|26)
0.009132420,1.0,(2|4)
0.008797654,1.0,(14|42)
0.007407407,1.0,(21|2)
0.006993007,1.0,(15|6)
0.006802721,1.0,(48|28)
0.005291005,1.0,(6|17)
0.004587156,1.0,(0|38)
0.004587156,1.0,(0|39)
0.003861004,1.0,(5|4)
0.003603604,1.0,(46|5)
0.003603604,1.0,(47|4)
0.003603604,1.0,(47|5)
0.003571429,1.0,(0|26)
0.003311258,1.0,(18|6)
0.002732240,1.0,(15|4)
0.002317497,1.0,(6|3)
0.002222222,1.0,(20|0)
0.002217295,1.0,(9|33)
0.002087683,1.0,(5|43)
