Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 32 | Contracts & Franchise Law (jpg:32,idx:29)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.07692308,3.0,(6|44)
0.07692308,4.0,(9|41)
0.07692308,4.0,(15|33)
0.07692308,1.0,(19|17)
0.07567567,4.0,(26|45)
0.07547170,3.0,(17|39)
0.07500000,3.0,(11|13)
0.07488299,4.0,(20|35)
0.07407407,2.0,(3|7)
0.07373272,4.0,(22|27)
0.07317073,5.0,(22|9)
0.07317073,2.0,(26|11)
0.07317073,3.0,(28|39)
0.07305936,4.0,(27|10)
0.07272727,3.0,(31|0)
0.07228915,3.0,(23|29)
0.07194245,4.0,(0|22)
0.07142857,1.0,(4|29)
0.07142857,3.0,(13|26)
0.07142857,1.0,(16|41)
0.07087827,3.0,(20|36)
0.07064018,4.0,(0|35)
0.07000000,3.0,(17|24)
0.07000000,5.0,(29|46)
0.06976745,1.0,(6|39)
0.06956521,3.0,(10|32)
0.06896552,2.0,(11|33)
0.06818182,4.0,(31|12)
0.06779661,3.0,(24|1)
0.06751055,3.0,(1|39)
0.06722689,3.0,(15|32)
0.06666667,3.0,(5|42)
0.06666667,2.0,(47|45)
0.06651885,5.0,(9|33)
0.06629834,2.0,(6|20)
0.06527415,4.0,(24|6)
0.06493507,4.0,(12|21)
0.06486487,3.0,(45|34)
0.06481481,4.0,(26|7)
0.06451613,2.0,(16|17)
0.06451613,3.0,(48|34)
0.06444445,4.0,(20|0)
0.06425703,4.0,(17|31)
0.06400000,4.0,(27|7)
0.06382979,2.0,(6|5)
0.06349207,3.0,(3|13)
0.06250000,2.0,(12|40)
0.06250000,3.0,(15|28)
0.06250000,1.0,(22|45)
0.06250000,1.0,(28|4)
0.06250000,2.0,(48|49)
0.06175515,4.0,(31|47)
0.06086956,4.0,(7|7)
0.06083650,5.0,(5|10)
0.06083650,5.0,(5|11)
0.06060606,2.0,(16|7)
0.06060606,2.0,(16|12)
0.06060606,2.0,(21|9)
0.06015038,2.0,(46|33)
0.05978261,2.0,(5|6)
0.05882353,3.0,(2|32)
0.05882353,2.0,(9|34)
0.05882353,2.0,(10|33)
0.05882353,1.0,(24|45)
0.05882353,3.0,(29|6)
0.05833333,4.0,(17|6)
0.05825243,4.0,(1|10)
0.05825243,4.0,(2|10)
0.05813954,4.0,(10|30)
0.05793104,4.0,(27|0)
0.05765766,4.0,(46|5)
0.05765766,4.0,(47|4)
0.05765766,4.0,(47|5)
0.05747126,3.0,(9|44)
0.05737705,4.0,(22|7)
0.05714286,4.0,(17|41)
0.05660377,3.0,(7|39)
0.05660377,2.0,(11|14)
0.05633803,2.0,(3|45)
0.05612245,3.0,(23|10)
0.05555556,2.0,(5|5)
0.05555556,2.0,(6|6)
0.05555556,3.0,(9|11)
0.05555556,3.0,(9|31)
0.05555556,3.0,(14|30)
0.05555556,2.0,(30|48)
0.05531915,4.0,(24|3)
0.05526770,4.0,(29|4)
0.05429864,2.0,(7|9)
0.05421687,3.0,(29|45)
0.05415162,4.0,(29|34)
0.05405406,2.0,(11|42)
0.05405406,3.0,(24|8)
0.05352113,4.0,(0|30)
0.05309734,3.0,(2|0)
0.05263158,3.0,(11|34)
0.05263158,1.0,(49|0)
0.05234160,4.0,(21|28)
0.05220884,3.0,(5|18)
0.05217391,3.0,(48|18)
0.05172414,3.0,(8|47)
0.05172414,2.0,(12|13)
0.05172414,2.0,(20|24)
0.05172414,2.0,(30|42)
0.05154639,4.0,(6|49)
0.05136986,4.0,(28|47)
0.05052632,5.0,(11|37)
0.05025126,4.0,(10|29)
0.05000000,2.0,(0|28)
0.05000000,3.0,(5|28)
0.04968944,3.0,(47|41)
0.04968944,3.0,(48|41)
0.04964539,4.0,(1|28)
0.04910714,4.0,(24|37)
0.04819277,2.0,(47|33)
0.04790419,2.0,(23|9)
0.04784689,3.0,(1|19)
0.04761905,3.0,(1|24)
0.04761905,1.0,(10|16)
0.04746835,4.0,(28|5)
0.04739337,3.0,(27|1)
0.04716981,2.0,(45|41)
0.04705882,3.0,(26|9)
0.04690832,4.0,(22|13)
0.04644809,4.0,(32|42)
0.04629629,4.0,(17|32)
0.04615385,1.0,(1|18)
0.04615385,4.0,(23|45)
0.04615385,1.0,(28|11)
0.04597701,3.0,(20|14)
0.04571429,4.0,(3|17)
0.04545455,1.0,(10|13)
0.04545455,2.0,(31|48)
0.04517454,4.0,(28|6)
0.04511278,3.0,(27|9)
0.04494382,2.0,(30|7)
0.04458599,3.0,(24|38)
0.04444445,2.0,(4|20)
0.04444445,4.0,(6|37)
0.04444445,2.0,(46|34)
0.04444445,2.0,(47|35)
0.04395605,2.0,(9|28)
0.04395605,2.0,(29|3)
0.04390244,2.0,(15|7)
0.04379562,3.0,(1|37)
0.04379562,2.0,(37|43)
0.04371585,4.0,(29|12)
0.04347826,3.0,(8|32)
0.04347826,1.0,(12|3)
0.04347826,2.0,(22|40)
0.04301075,2.0,(22|36)
0.04285714,2.0,(2|17)
0.04255319,2.0,(16|19)
0.04255319,2.0,(26|13)
0.04237288,3.0,(12|27)
0.04237288,3.0,(47|6)
0.04225352,2.0,(3|44)
0.04210526,5.0,(1|13)
0.04210526,3.0,(48|48)
0.04166667,3.0,(3|37)
0.04140127,4.0,(27|30)
0.04137931,3.0,(26|26)
0.04132231,4.0,(7|32)
0.04123711,3.0,(12|30)
0.04109589,3.0,(23|26)
0.04081633,1.0,(18|20)
0.04065040,3.0,(7|3)
0.04040404,3.0,(9|46)
0.04020100,2.0,(23|22)
0.04000000,2.0,(3|16)
0.04000000,1.0,(26|27)
0.03989362,4.0,(31|2)
0.03980099,4.0,(24|2)
0.03968254,3.0,(29|40)
0.03937008,3.0,(48|26)
0.03930131,1.0,(14|4)
0.03921569,4.0,(16|31)
0.03921569,2.0,(18|23)
0.03881279,3.0,(13|31)
0.03875969,2.0,(10|36)
0.03846154,2.0,(7|23)
0.03846154,2.0,(7|35)
0.03846154,2.0,(13|45)
0.03846154,3.0,(14|29)
0.03846154,2.0,(23|46)
0.03846154,2.0,(34|9)
0.03809524,2.0,(17|1)
0.03793104,4.0,(31|46)
0.03759398,3.0,(21|22)
0.03750000,4.0,(0|26)
0.03738318,3.0,(23|13)
0.03731343,3.0,(3|15)
0.03720930,3.0,(25|2)
0.03712297,4.0,(20|19)
0.03703704,2.0,(4|25)
0.03680982,2.0,(4|16)
0.03676471,3.0,(18|39)
0.03673469,4.0,(23|27)
0.03669725,3.0,(21|27)
0.03636364,2.0,(0|29)
0.03636364,3.0,(28|41)
0.03603604,2.0,(9|32)
0.03587444,2.0,(23|28)
0.03571429,2.0,(23|0)
0.03571429,1.0,(25|49)
0.03571429,2.0,(49|29)
0.03554869,5.0,(15|19)
0.03539823,2.0,(22|30)
0.03539823,4.0,(29|13)
0.03526448,4.0,(0|37)
0.03525046,3.0,(16|28)
0.03508772,2.0,(13|43)
0.03508772,2.0,(22|24)
0.03508772,2.0,(43|41)
0.03496503,3.0,(1|7)
0.03496503,3.0,(49|7)
0.03484321,3.0,(25|16)
0.03463203,3.0,(1|9)
0.03463203,3.0,(2|9)
0.03448276,3.0,(29|49)
0.03433476,3.0,(26|18)
0.03418804,3.0,(30|14)
0.03418804,3.0,(37|49)
0.03409091,3.0,(2|14)
0.03389831,2.0,(10|38)
0.03389831,2.0,(25|14)
0.03383459,4.0,(5|41)
0.03378378,2.0,(19|22)
0.03351955,3.0,(0|48)
0.03351955,4.0,(46|38)
0.03346457,3.0,(17|19)
0.03333334,4.0,(20|7)
0.03305785,3.0,(4|26)
0.03305785,3.0,(13|30)
0.03296703,1.0,(13|11)
0.03278688,2.0,(18|14)
0.03278688,3.0,(23|6)
0.03278688,2.0,(25|6)
0.03259005,5.0,(30|5)
0.03252032,3.0,(8|36)
0.03225806,1.0,(4|28)
0.03225806,2.0,(4|45)
0.03225806,2.0,(20|18)
0.03200000,2.0,(12|44)
0.03196347,4.0,(19|16)
0.03174603,2.0,(1|8)
0.03174603,2.0,(2|7)
0.03174603,2.0,(2|45)
0.03174603,2.0,(3|0)
0.03174603,2.0,(3|48)
0.03144654,3.0,(25|25)
0.03125000,2.0,(1|6)
0.03125000,1.0,(8|25)
0.03125000,1.0,(12|48)
0.03125000,1.0,(19|9)
0.03125000,2.0,(19|20)
0.03125000,2.0,(20|25)
0.03125000,3.0,(26|37)
0.03125000,3.0,(27|48)
0.03108808,3.0,(10|8)
