Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 7 | Environmental (jpg:7,idx:6)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02714932,3.0,(14|31)
0.02631579,2.0,(8|22)
0.02631579,1.0,(21|4)
0.02631579,1.0,(46|30)
0.02603037,3.0,(17|3)
0.02597403,2.0,(1|9)
0.02597403,2.0,(2|9)
0.02553191,3.0,(3|11)
0.02531646,3.0,(20|47)
0.02521008,2.0,(8|11)
0.02515723,2.0,(18|25)
0.02469136,2.0,(3|36)
0.02463054,3.0,(19|12)
0.02463054,3.0,(20|12)
0.02439024,1.0,(19|14)
0.02380952,2.0,(10|4)
0.02380952,1.0,(21|11)
0.02347418,2.0,(19|24)
0.02343750,2.0,(4|18)
0.02343750,2.0,(26|37)
0.02339181,1.0,(14|9)
0.02325581,1.0,(34|4)
0.02298851,1.0,(18|26)
0.02298851,2.0,(20|14)
0.02285714,1.0,(19|26)
0.02247191,1.0,(48|11)
0.02247191,1.0,(49|13)
0.02222222,2.0,(24|24)
0.02150538,1.0,(10|5)
0.02150538,2.0,(23|31)
0.02105263,1.0,(17|11)
0.02083333,2.0,(4|14)
0.02083333,2.0,(4|15)
0.02083333,2.0,(7|19)
0.02079723,1.0,(12|4)
0.02067184,2.0,(22|42)
0.02061856,2.0,(12|30)
0.02040816,1.0,(49|28)
0.02030457,2.0,(6|38)
0.01990050,2.0,(47|1)
0.01988072,3.0,(25|32)
0.01986755,2.0,(18|45)
0.01960784,2.0,(16|31)
0.01923077,1.0,(15|9)
0.01923077,1.0,(28|0)
0.01923077,2.0,(49|5)
0.01912568,3.0,(15|4)
0.01886792,1.0,(11|14)
0.01886792,1.0,(21|41)
0.01862348,3.0,(25|45)
0.01851852,2.0,(5|46)
0.01840491,2.0,(17|42)
0.01818182,1.0,(10|41)
0.01809955,3.0,(0|4)
0.01807229,1.0,(5|19)
0.01801802,1.0,(9|14)
0.01775148,3.0,(15|5)
0.01739130,2.0,(27|49)
0.01714286,2.0,(3|18)
0.01704546,2.0,(2|14)
0.01694915,1.0,(47|6)
0.01666667,1.0,(3|34)
0.01652892,1.0,(25|46)
0.01639344,1.0,(9|16)
0.01639344,1.0,(16|22)
0.01627907,3.0,(19|5)
0.01626016,2.0,(2|24)
0.01626016,1.0,(7|14)
0.01621622,1.0,(26|45)
0.01612903,1.0,(1|15)
0.01612903,2.0,(17|15)
0.01600000,3.0,(3|16)
0.01600000,1.0,(8|14)
0.01597444,2.0,(48|6)
0.01592357,2.0,(29|25)
0.01589825,2.0,(22|41)
0.01587302,1.0,(10|22)
0.01587302,1.0,(17|48)
0.01571709,3.0,(10|21)
0.01556420,1.0,(20|26)
0.01538462,3.0,(7|36)
0.01538462,2.0,(13|14)
0.01526718,3.0,(17|49)
0.01518027,1.0,(28|33)
0.01515152,1.0,(16|12)
0.01515152,1.0,(21|9)
0.01506373,3.0,(6|3)
0.01503759,1.0,(10|11)
0.01492537,1.0,(12|19)
0.01477833,1.0,(6|4)
0.01477833,3.0,(14|47)
0.01470588,1.0,(18|7)
0.01459854,1.0,(13|29)
0.01438849,2.0,(0|22)
0.01428571,1.0,(12|14)
0.01428571,1.0,(27|25)
0.01418440,2.0,(11|23)
0.01408451,1.0,(47|47)
0.01369863,1.0,(14|10)
0.01360544,2.0,(15|21)
0.01357466,2.0,(2|21)
0.01355014,2.0,(25|28)
0.01328904,2.0,(23|43)
0.01315789,1.0,(10|26)
0.01315789,1.0,(16|24)
0.01313629,3.0,(26|0)
0.01298701,1.0,(14|12)
0.01290323,1.0,(40|43)
0.01265823,1.0,(14|3)
0.01246106,2.0,(23|13)
0.01242236,1.0,(47|41)
0.01242236,1.0,(48|41)
0.01223242,1.0,(17|45)
0.01204819,1.0,(12|23)
0.01190476,1.0,(0|27)
0.01183432,1.0,(23|30)
0.01153846,2.0,(2|28)
0.01142857,2.0,(7|34)
0.01111111,2.0,(4|20)
0.01109057,1.0,(4|21)
0.01104972,2.0,(49|27)
0.01098901,1.0,(9|28)
0.01086957,1.0,(5|6)
0.01086957,1.0,(18|19)
0.01075269,1.0,(4|22)
0.01066098,3.0,(14|2)
0.01066098,1.0,(22|13)
0.01052632,2.0,(19|43)
0.01052632,1.0,(43|44)
0.01047120,2.0,(4|13)
