Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 65 | Healthcare Compliance (jpg:65,idx:59)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01562500,1.0,(15|28)
0.01538462,1.0,(1|18)
0.01515152,1.0,(7|2)
0.01515152,1.0,(16|12)
0.01515152,1.0,(21|9)
0.01492537,1.0,(12|19)
0.01492537,1.0,(18|16)
0.01481481,1.0,(2|43)
0.01481481,1.0,(2|44)
0.01470588,1.0,(16|31)
0.01465201,1.0,(13|38)
0.01428571,1.0,(7|33)
0.01428571,1.0,(16|6)
0.01376147,1.0,(49|37)
0.01369863,1.0,(2|5)
0.01369863,1.0,(7|4)
0.01365188,2.0,(44|44)
0.01315789,1.0,(21|4)
0.01315789,1.0,(22|4)
0.01315789,1.0,(46|30)
0.01298701,1.0,(12|21)
0.01273885,1.0,(29|25)
0.01261261,1.0,(46|5)
0.01261261,1.0,(47|4)
0.01261261,1.0,(47|5)
0.01204819,1.0,(18|0)
0.01190476,1.0,(0|27)
0.01190476,1.0,(15|47)
0.01183432,2.0,(15|5)
0.01162791,1.0,(21|10)
0.01162791,1.0,(48|31)
0.01149425,1.0,(20|14)
0.01149425,1.0,(26|44)
0.01142857,1.0,(11|22)
0.01136364,1.0,(25|5)
0.01123596,1.0,(5|22)
0.01103448,1.0,(27|0)
0.01098901,1.0,(13|11)
0.01098901,1.0,(29|3)
0.01098901,1.0,(45|28)
0.01096491,1.0,(32|43)
0.01086957,1.0,(5|6)
0.01075269,1.0,(22|36)
0.01066098,1.0,(22|13)
0.01058201,2.0,(22|47)
0.01052632,1.0,(1|48)
0.01030928,1.0,(6|49)
0.01030928,1.0,(9|5)
0.009900990,1.0,(46|31)
0.009852217,1.0,(14|47)
0.009852217,2.0,(19|12)
0.009852217,2.0,(20|12)
0.009779952,1.0,(11|35)
0.009584664,1.0,(48|6)
0.009478673,1.0,(35|34)
0.009433962,1.0,(8|3)
0.009433962,2.0,(16|38)
0.009433962,1.0,(20|9)
0.009433962,1.0,(42|1)
0.009375000,1.0,(13|46)
0.009302326,1.0,(19|5)
0.009259259,1.0,(4|25)
0.009174312,1.0,(17|16)
0.009049774,1.0,(0|4)
0.009009009,1.0,(9|32)
0.008849557,1.0,(2|0)
0.008733625,1.0,(14|4)
0.008620690,1.0,(8|47)
0.008385744,1.0,(48|44)
0.008333334,1.0,(17|6)
0.008264462,1.0,(7|32)
0.008000000,1.0,(12|44)
0.007936508,1.0,(10|22)
0.007874016,1.0,(48|4)
0.007782101,1.0,(31|49)
0.007751938,1.0,(26|4)
0.007575758,1.0,(49|46)
0.007490637,1.0,(27|4)
0.007352941,1.0,(21|7)
0.007352941,1.0,(22|44)
0.007352941,1.0,(30|25)
0.007299270,1.0,(27|20)
0.007272727,1.0,(13|41)
0.007246377,1.0,(45|30)
0.007194245,1.0,(21|16)
0.007142857,1.0,(10|49)
0.007017544,1.0,(17|21)
0.006896552,1.0,(17|38)
0.006872852,1.0,(14|34)
0.006849315,1.0,(44|31)
0.006734007,1.0,(14|0)
0.006622517,1.0,(23|48)
0.006622517,1.0,(27|6)
0.006535948,1.0,(2|3)
0.006535948,1.0,(3|1)
0.006535948,1.0,(26|43)
0.006472492,1.0,(26|22)
0.006410256,1.0,(44|40)
0.006134969,1.0,(44|1)
0.006060606,1.0,(14|22)
0.005917160,1.0,(9|41)
0.005882353,1.0,(18|17)
0.005865103,1.0,(14|42)
0.005830904,1.0,(45|39)
0.005797102,1.0,(48|47)
0.005730659,1.0,(24|22)
0.005681818,1.0,(7|5)
0.005617978,1.0,(31|7)
0.005509642,1.0,(21|28)
0.005509642,1.0,(25|46)
0.005405406,1.0,(6|1)
0.005347594,1.0,(46|28)
0.005319149,1.0,(31|2)
0.005277045,1.0,(28|22)
0.005167959,1.0,(22|42)
0.005025126,1.0,(10|29)
0.004975124,1.0,(25|3)
0.004926108,1.0,(48|7)
0.004716981,1.0,(11|9)
0.004694836,1.0,(12|29)
0.004694836,1.0,(31|13)
0.004683841,1.0,(28|2)
0.004651163,1.0,(25|2)
0.004608295,1.0,(21|43)
0.004608295,1.0,(22|16)
0.004524887,1.0,(27|2)
0.004424779,1.0,(8|19)
0.004424779,1.0,(15|35)
0.004310345,1.0,(49|36)
0.004219409,1.0,(12|10)
0.004106776,1.0,(28|6)
0.004081632,1.0,(17|41)
0.004008016,1.0,(14|32)
0.003921569,1.0,(6|11)
0.003921569,1.0,(7|11)
0.003913894,1.0,(32|44)
0.003861004,1.0,(5|4)
0.003846154,1.0,(15|13)
0.003846154,1.0,(24|33)
0.003802281,1.0,(36|43)
0.003710575,1.0,(16|28)
0.003671072,1.0,(30|21)
0.003656307,1.0,(16|29)
0.003623188,1.0,(12|6)
0.003472222,1.0,(9|31)
0.003466205,1.0,(12|4)
0.003448276,1.0,(25|36)
0.003436426,1.0,(5|27)
0.003378378,1.0,(19|22)
0.003225806,1.0,(14|5)
0.003184713,1.0,(27|30)
0.003179650,1.0,(22|41)
0.002911208,1.0,(9|27)
0.002881844,1.0,(11|8)
0.002754821,1.0,(13|9)
0.002739726,1.0,(9|42)
0.002702703,1.0,(21|3)
0.002680965,1.0,(21|46)
0.002666667,1.0,(14|44)
0.002577320,1.0,(29|27)
0.002564103,1.0,(17|33)
0.002538071,1.0,(16|35)
0.002493766,1.0,(6|47)
0.002429150,1.0,(25|45)
0.002272727,1.0,(29|24)
0.002254791,1.0,(20|41)
0.002222222,1.0,(20|0)
0.002202643,1.0,(18|15)
0.002178649,1.0,(37|44)
0.002159827,1.0,(46|46)
0.002141328,1.0,(12|28)
0.002132196,1.0,(25|18)
0.002040816,1.0,(23|27)
0.002030457,1.0,(23|37)
0.002024292,1.0,(15|33)
0.002020202,1.0,(5|45)
0.001964637,1.0,(10|21)
0.001890359,1.0,(12|43)
0.001883239,1.0,(0|21)
0.001883239,1.0,(49|21)
0.001792115,1.0,(11|20)
0.001785714,1.0,(0|26)
0.001748252,1.0,(4|10)
0.001697793,1.0,(22|39)
0.001600000,1.0,(13|27)
0.001572327,1.0,(23|16)
0.001560062,1.0,(20|35)
0.001545595,1.0,(15|19)
0.001503759,1.0,(24|41)
0.001158749,1.0,(6|3)
0.001042753,1.0,(29|42)
0.001040583,1.0,(21|37)
0.0009551098,1.0,(19|34)
0.0009250694,1.0,(26|35)
0.0009242144,1.0,(15|40)
