Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 6 | Employment Non-Litigation (jpg:6,idx:5)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.06666667,1.0,(2|26)
0.06626506,3.0,(26|47)
0.06542056,4.0,(3|49)
0.06493507,4.0,(14|12)
0.06250000,1.0,(0|13)
0.06250000,2.0,(12|34)
0.06211180,4.0,(47|41)
0.06211180,4.0,(48|41)
0.05952381,2.0,(21|11)
0.05940594,4.0,(11|31)
0.05905512,1.0,(41|7)
0.05791506,2.0,(5|4)
0.05555556,1.0,(26|25)
0.05524862,3.0,(49|27)
0.05418719,5.0,(19|12)
0.05418719,5.0,(20|12)
0.05263158,1.0,(20|5)
0.05244755,4.0,(15|6)
0.04942966,4.0,(5|10)
0.04942966,4.0,(5|11)
0.04931507,3.0,(17|12)
0.04878049,2.0,(13|34)
0.04774536,5.0,(24|11)
0.04761905,2.0,(15|47)
0.04761905,3.0,(22|47)
0.04651163,1.0,(42|9)
0.04545455,1.0,(0|32)
0.04545455,3.0,(6|26)
0.04530744,4.0,(26|22)
0.04494382,2.0,(26|49)
0.04477612,3.0,(3|15)
0.04444445,1.0,(13|12)
0.04385965,2.0,(22|15)
0.04347826,1.0,(3|31)
0.04347826,3.0,(47|40)
0.04255319,2.0,(8|40)
0.04166667,1.0,(5|12)
0.04166667,4.0,(49|46)
0.04132231,2.0,(25|46)
0.04040404,5.0,(19|11)
0.04040404,5.0,(20|11)
0.04000000,1.0,(4|1)
0.04000000,1.0,(13|37)
0.03974896,5.0,(15|46)
0.03960396,1.0,(30|49)
0.03883495,2.0,(4|4)
0.03846154,1.0,(28|0)
0.03750000,2.0,(16|47)
0.03676471,3.0,(21|7)
0.03664922,3.0,(4|13)
0.03661972,3.0,(0|30)
0.03658536,2.0,(0|47)
0.03636364,1.0,(30|17)
0.03636364,1.0,(31|17)
0.03571429,2.0,(4|47)
0.03571429,2.0,(4|48)
0.03571429,1.0,(49|29)
0.03512881,3.0,(20|8)
0.03496503,1.0,(5|3)
0.03482587,1.0,(44|7)
0.03430079,3.0,(28|22)
0.03418804,2.0,(0|14)
0.03418804,5.0,(21|13)
0.03404255,4.0,(3|11)
0.03389831,1.0,(14|20)
0.03389831,1.0,(17|7)
0.03243243,1.0,(26|45)
0.03225806,3.0,(1|3)
0.03225806,2.0,(2|35)
0.03225806,1.0,(9|35)
0.03225806,3.0,(49|3)
0.03157895,1.0,(41|6)
0.03125000,1.0,(32|47)
0.03092784,4.0,(14|34)
0.03076923,1.0,(43|7)
0.03030303,2.0,(16|12)
0.03030303,1.0,(17|5)
0.03030303,2.0,(21|9)
0.02898551,2.0,(7|41)
0.02898551,3.0,(48|47)
0.02857143,4.0,(0|26)
0.02857143,3.0,(17|41)
0.02840909,3.0,(2|14)
0.02816901,1.0,(8|5)
0.02816901,2.0,(42|42)
0.02790698,5.0,(19|5)
0.02758621,3.0,(9|4)
0.02745098,1.0,(43|10)
0.02739726,2.0,(7|4)
0.02714932,2.0,(0|4)
0.02654867,2.0,(48|30)
0.02652520,4.0,(22|3)
0.02631579,1.0,(21|4)
0.02631579,1.0,(43|6)
0.02597403,1.0,(14|8)
0.02597403,1.0,(41|5)
0.02580645,1.0,(33|44)
0.02564103,1.0,(17|34)
0.02564103,2.0,(19|0)
0.02564103,1.0,(19|17)
0.02564103,1.0,(47|44)
0.02542373,2.0,(24|1)
0.02510460,3.0,(44|45)
0.02500000,1.0,(30|47)
0.02479339,2.0,(0|3)
0.02479339,2.0,(0|46)
0.02475248,1.0,(42|6)
0.02419355,1.0,(15|23)
0.02412869,2.0,(14|40)
0.02409638,1.0,(40|6)
0.02380952,2.0,(15|15)
0.02366864,2.0,(13|3)
0.02348337,1.0,(32|44)
0.02304148,3.0,(44|42)
0.02298851,1.0,(29|23)
0.02283105,2.0,(48|38)
0.02283105,2.0,(48|39)
0.02222222,1.0,(45|11)
0.02202643,2.0,(15|34)
0.02197802,1.0,(40|3)
0.02173913,1.0,(42|8)
0.02164502,2.0,(0|49)
0.02144772,2.0,(21|46)
0.02127660,1.0,(6|5)
0.02127660,1.0,(16|4)
0.02105263,4.0,(1|13)
0.02105263,2.0,(28|49)
0.02054795,2.0,(16|5)
0.02034884,3.0,(22|0)
0.02020202,1.0,(5|39)
0.02000000,2.0,(2|36)
0.02000000,1.0,(21|12)
0.01980198,1.0,(36|1)
0.01970443,2.0,(6|4)
0.01966292,3.0,(25|10)
0.01954732,1.0,(27|45)
0.01912568,5.0,(15|4)
0.01898734,1.0,(26|28)
0.01886792,1.0,(0|18)
0.01886792,2.0,(21|20)
0.01851852,2.0,(4|25)
0.01818182,2.0,(31|0)
0.01808785,2.0,(26|4)
0.01796407,1.0,(20|6)
0.01785714,1.0,(4|41)
0.01785714,2.0,(22|1)
0.01777778,3.0,(15|36)
0.01694915,2.0,(47|6)
0.01666667,1.0,(17|6)
0.01666667,2.0,(29|46)
0.01639344,1.0,(14|21)
0.01626016,2.0,(8|36)
0.01621622,2.0,(46|5)
0.01621622,2.0,(47|4)
0.01621622,2.0,(47|5)
0.01597444,2.0,(48|6)
0.01574803,1.0,(19|21)
0.01562500,1.0,(26|37)
0.01550388,2.0,(6|8)
0.01545254,4.0,(0|35)
0.01538462,1.0,(1|18)
0.01538462,2.0,(22|25)
0.01525054,1.0,(37|44)
0.01515152,2.0,(1|2)
0.01503759,3.0,(21|22)
0.01492537,4.0,(15|37)
0.01492537,1.0,(44|4)
