Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:19)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.08695652,2.0,(15|18)
0.08579466,2.0,(14|25)
0.08560311,3.0,(0|42)
0.08421053,2.0,(1|17)
0.08421053,2.0,(2|16)
0.08403362,3.0,(2|32)
0.08333334,2.0,(4|14)
0.08333334,2.0,(4|15)
0.08333334,1.0,(9|29)
0.08333334,2.0,(35|17)
0.08292683,3.0,(0|10)
0.08256881,3.0,(0|38)
0.08256881,3.0,(0|39)
0.08247422,2.0,(12|30)
0.08219178,2.0,(7|4)
0.08163265,2.0,(47|28)
0.08148148,3.0,(6|19)
0.08064516,2.0,(6|7)
0.08064516,3.0,(13|32)
0.08064516,2.0,(15|23)
0.08000000,1.0,(4|1)
0.08000000,2.0,(45|19)
0.07920792,2.0,(11|31)
0.07894737,2.0,(14|19)
0.07766990,2.0,(32|2)
0.07692308,2.0,(6|44)
0.07692308,2.0,(44|40)
0.07627118,2.0,(12|27)
0.07586207,3.0,(6|21)
0.07578740,3.0,(17|19)
0.07563026,3.0,(15|32)
0.07547170,2.0,(11|14)
0.07346939,4.0,(17|41)
0.07317073,1.0,(11|21)
0.07317073,1.0,(19|14)
0.07241379,3.0,(18|22)
0.07142857,1.0,(47|27)
0.07065217,3.0,(5|6)
0.07017544,1.0,(15|17)
0.06955178,3.0,(15|19)
0.06930693,3.0,(30|49)
0.06896552,3.0,(18|26)
0.06896552,3.0,(19|15)
0.06862745,3.0,(40|42)
0.06818182,2.0,(31|48)
0.06722689,3.0,(8|16)
0.06666667,2.0,(0|17)
0.06666667,1.0,(2|26)
0.06666667,3.0,(16|13)
0.06666667,1.0,(47|45)
0.06632653,3.0,(4|7)
0.06613226,3.0,(14|32)
0.06547619,3.0,(16|34)
0.06521739,3.0,(2|12)
0.06521739,3.0,(6|9)
0.06521739,3.0,(8|32)
0.06521739,2.0,(42|40)
0.06504065,3.0,(8|27)
0.06498195,3.0,(29|34)
0.06451613,1.0,(4|28)
0.06428572,1.0,(5|16)
0.06369427,2.0,(27|30)
0.06363636,2.0,(5|17)
0.06349207,3.0,(4|23)
0.06349207,3.0,(11|18)
0.06274510,2.0,(6|13)
0.06250000,2.0,(4|18)
0.06250000,3.0,(14|24)
0.06172840,3.0,(22|5)
0.06060606,1.0,(15|2)
0.06018519,2.0,(20|32)
0.06015038,2.0,(7|8)
0.05970149,2.0,(3|24)
0.05970149,3.0,(5|14)
0.05970149,2.0,(18|16)
0.05925926,2.0,(45|4)
0.05921053,2.0,(8|22)
0.05911330,2.0,(3|26)
0.05911330,2.0,(48|7)
0.05882353,3.0,(7|9)
0.05882353,2.0,(10|17)
0.05882353,1.0,(39|43)
0.05785124,2.0,(4|26)
0.05785124,2.0,(28|25)
0.05769231,3.0,(11|7)
0.05645161,3.0,(1|15)
0.05633803,2.0,(3|44)
0.05633803,2.0,(47|47)
0.05622490,3.0,(17|31)
0.05579399,3.0,(6|24)
0.05567929,3.0,(42|41)
0.05555556,2.0,(11|24)
0.05555556,1.0,(21|32)
0.05524862,3.0,(6|20)
0.05517241,3.0,(27|0)
0.05517241,2.0,(45|26)
0.05487805,3.0,(40|40)
0.05426357,3.0,(6|8)
0.05376344,3.0,(48|34)
0.05370370,3.0,(17|32)
0.05357143,3.0,(0|26)
0.05319149,2.0,(13|21)
0.05283019,2.0,(40|41)
0.05263158,2.0,(0|11)
0.05263158,2.0,(16|24)
0.05235602,3.0,(4|13)
0.05230769,2.0,(20|31)
0.05194805,2.0,(21|25)
0.05172414,2.0,(20|24)
0.05172414,2.0,(41|41)
0.05154639,2.0,(4|17)
0.05135521,3.0,(21|30)
0.05128205,1.0,(19|17)
0.05084746,1.0,(14|20)
0.05067568,3.0,(49|18)
0.05042017,2.0,(8|11)
0.05042017,2.0,(36|2)
0.05031446,3.0,(18|25)
0.05000000,2.0,(0|28)
0.05000000,2.0,(1|13)
0.05000000,2.0,(24|23)
0.04946997,2.0,(44|34)
0.04938272,3.0,(25|23)
0.04932735,3.0,(1|20)
0.04918033,1.0,(27|33)
0.04912281,3.0,(12|11)
0.04901961,3.0,(10|35)
0.04901961,3.0,(15|16)
0.04878049,2.0,(2|48)
0.04878049,3.0,(9|33)
0.04878049,2.0,(13|34)
0.04878049,3.0,(22|9)
0.04874835,3.0,(36|36)
0.04864865,3.0,(46|5)
0.04864865,3.0,(47|4)
0.04864865,3.0,(47|5)
0.04854369,2.0,(13|28)
0.04848485,2.0,(14|22)
0.04836193,3.0,(20|35)
0.04824561,3.0,(9|26)
0.04819277,3.0,(5|18)
0.04814815,3.0,(13|18)
0.04792332,3.0,(48|6)
0.04784689,2.0,(46|17)
0.04778157,2.0,(44|44)
0.04771372,3.0,(21|34)
0.04761905,2.0,(0|6)
0.04761905,1.0,(10|6)
0.04761905,3.0,(21|22)
0.04716981,1.0,(24|48)
0.04716981,1.0,(25|48)
0.04687500,2.0,(10|25)
0.04672897,2.0,(32|36)
0.04651163,2.0,(27|46)
0.04629629,1.0,(8|13)
0.04545455,1.0,(6|29)
0.04545455,1.0,(9|21)
