Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 4 | Class Action (jpg:4,idx:3)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02816901,2.0,(25|47)
0.02810304,5.0,(20|8)
0.02764977,2.0,(22|16)
0.02739726,5.0,(15|26)
0.02727273,3.0,(13|49)
0.02678571,2.0,(16|15)
0.02666667,3.0,(3|19)
0.02666667,2.0,(14|43)
0.02666667,2.0,(14|44)
0.02631579,4.0,(21|47)
0.02616279,4.0,(22|0)
0.02597403,2.0,(10|0)
0.02591093,3.0,(25|45)
0.02553191,2.0,(22|26)
0.02542373,2.0,(24|1)
0.02538071,4.0,(7|43)
0.02531646,2.0,(26|28)
0.02521008,3.0,(15|32)
0.02500000,2.0,(17|6)
0.02500000,3.0,(23|47)
0.02469136,2.0,(22|5)
0.02463054,3.0,(6|4)
0.02463054,3.0,(48|7)
0.02453988,2.0,(21|17)
0.02413793,3.0,(9|4)
0.02409638,2.0,(3|5)
0.02380952,1.0,(8|42)
0.02298851,2.0,(10|1)
0.02296451,4.0,(5|43)
0.02272727,1.0,(34|6)
0.02272727,1.0,(35|7)
0.02272727,1.0,(35|8)
0.02202643,4.0,(18|15)
0.02142857,2.0,(6|40)
0.02142857,2.0,(16|3)
0.02127660,2.0,(16|4)
0.02116402,2.0,(22|47)
0.02105263,2.0,(9|48)
0.02085747,4.0,(6|3)
0.02054795,1.0,(14|10)
0.02028986,3.0,(48|47)
0.02020202,2.0,(25|9)
0.02000000,1.0,(5|47)
0.01956947,2.0,(32|44)
0.01931034,3.0,(27|0)
0.01930502,2.0,(14|49)
0.01923077,1.0,(8|44)
0.01886792,1.0,(8|3)
0.01886792,1.0,(14|15)
0.01886792,1.0,(33|43)
0.01869159,2.0,(3|49)
0.01843318,3.0,(22|27)
0.01834862,2.0,(13|48)
0.01818182,2.0,(7|48)
0.01818182,2.0,(13|44)
0.01785714,1.0,(49|29)
0.01769911,2.0,(2|0)
0.01769911,3.0,(15|35)
0.01754386,1.0,(14|9)
0.01735358,2.0,(17|3)
0.01694915,1.0,(27|5)
0.01694915,2.0,(47|6)
0.01680672,1.0,(21|48)
0.01626016,1.0,(1|16)
0.01612903,1.0,(1|15)
0.01612903,2.0,(13|6)
0.01612903,4.0,(14|5)
0.01587302,2.0,(2|45)
0.01587302,2.0,(29|40)
0.01562500,1.0,(27|48)
0.01556420,2.0,(20|26)
0.01550388,2.0,(6|8)
0.01550388,2.0,(22|42)
0.01530612,2.0,(16|26)
0.01515152,1.0,(6|26)
0.01498929,3.0,(15|44)
0.01470588,1.0,(22|44)
0.01463415,2.0,(15|7)
0.01440329,1.0,(27|45)
0.01430843,3.0,(22|41)
0.01428571,1.0,(16|6)
0.01428571,1.0,(28|48)
0.01408451,1.0,(20|3)
0.01408451,1.0,(47|47)
0.01398601,2.0,(1|7)
0.01398601,2.0,(49|7)
0.01379310,2.0,(14|33)
0.01375246,4.0,(10|21)
0.01345291,2.0,(12|2)
0.01324503,4.0,(18|6)
0.01315789,1.0,(21|4)
0.01282051,2.0,(23|45)
0.01279318,3.0,(14|2)
0.01257862,1.0,(24|44)
0.01250000,1.0,(9|45)
0.01149425,1.0,(8|46)
0.01149425,1.0,(17|38)
0.01149425,2.0,(26|5)
0.01136364,1.0,(28|3)
0.01123596,1.0,(8|4)
0.01111111,2.0,(20|0)
0.01102941,1.0,(18|39)
0.01101928,2.0,(13|9)
0.01098901,1.0,(29|3)
0.01086957,1.0,(18|19)
0.01081081,1.0,(24|8)
0.01075269,2.0,(10|9)
0.01069519,2.0,(18|1)
0.01063830,2.0,(28|23)
0.01052632,1.0,(28|49)
0.01041667,2.0,(4|14)
0.01041667,2.0,(4|15)
0.01039861,1.0,(12|4)
0.01036269,1.0,(4|3)
0.01030928,1.0,(16|0)
0.01030928,1.0,(35|45)
0.01020408,1.0,(18|2)
0.01015228,3.0,(11|2)
0.01010101,1.0,(4|2)
0.01010101,1.0,(5|45)
0.009966778,2.0,(23|43)
0.009950249,2.0,(0|5)
0.009925558,2.0,(9|3)
0.009803922,1.0,(21|49)
0.009708738,1.0,(26|22)
0.009615385,1.0,(12|46)
0.009592326,2.0,(21|16)
0.009523810,1.0,(28|44)
0.009433962,1.0,(11|9)
0.009375000,2.0,(13|46)
0.009287925,2.0,(24|28)
0.009216590,1.0,(21|43)
0.009174312,2.0,(22|43)
0.009132420,2.0,(2|4)
0.009090909,1.0,(21|19)
0.009049774,2.0,(27|2)
0.008960574,3.0,(11|20)
0.008928572,1.0,(21|45)
0.008928572,1.0,(22|1)
0.008928572,1.0,(22|12)
0.008888889,2.0,(21|5)
0.008888889,2.0,(22|6)
0.008869180,2.0,(9|33)
0.008741259,3.0,(4|10)
0.008620690,1.0,(30|42)
0.008474576,1.0,(7|45)
0.008450705,3.0,(0|30)
0.008403362,1.0,(9|25)
0.008368201,2.0,(15|46)
0.008368201,1.0,(34|44)
0.008368201,1.0,(44|45)
0.008130081,2.0,(2|24)
0.008064516,1.0,(17|15)
0.008000000,1.0,(4|43)
0.008000000,1.0,(4|44)
0.008000000,1.0,(12|44)
0.007874016,1.0,(48|4)
0.007812500,1.0,(26|37)
0.007722008,2.0,(5|4)
0.007490637,2.0,(27|4)
0.007462686,2.0,(3|15)
0.007462686,1.0,(10|43)
0.007092198,1.0,(12|45)
0.007092198,1.0,(17|25)
0.006615215,3.0,(29|47)
0.006250000,1.0,(24|23)
0.006134969,1.0,(25|41)
0.006091371,2.0,(23|37)
0.006060606,1.0,(14|22)
0.006015038,3.0,(35|44)
0.005917160,1.0,(8|43)
0.005917160,1.0,(9|41)
0.005730659,2.0,(24|22)
0.005555556,1.0,(5|38)
0.005502063,2.0,(26|41)
0.005479452,2.0,(9|42)
0.005434783,2.0,(2|12)
0.005420054,2.0,(25|28)
0.005405406,2.0,(21|3)
0.005376344,1.0,(23|31)
0.005361930,2.0,(21|46)
0.005319149,1.0,(10|45)
0.005063291,2.0,(20|17)
0.005012531,2.0,(21|22)
0.005000000,1.0,(30|47)
0.004987531,1.0,(6|47)
0.004987531,2.0,(32|3)
0.004975124,2.0,(15|37)
0.004975124,1.0,(24|2)
0.004962779,2.0,(25|26)
0.004926108,2.0,(26|0)
0.004587156,1.0,(33|14)
0.004545454,1.0,(29|24)
0.004444445,1.0,(23|34)
0.004379562,1.0,(23|36)
0.004379562,1.0,(23|38)
0.004048583,2.0,(15|33)
0.004032258,1.0,(15|23)
0.004032258,1.0,(25|15)
0.004016064,1.0,(14|7)
0.004008016,2.0,(14|32)
0.003984064,1.0,(3|32)
0.003952569,2.0,(25|30)
0.003913894,1.0,(6|28)
0.003891051,1.0,(0|42)
0.003875969,1.0,(12|25)
0.003846154,1.0,(15|13)
0.003766478,1.0,(20|20)
0.003759399,1.0,(27|41)
0.003603604,1.0,(16|2)
0.003571429,1.0,(29|16)
0.003496503,1.0,(48|5)
0.003424658,1.0,(28|47)
0.003401360,1.0,(41|46)
0.003367003,2.0,(14|0)
0.003144654,2.0,(23|16)
0.003121748,2.0,(21|37)
0.003120125,2.0,(20|35)
0.003115265,1.0,(23|13)
0.002812939,1.0,(14|25)
0.002770083,2.0,(30|41)
0.002717391,1.0,(24|39)
0.002604167,1.0,(24|40)
0.002564103,1.0,(17|33)
0.002551020,1.0,(23|10)
0.002544529,1.0,(17|49)
0.002525253,1.0,(38|45)
0.002484472,1.0,(4|30)
0.002418380,2.0,(24|35)
0.002372479,1.0,(26|40)
0.002320186,1.0,(0|1)
0.002320186,1.0,(0|2)
0.002320186,1.0,(20|19)
0.002197802,1.0,(27|34)
0.002159827,1.0,(46|46)
0.002100840,1.0,(10|23)
0.002085506,2.0,(29|42)
0.002032520,1.0,(27|37)
0.001988071,1.0,(21|34)
0.001968504,2.0,(17|19)
0.001949318,1.0,(41|48)
0.001831502,1.0,(25|43)
0.001626016,1.0,(11|44)
0.001503759,1.0,(24|41)
0.001461988,1.0,(30|36)
0.001425517,1.0,(20|39)
0.001186240,1.0,(28|38)
0.001083424,1.0,(31|47)
0.0009661836,1.0,(38|35)
0.0009661836,1.0,(39|33)
