Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 51 | Energy (jpg:51,idx:45)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02469136,1.0,(7|27)
0.02405498,3.0,(5|27)
0.02380952,2.0,(0|27)
0.02366864,2.0,(23|30)
0.02352941,3.0,(1|21)
0.02343750,2.0,(27|48)
0.02336449,3.0,(14|18)
0.02325581,1.0,(34|4)
0.02307692,3.0,(22|25)
0.02304148,3.0,(6|22)
0.02298851,2.0,(19|30)
0.02285714,2.0,(13|23)
0.02247191,2.0,(15|30)
0.02247191,1.0,(48|11)
0.02247191,1.0,(49|13)
0.02222222,3.0,(4|20)
0.02222222,1.0,(11|19)
0.02209945,2.0,(49|27)
0.02205882,1.0,(22|44)
0.02197802,1.0,(9|28)
0.02189781,3.0,(38|11)
0.02185792,2.0,(7|25)
0.02173913,2.0,(8|17)
0.02173913,2.0,(18|19)
0.02150538,2.0,(23|31)
0.02142857,2.0,(5|26)
0.02127660,1.0,(16|19)
0.02127660,2.0,(49|26)
0.02105263,1.0,(43|44)
0.02040816,2.0,(1|4)
0.02010050,3.0,(7|10)
0.01990050,3.0,(0|5)
0.01986755,2.0,(27|16)
0.01973684,1.0,(14|19)
0.01960784,2.0,(34|27)
0.01937046,3.0,(25|22)
0.01923077,1.0,(13|14)
0.01923077,3.0,(27|26)
0.01913876,2.0,(46|13)
0.01886792,2.0,(20|9)
0.01886792,1.0,(21|41)
0.01886792,1.0,(24|48)
0.01886792,1.0,(25|48)
0.01834862,2.0,(10|15)
0.01818182,2.0,(21|19)
0.01818182,3.0,(29|24)
0.01801802,2.0,(46|42)
0.01799486,3.0,(21|6)
0.01793722,3.0,(1|20)
0.01754386,1.0,(2|22)
0.01754386,2.0,(5|36)
0.01754386,2.0,(9|26)
0.01754386,1.0,(13|13)
0.01724138,1.0,(12|13)
0.01724138,2.0,(30|42)
0.01706485,2.0,(44|44)
0.01702128,3.0,(22|26)
0.01694915,1.0,(14|20)
0.01694915,1.0,(27|5)
0.01685393,1.0,(5|22)
0.01680672,2.0,(15|32)
0.01674641,3.0,(43|42)
0.01666667,1.0,(11|10)
0.01655629,3.0,(1|23)
0.01652892,2.0,(4|26)
0.01648352,3.0,(11|7)
0.01639344,1.0,(14|21)
0.01632653,2.0,(17|41)
0.01626016,2.0,(8|27)
0.01624130,2.0,(20|19)
0.01618123,3.0,(26|22)
0.01612903,2.0,(10|9)
0.01612903,2.0,(13|32)
0.01608579,3.0,(21|46)
0.01593626,2.0,(30|18)
0.01592357,2.0,(27|30)
0.01587302,1.0,(4|23)
0.01568628,2.0,(6|11)
0.01568628,2.0,(7|11)
0.01562500,1.0,(12|48)
0.01562500,1.0,(49|4)
0.01557632,3.0,(38|29)
0.01550388,2.0,(6|8)
0.01550388,2.0,(12|25)
0.01550388,2.0,(49|33)
0.01503759,2.0,(10|11)
0.01492537,1.0,(3|24)
0.01492537,2.0,(25|20)
0.01481481,2.0,(12|32)
0.01477833,3.0,(6|4)
0.01476015,2.0,(2|19)
0.01476015,2.0,(11|32)
0.01470588,2.0,(45|32)
0.01449275,1.0,(49|40)
0.01428571,1.0,(27|25)
0.01418440,2.0,(12|45)
0.01408451,1.0,(8|5)
0.01398601,1.0,(1|7)
0.01398601,1.0,(49|7)
0.01375246,3.0,(10|21)
0.01369863,2.0,(23|26)
0.01342282,2.0,(7|37)
0.01340483,2.0,(14|40)
0.01336303,3.0,(42|41)
0.01333333,1.0,(11|11)
0.01333333,2.0,(16|13)
0.01324503,2.0,(23|48)
0.01324503,2.0,(36|8)
0.01315789,2.0,(27|24)
0.01310044,1.0,(14|4)
0.01307190,2.0,(18|23)
0.01307190,2.0,(48|12)
0.01298701,1.0,(14|12)
0.01290323,1.0,(40|43)
0.01282051,1.0,(34|9)
0.01279318,3.0,(25|18)
0.01277955,2.0,(48|6)
0.01265823,2.0,(26|28)
0.01260504,3.0,(10|23)
0.01257862,1.0,(24|44)
0.01257862,2.0,(48|44)
0.01254480,2.0,(11|20)
0.01253918,2.0,(49|17)
0.01253133,2.0,(23|18)
0.01230769,1.0,(20|31)
0.01223776,3.0,(4|10)
0.01219512,2.0,(22|9)
0.01214575,3.0,(25|45)
0.01204819,2.0,(12|23)
0.01197605,1.0,(46|48)
0.01197605,1.0,(49|1)
0.01190476,1.0,(1|24)
0.01190476,1.0,(41|40)
0.01176471,2.0,(26|9)
0.01162791,3.0,(22|0)
0.01158301,2.0,(5|4)
0.01146132,2.0,(24|22)
0.01145038,3.0,(16|1)
0.01136364,2.0,(28|3)
0.01123596,2.0,(13|15)
0.01119403,2.0,(3|15)
0.01111111,1.0,(5|38)
0.01111111,1.0,(7|26)
0.01111111,2.0,(14|30)
0.01086957,2.0,(42|40)
0.01084011,3.0,(2|24)
0.01083424,2.0,(31|47)
0.01081081,2.0,(39|42)
0.01075269,1.0,(10|5)
0.01075269,2.0,(14|5)
0.01069519,1.0,(7|15)
0.01063830,2.0,(15|31)
0.01058201,2.0,(6|17)
0.01052632,2.0,(25|21)
0.01036269,2.0,(5|35)
0.01036269,2.0,(10|8)
0.01033592,2.0,(26|4)
0.01030928,2.0,(4|17)
0.01012658,3.0,(3|25)
0.01005025,2.0,(31|6)
0.009950249,2.0,(5|14)
0.009740259,3.0,(49|11)
0.009708738,1.0,(32|2)
0.009478673,2.0,(21|39)
0.009296149,3.0,(4|24)
0.009287925,2.0,(24|28)
0.009273570,3.0,(15|19)
0.009259259,1.0,(4|25)
0.009195402,3.0,(17|38)
0.009090909,2.0,(40|27)
0.009009009,1.0,(35|2)
0.008968610,2.0,(48|43)
0.008928572,2.0,(25|19)
0.008888889,2.0,(21|5)
0.008888889,2.0,(22|6)
0.008875740,2.0,(13|3)
0.008849557,1.0,(7|17)
0.008771930,1.0,(10|40)
0.008771930,1.0,(22|15)
0.008368201,2.0,(44|45)
0.008350731,3.0,(5|43)
0.008264462,1.0,(25|46)
0.008264462,1.0,(28|25)
0.008264462,2.0,(35|9)
0.008130081,1.0,(1|16)
0.008064516,1.0,(15|23)
0.008000000,2.0,(3|16)
0.007936508,2.0,(0|23)
0.007936508,1.0,(10|22)
0.007936508,2.0,(49|10)
0.007812500,1.0,(1|6)
0.007717751,3.0,(29|47)
0.007692308,1.0,(2|28)
0.007547170,2.0,(40|41)
0.007532957,3.0,(0|21)
0.007532957,3.0,(49|21)
0.007518797,2.0,(14|28)
0.007518797,1.0,(27|41)
0.007518797,2.0,(37|19)
0.007518797,1.0,(46|33)
0.007481297,2.0,(32|3)
0.007366483,3.0,(26|19)
0.007352941,1.0,(21|7)
0.007326007,1.0,(13|38)
0.007312614,2.0,(16|29)
0.007299270,2.0,(24|16)
0.007299270,1.0,(27|20)
0.007272727,2.0,(13|41)
0.007246377,3.0,(9|18)
0.007246377,1.0,(16|20)
0.007092198,1.0,(45|48)
0.007067138,2.0,(22|29)
0.006993007,1.0,(24|25)
0.006944444,2.0,(9|31)
0.006920415,2.0,(7|18)
0.006896552,2.0,(31|46)
0.006849315,1.0,(15|26)
0.006849315,3.0,(19|16)
0.006756757,2.0,(49|18)
0.006651885,2.0,(9|33)
0.006578947,2.0,(32|43)
0.006389776,2.0,(42|29)
0.006289308,2.0,(25|25)
0.006250000,1.0,(35|10)
0.006250000,1.0,(49|48)
0.006097561,2.0,(40|40)
0.006024096,1.0,(26|47)
0.006006006,2.0,(30|46)
0.006006006,2.0,(46|16)
0.005988024,2.0,(34|11)
0.005988024,2.0,(35|11)
0.005882353,1.0,(18|17)
0.005847953,1.0,(8|29)
0.005830904,2.0,(49|19)
0.005800464,3.0,(19|32)
0.005681818,1.0,(46|24)
0.005671077,2.0,(12|43)
0.005625879,1.0,(14|25)
0.005565863,2.0,(38|41)
0.005524862,1.0,(10|27)
0.005517242,3.0,(27|0)
0.005509642,2.0,(21|28)
0.005494506,1.0,(27|27)
0.005449591,2.0,(37|23)
0.005434783,1.0,(2|12)
0.005420054,2.0,(40|44)
0.005405406,2.0,(42|30)
0.005405406,2.0,(46|5)
0.005405406,2.0,(47|4)
0.005405406,2.0,(47|5)
0.005291005,1.0,(22|47)
0.005277045,2.0,(38|40)
0.005181347,1.0,(4|34)
0.005167959,2.0,(22|42)
0.005128205,2.0,(17|33)
0.005063291,1.0,(20|17)
0.005025126,2.0,(10|29)
0.005025126,1.0,(46|29)
0.004975124,1.0,(43|46)
0.004926108,1.0,(3|26)
0.004926108,1.0,(10|7)
0.004716981,1.0,(11|9)
0.004716981,2.0,(16|38)
0.004651163,1.0,(25|2)
0.004566210,1.0,(48|38)
0.004566210,1.0,(48|39)
0.004524887,1.0,(0|4)
0.004357298,2.0,(26|43)
0.004291845,1.0,(26|18)
0.004264392,1.0,(22|13)
0.004237288,1.0,(28|30)
0.004109589,2.0,(33|36)
0.004048583,2.0,(10|34)
0.004021448,2.0,(3|22)
0.003952569,3.0,(36|36)
0.003891051,2.0,(0|42)
0.003891051,1.0,(31|49)
0.003795066,1.0,(38|44)
0.003759399,2.0,(9|7)
0.003759399,1.0,(43|24)
0.003703704,2.0,(17|32)
0.003696858,2.0,(4|21)
0.003676471,1.0,(18|39)
0.003676471,2.0,(28|24)
0.003663004,2.0,(25|43)
0.003649635,1.0,(17|17)
0.003424658,1.0,(28|47)
0.003355705,1.0,(40|34)
0.003333333,1.0,(29|46)
0.003267974,1.0,(4|9)
0.003257329,1.0,(39|44)
0.003122560,1.0,(47|49)
0.003120125,2.0,(20|35)
0.003091190,2.0,(8|28)
0.002985075,1.0,(35|4)
0.002952756,2.0,(17|19)
0.002946955,3.0,(21|31)
0.002915452,1.0,(45|39)
0.002911208,2.0,(9|27)
0.002820875,2.0,(8|20)
0.002735978,2.0,(19|29)
0.002732240,1.0,(15|4)
0.002695418,1.0,(37|8)
0.002659574,1.0,(31|2)
0.002577320,1.0,(29|27)
0.002518892,1.0,(13|22)
0.002418380,2.0,(24|35)
0.002369668,1.0,(35|34)
0.002239642,2.0,(23|33)
0.002202643,1.0,(18|15)
0.002155172,2.0,(28|35)
0.002141328,1.0,(12|28)
0.002057613,1.0,(27|45)
0.001988071,1.0,(21|34)
0.001910220,2.0,(19|34)
0.001855288,1.0,(16|28)
0.001848429,2.0,(15|40)
0.001733102,1.0,(12|4)
0.001697793,1.0,(17|40)
0.001672241,1.0,(20|44)
0.001523229,2.0,(32|35)
0.001358696,1.0,(14|24)
0.001112966,1.0,(20|29)
0.001043841,1.0,(17|28)
0.001029866,1.0,(19|31)
0.0009372071,1.0,(28|36)
0.0006082725,1.0,(35|40)
