Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 60 | Enrolled Agents (jpg:60,idx:54)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.7674419,1.0,(41|33)
0.7674419,1.0,(42|33)
0.7674419,1.0,(43|32)
0.7122302,2.0,(41|31)
0.6153846,1.0,(42|32)
0.6149068,1.0,(41|30)
0.5378379,1.0,(42|30)
0.4583333,2.0,(42|31)
0.3546326,1.0,(42|29)
0.08620690,1.0,(49|24)
0.04000000,1.0,(41|29)
0.02640264,1.0,(48|24)
0.01955990,2.0,(41|32)
0.01923077,1.0,(45|21)
0.01626016,1.0,(47|22)
0.01600000,1.0,(46|2)
0.01503759,1.0,(40|29)
0.01357466,1.0,(45|7)
0.01342282,1.0,(45|13)
0.01020408,1.0,(41|46)
0.009216590,2.0,(36|3)
0.006666667,1.0,(46|22)
0.004347826,1.0,(47|23)
0.004149378,1.0,(42|14)
0.004081632,1.0,(42|13)
0.003816794,1.0,(45|23)
0.003067485,1.0,(35|18)
0.002538071,1.0,(39|30)
