Product ID : 955 JPs covered : 157 : Accounting-Accounting/Audit/Assurance, 
OID,Confidence at Map Node,Error at Map Node
us_000472196,1.000000, 0.163850
us_000463170,1.000000, 0.286392
us_000466189,1.000000, 0.389851
us_000464697,1.000000, 0.411803
us_000463843,1.000000, 0.419254
us_000468973,1.000000, 0.419254
us_000473811,1.000000, 0.419254
us_000244421,1.000000, 0.419254
us_000459900,1.000000, 0.419254
us_000478276,1.000000, 0.419254
us_000468428,1.000000, 0.419254
us_000460935,1.000000, 0.481267
us_000469700,1.000000, 0.489320
us_000469543,1.000000, 0.497439
us_000459197,1.000000, 0.497439
us_000480152,1.000000, 0.497439
us_000467680,1.000000, 0.497439
us_000450500,1.000000, 0.497439
us_000470277,1.000000, 0.497439
us_000481544,1.000000, 0.497439
us_000459153,1.000000, 0.497439
us_000468449,1.000000, 0.497439
us_000314540,1.000000, 0.497439
us_000459985,1.000000, 0.497439
us_000462909,1.000000, 0.547558
us_000469644,1.000000, 0.547558
us_000464035,1.000000, 0.556145
us_000478702,1.000000, 0.556145
us_000464059,1.000000, 0.556145
us_000478744,1.000000, 0.556145
us_000472261,1.000000, 0.564798
us_000474391,1.000000, 0.564798
us_000474350,1.000000, 0.564798
us_000472670,1.000000, 0.564798
us_000470192,1.000000, 0.564798
us_000470152,1.000000, 0.564798
us_000460985,1.000000, 0.564798
us_000472702,1.000000, 0.564798
us_000462982,1.000000, 0.564798
us_000460924,1.000000, 0.564798
us_000485384,1.000000, 0.564798
us_000466931,1.000000, 0.564798
us_000469335,1.000000, 0.564798
us_000462977,1.000000, 0.564798
us_000472210,1.000000, 0.564798
us_000465277,1.000000, 0.564798
us_000460887,1.000000, 0.564798
us_000478657,1.000000, 0.564798
us_000479896,1.000000, 0.564798
us_000469037,1.000000, 0.573519
us_000466423,1.000000, 0.573519
us_000469525,1.000000, 0.573519
us_000469533,1.000000, 0.573519
us_000468751,1.000000, 0.573519
us_000404050,1.000000, 0.573519
us_000466306,1.000000, 0.573519
us_000210152,1.000000, 0.573519
us_000458522,1.000000, 0.573519
us_000469647,1.000000, 0.573519
us_000401858,1.000000, 0.573519
us_000468742,1.000000, 0.573519
us_000374704,1.000000, 0.573519
us_000458467,1.000000, 0.573519
us_000474349,1.000000, 0.577620
us_000206157,1.000000, 0.582307
us_000460175,1.000000, 0.582307
us_000483844,1.000000, 0.582307
us_000460225,1.000000, 0.582307
us_000459916,1.000000, 0.582307
us_000464996,1.000000, 0.582307
us_000480078,1.000000, 0.582307
us_000460127,1.000000, 0.582307
us_000471947,1.000000, 0.582307
us_000467660,1.000000, 0.582307
us_000463960,1.000000, 0.582307
us_000481601,1.000000, 0.582307
us_000483560,1.000000, 0.582307
us_000459114,1.000000, 0.582307
us_000478388,1.000000, 0.582307
us_000463237,1.000000, 0.582307
us_000464707,1.000000, 0.582307
us_000460232,1.000000, 0.582307
us_000226802,1.000000, 0.582307
us_000467591,1.000000, 0.582307
us_000466282,1.000000, 0.582307
us_000219421,1.000000, 0.582307
us_000463670,1.000000, 0.582307
us_000482146,1.000000, 0.582307
us_000470289,1.000000, 0.582307
us_000478100,1.000000, 0.582307
us_000478758,1.000000, 0.582307
us_000460128,1.000000, 0.582307
us_000466265,1.000000, 0.582307
us_000460825,1.000000, 0.582307
us_000365904,1.000000, 0.582307
us_000480070,1.000000, 0.582307
us_000441622,1.000000, 0.582307
us_000480213,1.000000, 0.582307
us_000314377,1.000000, 0.582307
us_000460812,1.000000, 0.582307
us_000459105,1.000000, 0.582307
us_000473415,1.000000, 0.582307
us_000478159,1.000000, 0.582307
us_000480033,1.000000, 0.582307
us_000478258,1.000000, 0.582307
us_000462631,1.000000, 0.582307
us_000460171,1.000000, 0.582307
us_000265991,1.000000, 0.582307
us_000464082,1.000000, 0.582307
us_000468986,1.000000, 0.582307
us_000009567,1.000000, 0.582307
us_000459202,1.000000, 0.582307
us_000469606,1.000000, 0.582307
us_000461165,1.000000, 0.582307
us_000459122,1.000000, 0.582307
us_000473144,1.000000, 0.582307
us_000472876,1.000000, 0.582307
us_000467697,1.000000, 0.582307
us_000460124,1.000000, 0.582307
us_000399338,1.000000, 0.582307
us_000469393,1.000000, 0.582307
us_000462885,1.000000, 0.582307
us_000481610,1.000000, 0.582307
us_000198618,1.000000, 0.582307
us_000056308,1.000000, 0.582307
us_000473171,1.000000, 0.582307
us_000462170,1.000000, 0.582307
us_000465509,1.000000, 0.582307
us_000036990,1.000000, 0.582307
us_000468454,1.000000, 0.582307
us_000480161,1.000000, 0.582307
us_000472832,1.000000, 0.582307
us_000467611,1.000000, 0.582307
us_000301445,1.000000, 0.582307
us_000483559,1.000000, 0.582307
us_000470301,1.000000, 0.582307
us_000470293,1.000000, 0.582307
us_000473147,1.000000, 0.583534
us_000025109,1.000000, 0.587214
us_000460413,1.000000, 0.645690
us_000460352,1.000000, 0.645690
us_000460479,1.000000, 0.645690
us_000466903,1.000000, 0.655012
us_000462920,1.000000, 0.655012
us_000469894,1.000000, 0.655012
us_000469097,1.000000, 0.655012
us_000472272,1.000000, 0.655012
us_000472661,1.000000, 0.655012
us_000470145,1.000000, 0.655012
us_000466918,1.000000, 0.655012
us_000460993,1.000000, 0.655012
us_000462945,1.000000, 0.655012
us_000464350,1.000000, 0.658557
us_000254462,1.000000, 0.664401
us_000469516,1.000000, 0.664401
us_000466387,1.000000, 0.664401
us_000466296,1.000000, 0.664401
us_000469325,1.000000, 0.664401
us_000313324,1.000000, 0.664401
us_000481386,1.000000, 0.664401
us_000466289,1.000000, 0.664401
us_000469664,1.000000, 0.664401
us_000390214,1.000000, 0.664401
us_000483774,1.000000, 0.664401
us_000474298,1.000000, 0.664401
us_000464696,1.000000, 0.664401
us_000469689,1.000000, 0.664401
us_000477208,1.000000, 0.664401
us_000469038,1.000000, 0.664401
us_000566817,1.000000, 0.664401
us_000469512,1.000000, 0.664401
us_000473988,1.000000, 0.664401
us_000286337,1.000000, 0.664401
us_000467120,1.000000, 0.664401
us_000481333,1.000000, 0.664401
us_000469650,1.000000, 0.664401
pr_001611307,0.971897, 0.000001
pr_001041820,0.971897, 0.000001
pr_000920043,0.971897, 0.000001
pr_000922117,0.971897, 0.000001
pr_000526119,0.971897, 0.000001
pr_000914835,0.971897, 0.000001
pr_001142665,0.971897, 0.000001
pr_001042242,0.971897, 0.000001
pr_000514088,0.971897, 0.000001
pr_000849392,0.971897, 0.000001
pr_000721109,0.971897, 0.000001
pr_000964473,0.971897, 0.000003
pr_001614167,0.971897, 0.000003
pr_000366455,0.971897, 0.000003
pr_000882394,0.971897, 0.000009
pr_000386715,0.971897, 0.000009
pr_001149531,0.971897, 0.000036
pr_001033709,0.971897, 0.000042
pr_001040319,0.971897, 0.000061
us_000478092,0.971897, 0.000654
pr_000721657,0.971897, 0.002209
