Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 9 | Corporate Law (jpg:9,idx:7)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.03750000,3.0,(8|5)
0.03711790,3.0,(23|31)
0.03703704,2.0,(5|4)
0.03703704,3.0,(7|45)
0.03703704,1.0,(28|37)
0.03703704,1.0,(28|44)
0.03703704,1.0,(43|19)
0.03664922,1.0,(16|25)
0.03658536,2.0,(2|9)
0.03658536,6.0,(47|9)
0.03636364,1.0,(10|19)
0.03636364,2.0,(42|30)
0.03610108,1.0,(29|15)
0.03603604,3.0,(14|37)
0.03571429,1.0,(10|26)
0.03571429,2.0,(14|1)
0.03571429,3.0,(24|32)
0.03571429,2.0,(27|28)
0.03542673,4.0,(9|12)
0.03508772,2.0,(4|21)
0.03508772,1.0,(5|21)
0.03508772,3.0,(22|40)
0.03508772,1.0,(24|33)
0.03493450,3.0,(11|33)
0.03478261,2.0,(5|26)
0.03460838,1.0,(28|26)
0.03448276,1.0,(9|22)
0.03424658,2.0,(47|22)
0.03374233,3.0,(26|31)
0.03370786,3.0,(29|46)
0.03367003,2.0,(20|31)
0.03361345,2.0,(12|38)
0.03355705,2.0,(2|20)
0.03342618,4.0,(5|12)
0.03342618,4.0,(6|13)
0.03333334,2.0,(11|24)
0.03333334,3.0,(17|36)
0.03333334,2.0,(26|36)
0.03315508,2.0,(25|14)
0.03257329,2.0,(7|21)
0.03243243,3.0,(13|43)
0.03225806,3.0,(15|37)
0.03225806,2.0,(34|19)
0.03212851,2.0,(15|36)
0.03166227,1.0,(25|11)
0.03149606,2.0,(18|3)
0.03139013,3.0,(26|7)
0.03125000,3.0,(21|37)
0.03086420,1.0,(10|14)
0.03076923,2.0,(6|22)
0.03076923,2.0,(13|11)
0.03076923,3.0,(49|8)
0.03056769,3.0,(21|31)
0.03010753,5.0,(5|20)
0.03010753,5.0,(6|19)
0.03000000,3.0,(32|15)
0.02985075,2.0,(48|9)
0.02970297,3.0,(20|0)
0.02941176,3.0,(14|40)
0.02941176,1.0,(24|15)
0.02941176,1.0,(28|47)
0.02898551,1.0,(28|7)
0.02894737,3.0,(25|47)
0.02857143,1.0,(10|2)
0.02857143,3.0,(43|30)
0.02816901,3.0,(1|35)
0.02816901,2.0,(12|30)
0.02816901,3.0,(17|41)
0.02810304,3.0,(23|32)
0.02803738,3.0,(48|33)
0.02793296,2.0,(8|37)
0.02777778,3.0,(2|14)
0.02777778,1.0,(9|26)
0.02777778,1.0,(10|5)
0.02758621,2.0,(26|1)
0.02739726,1.0,(30|21)
0.02722772,1.0,(31|22)
0.02702703,3.0,(6|49)
0.02702703,1.0,(10|25)
0.02702703,1.0,(16|26)
0.02702703,2.0,(47|14)
0.02678571,3.0,(16|37)
0.02675585,2.0,(15|4)
0.02666667,1.0,(46|5)
0.02651515,3.0,(19|32)
0.02649007,3.0,(10|12)
0.02631579,3.0,(11|10)
0.02631579,1.0,(18|26)
0.02631579,2.0,(31|11)
0.02614379,2.0,(8|34)
0.02614379,3.0,(9|32)
0.02608696,5.0,(12|10)
0.02586207,3.0,(21|19)
0.02564103,1.0,(3|8)
0.02564103,2.0,(5|13)
0.02564103,2.0,(37|4)
0.02515723,2.0,(3|10)
0.02515723,3.0,(13|12)
0.02510460,3.0,(5|39)
0.02500000,2.0,(30|1)
0.02469136,2.0,(3|29)
0.02459016,3.0,(3|31)
0.02429150,5.0,(49|10)
0.02419355,3.0,(1|25)
0.02409638,2.0,(25|30)
0.02409638,1.0,(29|16)
0.02395210,1.0,(47|19)
0.02380952,1.0,(9|0)
0.02362205,2.0,(10|21)
0.02346570,5.0,(19|36)
0.02343750,3.0,(9|13)
0.02343750,2.0,(47|17)
0.02339181,3.0,(3|20)
0.02325581,1.0,(5|42)
0.02325581,1.0,(6|43)
0.02325581,2.0,(8|29)
0.02325581,2.0,(24|47)
0.02325581,1.0,(36|4)
0.02325581,1.0,(47|34)
0.02318841,3.0,(12|21)
0.02307692,1.0,(13|30)
0.02298851,2.0,(49|34)
0.02293578,3.0,(31|21)
0.02285714,3.0,(11|27)
0.02272727,1.0,(14|36)
0.02272727,2.0,(40|29)
0.02247191,1.0,(29|25)
0.02226027,5.0,(8|20)
0.02222222,3.0,(4|39)
0.02222222,2.0,(15|25)
0.02197802,2.0,(4|35)
0.02197802,1.0,(10|4)
0.02197802,2.0,(47|10)
0.02185792,2.0,(3|35)
0.02173913,2.0,(8|24)
0.02173913,1.0,(25|1)
0.02168675,5.0,(17|40)
0.02162162,5.0,(15|38)
0.02155172,1.0,(29|26)
0.02150538,1.0,(17|1)
0.02142857,1.0,(27|26)
0.02127660,3.0,(11|5)
0.02115656,4.0,(19|31)
0.02105263,1.0,(16|49)
0.02094241,3.0,(10|27)
0.02094241,3.0,(45|15)
0.02083333,2.0,(7|19)
0.02083333,1.0,(9|36)
0.02083333,2.0,(18|36)
0.02083333,2.0,(41|27)
0.02076125,4.0,(19|46)
0.02073516,2.0,(25|12)
0.02072539,2.0,(16|43)
0.02056555,5.0,(26|27)
0.02051282,2.0,(8|33)
0.02051282,2.0,(33|5)
0.02047244,4.0,(12|27)
0.02030457,2.0,(8|35)
0.02030457,2.0,(47|44)
0.02027027,3.0,(43|27)
0.02020202,1.0,(16|40)
0.02020202,1.0,(26|2)
0.02000000,1.0,(14|14)
0.01980198,2.0,(3|19)
0.01976285,2.0,(0|14)
0.01960784,2.0,(3|5)
0.01960784,1.0,(11|25)
0.01960784,3.0,(21|18)
0.01949861,3.0,(12|46)
0.01941748,2.0,(2|33)
0.01941748,2.0,(9|34)
0.01932367,3.0,(9|17)
0.01923077,2.0,(17|47)
0.01916933,3.0,(27|30)
0.01910828,1.0,(31|4)
0.01904762,2.0,(19|21)
0.01901141,4.0,(10|23)
0.01893939,3.0,(2|31)
0.01892745,2.0,(11|9)
0.01892745,3.0,(35|4)
0.01890189,1.0,(25|25)
0.01869159,2.0,(1|32)
0.01869159,2.0,(4|36)
0.01869159,2.0,(18|2)
0.01869159,2.0,(25|4)
0.01869159,2.0,(29|45)
0.01851852,2.0,(1|13)
0.01834862,2.0,(14|13)
0.01824817,3.0,(11|15)
0.01818182,1.0,(10|45)
