Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 52 | Personal Injury (jpg:52,idx:33)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.04761905,1.0,(14|12)
0.04735883,3.0,(30|5)
0.04651163,4.0,(1|17)
0.04605263,3.0,(9|48)
0.04545455,1.0,(29|11)
0.04477612,2.0,(49|23)
0.04444445,1.0,(28|12)
0.04444445,2.0,(47|11)
0.04400000,4.0,(13|10)
0.04380665,3.0,(27|13)
0.04347826,3.0,(14|48)
0.04347826,1.0,(22|13)
0.04310345,4.0,(26|11)
0.04291845,3.0,(9|10)
0.04243281,3.0,(25|18)
0.04237288,3.0,(2|24)
0.04237288,3.0,(21|14)
0.04145078,3.0,(8|7)
0.04109589,2.0,(30|8)
0.04081633,2.0,(0|10)
0.04000000,2.0,(29|21)
0.03960396,3.0,(20|0)
0.03921569,2.0,(1|8)
0.03874092,3.0,(17|30)
0.03846154,1.0,(2|22)
0.03777336,2.0,(24|19)
0.03777336,2.0,(25|19)
0.03750000,1.0,(26|15)
0.03738318,3.0,(18|2)
0.03738318,3.0,(20|3)
0.03703704,2.0,(22|5)
0.03693932,3.0,(24|35)
0.03672316,2.0,(38|18)
0.03672316,2.0,(38|19)
0.03669725,2.0,(6|5)
0.03608247,4.0,(11|49)
0.03571429,2.0,(14|1)
0.03508772,2.0,(7|6)
0.03508772,3.0,(27|35)
0.03422053,2.0,(7|46)
0.03333334,3.0,(47|8)
0.03318903,3.0,(29|22)
0.03278688,2.0,(28|3)
0.03278688,2.0,(29|2)
0.03174603,3.0,(31|13)
0.03166227,3.0,(25|11)
0.03141361,3.0,(30|14)
0.03125000,2.0,(1|27)
0.03100775,2.0,(14|2)
0.03076923,2.0,(0|9)
0.03076923,2.0,(11|1)
0.03076923,2.0,(13|11)
0.03030303,1.0,(6|1)
0.03030303,1.0,(10|47)
0.02985075,1.0,(7|49)
0.02985075,2.0,(48|32)
0.02947368,4.0,(18|18)
0.02941176,2.0,(13|1)
0.02906977,3.0,(8|9)
0.02905569,3.0,(22|3)
0.02898551,2.0,(14|11)
0.02898551,2.0,(16|10)
0.02898551,2.0,(28|7)
0.02877698,2.0,(49|6)
0.02857143,2.0,(38|20)
0.02816901,2.0,(11|23)
0.02816901,2.0,(48|16)
0.02739726,2.0,(30|21)
0.02733485,3.0,(24|37)
0.02727273,3.0,(10|45)
