Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 10 | Healthcare Business (jpg:10,idx:8)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.06320542,2.0,(8|14)
0.06250000,1.0,(24|4)
0.06122449,3.0,(20|10)
0.06060606,2.0,(22|1)
0.06024097,1.0,(29|16)
0.05952381,2.0,(11|21)
0.05952381,2.0,(12|22)
0.05729167,2.0,(9|13)
0.05675147,4.0,(27|5)
0.05517241,2.0,(8|43)
0.05494506,2.0,(47|10)
0.05412371,4.0,(11|49)
0.05263158,1.0,(45|29)
0.05234657,2.0,(19|36)
0.05161290,2.0,(25|48)
0.05128205,2.0,(1|22)
0.05031446,3.0,(18|38)
0.05020921,2.0,(11|41)
0.05000000,2.0,(22|0)
0.04950495,2.0,(20|0)
0.04918033,2.0,(6|28)
0.04838710,2.0,(12|3)
0.04761905,1.0,(9|0)
0.04618474,2.0,(22|26)
0.04615385,2.0,(23|49)
0.04597701,3.0,(26|0)
0.04545455,4.0,(12|41)
0.04484305,3.0,(8|12)
0.04444445,1.0,(28|12)
0.04444445,1.0,(47|11)
0.04417671,3.0,(28|0)
0.04347826,1.0,(15|14)
0.04347826,2.0,(22|13)
0.04347826,1.0,(23|15)
0.04347826,2.0,(23|48)
0.04301075,4.0,(12|49)
0.04299065,2.0,(18|11)
0.04270463,3.0,(12|11)
0.04102564,3.0,(20|9)
0.04081633,2.0,(7|16)
0.04069768,3.0,(14|49)
0.04057971,4.0,(12|10)
0.04040404,2.0,(16|40)
0.04000000,3.0,(21|26)
0.04000000,3.0,(23|26)
0.03971119,2.0,(29|4)
0.03921569,3.0,(8|34)
0.03921569,2.0,(23|2)
0.03883495,2.0,(17|35)
0.03875969,2.0,(14|2)
0.03846154,1.0,(11|48)
0.03809524,2.0,(9|46)
0.03773585,2.0,(46|36)
0.03738318,2.0,(3|6)
0.03723404,2.0,(11|5)
0.03703704,3.0,(17|38)
0.03703704,2.0,(19|29)
0.03684210,2.0,(17|7)
0.03603604,2.0,(32|48)
0.03587444,3.0,(44|29)
0.03584230,2.0,(24|0)
0.03571429,3.0,(2|10)
0.03571429,3.0,(11|3)
0.03571429,2.0,(42|16)
0.03508772,2.0,(10|7)
0.03508772,1.0,(21|13)
0.03508772,1.0,(48|6)
0.03472222,2.0,(26|12)
0.03448276,1.0,(7|5)
0.03421053,2.0,(25|47)
0.03383459,2.0,(21|35)
0.03333334,1.0,(33|2)
0.03315508,1.0,(25|14)
0.03273810,5.0,(28|2)
0.03260870,2.0,(21|0)
0.03260870,1.0,(37|6)
0.03205128,2.0,(27|48)
0.03191489,3.0,(29|44)
0.03153153,2.0,(8|1)
0.03125000,1.0,(7|12)
0.03125000,2.0,(15|28)
0.03125000,3.0,(45|8)
0.03092784,2.0,(4|41)
0.03083701,2.0,(24|31)
0.03041825,2.0,(10|23)
0.03030303,1.0,(29|8)
0.02926829,3.0,(36|19)
0.02912621,1.0,(0|6)
0.02912621,2.0,(2|33)
0.02912621,1.0,(9|34)
0.02884615,2.0,(6|33)
0.02877698,4.0,(46|34)
0.02873563,2.0,(13|41)
0.02873563,2.0,(13|42)
0.02839117,3.0,(18|7)
0.02816901,2.0,(5|38)
0.02816901,2.0,(6|39)
0.02803738,1.0,(25|4)
0.02747253,3.0,(24|3)
0.02739726,2.0,(23|1)
0.02734375,4.0,(34|3)
0.02732240,2.0,(7|27)
0.02702703,1.0,(48|10)
0.02643172,3.0,(24|49)
0.02631579,2.0,(17|34)
0.02608696,2.0,(5|26)
0.02570694,3.0,(26|27)
0.02564103,2.0,(9|38)
0.02531646,1.0,(11|7)
0.02516556,2.0,(21|25)
0.02516556,2.0,(23|25)
0.02507837,2.0,(21|36)
0.02500000,1.0,(8|22)
0.02500000,1.0,(26|15)
0.02469136,1.0,(9|5)
0.02469136,1.0,(16|24)
0.02450980,3.0,(15|29)
0.02439024,2.0,(15|39)
0.02421308,2.0,(15|48)
0.02374670,2.0,(24|35)
0.02371541,3.0,(32|12)
0.02356902,4.0,(2|49)
0.02336449,2.0,(41|11)
0.02325581,4.0,(17|8)
0.02314815,2.0,(5|48)
0.02312139,2.0,(21|32)
0.02298851,3.0,(32|3)
0.02290076,1.0,(8|0)
0.02290076,1.0,(9|4)
0.02272727,2.0,(14|36)
0.02272727,1.0,(18|9)
0.02272727,3.0,(27|0)
0.02262017,3.0,(25|12)
0.02251407,2.0,(10|6)
0.02234637,2.0,(5|22)
0.02222222,2.0,(0|33)
0.02222222,3.0,(6|45)
0.02222222,1.0,(11|8)
0.02197802,1.0,(10|4)
0.02185792,2.0,(3|35)
0.02180685,2.0,(12|6)
0.02173913,2.0,(25|1)
0.02150538,2.0,(15|23)
0.02090592,2.0,(16|9)
0.02072539,2.0,(22|30)
0.02040816,2.0,(35|0)
0.01960784,1.0,(1|8)
0.01923077,1.0,(10|15)
0.01923077,3.0,(26|49)
0.01913876,2.0,(6|38)
0.01908397,4.0,(6|46)
0.01904762,1.0,(10|2)
0.01904762,2.0,(33|48)
0.01818182,2.0,(1|5)
0.01818182,1.0,(10|45)
0.01801802,2.0,(6|23)
0.01801802,2.0,(27|37)
0.01785714,1.0,(10|26)
0.01785714,1.0,(27|3)
0.01754386,1.0,(4|11)
0.01754386,1.0,(6|31)
0.01754386,1.0,(25|35)
0.01754386,2.0,(25|45)
0.01754386,2.0,(30|0)
0.01746725,3.0,(21|31)
0.01724138,1.0,(0|5)
0.01724138,2.0,(25|13)
0.01716738,2.0,(16|38)
0.01709402,2.0,(33|13)
0.01700680,2.0,(16|15)
0.01700680,2.0,(34|0)
0.01694915,1.0,(41|3)
0.01687764,2.0,(33|0)
0.01687764,1.0,(34|49)
0.01683502,2.0,(20|31)
0.01652892,1.0,(8|2)
0.01652892,1.0,(38|1)
0.01639344,2.0,(22|4)
0.01626016,1.0,(23|11)
0.01612903,2.0,(26|48)
0.01592920,2.0,(15|32)
0.01587302,1.0,(12|2)
0.01587302,2.0,(17|29)
0.01587302,1.0,(48|39)
0.01570681,1.0,(20|13)
0.01562500,1.0,(4|22)
0.01538462,1.0,(34|15)
0.01535088,2.0,(22|25)
0.01532567,3.0,(9|43)
0.01492537,2.0,(19|27)
0.01454545,2.0,(12|5)
0.01449275,1.0,(7|9)
0.01437372,3.0,(27|19)
0.01398601,1.0,(14|5)
0.01395349,2.0,(19|33)
0.01379310,2.0,(6|41)
0.01379310,1.0,(26|1)
0.01360544,2.0,(24|10)
0.01355932,2.0,(7|29)
0.01351351,2.0,(6|49)
0.01351351,1.0,(23|47)
0.01333333,2.0,(19|9)
0.01324503,2.0,(30|3)
0.01319261,2.0,(25|11)
0.01315789,1.0,(11|10)
0.01315789,2.0,(15|21)
0.01286174,1.0,(21|16)
0.01284404,2.0,(25|27)
0.01282051,2.0,(6|4)
0.01282051,2.0,(12|33)
0.01282051,1.0,(21|27)
0.01282051,1.0,(39|5)
0.01273885,1.0,(5|31)
0.01261830,2.0,(11|9)
0.01255230,2.0,(34|48)
0.01250000,1.0,(15|49)
0.01250000,1.0,(19|7)
0.01250000,1.0,(41|21)
0.01242236,2.0,(4|49)
0.01223776,4.0,(8|42)
0.01223242,2.0,(31|21)
0.01219512,1.0,(25|2)
0.01212121,2.0,(24|29)
0.01204819,2.0,(17|28)
0.01204819,2.0,(25|30)
0.01197605,1.0,(29|40)
0.01193317,2.0,(9|6)
0.01190476,2.0,(13|28)
0.01190476,1.0,(24|25)
0.01187648,3.0,(21|33)
0.01183432,1.0,(17|12)
0.01179941,2.0,(28|13)
0.01170960,1.0,(23|32)
0.01159420,3.0,(22|39)
0.01149425,1.0,(37|5)
0.01139601,2.0,(29|48)
0.01117318,2.0,(8|45)
0.01117318,2.0,(9|45)
0.01092896,1.0,(29|12)
0.01091703,2.0,(23|31)
0.01075269,1.0,(18|28)
0.01075269,1.0,(22|22)
0.01063830,1.0,(24|28)
0.01060071,2.0,(24|38)
0.01058201,1.0,(31|25)
0.01047120,2.0,(20|32)
0.01041667,2.0,(9|44)
0.01041667,2.0,(15|27)
0.01036269,2.0,(8|7)
0.01030928,2.0,(2|3)
0.01030928,2.0,(31|1)
0.01020408,1.0,(10|3)
0.01015228,2.0,(1|49)
0.009950249,2.0,(32|11)
0.009900990,2.0,(1|10)
0.009836066,3.0,(10|13)
0.009803922,1.0,(11|25)
0.009756098,2.0,(13|25)
0.009685230,2.0,(17|30)
0.009569378,2.0,(42|43)
0.009546540,1.0,(46|29)
0.009523810,1.0,(43|22)
0.009523810,1.0,(43|30)
0.009433962,1.0,(27|15)
0.009404388,1.0,(27|27)
0.009345794,2.0,(25|9)
0.009310987,2.0,(25|28)
0.009259259,1.0,(10|5)
0.009259259,1.0,(22|5)
0.009174312,2.0,(29|5)
0.009107468,2.0,(30|5)
0.009009009,1.0,(24|1)
0.008810572,2.0,(9|40)
0.008726004,3.0,(30|14)
0.008474576,2.0,(21|14)
0.008368201,2.0,(13|4)
0.008298756,1.0,(23|13)
0.008264462,1.0,(2|26)
0.008130081,2.0,(9|41)
0.008130081,2.0,(39|6)
0.008064516,1.0,(25|5)
0.008000000,1.0,(8|28)
0.007874016,1.0,(10|21)
0.007812500,3.0,(27|32)
0.007782101,1.0,(20|25)
0.007782101,1.0,(26|34)
0.007751938,2.0,(15|30)
0.007692308,1.0,(6|22)
0.007692308,2.0,(17|36)
0.007575758,1.0,(2|31)
0.007575758,1.0,(33|15)
0.007462686,1.0,(21|1)
0.007407407,1.0,(25|43)
0.007380074,2.0,(14|27)
0.007352941,1.0,(19|10)
0.007317073,2.0,(47|9)
0.007246377,1.0,(49|28)
0.007220217,1.0,(21|15)
0.007220217,1.0,(29|15)
0.007215007,2.0,(7|23)
0.007194245,2.0,(15|47)
0.007194245,2.0,(24|22)
0.007194245,1.0,(49|6)
0.007142857,1.0,(9|8)
0.007142857,1.0,(31|12)
0.006944444,1.0,(8|19)
0.006920415,1.0,(2|6)
0.006920415,1.0,(30|7)
0.006896552,1.0,(34|2)
0.006849315,1.0,(18|10)
0.006802721,1.0,(11|6)
0.006681514,2.0,(40|1)
0.006666667,1.0,(7|7)
0.006666667,1.0,(48|46)
0.006644518,2.0,(1|26)
0.006550218,2.0,(17|25)
0.006535948,2.0,(19|24)
0.006493506,2.0,(33|12)
0.006472492,1.0,(14|4)
0.006410256,1.0,(44|7)
0.006389776,1.0,(22|28)
0.006349206,2.0,(19|21)
0.006276151,2.0,(20|28)
0.006172840,1.0,(9|37)
0.006172840,1.0,(10|37)
0.006134969,2.0,(13|38)
0.006072875,3.0,(49|10)
0.006060606,1.0,(7|8)
0.006060606,1.0,(28|11)
0.006042296,2.0,(27|13)
0.006042296,2.0,(30|12)
0.005980861,2.0,(13|6)
0.005882353,1.0,(23|14)
0.005882353,1.0,(30|35)
0.005813953,1.0,(8|9)
0.005780347,1.0,(16|4)
0.005747126,1.0,(22|9)
0.005747126,1.0,(49|34)
0.005681818,1.0,(24|42)
0.005649718,1.0,(19|17)
0.005633803,1.0,(33|10)
0.005617978,2.0,(18|34)
0.005555556,1.0,(41|13)
0.005524862,1.0,(5|6)
0.005464481,2.0,(22|35)
0.005449591,1.0,(24|27)
0.005361930,1.0,(8|3)
0.005263158,1.0,(36|3)
0.005244755,1.0,(32|8)
0.005063291,1.0,(31|44)
0.005050505,1.0,(41|7)
0.004950495,1.0,(0|47)
0.004914005,2.0,(9|31)
0.004914005,2.0,(27|46)
0.004705882,2.0,(22|12)
0.004694836,1.0,(36|11)
0.004608295,1.0,(19|18)
0.004587156,2.0,(27|17)
0.004555809,2.0,(24|37)
0.004415011,1.0,(26|33)
0.004385965,2.0,(13|37)
0.004347826,2.0,(12|21)
0.004329004,2.0,(29|22)
0.004291845,1.0,(27|47)
0.004255319,1.0,(13|18)
0.004255319,2.0,(41|12)
0.004231312,2.0,(19|31)
0.004208754,1.0,(29|24)
0.004201681,1.0,(10|11)
0.004201681,1.0,(20|46)
0.004149378,2.0,(27|21)
0.003875969,1.0,(31|3)
0.003875969,1.0,(43|10)
0.003787879,1.0,(19|32)
0.003696858,2.0,(16|20)
0.003680982,2.0,(26|29)
0.003663004,1.0,(15|2)
0.003649635,1.0,(32|7)
