Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 60 | Enrolled Agents (jpg:60,idx:41)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.9196429,1.0,(31|41)
0.7916667,1.0,(32|43)
0.7692308,2.0,(32|40)
0.5831702,1.0,(32|42)
0.5597668,1.0,(31|40)
0.4008811,2.0,(32|41)
0.3768657,1.0,(31|39)
0.2222222,1.0,(34|43)
0.1648352,1.0,(30|39)
0.1617647,1.0,(33|43)
0.1481481,2.0,(31|42)
0.06535948,1.0,(30|40)
0.02551020,1.0,(35|45)
0.01886792,1.0,(36|45)
0.01574803,1.0,(30|41)
0.01485149,1.0,(0|47)
0.01142857,1.0,(42|5)
0.01117318,2.0,(40|5)
0.009868421,1.0,(38|2)
0.007246377,1.0,(49|43)
0.006410256,1.0,(37|44)
0.004184100,1.0,(46|37)
0.004048583,1.0,(46|43)
0.003787879,1.0,(46|44)
0.003649635,1.0,(38|48)
0.002427184,1.0,(32|34)
0.002262444,1.0,(34|44)
