Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 66 | Insurance Litigation (jpg:66,idx:46)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01290323,1.0,(16|17)
0.01250000,1.0,(26|15)
0.01239669,1.0,(26|5)
0.01234568,1.0,(0|8)
0.01234568,1.0,(4|15)
0.01217862,2.0,(28|14)
0.01185771,2.0,(6|18)
0.01176471,1.0,(19|1)
0.01173709,2.0,(23|16)
0.01162791,1.0,(15|30)
0.01149425,1.0,(22|9)
0.01136364,1.0,(13|17)
0.01121495,1.0,(18|11)
0.01114206,2.0,(12|46)
0.01111111,1.0,(47|8)
0.01104972,1.0,(13|9)
0.01063830,1.0,(11|0)
0.01045296,1.0,(16|9)
0.01041667,1.0,(18|1)
0.01036269,1.0,(8|7)
0.01030928,1.0,(12|9)
0.01030928,1.0,(14|17)
0.01010101,1.0,(29|8)
0.01000000,2.0,(32|15)
0.009708738,1.0,(9|34)
0.009345794,1.0,(26|10)
0.009259259,1.0,(7|45)
0.009259259,1.0,(30|48)
0.009174312,1.0,(6|5)
0.009174312,2.0,(29|5)
0.008928572,1.0,(27|8)
0.008810572,1.0,(7|0)
0.008810572,1.0,(7|1)
0.008658009,1.0,(31|10)
0.008620690,1.0,(25|13)
0.008620690,1.0,(26|11)
0.008510638,1.0,(13|18)
0.008264462,1.0,(7|44)
0.008196721,1.0,(15|11)
0.008196721,1.0,(22|4)
0.008090615,1.0,(12|8)
0.008064516,1.0,(19|40)
0.007692308,1.0,(13|11)
0.007633588,1.0,(6|46)
0.007604563,1.0,(7|46)
0.007604563,1.0,(10|23)
0.007575758,1.0,(49|9)
0.007518797,2.0,(21|35)
0.007299270,1.0,(11|15)
0.007299270,1.0,(26|8)
0.007263923,2.0,(22|3)
0.007215007,2.0,(7|23)
0.007117438,1.0,(12|11)
0.007092198,1.0,(16|13)
0.006908463,1.0,(29|19)
0.006756757,1.0,(6|49)
0.006622517,2.0,(4|3)
0.006622517,1.0,(5|17)
0.006578947,1.0,(27|11)
0.006557377,1.0,(28|17)
0.006493506,1.0,(29|20)
0.006430868,1.0,(21|16)
0.006309148,2.0,(18|7)
0.006309148,1.0,(35|4)
0.006289308,1.0,(3|10)
0.006250000,1.0,(15|49)
0.006172840,1.0,(10|14)
0.006060606,1.0,(7|8)
0.006060606,1.0,(24|29)
0.005988024,1.0,(27|42)
0.005988024,1.0,(29|40)
0.005899705,1.0,(28|13)
0.005882353,1.0,(19|26)
0.005813953,1.0,(8|9)
0.005681818,1.0,(24|42)
0.005617978,1.0,(13|13)
0.005420054,2.0,(27|7)
0.005376344,1.0,(5|30)
0.005263158,1.0,(25|47)
0.005235602,1.0,(47|15)
0.004987531,1.0,(32|4)
0.004901961,1.0,(47|20)
0.004842615,1.0,(15|48)
0.004830918,1.0,(9|12)
0.004807692,1.0,(6|33)
0.004724409,2.0,(12|27)
0.004705882,1.0,(22|12)
0.004629630,1.0,(5|48)
0.004608295,1.0,(19|18)
0.004587156,1.0,(25|33)
0.004555809,1.0,(24|37)
0.004514673,1.0,(8|14)
0.004444445,1.0,(0|13)
0.004347826,1.0,(25|42)
0.004347826,1.0,(28|20)
0.004338395,1.0,(31|8)
0.004219409,2.0,(32|9)
0.004016064,1.0,(15|36)
0.003968254,1.0,(13|19)
0.003952569,1.0,(48|20)
0.003875969,1.0,(31|3)
0.003846154,1.0,(26|49)
0.003773585,1.0,(25|49)
