Product ID : 2123 # of JPs covered : 1 : 422 : Litigation-Jurisdiction, 
OID,Confidence at Map Node,Error at Map Node
us_000516455,0.566207, 0.086523
us_000499130,0.566207, 0.096915
us_000476562,0.566207, 0.098862
us_000474584,0.566207, 0.110373
us_000517583,0.566207, 0.120736
us_000499146,0.566207, 0.165751
us_000499233,0.566207, 0.165751
us_000499180,0.566207, 0.177540
us_000500955,0.566207, 0.179208
us_000528435,0.566207, 0.186385
us_000498241,0.566207, 0.188840
us_000521001,0.566207, 0.188840
us_000500104,0.566207, 0.190659
us_000494804,0.566207, 0.193692
us_000477241,0.566207, 0.194531
us_000499897,0.566207, 0.194710
us_000494725,0.566207, 0.198617
us_000499063,0.566207, 0.201221
us_000599466,0.566207, 0.202199
us_000615798,0.566207, 0.202855
us_000502415,0.566207, 0.204102
us_000512937,0.566207, 0.204431
us_000578595,0.566207, 0.205749
us_000498924,0.566207, 0.205982
us_000605557,0.566207, 0.205982
us_000495257,0.566207, 0.210254
us_000513102,0.566207, 0.217952
us_000498886,0.566207, 0.218800
us_000563444,0.566207, 0.222250
us_000498655,0.566207, 0.223581
us_000587910,0.566207, 0.224559
us_000486103,0.566207, 0.259180
us_000557723,0.566207, 0.260692
us_000501500,0.566207, 0.284014
us_000576632,0.566207, 0.303554
us_000507412,0.566207, 0.451495
us_000500050,0.566207, 0.526879
us_000498166,0.566207, 1.094483
us_000517197,0.549937, 0.000000
us_000490185,0.549937, 0.000000
us_000529664,0.549937, 0.000000
us_000509099,0.549937, 0.000000
us_000495033,0.549937, 0.000000
us_000557999,0.549937, 0.000000
us_000484674,0.549937, 0.000000
pr_000732802,0.549937, 0.000001
us_000523527,0.549937, 0.000111
us_000556057,0.549937, 0.000414
us_000494958,0.549937, 0.011658
us_000523213,0.549937, 0.015477
us_000543407,0.549937, 0.019765
us_000582352,0.549937, 0.019946
us_000569563,0.549937, 0.030195
us_000586699,0.549937, 0.032193
us_000528072,0.549937, 0.034527
us_000552250,0.549937, 0.040174
us_000520206,0.549937, 0.044217
us_000574119,0.549937, 0.069491
us_000522192,0.549937, 0.074672
us_000511158,0.549937, 0.081821
us_000489734,0.549937, 0.085353
us_000478612,0.549937, 0.092979
us_000490070,0.549937, 0.111891
us_000559865,0.549937, 0.128358
us_000567869,0.549937, 0.131500
us_000032710,0.549937, 0.134873
us_000464651,0.549937, 0.167195
us_000534151,0.456642, 0.000000
pr_000678310,0.456642, 0.000000
pr_000543995,0.456642, 0.000001
pr_000818005,0.456642, 0.000001
pr_000015012,0.456642, 0.000001
pr_000164865,0.456642, 0.000001
pr_000177406,0.456642, 0.000001
pr_001815799,0.456642, 0.000001
pr_001711639,0.456642, 0.000001
pr_000867725,0.456642, 0.000001
pr_000658494,0.456642, 0.000001
pr_001703176,0.456642, 0.000001
pr_000891904,0.456642, 0.000001
pr_001645392,0.456642, 0.000001
pr_001657233,0.456642, 0.000001
pr_001060247,0.456642, 0.000001
pr_000576887,0.456642, 0.000001
pr_001715085,0.456642, 0.000001
pr_001399422,0.456642, 0.000001
pr_000025245,0.456642, 0.000001
pr_000570353,0.456642, 0.000001
pr_001021783,0.456642, 0.000001
pr_001703138,0.456642, 0.000001
pr_001039379,0.456642, 0.000001
pr_001679657,0.456642, 0.000001
pr_000724775,0.456642, 0.000001
pr_000321596,0.456642, 0.000001
pr_000021021,0.456642, 0.000001
pr_001697592,0.456642, 0.000001
pr_000813427,0.456642, 0.000002
pr_000969412,0.456642, 0.000002
pr_000284101,0.456642, 0.000002
pr_000815112,0.456642, 0.000002
pr_001722916,0.456642, 0.000003
pr_000161380,0.456642, 0.000003
pr_001143183,0.456642, 0.000003
pr_001055752,0.456642, 0.000003
pr_000861684,0.456642, 0.000003
pr_001132168,0.456642, 0.000003
pr_001390145,0.456642, 0.000003
pr_002203662,0.456642, 0.000003
pr_000770312,0.456642, 0.000003
pr_002203702,0.456642, 0.000003
pr_000986721,0.456642, 0.000003
pr_002157380,0.456642, 0.000003
pr_000758853,0.456642, 0.000003
pr_002074521,0.456642, 0.000003
pr_001025040,0.456642, 0.000003
pr_001970962,0.456642, 0.000003
pr_000526501,0.456642, 0.000003
pr_001024589,0.456642, 0.000003
pr_000712339,0.456642, 0.000003
pr_000931443,0.456642, 0.000003
pr_000768621,0.456642, 0.000003
pr_001414717,0.456642, 0.000003
pr_001819239,0.456642, 0.000003
pr_001415989,0.456642, 0.000003
pr_002203865,0.456642, 0.000003
pr_000922555,0.456642, 0.000003
pr_001084879,0.456642, 0.000003
pr_002110357,0.456642, 0.000003
pr_001002837,0.456642, 0.000003
pr_002074411,0.456642, 0.000003
pr_001118865,0.456642, 0.000003
pr_000744049,0.456642, 0.000003
pr_000556084,0.456642, 0.000003
pr_000834133,0.456642, 0.000003
pr_001131974,0.456642, 0.000003
pr_000334935,0.456642, 0.000003
pr_000738541,0.456642, 0.000003
pr_000715563,0.456642, 0.000003
pr_001142480,0.456642, 0.000003
pr_000838430,0.456642, 0.000003
pr_002226124,0.456642, 0.000003
pr_002172885,0.456642, 0.000003
pr_001823927,0.456642, 0.000003
pr_001068406,0.456642, 0.000003
pr_000185987,0.456642, 0.000003
pr_000913712,0.456642, 0.000003
pr_002064822,0.456642, 0.000003
pr_000012205,0.456642, 0.000004
pr_000331345,0.456642, 0.000004
