Product ID : 991 # of JPs covered : 1 : 87 : Energy, 
pr_000974154,0.977465, 0.000536
pr_000163892,0.977465, 0.000809
us_000526647,0.977465, 0.001171
pr_000177035,0.977465, 0.001662
us_000514295,0.977465, 0.003469
pr_001054958,0.977465, 0.005794
us_000572203,0.977465, 0.006421
us_000592774,0.977465, 0.010696
us_000470747,0.977465, 0.012642
us_000485778,0.977465, 0.066994
us_000477297,0.977465, 1.125872
us_000318376,0.977465, 1.143980
us_000491477,0.977465, 1.269838
us_000488108,0.977465, 1.275374
us_000471786,0.977465, 1.329634
us_000490000,0.977465, 1.398062
us_000523120,0.977465, 1.405536
us_000480087,0.977465, 1.408482
us_000483218,0.977465, 1.424756
us_000470970,0.977465, 1.438184
us_000473439,0.977465, 1.438388
us_000518878,0.977465, 1.449254
us_000501090,0.977465, 1.492857
us_000519446,0.977465, 1.495565
us_000527328,0.977465, 1.533592
us_000467765,0.977465, 1.544650
us_000525975,0.977465, 1.579762
us_000495445,0.977465, 1.588972
us_000563913,0.945478, 0.000000
us_000500623,0.945478, 0.000000
us_000495935,0.945478, 0.000000
pr_000618132,0.945478, 0.000007
pr_001059081,0.945478, 0.000019
us_000487072,0.945478, 0.003240
pr_000653891,0.945478, 0.003555
us_000469261,0.945478, 0.021301
us_000472628,0.945478, 0.023399
us_000486296,0.945478, 1.255143
us_000554403,0.945478, 1.354187
us_000450965,0.945478, 1.397169
us_000228501,0.945478, 1.448989
us_000117504,0.945478, 1.497065
us_000508897,0.945478, 1.512733
us_000559000,0.945478, 1.573284
us_000591526,0.945478, 1.622000
pr_000183200,0.942743, 0.000000
us_000534935,0.942743, 0.000001
pr_000869542,0.942743, 0.000006
us_000538794,0.942743, 0.000007
us_000539730,0.942743, 0.000007
us_000467317,0.942743, 0.000007
pr_000974992,0.942743, 0.000018
us_000598937,0.942743, 0.000018
us_000574328,0.942743, 0.000041
us_000465085,0.942743, 0.000046
us_000465630,0.942743, 0.000046
us_000466418,0.942743, 0.000046
us_000463978,0.942743, 0.000046
us_000461294,0.942743, 0.000046
us_000459887,0.942743, 0.000046
us_000473937,0.942743, 0.000046
us_000465620,0.942743, 0.000046
us_000498340,0.942743, 0.000258
us_000480822,0.942743, 0.013166
us_000526109,0.942743, 0.034102
us_000509202,0.942743, 0.116603
us_000520611,0.942743, 0.869587
us_000562335,0.942743, 0.895487
us_000369086,0.942743, 0.923932
us_000498899,0.942743, 0.925308
us_000377048,0.942743, 0.975386
us_000486814,0.942743, 0.993582
us_000503097,0.942743, 0.994226
us_000602217,0.942743, 1.001628
us_000616202,0.942743, 1.012740
us_000520159,0.942743, 1.022259
us_000486795,0.942743, 1.024922
us_000503896,0.942743, 1.032528
us_000494223,0.942743, 1.037045
us_000597286,0.942743, 1.038160
us_000562171,0.942743, 1.040124
us_000492464,0.942743, 1.044406
us_000486717,0.942743, 1.050142
us_000584148,0.942743, 1.052393
us_000507824,0.942743, 1.053299
us_000492463,0.942743, 1.064253
us_000522993,0.942743, 1.091084
us_000481158,0.942743, 1.091757
us_000594439,0.942743, 1.092199
us_000463944,0.942743, 1.096649
us_000419974,0.942743, 1.096649
us_000469853,0.942743, 1.102910
us_000551187,0.942743, 1.110655
us_000472571,0.942743, 1.122892
us_000502185,0.942743, 1.124655
us_000465190,0.942743, 1.141383
us_000485534,0.942743, 1.149941
us_000568522,0.942743, 1.156421
us_000606089,0.942743, 1.157519
us_000461224,0.942743, 1.161246
us_000520911,0.942743, 1.162594
us_000592616,0.942743, 1.163409
us_000519976,0.942743, 1.163440
us_000485012,0.942743, 1.166646
us_000503642,0.942743, 1.177638
us_000522226,0.942743, 1.177638
us_000505372,0.942743, 1.177638
us_000522531,0.942743, 1.177638
us_000521200,0.942743, 1.177638
us_000498194,0.942743, 1.177638
us_000522858,0.942743, 1.177638
us_000502646,0.942743, 1.177638
us_000502841,0.942743, 1.177638
us_000521943,0.942743, 1.177638
us_000521810,0.942743, 1.177638
us_000548776,0.942743, 1.177890
us_000480323,0.942743, 1.178122
us_000470554,0.942743, 1.184468
us_000599186,0.942743, 1.185847
us_000551666,0.942743, 1.186359
us_000506920,0.942743, 1.187054
us_000592125,0.942743, 1.193075
us_000342764,0.942743, 1.211688
us_000606218,0.942743, 1.213560
us_000565292,0.942743, 1.229543
us_000569215,0.942743, 1.267665
us_000489696,0.942743, 1.289272
us_000503777,0.942743, 1.507174
pr_001678735,0.942713, 0.000000
pr_000288235,0.942713, 0.000043
pr_000607463,0.942713, 0.000084
pr_000809852,0.942713, 0.000126
pr_000905270,0.942713, 0.000455
pr_001005492,0.942713, 0.000455
us_000461151,0.942713, 0.000533
pr_000761829,0.942713, 0.000611
us_000460374,0.942713, 0.001571
us_000460700,0.942713, 0.009224
us_000497105,0.942713, 0.015819
pr_000933709,0.942713, 0.993959
us_000531559,0.937166, 0.000043
pr_000617774,0.937166, 0.000261
us_000521579,0.937166, 0.355297
us_000521788,0.937166, 2.008287
pr_001409340,0.933191, 0.000000
pr_001707527,0.933191, 0.000000
pr_001616583,0.933191, 0.000000
pr_001724022,0.933191, 0.000000
pr_000103591,0.933191, 0.000000
pr_000407720,0.933191, 0.000000
pr_001405015,0.933191, 0.000000
pr_001743439,0.933191, 0.000000
pr_000114618,0.933191, 0.000000
pr_001410935,0.933191, 0.000000
pr_001408284,0.933191, 0.000000
pr_001593037,0.933191, 0.000000
pr_001018731,0.933191, 0.000000
pr_001403854,0.933191, 0.000000
pr_001616939,0.933191, 0.000000
pr_001748853,0.933191, 0.000000
pr_000408363,0.933191, 0.000000
pr_001411033,0.933191, 0.000000
pr_001411061,0.933191, 0.000000
pr_000608772,0.933191, 0.000000
pr_000814675,0.933191, 0.000000
pr_001406595,0.933191, 0.000000
pr_000668907,0.933191, 0.000000
pr_000850361,0.933191, 0.000000
pr_001404539,0.933191, 0.000000
pr_002230875,0.933191, 0.000001
us_000513324,0.933191, 0.000002
us_000587129,0.933191, 0.000018
us_000571375,0.933191, 0.000357
us_000487584,0.933191, 0.008830
us_000380733,0.933191, 0.011650
us_000531557,0.933191, 0.043594
us_000540539,0.933191, 0.059178
us_000473201,0.933191, 1.079837
us_000522360,0.933191, 1.089025
us_000500339,0.933191, 1.265846
us_000522822,0.911695, 0.000002
us_000534061,0.911695, 0.000095
us_000565808,0.911695, 0.000733
us_000569514,0.911695, 0.010345
pr_001637873,0.828868, 0.000000
pr_001056395,0.828868, 0.000000
pr_001389488,0.828868, 0.000000
pr_001856557,0.828868, 0.000000
pr_002081624,0.828868, 0.000000
pr_001834760,0.828868, 0.000000
pr_000852862,0.828868, 0.000000
pr_000374821,0.828868, 0.000000
pr_000508093,0.828868, 0.000000
pr_000386626,0.828868, 0.000000
pr_001035318,0.828868, 0.000000
pr_001034759,0.828868, 0.000000
us_000485407,0.828868, 0.000000
us_000368073,0.828868, 0.000000
us_000545215,0.828868, 0.000000
us_000545830,0.828868, 0.000000
us_000595328,0.828868, 0.000000
us_000600708,0.828868, 0.000000
us_000614397,0.828868, 0.000000
us_000593063,0.828868, 0.000000
us_000486578,0.828868, 0.000000
pr_000640761,0.828868, 0.000001
pr_001707235,0.828868, 0.000001
pr_002096413,0.828868, 0.000002
pr_001907296,0.828868, 0.000002
pr_002124599,0.828868, 0.000002
pr_002052247,0.828868, 0.000002
us_000492420,0.828868, 0.000002
us_000523168,0.828868, 0.000002
us_000474079,0.828868, 0.000003
us_000461610,0.828868, 0.000003
us_000489434,0.828868, 0.000003
us_000479998,0.828868, 0.000003
us_000194359,0.828868, 0.000003
us_000460963,0.828868, 0.000003
us_000494695,0.828868, 0.000004
us_000495487,0.828868, 0.000004
us_000201775,0.828868, 0.000004
us_000516990,0.828868, 0.000004
us_000517625,0.828868, 0.000004
us_000492919,0.828868, 0.000004
us_000599070,0.828868, 0.000004
us_000615042,0.828868, 0.000004
us_000496698,0.828868, 0.000004
us_000513952,0.828868, 0.000004
us_000590120,0.828868, 0.000004
us_000552602,0.828868, 0.000004
us_000516250,0.828868, 0.000004
us_000616107,0.828868, 0.000004
us_000599090,0.828868, 0.000004
us_000533665,0.828868, 0.000004
us_000588060,0.828868, 0.000004
us_000486918,0.828868, 0.000004
us_000584695,0.828868, 0.000004
us_000606697,0.828868, 0.000004
pr_002084756,0.828868, 0.000008
pr_002116388,0.828868, 0.000008
pr_001663930,0.828868, 0.000008
pr_002083870,0.828868, 0.000008
pr_001664698,0.828868, 0.000008
pr_001756731,0.828868, 0.000008
pr_002112608,0.828868, 0.000008
pr_002113896,0.828868, 0.000008
pr_001977699,0.828868, 0.000008
pr_002082318,0.828868, 0.000008
us_000518578,0.828868, 0.000009
us_000564488,0.828868, 0.000014
pr_001665830,0.828868, 0.000015
pr_001966384,0.828868, 0.000015
us_000482131,0.828868, 0.000017
us_000484015,0.828868, 0.000021
us_000516965,0.828868, 0.000028
us_000520693,0.828868, 0.000028
us_000514447,0.828868, 0.000028
us_000589697,0.828868, 0.000028
us_000510848,0.828868, 0.000028
us_000534279,0.828868, 0.000028
us_000598108,0.828868, 0.000028
us_000615491,0.828868, 0.000028
us_000577257,0.828868, 0.000028
us_000487024,0.828868, 0.000028
us_000538400,0.828868, 0.000028
us_000491600,0.828868, 0.000028
us_000527025,0.828868, 0.000028
us_000520559,0.828868, 0.000028
us_000528908,0.828868, 0.000030
pr_002110409,0.828868, 0.000036
pr_002086675,0.828868, 0.000038
pr_001397154,0.828868, 0.000038
pr_002111460,0.828868, 0.000038
pr_002212401,0.828868, 0.000038
pr_002086141,0.828868, 0.000045
pr_002094124,0.828868, 0.000051
us_000488049,0.828868, 0.000063
us_000538170,0.828868, 0.000063
us_000489655,0.828868, 0.000063
us_000500073,0.828868, 0.000063
us_000557284,0.828868, 0.000063
us_000563128,0.828868, 0.000063
us_000527054,0.828868, 0.000073
us_000599169,0.828868, 0.000073
us_000496329,0.828868, 0.000073
us_000494142,0.828868, 0.000073
us_000579464,0.828868, 0.000073
us_000611885,0.828868, 0.000073
us_000503255,0.828868, 0.000073
pr_001054185,0.828868, 0.000073
pr_000937983,0.828868, 0.000073
us_000506203,0.828868, 0.000073
us_000502713,0.828868, 0.000073
us_000590707,0.828868, 0.000079
us_000590860,0.828868, 0.000079
us_000590578,0.828868, 0.000079
us_000590644,0.828868, 0.000079
us_000497758,0.828868, 0.000079
us_000590550,0.828868, 0.000079
us_000590556,0.828868, 0.000079
us_000590747,0.828868, 0.000079
us_000590563,0.828868, 0.000079
us_000590845,0.828868, 0.000079
us_000537656,0.828868, 0.000079
us_000590714,0.828868, 0.000079
us_000573157,0.828868, 0.000079
us_000590850,0.828868, 0.000079
us_000590645,0.828868, 0.000079
us_000590529,0.828868, 0.000079
us_000590841,0.828868, 0.000079
us_000590657,0.828868, 0.000079
us_000529735,0.828868, 0.000079
us_000590743,0.828868, 0.000079
us_000545005,0.828868, 0.000079
us_000526887,0.828868, 0.000079
us_000590829,0.828868, 0.000079
us_000540032,0.828868, 0.000079
us_000590779,0.828868, 0.000079
us_000590715,0.828868, 0.000079
us_000590718,0.828868, 0.000079
us_000590595,0.828868, 0.000079
us_000590580,0.828868, 0.000079
us_000562222,0.828868, 0.000079
us_000590834,0.828868, 0.000079
us_000590515,0.828868, 0.000079
us_000590765,0.828868, 0.000079
us_000544061,0.828868, 0.000079
us_000541137,0.828868, 0.000079
us_000590748,0.828868, 0.000079
us_000544683,0.828868, 0.000079
us_000590831,0.828868, 0.000079
us_000590822,0.828868, 0.000079
us_000590647,0.828868, 0.000079
us_000590561,0.828868, 0.000079
us_000590525,0.828868, 0.000079
us_000524609,0.828868, 0.000079
us_000573979,0.828868, 0.000083
us_000505885,0.828868, 0.000085
us_000567203,0.828868, 0.000099
pr_001660950,0.828868, 0.000099
us_000504555,0.828868, 0.000139
us_000585880,0.828868, 0.000139
us_000582171,0.828868, 0.000139
us_000542316,0.828868, 0.000139
us_000484477,0.828868, 0.000139
us_000499443,0.828868, 0.000139
us_000535772,0.828868, 0.000157
us_000174850,0.828868, 0.000160
us_000519007,0.828868, 0.000230
us_000489249,0.828868, 0.000240
us_000295517,0.828868, 0.000282
us_000465191,0.828868, 0.000291
us_000571428,0.828868, 0.000292
us_000484246,0.828868, 0.000344
us_000580089,0.828868, 0.000396
us_000519516,0.828868, 0.000443
us_000583768,0.828868, 0.000527
pr_000908124,0.828868, 0.000542
pr_000908130,0.828868, 0.000590
us_000549457,0.828868, 0.000616
us_000576071,0.828868, 0.000620
us_000589100,0.828868, 0.000635
pr_001036942,0.828868, 0.000639
us_000544731,0.828868, 0.000989
us_000557977,0.828868, 0.001038
us_000599871,0.828868, 0.001168
us_000611278,0.828868, 0.001203
us_000538591,0.828868, 0.001208
us_000507286,0.828868, 0.001251
us_000557127,0.828868, 0.001344
us_000548745,0.828868, 0.001489
us_000526568,0.828868, 0.001489
us_000556808,0.828868, 0.001496
us_000485552,0.828868, 0.001502
us_000522825,0.828868, 0.001538
us_000480574,0.828868, 0.001587
us_000537067,0.828868, 0.001594
us_000552871,0.828868, 0.001635
us_000512072,0.828868, 0.001832
us_000550459,0.828868, 0.001980
us_000549257,0.828868, 0.001992
pr_000226350,0.828868, 0.002099
us_000513899,0.828868, 0.002139
us_000561752,0.828868, 0.002253
us_000523157,0.828868, 0.002300
us_000494764,0.828868, 0.002344
us_000547195,0.828868, 0.002362
us_000524701,0.828868, 0.002398
us_000509043,0.828868, 0.002404
us_000539645,0.828868, 0.002438
us_000502020,0.828868, 0.002540
us_000566825,0.828868, 0.002605
us_000569854,0.828868, 0.002613
us_000532976,0.828868, 0.002713
us_000503893,0.828868, 0.002744
us_000542141,0.828868, 0.002824
us_000587580,0.828868, 0.003131
us_000526915,0.828868, 0.003168
us_000517459,0.828868, 0.003339
us_000556308,0.828868, 0.003365
us_000556336,0.828868, 0.003387
us_000500890,0.828868, 0.003388
us_000528763,0.828868, 0.003404
us_000532685,0.828868, 0.003502
us_000555484,0.828868, 0.003834
us_000563129,0.828868, 0.003848
us_000536785,0.828868, 0.003867
us_000577786,0.828868, 0.003874
us_000502708,0.828868, 0.004254
us_000526235,0.828868, 0.004254
us_000613996,0.828868, 0.004301
us_000519307,0.828868, 0.004308
us_000615725,0.828868, 0.004393
us_000595829,0.828868, 0.004394
us_000493854,0.828868, 0.004728
us_000492738,0.828868, 0.005030
us_000507371,0.828868, 0.006164
us_000564469,0.828868, 0.007449
us_000531346,0.828868, 0.008269
us_000563492,0.828868, 0.008638
us_000504595,0.828868, 0.009768
us_000528902,0.828868, 0.010292
us_000511335,0.828868, 0.011310
us_000540033,0.828868, 0.013401
us_000480975,0.828868, 0.016102
us_000605586,0.828868, 0.017546
us_000572498,0.828868, 0.019420
us_000535388,0.828868, 0.020265
us_000458704,0.828868, 0.021262
us_000486755,0.828868, 0.024909
us_000501411,0.828868, 0.029463
us_000572839,0.828868, 0.029629
us_000472038,0.828868, 0.030349
us_000497723,0.828868, 0.030859
us_000494579,0.828868, 0.032041
us_000481242,0.828868, 0.034038
us_000562930,0.828868, 0.034880
us_000530025,0.828868, 0.036607
us_000500589,0.828868, 0.040333
us_000478796,0.828868, 0.040442
us_000593309,0.828868, 0.042399
us_000592043,0.828868, 0.049421
us_000579054,0.828868, 0.055969
us_000516082,0.828868, 0.066339
us_000302679,0.828868, 0.066877
us_000547362,0.828868, 0.067653
us_000528730,0.828868, 0.068764
us_000560083,0.828868, 0.082274
us_000488361,0.828868, 0.092010
us_000496235,0.828868, 0.093503
us_000514614,0.828868, 0.093786
us_000473904,0.828868, 0.104884
us_000526920,0.828868, 0.114898
us_000471174,0.828868, 0.190850
us_000550323,0.828868, 0.191377
us_000508259,0.828868, 0.262400
us_000578042,0.823758, 0.000000
us_000586673,0.823758, 0.000000
us_000604804,0.823758, 0.000000
us_000584909,0.823758, 0.000000
us_000600176,0.823758, 0.000000
us_000546096,0.823758, 0.000000
us_000586055,0.823758, 0.000000
us_000529022,0.823758, 0.000000
us_000556872,0.823758, 0.000000
us_000528043,0.823758, 0.000000
us_000578888,0.823758, 0.000000
us_000528463,0.823758, 0.000000
us_000586053,0.823758, 0.000000
us_000606724,0.823758, 0.000000
us_000558716,0.823758, 0.000000
us_000600189,0.823758, 0.000000
us_000578681,0.823758, 0.000000
us_000614903,0.823758, 0.000000
us_000529944,0.823758, 0.000000
us_000555030,0.823758, 0.000000
us_000593003,0.823758, 0.000000
us_000600362,0.823758, 0.000000
us_000594945,0.823758, 0.000000
us_000572275,0.823758, 0.000000
pr_001702580,0.823758, 0.000000
pr_000735359,0.823758, 0.000000
pr_001753027,0.823758, 0.000000
pr_001720986,0.823758, 0.000000
pr_002206423,0.823758, 0.000000
pr_002219354,0.823758, 0.000000
pr_002219174,0.823758, 0.000000
pr_001659615,0.823758, 0.000000
pr_002113139,0.823758, 0.000000
pr_002137183,0.823758, 0.000000
pr_000998664,0.823758, 0.000000
pr_000398873,0.823758, 0.000000
pr_001988076,0.823758, 0.000000
pr_001095224,0.823758, 0.000000
pr_002079803,0.823758, 0.000000
pr_002168209,0.823758, 0.000000
pr_001875940,0.823758, 0.000000
pr_002157461,0.823758, 0.000000
pr_002197744,0.823758, 0.000000
pr_000380080,0.823758, 0.000000
pr_002082042,0.823758, 0.000000
pr_002077018,0.823758, 0.000000
pr_002084836,0.823758, 0.000000
pr_002233560,0.823758, 0.000000
pr_000902044,0.823758, 0.000000
pr_002056324,0.823758, 0.000000
pr_002093370,0.823758, 0.000000
pr_002210105,0.823758, 0.000000
pr_001737179,0.823758, 0.000000
pr_000873226,0.823758, 0.000000
pr_001968687,0.823758, 0.000000
pr_002159714,0.823758, 0.000000
pr_001987437,0.823758, 0.000000
pr_000897168,0.823758, 0.000000
pr_001732892,0.823758, 0.000000
pr_002082021,0.823758, 0.000000
pr_002144286,0.823758, 0.000000
pr_002172955,0.823758, 0.000000
pr_002069980,0.823758, 0.000000
pr_001926681,0.823758, 0.000000
pr_001664602,0.823758, 0.000000
pr_002058183,0.823758, 0.000000
pr_002199044,0.823758, 0.000000
pr_002173841,0.823758, 0.000000
pr_002096421,0.823758, 0.000000
pr_002111489,0.823758, 0.000000
pr_002077582,0.823758, 0.000000
pr_001665231,0.823758, 0.000000
pr_002114194,0.823758, 0.000000
pr_001699276,0.823758, 0.000000
pr_001845821,0.823758, 0.000000
pr_001406876,0.823758, 0.000000
us_000595950,0.823758, 0.000005
us_000522075,0.823758, 0.000005
us_000257941,0.823758, 0.000005
us_000464764,0.823758, 0.000005
us_000495336,0.823758, 0.000005
us_000514973,0.823758, 0.000005
pr_000094828,0.823758, 0.000006
us_000524555,0.823758, 0.000006
pr_001149756,0.823758, 0.000009
pr_001134261,0.823758, 0.000009
pr_000873761,0.823758, 0.000014
us_000460734,0.823758, 0.000015
pr_000892724,0.823758, 0.000015
pr_000893738,0.823758, 0.000016
pr_000718454,0.823758, 0.000018
us_000354198,0.823758, 0.000030
us_000372093,0.823758, 0.000030
us_000489162,0.823758, 0.000030
us_000465434,0.823758, 0.000032
pr_001155052,0.823758, 0.000051
pr_001621737,0.823758, 0.000051
pr_000386786,0.823758, 0.000051
pr_000597223,0.823758, 0.000051
pr_001158641,0.823758, 0.000051
pr_000510914,0.823758, 0.000051
pr_001156807,0.823758, 0.000051
pr_000389354,0.823758, 0.000051
pr_000375581,0.823758, 0.000051
pr_000592536,0.823758, 0.000056
us_000491469,0.823758, 0.000084
us_000546536,0.823758, 0.000195
us_000524537,0.823758, 0.000209
us_000528525,0.823758, 0.000283
us_000575868,0.823758, 0.001216
us_000512693,0.823758, 0.001355
us_000471418,0.823758, 0.001459
pr_001022708,0.823758, 0.001666
us_000568999,0.823758, 0.002910
us_000506679,0.823758, 0.006689
us_000505021,0.823758, 0.008001
us_000485001,0.823758, 0.010282
us_000550494,0.823758, 0.011400
us_000563388,0.823758, 0.011852
us_000600406,0.823758, 0.012203
us_000485516,0.823758, 0.012496
us_000483239,0.823758, 0.056242
us_000595593,0.823758, 0.131385
pr_001326479,0.823758, 0.986497
pr_001922253,0.773033, 0.000000
pr_001737257,0.773033, 0.000000
pr_002127902,0.773033, 0.000000
pr_000973253,0.773033, 0.000000
pr_001674865,0.773033, 0.000000
pr_000562728,0.773033, 0.000000
pr_001751011,0.773033, 0.000000
pr_000610612,0.773033, 0.000000
pr_000993432,0.773033, 0.000002
pr_000022536,0.773033, 0.000003
pr_001601780,0.773033, 0.000040
pr_000227216,0.773033, 0.000107
pr_000249415,0.773033, 0.000147
us_000125268,0.773033, 0.003493
us_000508969,0.773033, 0.828452
us_000546652,0.748237, 0.000020
us_000568424,0.748237, 0.000262
us_000502252,0.748237, 0.005924
us_000565146,0.748237, 0.006381
us_000492682,0.748237, 0.008380
us_000498289,0.748237, 0.008399
us_000492579,0.748237, 0.013487
us_000536808,0.748237, 0.014623
us_000499768,0.748237, 0.053934
us_000498650,0.748237, 0.165993
us_000584249,0.748237, 0.433171
us_000567107,0.748237, 0.464932
us_000502749,0.748237, 0.467035
us_000586642,0.748237, 0.478403
us_000581345,0.748237, 0.519861
us_000595697,0.748237, 0.532644
us_000485819,0.748237, 0.537513
us_000117265,0.748237, 0.542400
us_000489271,0.748237, 0.551801
us_000486065,0.748237, 0.580324
us_000502890,0.748237, 0.584808
us_000550182,0.748237, 0.595985
us_000498756,0.748237, 0.599869
us_000598849,0.748237, 0.619841
us_000614534,0.748237, 0.632143
us_000575642,0.748237, 0.663852
pr_000728726,0.731271, 0.000000
pr_000001129,0.731271, 0.000138
us_000317920,0.731271, 0.000941
pr_000416917,0.712837, 0.000000
pr_000021577,0.712837, 0.000000
pr_001399190,0.712837, 0.000000
us_000496920,0.712837, 0.000000
pr_000925767,0.712837, 0.000000
us_000519151,0.712837, 0.000000
us_000587231,0.712837, 0.000001
us_000539657,0.712837, 0.000001
us_000518123,0.712837, 0.000003
us_000533157,0.712837, 0.000003
us_000464976,0.712837, 0.000003
us_000463092,0.712837, 0.000003
us_000518750,0.712837, 0.000003
us_000523737,0.712837, 0.000003
us_000459542,0.712837, 0.000003
pr_000584329,0.712837, 0.000004
us_000474048,0.712837, 0.000029
us_000462019,0.712837, 0.000029
us_000471448,0.712837, 0.000029
us_000466386,0.712837, 0.000029
us_000541963,0.712837, 0.000029
us_000467681,0.712837, 0.000029
us_000458466,0.712837, 0.000029
us_000589005,0.712837, 0.000029
us_000467675,0.712837, 0.000029
us_000459232,0.712837, 0.000029
us_000474850,0.712837, 0.000029
us_000468411,0.712837, 0.000029
us_000474939,0.712837, 0.000029
us_000458465,0.712837, 0.000029
us_000467863,0.712837, 0.000029
us_000466508,0.712837, 0.000029
us_000466873,0.712837, 0.000029
us_000471024,0.712837, 0.000029
us_000469164,0.712837, 0.000029
us_000461596,0.712837, 0.000029
us_000466300,0.712837, 0.000029
us_000592397,0.712837, 0.000029
us_000584604,0.712837, 0.000029
us_000592544,0.712837, 0.000029
us_000616636,0.712837, 0.000029
us_000592257,0.712837, 0.000029
pr_001138256,0.712837, 0.000031
pr_001802922,0.712837, 0.000047
pr_001777089,0.712837, 0.000047
us_000513021,0.712837, 0.000050
pr_002121650,0.712837, 0.000055
pr_001801207,0.712837, 0.000055
pr_001785803,0.712837, 0.000063
us_000526716,0.712837, 0.000063
pr_001154845,0.712837, 0.000070
