Product ID : 961 # of JPs covered : 1 : 117 : Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000492155,0.786451, 0.171794
us_000491997,0.786451, 0.172884
us_000492070,0.786451, 0.172884
us_000492733,0.786451, 0.172884
us_000477922,0.786451, 0.173297
us_000491867,0.786451, 0.173909
us_000265933,0.786451, 0.173995
us_000492153,0.786451, 0.174513
us_000492568,0.786451, 0.174603
us_000492308,0.786451, 0.175830
us_000462663,0.786451, 0.175953
us_000492452,0.786451, 0.176002
us_000471148,0.786451, 0.177139
us_000480060,0.786451, 0.177293
us_000565243,0.786451, 0.178197
us_000569678,0.786451, 0.178233
us_000491918,0.786451, 0.178997
us_000014906,0.786451, 0.179556
us_000492499,0.786451, 0.180409
us_000459698,0.786451, 0.180864
us_000492235,0.786451, 0.181574
us_000492176,0.786451, 0.181791
us_000474264,0.786451, 0.181819
us_000491885,0.786451, 0.182136
us_000569888,0.786451, 0.182873
us_000471132,0.786451, 0.183482
us_000516022,0.786451, 0.184181
us_000569653,0.786451, 0.184904
us_000491907,0.786451, 0.184923
us_000516155,0.786451, 0.184980
us_000477237,0.786451, 0.185120
us_000492314,0.786451, 0.185737
us_000569636,0.786451, 0.185804
us_000516329,0.786451, 0.187764
us_000581579,0.786451, 0.188997
us_000515984,0.786451, 0.190014
us_000581599,0.786451, 0.192490
us_000491935,0.786451, 0.194142
us_000477846,0.786451, 0.194361
us_000188042,0.786451, 0.194529
us_000516050,0.786451, 0.196992
us_000474265,0.786451, 0.198305
us_000516088,0.786451, 0.201241
us_000516340,0.786451, 0.202051
us_000492134,0.786451, 0.204574
us_000569735,0.786451, 0.211983
us_000524571,0.786451, 0.212568
us_000516135,0.786451, 0.213807
us_000516038,0.786451, 0.214284
us_000492323,0.786451, 0.218581
us_000494947,0.786451, 0.224763
us_000516365,0.786451, 0.226651
us_000491869,0.786451, 0.227850
us_000492227,0.786451, 0.234348
us_000581565,0.786451, 0.237571
us_000477924,0.786451, 0.238787
us_000492218,0.786451, 0.260420
us_000480063,0.786451, 0.260690
us_000492394,0.786451, 0.263265
us_000477821,0.786451, 0.277702
us_000492530,0.786451, 0.278648
us_000492688,0.786451, 0.279599
us_000477829,0.786451, 0.280800
us_000492069,0.786451, 0.283758
us_000492366,0.786451, 0.290017
us_000471159,0.786451, 0.292530
us_000472875,0.786451, 0.305042
us_000492338,0.786451, 0.309478
us_000492169,0.786451, 0.325399
us_000492699,0.786451, 0.769635
us_000591018,0.786451, 1.142269
us_000477701,0.674228, 0.000000
us_000471255,0.674228, 0.000000
us_000465010,0.674228, 0.000000
us_000546150,0.674228, 0.000000
us_000477568,0.674228, 0.000000
us_000473804,0.674228, 0.000000
us_000483285,0.674228, 0.000000
us_000462196,0.674228, 0.000000
us_000465679,0.674228, 0.000000
us_000482181,0.674228, 0.000000
us_000468705,0.674228, 0.000000
us_000589676,0.674228, 0.000000
us_000481797,0.674228, 0.000000
pr_000965922,0.674228, 0.000001
pr_000636023,0.674228, 0.000001
