Product ID : 2076 # of JPs covered : 1 : 96 : General Counsel, 
OID,Confidence at Map Node,Error at Map Node
us_000521017,1.000000, 0.014939
us_000512730,1.000000, 0.016576
us_000549564,1.000000, 0.019039
us_000493793,1.000000, 0.019328
us_000467081,1.000000, 0.019492
us_000494539,1.000000, 0.026205
us_000543086,1.000000, 0.027113
us_000482493,1.000000, 0.027300
us_000472540,1.000000, 0.029587
us_000572991,1.000000, 0.031460
us_000552025,1.000000, 0.033645
us_000550225,1.000000, 0.045625
us_000481044,1.000000, 0.076511
us_000486771,1.000000, 0.080515
us_000609435,1.000000, 0.086977
us_000473216,1.000000, 0.607654
us_000463253,1.000000, 0.652925
us_000483907,1.000000, 0.722223
us_000483822,1.000000, 0.723577
us_000484091,1.000000, 0.812284
us_000484046,1.000000, 0.855185
us_000484111,1.000000, 0.859337
us_000480515,1.000000, 0.897800
pr_001615236,0.757845, 0.000000
pr_000590200,0.757845, 0.000000
pr_000057145,0.757845, 0.000000
pr_001033122,0.757845, 0.000000
pr_000862915,0.757845, 0.000000
pr_000909263,0.757845, 0.000000
pr_001655907,0.757845, 0.000000
pr_000942440,0.757845, 0.000000
pr_001057273,0.757845, 0.000000
pr_000776803,0.757845, 0.000000
pr_001000495,0.757845, 0.000000
pr_000107452,0.757845, 0.000000
us_000503358,0.757845, 0.000001
us_000490323,0.757845, 0.000001
us_000536623,0.757845, 0.000001
us_000494624,0.757845, 0.000001
us_000563462,0.757845, 0.000001
us_000557046,0.757845, 0.000001
us_000562504,0.757845, 0.000001
pr_001140228,0.757845, 0.000002
pr_000712368,0.757845, 0.000002
pr_000739517,0.757845, 0.000002
pr_001611044,0.757845, 0.000002
pr_001660665,0.757845, 0.000003
pr_001064422,0.757845, 0.000008
pr_001687984,0.757845, 0.000008
pr_000299817,0.757845, 0.000008
pr_001131972,0.757845, 0.000008
pr_000756049,0.757845, 0.000008
pr_000764344,0.757845, 0.000008
pr_000512232,0.757845, 0.000008
pr_000554494,0.757845, 0.000008
pr_000584489,0.757845, 0.000008
pr_001033578,0.757845, 0.000008
pr_000190921,0.757845, 0.000008
pr_001698845,0.757845, 0.000008
pr_001094006,0.757845, 0.000008
pr_000831593,0.757845, 0.000008
pr_000750622,0.757845, 0.000008
pr_001050005,0.757845, 0.000008
pr_000832483,0.757845, 0.000008
pr_000727384,0.757845, 0.000008
pr_000598355,0.757845, 0.000008
pr_000027302,0.757845, 0.000008
pr_001694577,0.757845, 0.000008
pr_001401635,0.757845, 0.000008
pr_000917155,0.757845, 0.000008
pr_000910188,0.757845, 0.000008
pr_000512251,0.757845, 0.000008
pr_000950754,0.757845, 0.000008
pr_001050859,0.757845, 0.000008
pr_001628795,0.757845, 0.000008
pr_000173040,0.757845, 0.000008
pr_000176557,0.757845, 0.000008
pr_001029415,0.757845, 0.000008
pr_001692609,0.757845, 0.000008
pr_001813147,0.757845, 0.000008
pr_001059072,0.757845, 0.000008
pr_001680181,0.757845, 0.000008
pr_000020046,0.757845, 0.000008
pr_001038526,0.757845, 0.000008
pr_001029395,0.757845, 0.000008
pr_001408796,0.757845, 0.000008
pr_000954481,0.757845, 0.000008
pr_000821199,0.757845, 0.000008
pr_001112957,0.757845, 0.000008
pr_000180747,0.757845, 0.000008
pr_000952486,0.757845, 0.000008
pr_000227469,0.757845, 0.000010
pr_000897331,0.757845, 0.000011
pr_001586697,0.757845, 0.000011
pr_001583751,0.757845, 0.000011
pr_001655759,0.757845, 0.000012
pr_000648075,0.757845, 0.000012
pr_001004935,0.757845, 0.000013
pr_001017028,0.757845, 0.000013
pr_000652184,0.757845, 0.000013
pr_000284919,0.757845, 0.000014
pr_000014524,0.757845, 0.000015
pr_000730230,0.757845, 0.000016
pr_000592200,0.757845, 0.000016
pr_000223899,0.757845, 0.000016
pr_000588525,0.757845, 0.000016
pr_000983310,0.757845, 0.000016
pr_000814546,0.757845, 0.000016
pr_000313834,0.757845, 0.000018
pr_001654125,0.757845, 0.000018
pr_000742462,0.757845, 0.000018
pr_000896609,0.757845, 0.000018
pr_001637080,0.757845, 0.000018
pr_000588116,0.757845, 0.000018
pr_000993305,0.757845, 0.000019
pr_000849810,0.757845, 0.000020
pr_000977167,0.757845, 0.000020
pr_000344858,0.757845, 0.000020
pr_000638459,0.757845, 0.000021
pr_002231476,0.757845, 0.000022
pr_000433376,0.757845, 0.000023
pr_001703183,0.757845, 0.000024
pr_000970478,0.757845, 0.000026
pr_000344844,0.757845, 0.000030
pr_001703197,0.757845, 0.000038
pr_000238567,0.757845, 0.000047
pr_000011872,0.757845, 0.000047
pr_000216170,0.757845, 0.000047
pr_000158103,0.757845, 0.000049
pr_000347017,0.757845, 0.000051
pr_000223594,0.757845, 0.000052
pr_000933478,0.757845, 0.000054
pr_000284316,0.757845, 0.000054
pr_000378030,0.757845, 0.000058
pr_001412646,0.757845, 0.000058
pr_000573424,0.757845, 0.000060
pr_000701288,0.757845, 0.000060
pr_000587993,0.757845, 0.000060
pr_001062662,0.757845, 0.000060
pr_000892499,0.757845, 0.000060
pr_000952746,0.757845, 0.000060
pr_000950629,0.757845, 0.000060
pr_000076543,0.757845, 0.000063
pr_000987919,0.757845, 0.000064
pr_000334775,0.757845, 0.000065
pr_000630677,0.757845, 0.000065
pr_001020166,0.757845, 0.000066
pr_000765303,0.757845, 0.000066
pr_000275417,0.757845, 0.000077
pr_001062215,0.757845, 0.000085
pr_000657892,0.757845, 0.000093
pr_001635845,0.757845, 0.000094
pr_001085608,0.757845, 0.000095
pr_000572699,0.757845, 0.000097
us_000496214,0.757845, 0.000098
us_000528468,0.757845, 0.000098
pr_000906261,0.757845, 0.000099
pr_000767258,0.757845, 0.000099
pr_001021412,0.757845, 0.000099
pr_000859187,0.757845, 0.000099
pr_000587753,0.757845, 0.000099
pr_000652588,0.757845, 0.000099
pr_000295787,0.757845, 0.000099
pr_000866493,0.757845, 0.000099
pr_000733255,0.757845, 0.000099
pr_000744454,0.757845, 0.000099
pr_000981054,0.757845, 0.000099
pr_000712513,0.757845, 0.000099
pr_000930952,0.757845, 0.000099
pr_000927686,0.757845, 0.000099
pr_000899190,0.757845, 0.000099
pr_000020392,0.757845, 0.000101
pr_000167835,0.757845, 0.000111
pr_000003684,0.757845, 0.000114
pr_000591789,0.757845, 0.000119
pr_000012601,0.757845, 0.000121
pr_000582136,0.757845, 0.000125
pr_000702551,0.757845, 0.000125
pr_000002220,0.757845, 0.000131
pr_000591473,0.757845, 0.000133
us_000496463,0.757845, 0.000133
pr_000733572,0.757845, 0.000134
pr_000206994,0.757845, 0.000142
pr_000709391,0.757845, 0.000143
pr_000714561,0.757845, 0.000143
us_000546146,0.757845, 0.000144
pr_000578745,0.757845, 0.000145
pr_000869563,0.757845, 0.000146
pr_000209537,0.757845, 0.000148
pr_000584809,0.757845, 0.000156
pr_000536266,0.757845, 0.000159
pr_000116219,0.757845, 0.000172
pr_000626320,0.757845, 0.000183
pr_000165173,0.757845, 0.000186
pr_000829422,0.757845, 0.000195
pr_000598072,0.757845, 0.000200
pr_000588725,0.757845, 0.000206
pr_000332649,0.757845, 0.000206
pr_000191165,0.757845, 0.000224
pr_000705376,0.757845, 0.000239
pr_000717531,0.757845, 0.000252
pr_002126693,0.757845, 0.000277
us_000526261,0.757845, 0.000304
pr_001388634,0.757845, 0.000331
pr_001590678,0.757845, 0.000331
pr_000723769,0.757845, 0.000331
us_000541192,0.757845, 0.000348
us_000615134,0.757845, 0.000356
pr_001814538,0.757845, 0.000374
pr_000592952,0.757845, 0.000431
us_000476507,0.757845, 0.000438
us_000361429,0.757845, 0.000499
us_000528484,0.757845, 0.000546
pr_001076698,0.757845, 0.000605
us_000559043,0.757845, 0.000634
us_000558593,0.757845, 0.000762
pr_001658634,0.757845, 0.000771
us_000517536,0.757845, 0.000827
pr_000632305,0.757845, 0.000911
pr_000729601,0.757845, 0.000943
pr_000951909,0.757845, 0.000969
pr_000587972,0.757845, 0.001413
us_000592891,0.757845, 0.001430
us_000568600,0.757845, 0.003367
us_000474881,0.757845, 0.004047
pr_000710830,0.757845, 0.006290
pr_001105557,0.757845, 0.006563
us_000487119,0.757845, 0.009101
us_000567456,0.757845, 0.009693
us_000483472,0.757845, 0.010504
us_000607445,0.757845, 0.013712
us_000575838,0.757845, 0.018696
us_000549156,0.757845, 0.019100
us_000543909,0.757845, 0.021662
us_000494814,0.757845, 0.022122
pr_000888386,0.757845, 0.027904
us_000202203,0.757845, 0.039123
us_000530205,0.757845, 0.046045
us_000503596,0.757845, 0.046560
us_000484161,0.757845, 0.061247
us_000379696,0.757845, 0.070905
us_000490782,0.757845, 0.100420
us_000466349,0.754422, 0.000000
us_000473790,0.754422, 0.000000
us_000303709,0.754422, 0.000001
us_000469486,0.754422, 0.000001
us_000156841,0.754422, 0.000001
us_000463768,0.754422, 0.000001
us_000573020,0.754422, 0.000001
us_000573909,0.754422, 0.000004
pr_000079608,0.754422, 0.000005
us_000585605,0.754422, 0.000007
us_000573140,0.754422, 0.000007
pr_000404829,0.754422, 0.000012
us_000598793,0.754422, 0.000033
us_000598440,0.754422, 0.000037
us_000534300,0.754422, 0.000037
us_000576189,0.754422, 0.000049
us_000608716,0.754422, 0.000050
us_000544181,0.754422, 0.000051
us_000512876,0.754422, 0.000085
us_000573007,0.754422, 0.000086
us_000494197,0.754422, 0.000125
us_000594162,0.754422, 0.000132
us_000575666,0.754422, 0.000174
us_000609677,0.754422, 0.000174
us_000612610,0.754422, 0.000174
us_000575638,0.754422, 0.000206
us_000614323,0.754422, 0.000271
us_000520852,0.754422, 0.000400
us_000558119,0.754422, 0.000528
us_000560624,0.754422, 0.000532
pr_000781312,0.754422, 0.000624
us_000484931,0.754422, 0.000649
us_000530829,0.754422, 0.000754
us_000475082,0.754422, 0.000984
us_000481981,0.754422, 0.001000
pr_000870990,0.754422, 0.001134
pr_000995910,0.754422, 0.001145
pr_000761767,0.754422, 0.001159
us_000521308,0.754422, 0.001175
us_000475344,0.754422, 0.001194
us_000237905,0.754422, 0.001427
pr_000730660,0.754422, 0.001797
us_000495681,0.754422, 0.001920
us_000495704,0.754422, 0.002281
us_000572819,0.754422, 0.002359
pr_000711305,0.754422, 0.003005
us_000549721,0.754422, 0.003012
us_000574915,0.754422, 0.005378
us_000610683,0.754422, 0.005594
us_000502361,0.754422, 0.005897
us_000543719,0.754422, 0.005915
us_000472188,0.754422, 0.006003
us_000601388,0.754422, 0.006239
us_000564569,0.754422, 0.006273
us_000479599,0.754422, 0.006453
us_000528302,0.754422, 0.006713
us_000570784,0.754422, 0.007103
us_000465483,0.754422, 0.007738
us_000609973,0.754422, 0.008252
us_000615727,0.754422, 0.008633
us_000481122,0.754422, 0.008743
us_000208453,0.754422, 0.009089
us_000583919,0.754422, 0.009421
us_000547523,0.754422, 0.010015
us_000474721,0.754422, 0.011572
us_000471996,0.754422, 0.012203
us_000571530,0.754422, 0.013782
us_000490785,0.754422, 0.015482
us_000518590,0.754422, 0.016845
us_000484163,0.754422, 0.017634
us_000509451,0.754422, 0.021863
us_000476752,0.754422, 0.022566
us_000542371,0.754422, 0.022673
us_000530143,0.754422, 0.023960
us_000482129,0.754422, 0.025483
us_000559945,0.754422, 0.030250
us_000535249,0.754422, 0.030439
us_000532629,0.754422, 0.030603
us_000518627,0.754422, 0.033678
us_000598459,0.754422, 0.035646
us_000550965,0.754422, 0.044354
us_000486631,0.754422, 0.044869
us_000438948,0.754422, 0.050431
us_000482174,0.754422, 0.051804
us_000502261,0.754422, 0.051888
us_000496930,0.754422, 0.053924
us_000536520,0.754422, 0.054848
us_000573029,0.754422, 0.059062
us_000534351,0.754422, 0.061083
us_000530410,0.754422, 0.064068
us_000490325,0.754422, 0.073004
us_000488565,0.754422, 0.093939
us_000463994,0.754422, 0.111076
us_000477008,0.754422, 0.134984
us_000478037,0.754422, 0.188434
us_000552479,0.754422, 0.217430
us_000459126,0.754422, 0.414658
us_000557515,0.754422, 0.675409
us_000473084,0.754422, 0.900366
pr_000002677,0.633970, 0.000000
us_000521000,0.633970, 0.000000
us_000559959,0.633970, 0.000000
us_000497482,0.633970, 0.000000
us_000533018,0.633970, 0.000000
us_000542825,0.633970, 0.000000
pr_000001671,0.633970, 0.000001
pr_000006269,0.633970, 0.000001
us_000542672,0.633970, 0.000002
pr_000124402,0.633970, 0.000002
us_000498365,0.633970, 0.000003
pr_001093832,0.633970, 0.000005
us_000498058,0.633970, 0.000013
pr_000894012,0.633970, 0.000014
pr_000607364,0.633970, 0.000030
us_000562377,0.633970, 0.000034
us_000597270,0.633970, 0.000040
us_000588588,0.633970, 0.000056
pr_000776562,0.633970, 0.000061
pr_000712830,0.633970, 0.000061
pr_000721346,0.633970, 0.000081
us_000486126,0.633970, 0.000089
us_000575586,0.633970, 0.000101
pr_000777040,0.633970, 0.000105
us_000581503,0.633970, 0.000116
us_000613731,0.633970, 0.000121
us_000598535,0.633970, 0.000121
us_000580983,0.633970, 0.000121
us_000608307,0.633970, 0.000121
us_000613729,0.633970, 0.000121
us_000615461,0.633970, 0.000121
us_000582242,0.633970, 0.000133
us_000529304,0.633970, 0.000134
us_000590417,0.633970, 0.000147
pr_000293422,0.633970, 0.000168
us_000600196,0.633970, 0.000179
pr_000184005,0.633970, 0.000417
us_000581537,0.633970, 0.000708
us_000531203,0.633970, 0.002152
us_000551151,0.633970, 0.006119
us_000532411,0.633970, 0.015363
us_000521322,0.633970, 0.041786
us_000536048,0.633970, 0.044757
us_000568286,0.633970, 0.046090
us_000525161,0.633970, 0.061946
us_000473051,0.633970, 0.115702
us_000574457,0.633970, 0.221390
us_000150034,0.633970, 0.237803
us_000595616,0.633970, 0.292862
us_000477873,0.633970, 0.375041
us_000113103,0.633970, 0.432849
us_000489218,0.633970, 0.499039
us_000463238,0.607815, 0.000000
us_000472088,0.607815, 0.000000
pr_000605600,0.607815, 0.000000
pr_000868013,0.607815, 0.000000
pr_000816082,0.607815, 0.000000
pr_000843300,0.607815, 0.000000
us_000549351,0.607815, 0.000001
us_000568976,0.607815, 0.000001
us_000602257,0.607815, 0.000001
pr_001146639,0.607815, 0.000001
pr_000593234,0.607815, 0.000004
pr_002084580,0.607815, 0.000008
pr_001988741,0.607815, 0.000023
pr_002099133,0.607815, 0.000024
pr_001415364,0.607815, 0.000024
pr_002174105,0.607815, 0.000025
pr_001976476,0.607815, 0.000025
pr_001949235,0.607815, 0.000026
pr_000849448,0.607815, 0.000037
pr_001665670,0.607815, 0.000051
pr_000796732,0.607815, 0.000060
pr_000999930,0.607815, 0.000063
pr_000597823,0.607815, 0.000086
us_000594848,0.607815, 0.000433
us_000467626,0.607815, 0.000543
pr_001869750,0.607815, 0.000963
pr_000652947,0.607815, 0.002205
us_000482948,0.607815, 0.006128
us_000576929,0.607815, 0.013494
us_000571432,0.607815, 0.102061
us_000484847,0.607815, 0.177150
us_000484827,0.607815, 0.198115
us_000484701,0.607815, 0.199116
us_000471464,0.607815, 0.203409
us_000471392,0.607815, 0.210625
us_000469813,0.607815, 0.211502
us_000469770,0.607815, 0.220592
us_000237775,0.607815, 0.221408
us_000494052,0.607815, 0.237291
us_000469891,0.607815, 0.244081
us_000470524,0.607815, 0.259578
us_000480543,0.607815, 0.260361
us_000470496,0.607815, 0.270329
us_000471501,0.607815, 0.277878
us_000434686,0.607815, 0.287710
us_000470427,0.607815, 0.292962
us_000469808,0.607815, 0.308649
us_000484808,0.607815, 0.347401
us_000469746,0.607815, 0.351707
us_000568646,0.607815, 0.365651
us_000479373,0.607815, 0.380117
us_000568659,0.607815, 0.409720
us_000568669,0.607815, 0.419792
us_000471363,0.607815, 0.478281
us_000479551,0.607815, 0.587594
us_000434161,0.607815, 0.596124
us_000484838,0.607815, 1.670501
us_000471564,0.607815, 2.074967
pr_000966189,0.499907, 0.000000
pr_000925968,0.499907, 0.000000
pr_000860615,0.499907, 0.000000
pr_000589725,0.499907, 0.000000
pr_000758765,0.499907, 0.000000
pr_000823495,0.499907, 0.000000
pr_000829602,0.499907, 0.000000
pr_001051567,0.499907, 0.000000
pr_000756616,0.499907, 0.000000
pr_000406313,0.499907, 0.000000
pr_000470027,0.499907, 0.000000
pr_000582219,0.499907, 0.000000
pr_000632656,0.499907, 0.000000
pr_000355155,0.499907, 0.000000
pr_000355910,0.499907, 0.000000
pr_000097733,0.499907, 0.000000
pr_000163450,0.499907, 0.000000
pr_000833353,0.499907, 0.000000
pr_000739950,0.499907, 0.000000
pr_000928057,0.499907, 0.000000
pr_000197892,0.499907, 0.000000
pr_000081628,0.499907, 0.000000
pr_000997112,0.499907, 0.000000
pr_000989860,0.499907, 0.000000
pr_001004692,0.499907, 0.000000
pr_001013542,0.499907, 0.000000
pr_000830941,0.499907, 0.000000
pr_000614202,0.499907, 0.000000
pr_000982537,0.499907, 0.000000
pr_000584060,0.499907, 0.000000
pr_000848654,0.499907, 0.000000
pr_000398300,0.499907, 0.000000
pr_000556828,0.499907, 0.000000
pr_000581217,0.499907, 0.000000
pr_000978575,0.499907, 0.000000
pr_000757788,0.499907, 0.000000
pr_000581643,0.499907, 0.000000
pr_000830273,0.499907, 0.000000
pr_001057013,0.499907, 0.000000
pr_000470302,0.499907, 0.000000
pr_000334668,0.499907, 0.000000
pr_000645484,0.499907, 0.000000
pr_000405920,0.499907, 0.000000
pr_000568208,0.499907, 0.000000
pr_000758599,0.499907, 0.000000
pr_000765862,0.499907, 0.000000
pr_000099032,0.499907, 0.000000
us_000520942,0.499907, 0.000000
us_000545995,0.499907, 0.000000
us_000466476,0.499907, 0.000000
us_000558153,0.499907, 0.000000
us_000218992,0.499907, 0.000000
us_000467154,0.499907, 0.000000
us_000459883,0.499907, 0.000000
us_000488155,0.499907, 0.000000
us_000558365,0.499907, 0.000000
us_000459628,0.499907, 0.000000
us_000462906,0.499907, 0.000000
us_000465936,0.499907, 0.000000
us_000465789,0.499907, 0.000000
us_000471275,0.499907, 0.000000
us_000483622,0.499907, 0.000000
us_000567246,0.499907, 0.000000
us_000179299,0.499907, 0.000000
us_000491926,0.499907, 0.000000
us_000470411,0.499907, 0.000000
us_000478319,0.499907, 0.000000
us_000462762,0.499907, 0.000000
us_000466700,0.499907, 0.000000
us_000031893,0.499907, 0.000000
us_000567483,0.499907, 0.000000
pr_000587262,0.499907, 0.000000
pr_000824194,0.499907, 0.000001
pr_000889558,0.499907, 0.000001
pr_000889782,0.499907, 0.000001
us_000545916,0.499907, 0.000001
us_000600313,0.499907, 0.000002
us_000547352,0.499907, 0.000005
us_000517991,0.499907, 0.000007
us_000518181,0.499907, 0.000007
us_000470965,0.499907, 0.000013
pr_000583412,0.499907, 0.000023
us_000583323,0.499907, 0.000023
pr_000609430,0.499907, 0.000027
pr_000667161,0.499907, 0.000038
pr_000260583,0.499907, 0.000041
us_000595830,0.499907, 0.000061
us_000458863,0.499907, 0.000063
us_000610732,0.499907, 0.000063
us_000564960,0.499907, 0.000063
us_000467195,0.499907, 0.000065
us_000478632,0.499907, 0.000065
us_000494243,0.499907, 0.000088
us_000575448,0.499907, 0.000088
us_000615896,0.499907, 0.000095
us_000512944,0.499907, 0.000111
us_000467999,0.499907, 0.000148
us_000570204,0.499907, 0.000158
us_000575781,0.499907, 0.000202
us_000465649,0.499907, 0.000202
us_000559577,0.499907, 0.000202
us_000591315,0.499907, 0.000253
us_000553051,0.499907, 0.000253
us_000615900,0.499907, 0.000259
us_000487174,0.499907, 0.000264
us_000475021,0.499907, 0.000279
us_000494727,0.499907, 0.000374
us_000564884,0.499907, 0.000374
us_000583497,0.499907, 0.000486
us_000605022,0.499907, 0.000497
us_000584428,0.499907, 0.000501
us_000463040,0.499907, 0.000548
us_000567973,0.499907, 0.000554
pr_000769375,0.499907, 0.000617
us_000483109,0.499907, 0.000637
us_000578160,0.499907, 0.000720
us_000578492,0.499907, 0.000797
us_000536503,0.499907, 0.000840
us_000606374,0.499907, 0.001194
us_000535395,0.499907, 0.001407
pr_000168904,0.499907, 0.001490
us_000530483,0.499907, 0.001714
us_000539720,0.499907, 0.001767
us_000575929,0.499907, 0.001915
us_000575724,0.499907, 0.001954
us_000479694,0.499907, 0.001958
us_000587565,0.499907, 0.002019
us_000565353,0.499907, 0.002268
us_000560741,0.499907, 0.002393
us_000616145,0.499907, 0.002644
us_000510701,0.499907, 0.003155
us_000553639,0.499907, 0.003417
us_000564802,0.499907, 0.003606
us_000538359,0.499907, 0.003864
us_000516087,0.499907, 0.003872
pr_001583981,0.499907, 0.004113
us_000609059,0.499907, 0.004244
us_000518975,0.499907, 0.004861
us_000606177,0.499907, 0.005142
us_000565737,0.499907, 0.005208
us_000329003,0.499907, 0.005425
us_000612694,0.499907, 0.005802
us_000528499,0.499907, 0.006083
us_000554880,0.499907, 0.006444
us_000540195,0.499907, 0.006461
us_000530323,0.499907, 0.006623
us_000584607,0.499907, 0.008353
us_000493981,0.499907, 0.009348
us_000545846,0.499907, 0.009484
us_000547618,0.499907, 0.011750
us_000275716,0.499907, 0.012028
us_000489991,0.499907, 0.012742
us_000111438,0.499907, 0.015237
us_000601179,0.499907, 0.019108
us_000616609,0.499907, 0.019243
us_000479594,0.499907, 0.026407
us_000532879,0.499907, 0.028685
us_000515661,0.499907, 0.029058
us_000520692,0.499907, 0.039068
us_000518320,0.499907, 0.042288
us_000516579,0.499907, 0.045751
us_000586229,0.499907, 0.079083
us_000481085,0.499907, 0.091242
us_000584229,0.499907, 0.094528
us_000529335,0.499907, 0.164819
us_000588080,0.499907, 0.175535
us_000510064,0.499907, 0.264063
us_000494906,0.499907, 0.433890
us_000460303,0.499907, 0.443269
us_000544800,0.499907, 0.615531
us_000433383,0.499907, 0.755605
us_000532190,0.487055, 0.000000
us_000522973,0.487055, 0.000000
us_000606543,0.487055, 0.000002
us_000497409,0.487055, 0.000002
us_000513997,0.487055, 0.000002
us_000581608,0.487055, 0.000003
pr_000093693,0.487055, 0.000004
us_000514035,0.487055, 0.000004
us_000531091,0.487055, 0.000004
us_000534407,0.487055, 0.000007
us_000575291,0.487055, 0.000007
us_000578896,0.487055, 0.000009
pr_000813664,0.487055, 0.000010
us_000594556,0.487055, 0.000014
us_000489545,0.487055, 0.000024
us_000572680,0.487055, 0.000024
us_000597380,0.487055, 0.000025
pr_001726532,0.487055, 0.000025
us_000517135,0.487055, 0.000026
us_000533354,0.487055, 0.000029
us_000547764,0.487055, 0.000029
us_000579523,0.487055, 0.000036
us_000615772,0.487055, 0.000036
us_000593263,0.487055, 0.000040
us_000535877,0.487055, 0.000042
pr_001394918,0.487055, 0.000045
us_000578610,0.487055, 0.000076
us_000600055,0.487055, 0.000089
us_000532505,0.487055, 0.000111
us_000521952,0.487055, 0.000202
us_000566295,0.487055, 0.000298
us_000484121,0.487055, 0.000405
us_000509419,0.487055, 0.000529
us_000576666,0.487055, 0.000715
us_000613928,0.487055, 0.000988
us_000572903,0.487055, 0.001161
us_000493632,0.487055, 0.001215
us_000600514,0.487055, 0.002214
us_000589990,0.487055, 0.002431
us_000585483,0.487055, 0.002703
us_000511930,0.487055, 0.003518
us_000479626,0.487055, 0.003794
us_000539904,0.487055, 0.003864
us_000503559,0.487055, 0.003896
us_000481076,0.487055, 0.003957
us_000607171,0.487055, 0.005958
us_000597167,0.487055, 0.008137
us_000518252,0.487055, 0.008441
us_000523889,0.487055, 0.010785
us_000544288,0.487055, 0.012033
us_000589816,0.487055, 0.042128
pr_001153842,0.453204, 0.000000
pr_001092495,0.453204, 0.000000
us_000615528,0.453204, 0.000000
us_000560557,0.453204, 0.000000
us_000545334,0.453204, 0.000000
us_000266570,0.453204, 0.000000
us_000475749,0.453204, 0.000000
pr_001145356,0.453204, 0.000001
us_000589930,0.453204, 0.000001
us_000491840,0.453204, 0.000001
us_000596239,0.453204, 0.000001
pr_000829363,0.453204, 0.000002
pr_000849175,0.453204, 0.000002
pr_000580680,0.453204, 0.000002
pr_000381170,0.453204, 0.000002
pr_000582967,0.453204, 0.000002
pr_000584653,0.453204, 0.000002
pr_000581889,0.453204, 0.000002
pr_000841136,0.453204, 0.000002
pr_000961528,0.453204, 0.000003
pr_000088695,0.453204, 0.000004
us_000592439,0.453204, 0.000009
us_000503371,0.453204, 0.000009
us_000495690,0.453204, 0.000009
us_000494571,0.453204, 0.000009
pr_000021901,0.453204, 0.000015
pr_001103347,0.453204, 0.000019
us_000537929,0.453204, 0.000022
us_000599178,0.453204, 0.000027
us_000616527,0.453204, 0.000027
us_000616530,0.453204, 0.000027
us_000592277,0.453204, 0.000027
us_000589971,0.453204, 0.000027
us_000595182,0.453204, 0.000027
us_000581576,0.453204, 0.000027
us_000517922,0.453204, 0.000030
us_000489556,0.453204, 0.000048
us_000586733,0.453204, 0.000049
pr_000286741,0.453204, 0.000053
pr_000183191,0.453204, 0.000077
us_000496897,0.453204, 0.000105
