Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
us_000597105,0.029158,0.000098
us_000582578,0.029158,0.000112
us_000593990,0.029158,0.000113
us_000593491,0.029158,0.000118
us_000593335,0.029158,0.000122
us_000593537,0.029158,0.000127
us_000589292,0.029158,0.000131
us_000592640,0.029158,0.000143
us_000533447,0.029158,0.000178
us_000586708,0.029158,0.000183
us_000601971,0.029158,0.000187
us_000499692,0.029158,0.000197
us_000594043,0.029158,0.000211
us_000593626,0.029158,0.000288
us_000600450,0.029158,0.000370
us_000603513,0.029158,0.000436
us_000603658,0.029158,0.000539
us_000529289,0.029158,0.000562
us_000587868,0.029158,0.000641
us_000521142,0.029158,0.000861
us_000576645,0.029158,0.000871
us_000580064,0.029158,0.001058
us_000616225,0.029158,0.001064
us_000616309,0.029158,0.001090
us_000612257,0.029158,0.002043
us_000598733,0.029158,0.002722
us_000613196,0.029158,0.003127
us_000615395,0.029158,0.003938
us_000577879,0.029158,0.008333
us_000598290,0.029158,0.008725
us_000616401,0.029158,0.010454
us_000609449,0.029158,0.012991
us_000585482,0.029158,0.038787
us_000593986,0.029158,0.038791
us_000590452,0.029158,0.038792
us_000588641,0.029158,0.038792
us_000589197,0.029158,0.038808
us_000584045,0.029158,0.038827
us_000571479,0.029158,0.038840
us_000570561,0.029158,0.038847
us_000588619,0.029158,0.038861
us_000589263,0.029158,0.038864
us_000548641,0.029158,0.038866
us_000591796,0.029158,0.038866
us_000559215,0.029158,0.038886
us_000588752,0.029158,0.038887
us_000566361,0.029158,0.038890
us_000588465,0.029158,0.038892
us_000570594,0.029158,0.038895
us_000587450,0.029158,0.038898
us_000592252,0.029158,0.038898
us_000591813,0.029158,0.038905
us_000578793,0.029158,0.038905
us_000587427,0.029158,0.038908
us_000559317,0.029158,0.038909
us_000581976,0.029158,0.038918
us_000581903,0.029158,0.038922
us_000528251,0.029158,0.038929
us_000584016,0.029158,0.038933
us_000596972,0.029158,0.038937
us_000564557,0.029158,0.038937
