Product ID : 1043 # of JPs covered : 1 : 229 : Environmental Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000534254,0.673450, 0.577900
us_000497861,0.673450, 0.586955
us_000494882,0.673450, 0.592209
us_000482474,0.673450, 0.615053
us_000495026,0.673450, 0.627266
us_000478772,0.673450, 0.629918
us_000472751,0.673450, 0.648909
us_000569670,0.673450, 0.748779
us_000476200,0.673450, 0.749030
us_000482452,0.673450, 0.928870
us_000557830,0.656293, 0.000006
us_000516558,0.656293, 0.000862
us_000524789,0.656293, 0.000862
us_000518085,0.596367, 0.000011
us_000491541,0.596367, 0.429790
us_000485288,0.596367, 0.701539
us_000494683,0.596367, 0.709784
us_000472627,0.596367, 0.728362
us_000492603,0.596367, 0.851723
us_000077221,0.596367, 0.864529
us_000491450,0.596367, 1.076507
us_000474784,0.596367, 1.080699
us_000015766,0.596367, 1.171127
us_000468677,0.438382, 0.000008
us_000568662,0.438382, 0.331261
us_000476734,0.438382, 0.468772
us_000534936,0.438382, 0.503149
us_000547815,0.438382, 0.524989
us_000547816,0.438382, 0.524989
us_000533459,0.438382, 0.527349
us_000500666,0.438382, 0.545103
us_000507406,0.438382, 0.546359
us_000487728,0.438382, 0.548692
us_000500919,0.438382, 0.556609
us_000518442,0.438382, 0.557104
us_000557512,0.438382, 0.560753
us_000485318,0.438382, 0.572040
us_000495049,0.438382, 0.583160
us_000536022,0.412241, 0.000000
us_000496649,0.412241, 0.015626
us_000469308,0.412241, 0.100066
us_000533326,0.412241, 0.162549
us_000512655,0.412241, 0.166664
us_000513532,0.412241, 0.207263
us_000476758,0.412241, 0.231277
us_000465874,0.412241, 0.231350
us_000489419,0.412241, 0.235438
us_000511308,0.412241, 0.241405
us_000306548,0.412241, 0.242878
us_000610884,0.412241, 0.243766
us_000544787,0.412241, 0.254224
us_000487599,0.412241, 0.264702
us_000556315,0.412241, 0.266704
us_000498163,0.412241, 0.272719
us_000513307,0.412241, 0.274759
us_000594533,0.412241, 0.275746
us_000533605,0.412241, 0.280719
us_000547797,0.412241, 0.281315
us_000525558,0.412241, 0.284047
us_000476985,0.412241, 0.290546
us_000465830,0.412241, 0.292730
us_000495941,0.412241, 0.297412
us_000486381,0.412241, 0.298685
us_000483528,0.412241, 0.299814
us_000487747,0.412241, 0.300573
us_000518270,0.412241, 0.304711
us_000568802,0.412241, 0.304937
us_000464320,0.412241, 0.306439
us_000497713,0.412241, 0.308811
us_000488005,0.412241, 0.309050
us_000414107,0.412241, 0.310660
us_000528225,0.412241, 0.313216
us_000482497,0.412241, 0.314900
us_000577281,0.412241, 0.316200
us_000490897,0.412241, 0.318404
us_000594336,0.412241, 0.318420
us_000479800,0.412241, 0.318960
us_000557304,0.412241, 0.321965
us_000547278,0.412241, 0.322065
us_000450963,0.412241, 0.324670
us_000588241,0.412241, 0.328088
us_000587152,0.412241, 0.329059
us_000158017,0.412241, 0.329059
us_000469822,0.412241, 0.329059
us_000598111,0.412241, 0.330548
us_000461135,0.412241, 0.331785
us_000488961,0.412241, 0.332703
us_000577314,0.412241, 0.332703
us_000615369,0.412241, 0.333449
us_000577320,0.412241, 0.335461
us_000472281,0.412241, 0.335516
us_000609970,0.412241, 0.335516
us_000488105,0.412241, 0.336286
us_000533814,0.412241, 0.338852
us_000492494,0.412241, 0.339930
us_000479333,0.412241, 0.344670
us_000458586,0.412241, 0.346099
us_000535195,0.412241, 0.347040
us_000477665,0.412241, 0.348909
us_000508963,0.412241, 0.351876
us_000520795,0.412241, 0.355177
us_000564282,0.412241, 0.363334
us_000518138,0.412241, 0.364518
us_000564178,0.412241, 0.365165
us_000534260,0.412241, 0.365447
us_000553681,0.412241, 0.365807
us_000546963,0.412241, 0.368895
us_000546907,0.412241, 0.368895
us_000017831,0.412241, 0.369829
us_000544055,0.412241, 0.370290
us_000508373,0.412241, 0.371984
us_000480443,0.412241, 0.371984
us_000559065,0.412241, 0.375211
us_000487999,0.412241, 0.378578
us_000468181,0.412241, 0.378578
us_000497654,0.412241, 0.378578
us_000487994,0.412241, 0.378578
us_000468200,0.412241, 0.378578
