Product ID : 2062 JPs covered : 111 : International Trade, 
us_000550449,0.649427, 0.170486
us_000550433,0.649427, 0.170486
us_000550830,0.649427, 0.170486
us_000518292,0.649427, 0.170486
us_000512417,0.649427, 0.170486
us_000550407,0.649427, 0.170486
us_000490339,0.649427, 0.173798
us_000542268,0.649427, 0.180115
us_000535597,0.649427, 0.180115
us_000481176,0.649427, 0.180115
us_000546025,0.649427, 0.180115
us_000521375,0.649427, 0.180115
us_000481160,0.649427, 0.180115
us_000481164,0.649427, 0.180115
us_000550466,0.649427, 0.188111
us_000550826,0.649427, 0.188111
us_000518242,0.649427, 0.190015
us_000567947,0.649427, 0.190015
us_000516054,0.649427, 0.190015
us_000481737,0.649427, 0.190015
us_000567949,0.649427, 0.190015
us_000506721,0.649427, 0.190015
us_000506688,0.649427, 0.190015
us_000559225,0.649427, 0.190015
us_000524426,0.649427, 0.190015
us_000482259,0.649427, 0.190015
us_000559124,0.649427, 0.190015
us_000559719,0.649427, 0.190015
us_000481140,0.649427, 0.190015
us_000323374,0.649427, 0.190829
us_000537097,0.649427, 0.192601
us_000481732,0.649427, 0.193327
us_000506481,0.649427, 0.195589
us_000522593,0.649427, 0.200186
us_000515035,0.649427, 0.200186
us_000521910,0.649427, 0.200186
us_000533580,0.649427, 0.200186
us_000482230,0.649427, 0.200186
us_000559235,0.649427, 0.200186
us_000534945,0.649427, 0.200186
us_000535134,0.649427, 0.200186
us_000522426,0.649427, 0.200186
us_000552632,0.649427, 0.200186
us_000528409,0.649427, 0.200186
us_000543027,0.649427, 0.200186
us_000545852,0.649427, 0.200186
us_000481958,0.649427, 0.200186
us_000514064,0.649427, 0.200186
us_000553895,0.649427, 0.200186
us_000481749,0.649427, 0.200186
us_000543029,0.649427, 0.200186
us_000482352,0.649427, 0.200186
us_000515077,0.649427, 0.200186
us_000569001,0.649427, 0.200186
us_000481987,0.649427, 0.200186
us_000515720,0.649427, 0.200186
us_000532472,0.649427, 0.200186
us_000554361,0.649427, 0.200186
us_000515031,0.649427, 0.200186
us_000499860,0.649427, 0.200186
us_000559299,0.649427, 0.200186
us_000515049,0.649427, 0.200186
us_000532478,0.649427, 0.200186
us_000521389,0.649427, 0.200186
us_000532394,0.649427, 0.200186
us_000515396,0.649427, 0.200186
us_000535108,0.649427, 0.200186
us_000547026,0.649427, 0.200186
us_000447367,0.649427, 0.202501
us_000520698,0.649427, 0.202501
us_000560294,0.649427, 0.203497
us_000468255,0.649427, 0.203688
us_000566869,0.649427, 0.204194
us_000472903,0.649427, 0.213859
us_000477005,0.649427, 0.214001
us_000477950,0.649427, 0.216380
us_000603311,0.649427, 0.216740
us_000478694,0.649427, 0.217714
us_000545484,0.649427, 0.219097
us_000471777,0.649427, 0.219981
us_000505268,0.649427, 0.226748
us_000545490,0.649427, 0.232525
us_000542963,0.649427, 0.243571
us_000595359,0.649427, 0.243571
us_000551193,0.649427, 0.243571
us_000506852,0.649427, 0.255094
us_000506769,0.649427, 0.266887
us_000560896,0.649427, 0.266887
us_000585419,0.649427, 0.266887
us_000516921,0.649427, 0.266887
us_000516906,0.649427, 0.266887
us_000561112,0.649427, 0.266887
us_000201505,0.649427, 0.282959
pr_000409890,0.633093, 0.000466
us_000462664,0.633093, 0.014192
us_000150823,0.633093, 0.090547
us_000610268,0.633093, 0.112470
us_000464814,0.633093, 0.220473
pr_000591805,0.312972, 0.000000
pr_001116956,0.312972, 0.000000
us_000167075,0.312972, 0.023138
us_000149140,0.312972, 0.084252
us_000174219,0.312972, 0.088655
us_000521068,0.312972, 0.134743
us_000173881,0.312972, 0.170230
us_000475279,0.312972, 0.222865
us_000475020,0.312972, 0.224239
us_000501118,0.312972, 0.242958
us_000475260,0.312972, 0.254628
us_000003501,0.312972, 0.266161
us_000478989,0.312972, 0.317244
us_000475101,0.312972, 0.389449
us_000476312,0.312972, 0.405677
us_000507545,0.312972, 0.479309
pr_001076501,0.283435, 0.000000
pr_000266423,0.283435, 0.000000
pr_000255469,0.283435, 0.000000
pr_000730758,0.283435, 0.000000
pr_001391184,0.283435, 0.000000
pr_000603511,0.283435, 0.000000
pr_001591118,0.283435, 0.000000
pr_000436173,0.283435, 0.000001
us_000555167,0.283435, 0.004459
us_000510281,0.283435, 0.019901
us_000544086,0.283435, 0.048839
us_000464686,0.283435, 0.281302
pr_000006733,0.063535, 0.000000
us_000535101,0.063535, 0.000023
us_000472262,0.063535, 0.007106
us_000178280,0.063535, 0.033863
us_000464698,0.063535, 0.056168
us_000409962,0.063535, 0.119810
us_000495865,0.063535, 0.307949
