Product ID : 2108 # of JPs covered : 1 : 248 : Accounting-Audit/Assurance Only, 
OID,Confidence at Map Node,Error at Map Node
us_000540970,0.996082, 0.580638
us_000508602,0.996082, 0.580638
us_000586425,0.996082, 0.580638
us_000541002,0.996082, 0.580638
us_000518364,0.996082, 0.580638
us_000544876,0.996082, 0.580638
us_000567538,0.996082, 0.580638
us_000530229,0.996082, 0.580638
us_000575906,0.996082, 0.580638
us_000540876,0.996082, 0.580638
us_000506002,0.996082, 0.580638
us_000596146,0.996082, 0.580638
us_000532837,0.996082, 0.580638
us_000518365,0.996082, 0.580638
us_000533123,0.996082, 0.581186
us_000534742,0.996082, 0.581566
us_000545776,0.996082, 0.581668
us_000462726,0.996082, 0.581668
us_000533393,0.996082, 0.581732
us_000586130,0.996082, 0.582022
us_000586381,0.996082, 0.582257
us_000518372,0.996082, 0.582348
us_000538905,0.996082, 0.582671
us_000577180,0.996082, 0.585282
us_000479375,0.996082, 0.586260
us_000553273,0.996082, 0.586405
us_000590599,0.996082, 0.586744
us_000550848,0.996082, 0.588770
us_000484927,0.996082, 0.588832
us_000535653,0.996082, 0.589703
us_000532460,0.996082, 0.589703
us_000518313,0.996082, 0.589903
us_000538379,0.996082, 0.589957
us_000551235,0.996082, 0.589957
us_000544615,0.996082, 0.589957
us_000545819,0.996082, 0.589957
us_000532009,0.996082, 0.589957
us_000540121,0.996082, 0.589957
us_000520356,0.996082, 0.589957
us_000551303,0.996082, 0.589957
us_000529678,0.996082, 0.589957
us_000538781,0.996082, 0.589957
us_000538785,0.996082, 0.589957
us_000544589,0.996082, 0.589957
us_000545813,0.996082, 0.589957
us_000496695,0.996082, 0.589957
us_000518992,0.996082, 0.589957
us_000528732,0.996082, 0.589957
us_000564683,0.996082, 0.589957
us_000545675,0.996082, 0.589957
us_000535632,0.996082, 0.589957
us_000540136,0.996082, 0.589957
us_000558363,0.996082, 0.591480
us_000588357,0.996082, 0.592285
us_000533865,0.996082, 0.592426
us_000499242,0.996082, 0.593234
us_000495777,0.996082, 0.595171
us_000493195,0.996082, 0.595341
us_000494001,0.996082, 0.598226
us_000551213,0.996082, 0.598283
us_000561220,0.996082, 0.598627
us_000538708,0.996082, 0.599033
us_000541640,0.996082, 0.599101
us_000566926,0.996082, 0.599675
us_000534036,0.996082, 0.600333
us_000469616,0.996082, 0.601086
us_000496706,0.996082, 0.601339
us_000479790,0.996082, 0.602776
us_000562004,0.996082, 0.604547
us_000574894,0.996082, 0.606653
us_000545717,0.996082, 0.607681
us_000534035,0.996082, 0.607681
us_000585297,0.996082, 0.607681
us_000529859,0.996082, 0.607681
us_000532457,0.996082, 0.610824
us_000473619,0.996082, 0.613942
us_000460987,0.996082, 0.614944
us_000533182,0.996082, 0.616130
us_000548547,0.996082, 0.616130
us_000498022,0.996082, 0.616130
us_000539556,0.996082, 0.616130
us_000575131,0.996082, 0.616130
us_000533169,0.996082, 0.616130
us_000532403,0.996082, 0.616130
us_000545438,0.996082, 0.616130
us_000538481,0.996082, 0.616130
us_000521033,0.996082, 0.616130
us_000538338,0.996082, 0.617158
us_000524617,0.996082, 0.617158
us_000564312,0.996082, 0.618235
us_000548714,0.996082, 0.619361
us_000586138,0.996082, 0.619361
us_000489444,0.996082, 0.631096
us_000529942,0.996082, 0.633356
us_000518531,0.996082, 0.633575
us_000533192,0.996082, 0.658726
us_000510874,0.924673, 0.368933
us_000496009,0.924673, 0.369273
us_000562447,0.924673, 0.370705
us_000585787,0.924673, 0.370941
us_000472543,0.924673, 0.371436
us_000585153,0.924673, 0.371436
us_000541102,0.924673, 0.371436
us_000586341,0.924673, 0.371695
us_000497748,0.924673, 0.371695
us_000496489,0.924673, 0.371695
us_000529565,0.924673, 0.371695
us_000562097,0.924673, 0.371695
us_000494904,0.924673, 0.372237
us_000561133,0.924673, 0.373108
us_000587544,0.924673, 0.374377
us_000590856,0.924673, 0.374377
us_000537403,0.924673, 0.374714
us_000471145,0.924673, 0.374714
us_000557092,0.924673, 0.374714
us_000537815,0.924673, 0.376175
us_000533288,0.924673, 0.376175
us_000551881,0.924673, 0.376175
us_000529875,0.924673, 0.376175
us_000544918,0.924673, 0.376175
us_000531407,0.924673, 0.376175
us_000518996,0.924673, 0.376175
us_000532076,0.924673, 0.376175
us_000572634,0.924673, 0.376175
us_000530784,0.924673, 0.376175
us_000541254,0.924673, 0.376175
us_000528733,0.924673, 0.376175
us_000533270,0.924673, 0.376175
us_000545647,0.924673, 0.376175
us_000532358,0.924673, 0.376175
us_000531038,0.924673, 0.376175
us_000542053,0.924673, 0.376175
us_000519870,0.924673, 0.376175
us_000499517,0.924673, 0.376175
us_000600151,0.924673, 0.376175
us_000530720,0.924673, 0.376175
us_000537903,0.924673, 0.376175
us_000590601,0.924673, 0.376175
us_000529874,0.924673, 0.376175
us_000532052,0.924673, 0.376175
us_000531415,0.924673, 0.376175
us_000535778,0.924673, 0.376175
us_000540049,0.924673, 0.376175
us_000541930,0.924673, 0.376175
us_000518356,0.924673, 0.376175
us_000575864,0.924673, 0.376175
us_000545411,0.924673, 0.376175
us_000590600,0.924673, 0.376175
us_000586253,0.924673, 0.376175
us_000538892,0.924673, 0.376175
us_000509795,0.924673, 0.376356
us_000581551,0.924673, 0.380561
us_000590543,0.924673, 0.383587
us_000590611,0.924673, 0.383587
us_000590674,0.924673, 0.383587
us_000590658,0.924673, 0.383587
us_000550900,0.924673, 0.383587
us_000585885,0.924673, 0.383587
us_000590810,0.924673, 0.383587
us_000534264,0.924673, 0.383587
us_000590763,0.924673, 0.383587
us_000590699,0.924673, 0.383587
us_000590648,0.924673, 0.383587
us_000590624,0.924673, 0.383587
us_000590636,0.924673, 0.383587
us_000590569,0.924673, 0.383587
us_000587737,0.924673, 0.383587
us_000575875,0.924673, 0.383587
us_000590700,0.924673, 0.383587
us_000562096,0.924673, 0.383587
us_000558615,0.924673, 0.383587
us_000575063,0.924673, 0.383587
us_000538607,0.924673, 0.383587
us_000524102,0.924673, 0.383587
us_000590796,0.924673, 0.383587
us_000590835,0.924673, 0.383587
us_000590585,0.924673, 0.383587
us_000590591,0.924673, 0.383587
us_000590855,0.924673, 0.383587
us_000590527,0.924673, 0.383587
us_000590632,0.924673, 0.383587
us_000590842,0.924673, 0.383587
us_000526339,0.924673, 0.383587
us_000561098,0.924673, 0.383587
us_000590839,0.924673, 0.383587
us_000595629,0.924673, 0.383587
us_000590631,0.924673, 0.383587
us_000590666,0.924673, 0.383587
us_000544763,0.924673, 0.383587
us_000526537,0.924673, 0.383587
us_000548646,0.924673, 0.383587
us_000586902,0.924673, 0.383587
us_000587093,0.924673, 0.383587
us_000586223,0.924673, 0.383587
us_000573926,0.924673, 0.383587
us_000590851,0.924673, 0.383587
us_000590740,0.924673, 0.383587
us_000590565,0.924673, 0.383587
us_000590604,0.924673, 0.383587
us_000590546,0.924673, 0.383587
us_000498126,0.924673, 0.383587
us_000590848,0.924673, 0.383587
us_000590775,0.924673, 0.383587
us_000590646,0.924673, 0.383587
us_000590742,0.924673, 0.383587
us_000590584,0.924673, 0.383587
us_000590559,0.924673, 0.383587
us_000590739,0.924673, 0.383587
us_000559007,0.924673, 0.383587
us_000518139,0.924673, 0.383587
us_000543956,0.924673, 0.383587
us_000590697,0.924673, 0.383587
us_000590754,0.924673, 0.383587
us_000590844,0.924673, 0.383587
us_000590791,0.924673, 0.383587
us_000590606,0.924673, 0.383587
us_000590548,0.924673, 0.383587
us_000590853,0.924673, 0.383587
us_000518305,0.924673, 0.383587
us_000590694,0.924673, 0.383587
us_000590555,0.924673, 0.383587
us_000590725,0.924673, 0.383587
us_000575663,0.924673, 0.383587
us_000590673,0.924673, 0.383587
us_000590542,0.924673, 0.383587
us_000518769,0.924673, 0.383587
us_000497950,0.924673, 0.383587
us_000590838,0.924673, 0.383587
us_000590684,0.924673, 0.383587
us_000496395,0.924673, 0.383587
us_000584633,0.924673, 0.383587
us_000590816,0.924673, 0.383587
us_000590573,0.924673, 0.383587
us_000590755,0.924673, 0.383587
us_000590577,0.924673, 0.383587
us_000590847,0.924673, 0.383587
us_000590643,0.924673, 0.383587
us_000590759,0.924673, 0.383587
us_000590749,0.924673, 0.383587
us_000590652,0.924673, 0.383587
us_000596514,0.924673, 0.383587
us_000590685,0.924673, 0.383587
us_000590536,0.924673, 0.383587
us_000534232,0.924673, 0.383587
us_000590558,0.924673, 0.383587
us_000574194,0.924673, 0.383587
us_000590533,0.924673, 0.383587
us_000590771,0.924673, 0.383587
us_000518956,0.924673, 0.383587
us_000540812,0.924673, 0.383587
us_000590766,0.924673, 0.383587
us_000590656,0.924673, 0.383587
us_000590564,0.924673, 0.383587
us_000590696,0.924673, 0.383587
us_000590574,0.924673, 0.383587
us_000590794,0.924673, 0.383587
us_000590717,0.924673, 0.383587
us_000590698,0.924673, 0.383587
us_000590677,0.924673, 0.383587
us_000518304,0.924673, 0.383587
us_000590572,0.924673, 0.383587
us_000590817,0.924673, 0.383587
us_000498023,0.924673, 0.383587
us_000590613,0.924673, 0.383587
us_000590691,0.924673, 0.383587
us_000590862,0.924673, 0.383587
us_000590637,0.924673, 0.383587
us_000590620,0.924673, 0.383587
us_000533075,0.924673, 0.383587
us_000590560,0.924673, 0.383587
us_000590752,0.924673, 0.383587
us_000558799,0.924673, 0.383587
us_000590724,0.924673, 0.383587
us_000588002,0.924673, 0.383587
us_000590767,0.924673, 0.383587
us_000590788,0.924673, 0.383587
us_000590721,0.924673, 0.383587
us_000590769,0.924673, 0.383587
us_000590675,0.924673, 0.383587
us_000590746,0.924673, 0.383587
us_000557940,0.924673, 0.383587
us_000532127,0.924673, 0.383587
us_000590655,0.924673, 0.383587
us_000590806,0.924673, 0.383587
us_000564608,0.924673, 0.383587
us_000524626,0.924673, 0.383587
us_000590682,0.924673, 0.383587
us_000590778,0.924673, 0.383587
us_000590521,0.924673, 0.383587
us_000590688,0.924673, 0.383587
us_000590812,0.924673, 0.383587
us_000590837,0.924673, 0.383587
us_000590568,0.924673, 0.383587
us_000590777,0.924673, 0.383587
us_000597071,0.924673, 0.383587
us_000590797,0.924673, 0.383587
us_000518094,0.924673, 0.383587
us_000590603,0.924673, 0.383587
us_000595181,0.924673, 0.383587
us_000533163,0.924673, 0.383587
us_000590681,0.924673, 0.383587
us_000590827,0.924673, 0.383587
us_000590541,0.924673, 0.383587
us_000590727,0.924673, 0.383587
us_000590852,0.924673, 0.383587
us_000590786,0.924673, 0.383587
us_000590547,0.924673, 0.383587
us_000590522,0.924673, 0.383587
us_000536996,0.924673, 0.383587
us_000590642,0.924673, 0.383587
us_000518768,0.924673, 0.383587
us_000590619,0.924673, 0.383587
us_000590540,0.924673, 0.383587
us_000498125,0.924673, 0.383587
us_000588392,0.924673, 0.383587
us_000590531,0.924673, 0.383587
us_000590744,0.924673, 0.383587
us_000529803,0.924673, 0.383587
us_000590783,0.924673, 0.383587
us_000590678,0.924673, 0.383587
us_000518958,0.924673, 0.383587
us_000590733,0.924673, 0.383587
us_000590762,0.924673, 0.383587
us_000590741,0.924673, 0.383587
us_000590538,0.924673, 0.383587
us_000518957,0.924673, 0.383587
us_000590859,0.924673, 0.383587
us_000588011,0.924673, 0.383587
us_000590818,0.924673, 0.383587
us_000541422,0.924673, 0.383587
us_000590615,0.924673, 0.383587
us_000564232,0.924673, 0.383587
us_000590708,0.924673, 0.383587
us_000590589,0.924673, 0.383587
us_000590780,0.924673, 0.383587
us_000590773,0.924673, 0.383587
us_000590738,0.924673, 0.383587
us_000590793,0.924673, 0.383587
us_000590667,0.924673, 0.383587
us_000541970,0.924673, 0.383587
us_000590832,0.924673, 0.383587
us_000590772,0.924673, 0.383587
us_000590566,0.924673, 0.383587
us_000549024,0.924673, 0.383587
us_000542111,0.924673, 0.383587
us_000590650,0.924673, 0.383587
us_000590736,0.924673, 0.383587
us_000590823,0.924673, 0.383587
us_000590729,0.924673, 0.383587
us_000590661,0.924673, 0.383587
us_000590571,0.924673, 0.383587
us_000590626,0.924673, 0.383587
us_000590776,0.924673, 0.383587
us_000574973,0.924673, 0.383587
us_000590659,0.924673, 0.383587
us_000590628,0.924673, 0.383587
us_000590669,0.924673, 0.383587
us_000541384,0.924673, 0.383587
us_000590774,0.924673, 0.383587
us_000590524,0.924673, 0.383587
us_000590598,0.924673, 0.383587
us_000590630,0.924673, 0.383587
us_000590625,0.924673, 0.383587
us_000524610,0.924673, 0.383587
us_000505661,0.924673, 0.383587
us_000575390,0.924673, 0.383587
us_000590553,0.924673, 0.383587
us_000590792,0.924673, 0.383587
us_000590770,0.924673, 0.383587
us_000590627,0.924673, 0.383587
us_000590575,0.924673, 0.383587
us_000590590,0.924673, 0.383587
us_000585311,0.924673, 0.383587
us_000590671,0.924673, 0.383587
us_000590704,0.924673, 0.383587
us_000590583,0.924673, 0.383587
us_000587056,0.924673, 0.383587
us_000575832,0.924673, 0.383587
us_000529987,0.924673, 0.383587
us_000590705,0.924673, 0.383587
us_000590824,0.924673, 0.383587
us_000590764,0.924673, 0.383587
us_000590639,0.924673, 0.383587
us_000590649,0.924673, 0.383587
us_000590562,0.924673, 0.383587
us_000575333,0.924673, 0.383587
us_000590840,0.924673, 0.383587
us_000542235,0.924673, 0.383587
us_000564079,0.924673, 0.383587
us_000590554,0.924673, 0.383587
us_000590672,0.924673, 0.383587
us_000590722,0.924673, 0.383587
us_000590689,0.924673, 0.383587
us_000590597,0.924673, 0.383587
us_000590711,0.924673, 0.383587
us_000590516,0.924673, 0.383587
us_000590782,0.924673, 0.383587
us_000590692,0.924673, 0.383587
us_000590732,0.924673, 0.383587
us_000590857,0.924673, 0.383587
us_000590820,0.924673, 0.383587
us_000590784,0.924673, 0.383587
us_000590861,0.924673, 0.383587
us_000590532,0.924673, 0.383587
us_000560367,0.924673, 0.383587
us_000590726,0.924673, 0.383587
us_000590593,0.924673, 0.383587
us_000590596,0.924673, 0.383587
us_000590863,0.924673, 0.383587
us_000590660,0.924673, 0.383587
us_000590693,0.924673, 0.383587
us_000590662,0.924673, 0.383587
us_000590789,0.924673, 0.383587
us_000590676,0.924673, 0.383587
us_000590517,0.924673, 0.383587
us_000545671,0.924673, 0.383587
us_000538606,0.924673, 0.383587
us_000590528,0.924673, 0.383587
us_000590622,0.924673, 0.383587
us_000548604,0.924673, 0.383587
us_000531968,0.924673, 0.383587
us_000590586,0.924673, 0.383587
us_000590664,0.924673, 0.383587
us_000548978,0.924673, 0.383587
us_000590582,0.924673, 0.383587
us_000548904,0.924673, 0.383587
us_000590825,0.924673, 0.383587
us_000590811,0.924673, 0.383587
us_000590651,0.924673, 0.383587
us_000519042,0.924673, 0.383587
us_000542212,0.924673, 0.383587
us_000590530,0.924673, 0.383587
us_000590686,0.924673, 0.383587
us_000505550,0.924673, 0.383587
us_000590751,0.924673, 0.383587
us_000538673,0.924673, 0.383587
us_000590760,0.924673, 0.383587
us_000590728,0.924673, 0.383587
us_000590607,0.924673, 0.383587
us_000590826,0.924673, 0.383587
us_000590544,0.924673, 0.383587
us_000590653,0.924673, 0.383587
us_000590843,0.924673, 0.383587
us_000518954,0.924673, 0.383587
us_000590701,0.924673, 0.383587
us_000590549,0.924673, 0.383587
us_000564605,0.924673, 0.383587
us_000590719,0.924673, 0.383587
us_000590695,0.924673, 0.383587
us_000590833,0.924673, 0.383587
us_000590610,0.924673, 0.383587
us_000590836,0.924673, 0.383587
us_000590616,0.924673, 0.383587
us_000590683,0.924673, 0.383587
us_000590790,0.924673, 0.383587
us_000524171,0.924673, 0.383587
us_000590821,0.924673, 0.383587
us_000590854,0.924673, 0.383587
us_000575001,0.924673, 0.383587
us_000590570,0.924673, 0.383587
us_000545469,0.924673, 0.383587
us_000542196,0.924673, 0.383587
us_000590781,0.924673, 0.383587
us_000590712,0.924673, 0.383587
us_000590814,0.924673, 0.383587
us_000595072,0.924673, 0.383587
us_000590858,0.924673, 0.383587
us_000518940,0.924673, 0.383587
us_000590713,0.924673, 0.383587
us_000590640,0.924673, 0.383587
us_000497656,0.924673, 0.383587
us_000590665,0.924673, 0.383587
us_000590670,0.924673, 0.383587
us_000590523,0.924673, 0.383587
us_000590602,0.924673, 0.383587
us_000590537,0.924673, 0.383587
us_000590592,0.924673, 0.383587
us_000590581,0.924673, 0.383587
us_000518642,0.924673, 0.383587
us_000545199,0.924673, 0.383587
us_000590753,0.924673, 0.383587
us_000586079,0.924673, 0.383587
us_000590680,0.924673, 0.383587
us_000590614,0.924673, 0.383587
us_000590608,0.924673, 0.383587
us_000590690,0.924673, 0.383587
us_000531062,0.924673, 0.383587
us_000590579,0.924673, 0.383587
us_000590757,0.924673, 0.383587
us_000531066,0.924673, 0.383587
us_000531057,0.924673, 0.383587
us_000590828,0.924673, 0.383587
us_000590612,0.924673, 0.383587
us_000590734,0.924673, 0.383587
us_000540808,0.924673, 0.383587
us_000590808,0.924673, 0.383587
us_000590634,0.924673, 0.383587
us_000590706,0.924673, 0.383587
us_000537727,0.924673, 0.383587
us_000590663,0.924673, 0.383587
us_000585448,0.924673, 0.383587
us_000590588,0.924673, 0.383587
us_000590609,0.924673, 0.383587
us_000590785,0.924673, 0.383587
us_000590761,0.924673, 0.383587
us_000586126,0.924673, 0.383587
us_000590703,0.924673, 0.383587
us_000558824,0.924673, 0.383587
us_000590710,0.924673, 0.383587
us_000590756,0.924673, 0.383587
us_000590815,0.924673, 0.383587
us_000575789,0.924673, 0.383587
us_000564606,0.924673, 0.383587
us_000590552,0.924673, 0.383587
us_000590830,0.924673, 0.383587
us_000590731,0.924673, 0.383587
us_000544110,0.924673, 0.383587
us_000520416,0.924673, 0.383587
us_000590557,0.924673, 0.383587
us_000590635,0.924673, 0.383587
us_000590567,0.924673, 0.383587
us_000590730,0.924673, 0.383587
us_000590723,0.924673, 0.383587
us_000590534,0.924673, 0.383587
