Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 48 | Construction Law (jpg:48,idx:29)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02142857,3.0,(7|48)
0.02127660,3.0,(5|32)
0.02127660,1.0,(8|26)
0.02127660,2.0,(11|0)
0.02127660,1.0,(30|47)
0.02094241,2.0,(7|34)
0.02064897,3.0,(28|13)
0.02040816,1.0,(10|3)
0.02030457,3.0,(8|35)
0.02018349,3.0,(29|5)
0.01923077,1.0,(16|27)
0.01910828,3.0,(4|33)
0.01875000,2.0,(15|49)
0.01818182,2.0,(10|45)
0.01818182,1.0,(16|28)
0.01818182,1.0,(17|0)
0.01805054,2.0,(18|13)
0.01796407,1.0,(0|17)
0.01764706,2.0,(23|14)
0.01754386,1.0,(21|13)
0.01744186,4.0,(15|30)
0.01680672,2.0,(12|38)
0.01673640,2.0,(5|39)
0.01644737,2.0,(27|11)
0.01639344,1.0,(22|4)
0.01634877,3.0,(24|27)
0.01612903,2.0,(25|5)
0.01606426,2.0,(15|36)
0.01604278,2.0,(18|0)
0.01600000,1.0,(49|24)
0.01595745,1.0,(24|28)
0.01582278,3.0,(22|23)
0.01574803,1.0,(10|21)
0.01555870,1.0,(25|18)
0.01546392,4.0,(11|49)
0.01515152,2.0,(2|31)
0.01515152,2.0,(4|32)
0.01500682,3.0,(23|7)
0.01492537,2.0,(20|18)
0.01492537,2.0,(21|1)
0.01470588,2.0,(15|29)
0.01456311,2.0,(2|33)
0.01449275,2.0,(12|21)
0.01449275,1.0,(15|14)
0.01449275,2.0,(20|7)
0.01438849,2.0,(6|9)
0.01433692,1.0,(13|36)
0.01428571,2.0,(11|3)
0.01418440,1.0,(11|19)
0.01408451,2.0,(4|13)
0.01408451,1.0,(48|19)
0.01373626,1.0,(5|23)
0.01360544,1.0,(24|18)
0.01360544,1.0,(25|17)
0.01351351,1.0,(18|16)
0.01307190,1.0,(21|18)
0.01293900,3.0,(16|20)
0.01273885,1.0,(15|22)
0.01244813,2.0,(23|13)
0.01242236,2.0,(6|32)
0.01219512,1.0,(22|6)
0.01204819,1.0,(23|23)
0.01197605,2.0,(27|42)
0.01176471,2.0,(19|34)
0.01176471,1.0,(22|12)
0.01176471,1.0,(24|17)
0.01170960,2.0,(23|32)
0.01128668,1.0,(8|14)
0.01117318,1.0,(5|22)
0.01117318,1.0,(8|37)
0.01111111,2.0,(6|45)
0.01111111,1.0,(47|8)
0.01104972,2.0,(5|6)
0.01090909,1.0,(12|5)
0.01086957,1.0,(37|6)
0.01083033,1.0,(29|4)
0.01063830,1.0,(11|5)
0.01059322,2.0,(21|14)
0.01041667,2.0,(9|44)
0.01041667,2.0,(45|8)
0.01025641,2.0,(8|33)
0.01025641,2.0,(20|9)
0.01015228,2.0,(1|49)
0.01005025,2.0,(16|18)
0.009868421,2.0,(3|30)
0.009708738,1.0,(0|6)
0.009708738,1.0,(7|31)
0.009708738,1.0,(9|34)
0.009546540,2.0,(46|29)
0.009523810,1.0,(22|24)
0.009404388,1.0,(15|7)
0.009345794,1.0,(3|6)
0.009259259,1.0,(4|30)
