Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 61 | Loan Doc (jpg:61,idx:42)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.1203008,4.0,(8|18)
0.1200000,4.0,(49|24)
0.1192893,4.0,(14|25)
0.1176471,3.0,(10|20)
0.1134021,4.0,(7|42)
0.1134021,4.0,(7|43)
0.1132075,3.0,(6|42)
0.1128205,5.0,(17|36)
0.1122995,5.0,(18|25)
0.1119403,3.0,(5|43)
0.1091954,5.0,(6|40)
0.1091954,5.0,(7|40)
0.1091954,5.0,(7|41)
0.1090909,2.0,(22|19)
0.1081081,4.0,(6|23)
0.1081081,4.0,(15|38)
0.1076923,4.0,(13|30)
0.1076389,3.0,(8|19)
0.1071429,2.0,(11|21)
0.1071429,2.0,(12|22)
0.1061644,4.0,(13|23)
0.1058824,4.0,(19|26)
0.1049180,4.0,(10|13)
0.1044776,4.0,(19|27)
0.1034483,2.0,(9|20)
0.1030641,4.0,(12|46)
0.1023622,4.0,(10|21)
0.1012658,4.0,(22|23)
0.1004184,4.0,(5|39)
0.1000000,3.0,(11|24)
0.1000000,1.0,(12|26)
0.09964412,4.0,(12|11)
0.09917355,3.0,(17|27)
0.09876543,2.0,(16|24)
0.09655172,5.0,(16|29)
0.09638554,2.0,(7|39)
0.09638554,2.0,(8|39)
0.09638554,2.0,(8|40)
0.09629630,4.0,(7|30)
0.09302326,2.0,(5|42)
0.09302326,2.0,(6|43)
0.09230769,4.0,(8|27)
0.09210526,3.0,(10|28)
0.09195402,4.0,(20|27)
0.09090909,2.0,(13|26)
0.09090909,1.0,(43|21)
0.08888889,3.0,(47|11)
0.08783784,4.0,(13|22)
0.08571429,5.0,(5|24)
0.08450704,2.0,(6|27)
0.08441558,4.0,(16|36)
0.08433735,4.0,(17|28)
0.08376963,4.0,(16|25)
0.08333334,1.0,(7|14)
0.08333334,1.0,(9|14)
0.08333334,2.0,(23|33)
0.08219178,2.0,(7|20)
0.08181818,4.0,(6|37)
0.08181818,3.0,(12|31)
0.08163265,2.0,(0|10)
0.08163265,2.0,(7|16)
0.08090615,4.0,(7|31)
0.08082706,5.0,(21|35)
0.08045977,4.0,(23|22)
0.07924528,3.0,(7|33)
0.07874016,4.0,(12|27)
0.07874016,2.0,(46|26)
0.07792208,4.0,(9|18)
0.07766990,3.0,(9|34)
0.07748184,5.0,(17|30)
0.07692308,3.0,(4|35)
0.07692308,3.0,(7|37)
0.07692308,2.0,(13|29)
0.07692308,1.0,(20|29)
0.07692308,1.0,(28|19)
0.07692308,1.0,(30|42)
0.07500000,3.0,(8|5)
0.07407407,2.0,(5|4)
0.07407407,1.0,(9|11)
0.07392996,3.0,(20|25)
0.07352941,3.0,(14|29)
0.07339449,4.0,(13|31)
0.07319485,5.0,(20|24)
0.07142857,3.0,(16|30)
0.07070707,2.0,(11|28)
0.07058824,3.0,(5|25)
0.07053942,5.0,(41|15)
0.07042254,4.0,(4|13)
0.07042254,3.0,(11|23)
0.06989247,5.0,(28|23)
0.06976745,4.0,(24|47)
0.06896552,1.0,(9|22)
0.06857143,4.0,(12|28)
0.06853583,5.0,(5|27)
0.06849315,2.0,(17|37)
0.06779661,4.0,(16|39)
0.06770834,4.0,(9|13)
0.06720430,5.0,(15|37)
0.06666667,4.0,(8|23)
0.06666667,2.0,(22|2)
0.06666667,1.0,(22|14)
0.06666667,4.0,(22|24)
0.06557377,3.0,(3|31)
0.06557377,2.0,(6|28)
0.06550218,3.0,(21|31)
0.06535948,5.0,(19|24)
0.06451613,3.0,(20|35)
0.06451613,2.0,(21|17)
0.06400000,3.0,(18|29)
0.06382979,3.0,(24|28)
0.06349207,4.0,(17|29)
0.06315789,3.0,(18|14)
0.06214689,4.0,(10|30)
0.06185567,3.0,(4|41)
0.06106870,3.0,(8|0)
0.06106870,3.0,(9|4)
0.06034483,5.0,(26|11)
0.06008584,4.0,(27|47)
0.05970149,2.0,(9|19)
0.05882353,2.0,(3|37)
0.05821918,4.0,(43|48)
0.05813954,3.0,(6|25)
0.05797102,2.0,(12|23)
0.05725191,5.0,(6|46)
0.05714286,2.0,(8|30)
0.05714286,3.0,(26|28)
0.05714286,3.0,(33|47)
0.05633803,3.0,(5|38)
0.05633803,3.0,(6|39)
0.05621302,5.0,(43|16)
0.05517241,3.0,(6|35)
0.05479452,4.0,(29|49)
0.05468750,3.0,(7|35)
0.05426357,4.0,(15|30)
0.05415162,5.0,(19|36)
0.05405406,2.0,(10|25)
0.05376344,3.0,(22|22)
0.05321508,4.0,(26|46)
0.05263158,2.0,(4|11)
0.05263158,3.0,(11|10)
0.05263158,3.0,(17|34)
0.05263158,1.0,(21|49)
0.05223881,3.0,(5|36)
0.05220884,4.0,(15|36)
0.05185185,4.0,(4|39)
0.05164319,4.0,(44|26)
0.05128205,4.0,(6|36)
0.05128205,3.0,(33|13)
0.05084746,3.0,(43|17)
0.05000000,2.0,(9|21)
0.05000000,2.0,(22|0)
0.04975124,4.0,(5|33)
0.04918033,4.0,(7|27)
0.04878049,2.0,(7|18)
0.04878049,3.0,(25|2)
0.04761905,4.0,(10|2)
0.04745763,4.0,(7|29)
0.04741379,4.0,(23|45)
0.04736842,4.0,(25|47)
0.04672897,3.0,(26|10)
0.04663213,2.0,(22|30)
0.04629629,4.0,(7|45)
0.04615385,3.0,(20|14)
0.04597701,4.0,(32|3)
0.04494382,2.0,(14|22)
0.04487180,3.0,(27|48)
0.04485488,4.0,(24|35)
0.04469274,4.0,(5|22)
0.04444445,2.0,(11|8)
0.04395605,2.0,(3|11)
0.04395605,3.0,(24|3)
0.04395605,3.0,(47|10)
0.04371585,3.0,(10|18)
0.04347826,2.0,(5|26)
0.04347826,3.0,(6|32)
0.04341927,5.0,(20|23)
0.04316547,2.0,(16|22)
0.04310345,3.0,(21|19)
0.04255319,3.0,(5|32)
0.04255319,5.0,(11|19)
0.04210526,2.0,(7|25)
0.04210526,2.0,(14|7)
0.04201681,2.0,(17|23)
0.04184100,3.0,(34|48)
0.04166667,4.0,(4|30)
0.04166667,4.0,(19|32)
0.04146342,4.0,(36|19)
0.04040404,2.0,(16|40)
0.04032258,3.0,(11|18)
0.04026845,2.0,(2|20)
0.04022989,3.0,(32|45)
0.04000000,2.0,(5|11)
0.04000000,1.0,(18|8)
0.04000000,2.0,(20|15)
0.03964321,4.0,(26|25)
0.03960396,2.0,(12|24)
0.03947368,3.0,(41|28)
0.03921569,3.0,(21|18)
0.03921569,2.0,(36|6)
0.03883495,4.0,(2|29)
0.03846154,1.0,(22|7)
0.03809524,2.0,(11|4)
0.03738318,2.0,(25|4)
0.03726708,3.0,(18|24)
0.03711790,4.0,(17|25)
0.03703704,3.0,(5|48)
0.03669725,2.0,(14|13)
0.03631961,3.0,(15|48)
0.03618421,4.0,(14|24)
0.03616637,3.0,(17|24)
0.03603604,3.0,(22|29)
0.03600000,2.0,(8|28)
0.03598972,3.0,(26|27)
0.03595890,5.0,(8|20)
0.03571429,2.0,(10|26)
0.03550296,2.0,(17|12)
0.03513514,3.0,(18|16)
0.03508772,2.0,(6|31)
0.03493450,2.0,(10|17)
0.03478261,2.0,(8|46)
0.03472222,5.0,(21|37)
0.03468208,3.0,(21|32)
0.03448276,2.0,(9|25)
0.03422053,3.0,(7|46)
0.03333334,4.0,(19|0)
0.03333334,2.0,(47|8)
0.03278688,3.0,(3|35)
0.03272727,4.0,(12|5)
0.03267974,3.0,(21|30)
0.03264095,4.0,(30|43)
0.03254973,5.0,(11|22)
0.03225806,2.0,(4|38)
0.03212851,2.0,(7|26)
0.03212851,3.0,(28|0)
0.03191489,3.0,(8|47)
0.03174603,2.0,(47|7)
0.03139013,3.0,(44|29)
0.03092784,2.0,(14|17)
0.03041825,4.0,(19|28)
0.03030303,1.0,(22|1)
0.03030303,1.0,(42|21)
0.03004292,3.0,(16|38)
0.02997275,3.0,(24|27)
0.02985075,1.0,(48|9)
0.02962963,4.0,(30|44)
0.02941176,3.0,(4|34)
0.02941176,2.0,(4|40)
0.02941176,2.0,(5|40)
0.02941176,2.0,(5|41)
0.02931596,2.0,(7|21)
0.02898551,3.0,(9|17)
0.02898551,1.0,(45|31)
0.02884615,3.0,(6|33)
0.02870813,3.0,(6|38)
0.02866779,5.0,(11|20)
0.02857143,2.0,(7|38)
0.02857143,1.0,(46|35)
0.02821317,4.0,(27|27)
0.02790698,2.0,(19|33)
0.02777778,1.0,(9|26)
0.02777778,1.0,(9|33)
0.02762431,3.0,(20|30)
0.02702703,3.0,(16|26)
0.02702703,1.0,(23|47)
0.02688172,2.0,(3|33)
0.02673797,2.0,(18|0)
0.02612827,3.0,(21|33)
0.02608696,4.0,(12|10)
0.02564103,2.0,(20|34)
0.02564103,2.0,(21|27)
0.02564103,2.0,(46|10)
0.02544031,5.0,(27|5)
0.02531646,2.0,(11|7)
0.02523659,3.0,(11|9)
0.02518892,2.0,(3|41)
0.02518892,2.0,(4|42)
0.02500000,2.0,(8|22)
0.02500000,4.0,(20|26)
0.02500000,2.0,(41|21)
0.02469136,2.0,(3|29)
0.02459016,4.0,(18|20)
0.02402402,3.0,(22|21)
0.02380952,3.0,(33|48)
0.02352941,1.0,(0|28)
0.02332362,4.0,(43|1)
0.02325581,1.0,(40|21)
0.02316602,3.0,(2|36)
0.02312139,4.0,(23|19)
0.02307692,2.0,(13|11)
0.02302632,3.0,(3|30)
0.02301255,3.0,(20|28)
0.02298851,2.0,(0|16)
0.02298851,2.0,(26|0)
0.02255639,3.0,(24|30)
0.02238806,1.0,(20|18)
0.02234637,2.0,(40|5)
0.02230483,3.0,(5|29)
0.02197802,1.0,(10|4)
0.02197802,3.0,(15|2)
0.02166065,2.0,(21|15)
0.02164502,2.0,(4|31)
0.02162162,2.0,(13|43)
0.02159468,4.0,(19|20)
0.02155172,3.0,(7|24)
0.02142857,2.0,(9|8)
0.02127660,2.0,(16|11)
0.02127660,2.0,(31|48)
0.02118644,4.0,(21|14)
0.02094241,2.0,(20|32)
0.02083333,1.0,(48|30)
0.02061856,2.0,(12|9)
0.02046036,5.0,(18|31)
0.02040816,2.0,(34|0)
0.02036199,2.0,(25|26)
0.02024291,5.0,(6|26)
0.02020202,1.0,(45|11)
0.02000000,1.0,(10|29)
0.02000000,2.0,(13|24)
0.01960784,1.0,(1|8)
0.01960784,3.0,(15|29)
0.01960784,1.0,(28|47)
0.01948052,3.0,(42|15)
0.01928783,3.0,(25|31)
0.01904762,2.0,(9|46)
0.01893939,4.0,(2|31)
0.01869159,2.0,(18|2)
0.01851852,1.0,(10|5)
0.01851852,1.0,(28|37)
0.01840491,3.0,(26|31)
0.01834862,4.0,(25|27)
0.01821494,1.0,(28|26)
0.01818182,1.0,(29|37)
0.01818182,2.0,(32|5)
0.01805869,4.0,(8|14)
0.01788909,5.0,(22|20)
0.01785714,1.0,(3|38)
0.01772152,4.0,(9|3)
0.01754386,1.0,(5|28)
0.01754386,1.0,(48|6)
0.01702128,1.0,(13|18)
0.01694915,2.0,(2|30)
0.01652892,2.0,(45|27)
0.01639344,2.0,(15|11)
0.01639344,2.0,(22|4)
0.01639344,1.0,(28|3)
0.01639344,1.0,(29|2)
0.01628223,2.0,(1|29)
0.01620162,4.0,(25|25)
0.01606426,2.0,(22|26)
0.01587302,3.0,(7|23)
0.01587302,2.0,(21|29)
0.01581028,3.0,(2|32)
0.01578947,3.0,(1|12)
0.01562500,3.0,(3|32)
0.01562500,2.0,(7|12)
0.01562500,2.0,(17|5)
0.01556017,3.0,(27|21)
0.01550388,1.0,(47|34)
0.01550388,2.0,(49|20)
0.01544402,2.0,(15|41)
0.01542416,2.0,(45|16)
0.01538462,1.0,(26|49)
0.01515152,2.0,(4|32)
0.01503759,2.0,(45|23)
0.01477833,5.0,(44|17)
0.01470588,1.0,(10|36)
0.01470588,1.0,(24|15)
0.01466993,2.0,(7|32)
0.01449275,1.0,(28|24)
0.01438849,2.0,(1|30)
0.01438849,2.0,(30|46)
0.01428571,1.0,(33|11)
0.01416431,2.0,(26|30)
0.01408451,3.0,(20|33)
0.01408451,3.0,(44|20)
0.01405152,3.0,(23|32)
0.01388889,2.0,(2|14)
0.01388889,2.0,(26|12)
0.01369863,2.0,(1|24)
0.01369863,3.0,(18|10)
0.01360544,1.0,(11|6)
0.01360544,2.0,(47|35)
0.01358696,4.0,(21|0)
0.01351351,1.0,(47|12)
0.01333333,2.0,(38|22)
0.01324503,1.0,(10|12)
0.01315789,1.0,(4|37)
0.01307190,1.0,(6|44)
0.01298701,1.0,(17|3)
0.01294498,3.0,(18|15)
0.01290323,2.0,(29|41)
0.01282051,1.0,(5|13)
0.01273885,1.0,(26|42)
0.01269841,2.0,(19|21)
0.01267829,2.0,(19|42)
0.01263823,2.0,(44|32)
0.01256732,3.0,(6|29)
0.01250000,1.0,(12|20)
0.01242236,2.0,(2|13)
0.01239669,4.0,(16|21)
0.01234568,1.0,(42|19)
0.01229508,2.0,(5|34)
0.01212121,2.0,(1|5)
0.01212121,1.0,(28|28)
0.01204819,4.0,(1|31)
0.01204819,2.0,(25|30)
0.01204819,1.0,(29|16)
0.01190476,1.0,(24|25)
0.01190476,2.0,(28|2)
0.01183432,2.0,(7|28)
0.01176471,1.0,(19|1)
0.01176471,3.0,(19|34)
0.01142857,2.0,(9|9)
0.01139601,2.0,(29|48)
0.01137800,3.0,(4|28)
0.01123596,3.0,(18|34)
0.01115242,3.0,(28|46)
0.01114206,3.0,(5|12)
0.01114206,3.0,(6|13)
0.01098901,3.0,(5|23)
0.01098901,1.0,(28|38)
0.01094890,1.0,(11|15)
0.01092896,1.0,(42|18)
0.01086957,1.0,(37|6)
0.01079137,2.0,(46|34)
0.01075269,2.0,(5|30)
0.01075269,2.0,(34|1)
0.01069519,2.0,(28|9)
0.01063830,2.0,(11|5)
0.01052632,2.0,(46|18)
0.01038062,1.0,(30|7)
0.01034483,4.0,(21|20)
0.01025641,2.0,(14|18)
0.01012658,3.0,(31|44)
0.01010101,2.0,(27|0)
0.01000000,1.0,(28|25)
0.009975063,3.0,(3|42)
0.009900990,1.0,(4|29)
0.009803922,2.0,(47|20)
0.009756098,3.0,(47|9)
0.009708738,1.0,(31|7)
0.009638554,2.0,(35|6)
0.009546540,3.0,(26|14)
0.009541985,2.0,(25|21)
0.009472260,2.0,(28|14)
0.009433962,2.0,(1|37)
0.009345794,1.0,(3|6)
0.009345794,1.0,(4|36)
0.009345794,3.0,(12|6)
0.009345794,2.0,(18|11)
0.009259259,2.0,(30|48)
0.009174312,2.0,(25|44)
0.009107468,2.0,(30|5)
0.009063444,1.0,(27|36)
0.008988764,3.0,(49|33)
0.008968610,1.0,(8|12)
0.008888889,2.0,(0|13)
0.008849557,1.0,(28|22)
0.008830022,3.0,(26|33)
0.008771930,1.0,(25|45)
0.008733625,3.0,(23|31)
0.008620690,2.0,(25|13)
0.008605852,2.0,(35|23)
0.008510638,2.0,(33|6)
0.008462624,2.0,(19|31)
0.008196721,1.0,(20|16)
0.008130081,2.0,(18|44)
0.008064516,1.0,(26|48)
0.008032128,2.0,(30|23)
0.007936508,1.0,(6|34)
0.007812500,4.0,(27|32)
0.007751938,2.0,(17|8)
0.007722008,2.0,(23|21)
0.007675439,4.0,(22|25)
0.007575758,1.0,(1|21)
0.007504690,3.0,(10|6)
0.007490637,1.0,(23|20)
0.007486631,2.0,(25|14)
0.007476636,2.0,(19|15)
0.007462686,2.0,(21|1)
0.007448790,2.0,(25|28)
0.007434944,2.0,(49|22)
0.007425743,2.0,(31|22)
0.007371007,3.0,(27|46)
0.007352941,1.0,(19|10)
0.007334963,3.0,(29|28)
0.007312614,2.0,(33|7)
0.007220217,2.0,(18|13)
0.007220217,2.0,(36|23)
0.007194245,1.0,(33|21)
0.007159905,2.0,(46|29)
0.007142857,1.0,(33|49)
0.007117438,2.0,(38|46)
0.007017544,2.0,(29|47)
