Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 3 | Bankruptcy (jpg:3,idx:2)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.05000000,1.0,(42|10)
0.04958678,4.0,(7|36)
0.04927536,6.0,(12|21)
0.04901961,2.0,(11|25)
0.04868914,2.0,(8|16)
0.04868914,2.0,(9|16)
0.04854369,2.0,(9|34)
0.04729730,4.0,(13|22)
0.04705882,2.0,(19|1)
0.04669887,4.0,(9|12)
0.04629629,3.0,(10|5)
0.04545455,1.0,(25|3)
0.04504504,4.0,(8|1)
0.04494382,2.0,(14|22)
0.04444445,2.0,(15|25)
0.04395605,3.0,(3|11)
0.04375000,2.0,(15|49)
0.04347826,4.0,(8|46)
0.04347826,3.0,(14|48)
0.04310345,3.0,(12|40)
0.04285714,4.0,(33|49)
0.04255319,1.0,(8|26)
0.04210526,2.0,(16|49)
0.04205608,4.0,(26|10)
0.04182509,5.0,(7|46)
0.04182509,3.0,(10|23)
0.04166667,1.0,(23|33)
0.04137931,3.0,(8|43)
0.04109589,3.0,(17|37)
0.04102564,3.0,(8|33)
0.04074074,5.0,(8|23)
0.04040404,2.0,(11|28)
0.04000000,1.0,(11|34)
0.03944020,6.0,(6|46)
0.03934426,7.0,(10|13)
0.03846154,1.0,(10|15)
0.03831417,3.0,(9|43)
0.03759398,3.0,(7|47)
0.03734440,4.0,(41|15)
0.03723404,4.0,(11|5)
0.03676471,3.0,(14|40)
0.03636364,5.0,(12|35)
0.03600000,5.0,(15|33)
0.03564728,5.0,(10|6)
0.03508772,3.0,(10|7)
0.03470032,4.0,(18|7)
0.03448276,1.0,(9|20)
0.03426791,3.0,(12|6)
0.03409091,2.0,(14|36)
0.03389831,1.0,(0|11)
0.03358209,5.0,(21|1)
0.03351955,3.0,(5|22)
0.03296703,2.0,(10|4)
0.03296703,2.0,(22|7)
0.03296703,2.0,(42|23)
0.03278688,3.0,(3|35)
0.03278688,2.0,(42|12)
0.03267974,1.0,(21|30)
0.03252032,3.0,(9|41)
0.03246753,4.0,(14|10)
0.03237410,5.0,(15|47)
0.03225806,2.0,(26|48)
0.03174603,1.0,(12|2)
0.03139013,3.0,(44|29)
0.03125000,3.0,(7|35)
0.03125000,3.0,(9|44)
0.03125000,1.0,(17|5)
0.03125000,1.0,(46|11)
0.03100775,4.0,(17|8)
0.03084833,4.0,(26|27)
0.03082192,2.0,(13|23)
0.03030303,2.0,(4|32)
0.03000000,1.0,(13|24)
0.02970297,1.0,(12|24)
0.02935421,5.0,(27|5)
0.02898551,2.0,(27|23)
0.02898551,2.0,(45|31)
0.02888087,3.0,(29|15)
0.02857143,2.0,(9|46)
0.02857143,1.0,(33|48)
0.02803738,2.0,(15|35)
0.02803738,1.0,(20|3)
0.02777778,3.0,(21|37)
0.02702703,2.0,(24|23)
0.02702703,1.0,(48|10)
0.02678571,4.0,(28|2)
0.02663438,6.0,(15|48)
0.02659575,4.0,(8|47)
0.02631579,2.0,(9|24)
0.02631579,3.0,(15|21)
0.02564103,3.0,(14|34)
0.02536232,3.0,(13|35)
0.02510460,2.0,(15|17)
0.02500000,1.0,(8|5)
0.02500000,1.0,(8|22)
0.02483070,5.0,(8|14)
0.02479339,3.0,(13|39)
0.02427184,2.0,(2|33)
0.02409638,3.0,(7|26)
0.02409638,2.0,(23|23)
0.02405063,5.0,(9|3)
0.02372479,4.0,(14|3)
0.02325581,1.0,(6|25)
0.02308802,5.0,(7|23)
0.02304148,2.0,(43|26)
0.02302632,4.0,(14|24)
0.02298851,1.0,(23|22)
0.02298851,2.0,(32|3)
0.02222222,1.0,(6|45)
0.02222222,3.0,(7|30)
0.02197802,4.0,(15|2)
0.02197802,1.0,(47|10)
0.02158273,4.0,(24|22)
0.02155172,2.0,(7|24)
0.02150538,1.0,(4|38)
0.02142857,1.0,(9|8)
0.02127660,3.0,(5|32)
0.02110818,3.0,(25|11)
0.02105263,2.0,(7|25)
0.02105263,2.0,(18|14)
0.02097902,2.0,(14|5)
0.02083333,1.0,(7|4)
0.02072539,2.0,(22|30)
0.02040816,1.0,(0|10)
0.02040816,2.0,(10|3)
0.02020202,2.0,(16|40)
0.02013423,1.0,(2|20)
0.02011494,6.0,(37|5)
0.02000000,2.0,(4|43)
0.02000000,2.0,(5|44)
0.02000000,1.0,(10|29)
0.01976744,5.0,(16|32)
0.01973684,3.0,(9|48)
0.01930502,3.0,(23|21)
0.01923077,5.0,(8|42)
0.01914894,3.0,(41|12)
0.01910828,3.0,(15|22)
0.01904762,1.0,(46|35)
0.01902174,4.0,(21|0)
0.01897810,4.0,(16|34)
0.01892745,5.0,(11|9)
0.01869159,1.0,(2|34)
0.01869159,2.0,(4|36)
0.01869159,2.0,(18|2)
0.01869159,1.0,(25|4)
0.01851852,1.0,(5|4)
0.01840491,4.0,(13|38)
0.01822324,5.0,(24|37)
0.01818182,1.0,(10|45)
0.01818182,1.0,(48|4)
0.01808785,2.0,(21|23)
0.01801802,2.0,(14|38)
0.01801802,1.0,(43|14)
0.01754386,1.0,(48|6)
0.01739130,3.0,(12|10)
0.01712329,3.0,(8|20)
0.01707317,3.0,(36|19)
0.01704546,1.0,(13|17)
0.01696513,4.0,(25|12)
0.01694915,1.0,(41|3)
0.01673640,2.0,(13|4)
0.01644737,2.0,(27|11)
0.01639344,2.0,(3|34)
0.01639344,2.0,(22|4)
0.01639344,1.0,(26|4)
0.01639344,3.0,(42|18)
0.01630435,2.0,(37|6)
0.01626016,2.0,(44|30)
0.01612903,1.0,(12|3)
0.01612903,2.0,(19|40)
0.01587302,1.0,(47|7)
0.01578947,2.0,(17|7)
0.01578947,2.0,(25|47)
0.01574803,2.0,(10|21)
0.01572327,3.0,(27|15)
0.01570681,2.0,(10|27)
0.01562500,1.0,(4|22)
0.01550388,2.0,(49|17)
0.01546392,3.0,(11|49)
0.01522843,2.0,(14|25)
0.01503759,1.0,(13|5)
0.01492537,2.0,(5|43)
0.01470588,1.0,(25|38)
0.01467890,5.0,(29|5)
0.01463415,2.0,(13|25)
0.01452785,2.0,(14|20)
0.01438849,4.0,(46|34)
0.01428571,2.0,(7|38)
0.01423488,3.0,(38|46)
0.01388889,1.0,(4|30)
0.01388889,1.0,(14|15)
0.01369863,1.0,(7|20)
0.01360544,1.0,(13|3)
0.01355014,2.0,(27|7)
0.01351351,2.0,(6|49)
0.01337793,3.0,(3|40)
0.01324503,2.0,(10|12)
0.01321586,2.0,(7|0)
0.01321586,2.0,(7|1)
0.01315789,3.0,(13|37)
0.01307190,2.0,(8|34)
