Product ID : 2134 # of JPs covered : 1 : 336 : Tax Prep-Indiv-Tax, 
us_000483001,0.348456, 0.000089
us_000534900,0.348456, 0.000221
us_000494378,0.348456, 0.000601
us_000585429,0.348456, 1.080320
us_000574698,0.348456, 1.126867
us_000586848,0.348456, 1.224305
us_000564209,0.348456, 1.325157
us_000585558,0.348456, 1.379958
us_000566314,0.348456, 1.386244
us_000565697,0.348456, 1.502527
us_000566005,0.348456, 1.709413
us_000483279,0.313400, 0.000000
us_000562807,0.313400, 0.000317
us_000484857,0.313400, 0.001253
us_000485563,0.313400, 0.001690
us_000517365,0.313400, 0.002776
us_000579351,0.313400, 0.025214
us_000585436,0.313400, 0.564442
pr_001095474,0.304459, 0.000000
us_000554300,0.304459, 0.000003
us_000552533,0.304459, 0.000003
us_000553158,0.304459, 0.000003
us_000552964,0.304459, 0.000003
us_000555164,0.304459, 0.000003
us_000555168,0.304459, 0.000003
us_000018593,0.304459, 0.004768
us_000564306,0.304459, 0.088985
us_000477712,0.262328, 0.000000
us_000552836,0.262328, 0.000000
us_000586865,0.262328, 0.000000
us_000503937,0.262328, 0.000000
us_000564198,0.262328, 0.000000
us_000556471,0.262328, 0.000012
us_000512773,0.262328, 0.000031
us_000564188,0.262328, 0.000031
us_000554311,0.262328, 0.000031
us_000584947,0.262328, 0.000031
us_000584939,0.262328, 0.000031
us_000577083,0.262328, 0.000031
us_000577778,0.262328, 0.000031
us_000512512,0.262328, 0.000031
us_000554538,0.262328, 0.000096
us_000563479,0.262328, 0.000166
us_000577050,0.262328, 0.000379
us_000594163,0.262328, 0.000595
us_000481358,0.262328, 0.003508
us_000570677,0.262328, 1.445596
us_000537848,0.262328, 1.543899
us_000560202,0.262328, 1.573228
us_000523101,0.262328, 1.591509
us_000614304,0.262328, 1.709192
us_000600038,0.262328, 1.747260
us_000565138,0.262328, 1.887496
us_000507674,0.262328, 1.907847
us_000562215,0.262328, 1.979323
us_000546047,0.262328, 2.110149
pr_000009329,0.105399, 0.000000
us_000597675,0.105399, 0.000000
pr_000611410,0.105399, 0.000001
pr_000785820,0.105399, 0.000001
pr_000446528,0.105399, 0.000002
us_000578009,0.105399, 0.000003
us_000512558,0.105399, 0.000003
us_000476261,0.105399, 0.001433
us_000585284,0.105399, 0.763335
us_000572296,0.105399, 1.127084
us_000580682,0.105399, 1.135645
us_000532886,0.105399, 1.234104
us_000580796,0.105399, 1.234125
us_000612334,0.105399, 1.288305
us_000561331,0.105399, 1.351749
us_000514020,0.105399, 1.401387
us_000571206,0.105399, 1.465472
us_000532970,0.105399, 1.487161
us_000585470,0.105399, 1.564020
us_000519805,0.105399, 1.567577
us_000503811,0.105399, 1.573584
us_000585527,0.105399, 1.793314
us_000552896,0.105399, 1.900335
us_000570418,0.105399, 1.961149
us_000507731,0.105399, 2.588775
us_000562757,0.105399, 2.785862
us_000507732,0.105399, 3.185810
us_000507727,0.105399, 3.422686
us_000507730,0.105399, 3.448106
pr_001390127,0.066348, 0.000000
pr_001682156,0.066348, 0.000000
us_000503769,0.066348, 0.000000
pr_001413072,0.066348, 0.000001
pr_000747141,0.066348, 0.000005
pr_000092087,0.066348, 0.000007
pr_001689428,0.066348, 0.000048
pr_000858982,0.066348, 0.000048
pr_001036304,0.066348, 0.000192
pr_000115449,0.066348, 0.000337
pr_000308042,0.066348, 0.002641
us_000597653,0.066348, 1.041930
us_000561303,0.066348, 1.415051
us_000561196,0.066348, 2.205095
us_000574330,0.066348, 2.297670
us_000531294,0.066348, 2.465563
us_000565560,0.066348, 2.667526
us_000597708,0.066348, 2.764997
