Product ID : 2140 # of JPs covered : 1 : 359 : Antitrust Vertical, 
us_000524212,0.868027, 0.295000
us_000526909,0.868027, 0.295000
us_000500473,0.868027, 0.295000
us_000526891,0.868027, 0.295000
us_000548949,0.868027, 0.295000
us_000526905,0.868027, 0.295000
us_000548954,0.868027, 0.295000
us_000511128,0.868027, 0.295000
us_000527275,0.868027, 0.295000
us_000569367,0.868027, 0.295000
us_000528869,0.868027, 0.295000
us_000527262,0.868027, 0.295000
us_000510231,0.868027, 0.295000
us_000527050,0.868027, 0.295000
us_000527435,0.868027, 0.295000
us_000548950,0.868027, 0.295000
us_000527040,0.868027, 0.295000
us_000539982,0.868027, 0.295000
us_000569365,0.868027, 0.295000
us_000526907,0.868027, 0.295000
us_000569314,0.868027, 0.295000
us_000569695,0.868027, 0.295000
us_000517494,0.868027, 0.297243
us_000541799,0.868027, 0.299154
us_000520165,0.868027, 0.299552
us_000533203,0.868027, 0.303543
us_000549920,0.868027, 0.305065
us_000500953,0.868027, 0.305633
us_000500472,0.868027, 0.306360
us_000511226,0.868027, 0.306794
us_000512054,0.868027, 0.307528
us_000539074,0.868027, 0.308206
us_000496599,0.868027, 0.312324
us_000318462,0.868027, 0.320355
us_000547873,0.868027, 0.337302
us_000528135,0.868027, 0.339860
us_000528471,0.868027, 0.339860
us_000591907,0.868027, 0.351641
us_000591910,0.868027, 0.351641
us_000591908,0.868027, 0.351641
us_000550950,0.868027, 0.381428
us_000552199,0.868027, 0.418464
us_000481023,0.868027, 0.427851
us_000537950,0.868027, 0.433350
us_000207527,0.868027, 0.566273
us_000479138,0.868027, 0.567691
us_000478080,0.868027, 0.613663
pr_000896113,0.628095, 0.000000
pr_000184791,0.628095, 0.000000
pr_000183775,0.628095, 0.000000
pr_001732424,0.628095, 0.000000
pr_001033402,0.628095, 0.000002
pr_000111314,0.628095, 0.000119
pr_001060575,0.628095, 0.000197
pr_001073738,0.628095, 0.000229
pr_000097098,0.628095, 0.000311
pr_000120483,0.628095, 0.000374
us_000461166,0.628095, 0.156745
us_000461033,0.628095, 0.179929
us_000245646,0.628095, 0.186694
us_000196512,0.628095, 0.230800
us_000544612,0.628095, 0.265967
us_000498137,0.628095, 0.319298
us_000515757,0.628095, 0.386562
us_000539244,0.628095, 0.417527
us_000583590,0.628095, 0.428436
us_000486616,0.628095, 0.429638
us_000531438,0.628095, 0.432004
us_000497898,0.628095, 0.436781
us_000497801,0.628095, 0.439249
us_000581989,0.628095, 0.443367
us_000339607,0.628095, 0.449767
us_000475312,0.628095, 0.454711
us_000487604,0.628095, 0.456780
us_000482006,0.628095, 0.456928
us_000590475,0.628095, 0.461473
us_000581854,0.628095, 0.461473
us_000481019,0.628095, 0.461473
us_000487953,0.628095, 0.461786
us_000580020,0.628095, 0.462621
us_000469278,0.628095, 0.471486
us_000480969,0.628095, 0.494610
us_000464406,0.628095, 0.525800
us_000548986,0.628095, 0.531707
us_000469281,0.628095, 0.533333
us_000046502,0.628095, 0.610954
us_000053087,0.628095, 0.618880
us_000470320,0.628095, 0.747753
us_000412853,0.628095, 1.015430
us_000498418,0.274255, 0.000000
us_000561466,0.274255, 0.000000
us_000539108,0.274255, 0.000000
pr_000413747,0.274255, 0.000000
pr_000095101,0.274255, 0.000001
us_000539737,0.274255, 0.000017
us_000467917,0.274255, 0.000018
pr_001405871,0.274255, 0.000048
us_000531206,0.274255, 0.000059
us_000615404,0.274255, 0.000072
us_000593224,0.274255, 0.000089
us_000055520,0.274255, 0.000092
pr_000858126,0.274255, 0.000298
pr_000739682,0.274255, 0.000392
pr_000854928,0.274255, 0.000417
us_000528996,0.274255, 0.001410
pr_000869448,0.274255, 0.001976
pr_000756240,0.274255, 0.004525
us_000552955,0.274255, 0.008513
us_000592272,0.274255, 0.013963
us_000532210,0.274255, 0.024681
us_000525450,0.274255, 0.030369
us_000482107,0.274255, 0.064651
us_000492475,0.274255, 0.071813
us_000434069,0.274255, 0.085738
us_000520703,0.274255, 0.283080
us_000517809,0.274255, 0.290073
us_000520129,0.274255, 0.308617
us_000493883,0.274255, 0.326321
us_000505456,0.274255, 0.371491
us_000495668,0.274255, 0.387602
us_000570728,0.274255, 0.393013
us_000488634,0.274255, 0.417048
us_000505405,0.274255, 0.418920
us_000498460,0.274255, 0.419162
us_000495221,0.274255, 0.426016
us_000488865,0.274255, 0.428207
us_000493876,0.274255, 0.429728
us_000496918,0.274255, 0.440220
us_000495220,0.274255, 0.477948
us_000570625,0.274255, 0.477948
us_000527972,0.274255, 0.478507
us_000495464,0.274255, 0.483012
us_000518800,0.274255, 0.486312
us_000568249,0.274255, 0.486793
us_000516116,0.274255, 0.493616
us_000381071,0.274255, 0.500881
us_000487117,0.274255, 0.504784
us_000498537,0.274255, 0.514629
us_000387413,0.274255, 0.517943
us_000509711,0.274255, 0.523217
us_000513646,0.274255, 0.524065
us_000485256,0.274255, 0.530693
us_000498994,0.274255, 0.566257
us_000513548,0.274255, 0.594196
us_000488852,0.274255, 0.600428
us_000488612,0.274255, 0.755933
us_000538935,0.274255, 1.019816
us_000501529,0.209599, 0.000000
pr_000000881,0.209599, 0.000007
pr_001857025,0.209599, 0.000643
pr_001087613,0.209599, 0.000735
pr_000591846,0.209599, 0.000759
pr_000730589,0.209599, 0.002541
pr_000715181,0.209599, 0.005709
pr_001154513,0.209599, 0.007829
pr_002109678,0.209599, 0.008087
pr_002053736,0.209599, 0.008706
pr_000622778,0.209599, 0.008891
pr_000165386,0.209599, 0.013895
pr_001167822,0.209599, 0.018659
pr_001851475,0.209599, 0.039960
us_000540216,0.209599, 0.053181
us_000543804,0.209599, 0.057100
pr_000572386,0.122518, 0.000000
pr_000188115,0.122518, 0.000001
us_000518771,0.122518, 0.187620
us_000498204,0.122518, 0.192216
us_000579864,0.122518, 0.194494
us_000472914,0.122518, 0.200591
us_000489358,0.122518, 0.223677
us_000554317,0.122518, 0.228716
us_000487160,0.122518, 0.230284
us_000525324,0.122518, 0.234239
us_000506238,0.122518, 0.234692
us_000532314,0.122518, 0.254075
us_000467601,0.122518, 0.254346
us_000182359,0.122518, 0.263613
us_000520182,0.122518, 0.280389
us_000495339,0.122518, 0.284148
us_000548948,0.122518, 0.294829
us_000548953,0.122518, 0.296237
us_000506122,0.122518, 0.297209
us_000581409,0.122518, 0.300280
us_000487449,0.122518, 0.302091
us_000585366,0.122518, 0.302547
us_000517082,0.122518, 0.304377
us_000467415,0.122518, 0.309560
us_000539665,0.122518, 0.315040
us_000581412,0.122518, 0.315732
us_000494371,0.122518, 0.317812
us_000515087,0.122518, 0.319261
us_000518020,0.122518, 0.324211
us_000534174,0.122518, 1.045925
us_000550716,0.098065, 0.000387
