Product ID : 2143 # of JPs covered : 1 : 261 : Bankruptcy-Real Property, 
OID,Confidence at Map Node,Error at Map Node
us_000521194,0.365504, 0.989920
us_000515966,0.365504, 0.990040
us_000485091,0.365504, 0.993141
us_000514870,0.365504, 0.994249
us_000496664,0.365504, 0.997377
us_000529473,0.365504, 0.999196
us_000406802,0.365504, 0.999422
us_000465988,0.365504, 0.999871
us_000563922,0.365504, 1.001494
us_000487585,0.365504, 1.001888
us_000466991,0.365504, 1.003307
us_000467384,0.365504, 1.004519
us_000462669,0.365504, 1.004602
us_000502285,0.365504, 1.005404
us_000485714,0.365504, 1.005730
us_000469970,0.365504, 1.007125
us_000552503,0.365504, 1.007314
us_000568733,0.365504, 1.008133
us_000484886,0.365504, 1.009310
us_000487140,0.365504, 1.009634
us_000516275,0.365504, 1.010464
us_000487426,0.365504, 1.010505
us_000554950,0.365504, 1.013191
us_000467365,0.365504, 1.015221
us_000458894,0.365504, 1.017745
us_000554816,0.365504, 1.020878
us_000520754,0.365504, 1.021552
us_000514877,0.365504, 1.022009
us_000514902,0.365504, 1.023078
us_000501276,0.365504, 1.025171
us_000501748,0.365504, 1.025183
us_000521022,0.365504, 1.025610
us_000520864,0.365504, 1.025808
us_000528294,0.365504, 1.025917
us_000482970,0.365504, 1.027129
us_000516743,0.365504, 1.027707
us_000516507,0.365504, 1.027707
us_000554222,0.365504, 1.027707
us_000554137,0.365504, 1.027707
us_000514210,0.365504, 1.027707
us_000551916,0.365504, 1.027707
us_000516544,0.365504, 1.027707
us_000554819,0.365504, 1.027707
us_000516433,0.365504, 1.027707
us_000497233,0.365504, 1.027707
us_000554238,0.365504, 1.027707
us_000554818,0.365504, 1.028312
us_000497819,0.365504, 1.028542
us_000490685,0.365504, 1.029604
us_000502631,0.365504, 1.030541
us_000514663,0.365504, 1.032141
us_000516527,0.365504, 1.032607
us_000511424,0.365504, 1.033113
us_000497133,0.365504, 1.033301
us_000471462,0.365504, 1.034372
us_000522885,0.365504, 1.034763
us_000491237,0.365504, 1.035073
us_000528960,0.365504, 1.035871
us_000497277,0.365504, 1.038215
us_000490715,0.365504, 1.039975
us_000513384,0.365504, 1.045183
us_000558834,0.365504, 1.045252
us_000565664,0.365504, 1.047672
us_000315027,0.365504, 1.052797
us_000503731,0.365504, 1.055450
us_000520886,0.365504, 1.062434
us_000504268,0.365504, 1.063731
us_000073281,0.365504, 1.068605
us_000503544,0.365504, 1.077882
us_000567951,0.365504, 1.084346
us_000471354,0.365504, 1.095924
us_000523345,0.365504, 1.095989
us_000516100,0.365504, 1.108168
us_000516376,0.365504, 1.113802
us_000516018,0.365504, 1.129762
us_000465768,0.365504, 1.223430
us_000158254,0.365504, 1.293522
us_000556949,0.365504, 1.293906
us_000497572,0.365504, 1.311917
