Product ID : 2063 JPs covered : 233 : Banking Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000473284,1.000000, 0.000000
us_000484252,1.000000, 0.000000
us_000489773,1.000000, 0.000000
us_000474457,1.000000, 0.000000
us_000488118,1.000000, 0.000000
us_000493036,1.000000, 0.000000
us_000485523,1.000000, 0.000000
us_000484764,1.000000, 0.000000
us_000488119,1.000000, 0.000000
us_000409214,1.000000, 0.000000
us_000518500,1.000000, 0.000000
us_000532012,1.000000, 0.000000
pr_001693868,1.000000, 0.000137
us_000474822,1.000000, 0.000766
us_000491333,1.000000, 0.000946
us_000503622,1.000000, 0.004152
us_000459503,1.000000, 0.004259
us_000524828,1.000000, 0.004464
us_000564030,1.000000, 0.019135
us_000546448,1.000000, 0.029905
us_000072202,1.000000, 0.061987
us_000355091,1.000000, 0.106684
us_000354047,1.000000, 0.109928
us_000473341,1.000000, 0.385685
us_000302062,1.000000, 0.500241
us_000304483,1.000000, 0.514362
us_000304659,1.000000, 0.897483
pr_001870852,0.998385, 0.000000
us_000587661,0.998385, 0.000009
us_000600120,0.998385, 0.000366
us_000521899,0.998385, 0.004086
us_000591178,0.998385, 0.066710
us_000488310,0.998385, 0.161612
us_000523819,0.998385, 0.224514
us_000487632,0.998385, 0.232315
us_000523205,0.998385, 0.232315
us_000077284,0.998385, 0.253121
us_000473828,0.998385, 0.309826
us_000523385,0.998385, 0.319250
us_000469538,0.998385, 0.319250
us_000518457,0.998385, 0.319413
us_000562822,0.998385, 0.346349
us_000477811,0.998385, 0.361146
us_000476800,0.998385, 0.379203
us_000562976,0.998385, 0.383963
us_000513015,0.998385, 0.387986
us_000474299,0.998385, 0.389269
us_000482445,0.998385, 0.400486
us_000466912,0.998385, 0.406339
us_000531025,0.998385, 0.411370
us_000487791,0.998385, 0.411370
us_000523752,0.998385, 0.411370
us_000526879,0.998385, 0.411370
us_000478750,0.998385, 0.411370
us_000523744,0.998385, 0.421765
us_000524397,0.998385, 0.422004
us_000463137,0.998385, 0.422418
us_000538142,0.998385, 0.422418
us_000521903,0.998385, 0.422418
us_000476260,0.998385, 0.422418
us_000482419,0.998385, 0.422418
us_000567401,0.998385, 0.422418
us_000493273,0.998385, 0.422418
us_000475391,0.998385, 0.422418
us_000475840,0.998385, 0.422418
us_000501661,0.998385, 0.423456
us_000521895,0.998385, 0.423489
us_000487690,0.998385, 0.429687
us_000474387,0.998385, 0.492110
us_000474244,0.998385, 0.504293
us_000473092,0.998385, 0.529147
us_000479043,0.998385, 0.529147
us_000492339,0.998385, 0.529147
us_000566278,0.998385, 0.529147
us_000482916,0.998385, 0.529147
us_000524455,0.998385, 0.529147
us_000483084,0.998385, 0.529147
us_000475815,0.998385, 0.539865
us_000481690,0.998385, 0.541818
us_000522686,0.998385, 0.541818
us_000473941,0.998385, 0.541818
us_000476825,0.998385, 0.541818
us_000474333,0.998385, 0.541818
us_000479675,0.998385, 0.541818
us_000523196,0.998385, 0.541818
us_000476185,0.998385, 0.541818
us_000530337,0.998385, 0.541818
us_000523425,0.998385, 0.541818
us_000482529,0.998385, 0.541818
us_000531393,0.998385, 0.541818
us_000499780,0.998385, 0.543427
us_000473637,0.998385, 0.543557
us_000486554,0.998385, 0.543722
us_000467756,0.998385, 0.548534
us_000489635,0.998385, 0.548978
us_000476164,0.998385, 0.698920
us_000545428,0.881449, 0.000000
us_000511267,0.881449, 0.000000
us_000498476,0.881449, 0.000000
us_000564725,0.881449, 0.000000
us_000493569,0.881449, 0.000000
us_000517594,0.881449, 0.000000
us_000551482,0.881449, 0.000000
us_000559083,0.881449, 0.000000
us_000490953,0.881449, 0.000000
us_000548200,0.881449, 0.000000
pr_000263607,0.881449, 0.000000
pr_000887822,0.881449, 0.000037
pr_000589728,0.881449, 0.000037
pr_000693274,0.881449, 0.000139
pr_000875496,0.881449, 0.000139
pr_000885934,0.881449, 0.000263
pr_001954428,0.881449, 0.000342
pr_000932101,0.881449, 0.000376
pr_000897138,0.881449, 0.000390
pr_000721844,0.881449, 0.000538
us_000494221,0.881449, 0.000962
us_000596402,0.881449, 0.001043
us_000596202,0.881449, 0.001043
us_000590993,0.881449, 0.001786
us_000513069,0.881449, 0.002545
us_000598757,0.881449, 0.003428
us_000515958,0.881449, 0.003523
us_000497526,0.881449, 0.003659
us_000520122,0.881449, 0.003817
us_000597940,0.881449, 0.004260
us_000473915,0.881449, 0.005003
us_000471415,0.881449, 0.005681
us_000596502,0.881449, 0.005732
us_000467526,0.881449, 0.006936
us_000478542,0.881449, 0.011314
us_000381768,0.881449, 0.014497
us_000508992,0.881449, 0.016288
us_000479491,0.881449, 0.017811
us_000503522,0.881449, 0.026200
us_000596559,0.881449, 0.039424
us_000591176,0.881449, 0.134290
us_000388616,0.881449, 0.147274
us_000524491,0.881449, 0.397020
us_000483532,0.881449, 0.399214
us_000486038,0.881449, 0.400173
us_000474088,0.881449, 0.470162
us_000476655,0.881449, 0.498829
us_000524499,0.881449, 0.501017
us_000474539,0.881449, 0.507485
us_000530502,0.881449, 0.523829
pr_000161321,0.647750, 0.000000
pr_000159609,0.647750, 0.000000
pr_000165516,0.647750, 0.000000
pr_000169614,0.647750, 0.000000
