Product ID : 903 # of JPs covered : 1 : 186 : Acct-Tax, 
us_000476549,1.000000, 1.116762
us_000476233,1.000000, 1.121883
us_000490437,1.000000, 1.124221
us_000470002,1.000000, 1.125500
us_000472378,1.000000, 1.125598
us_000478403,1.000000, 1.127493
us_000461602,1.000000, 1.127502
us_000470172,1.000000, 1.128096
us_000439009,1.000000, 1.129507
us_000581980,1.000000, 1.131101
us_000358672,1.000000, 1.132519
us_000466833,1.000000, 1.132588
us_000231161,1.000000, 1.136839
us_000339568,1.000000, 1.140044
us_000120382,1.000000, 1.142070
us_000229406,1.000000, 1.143547
us_000474697,1.000000, 1.143808
us_000449065,1.000000, 1.144482
us_000458701,1.000000, 1.147652
us_000479440,1.000000, 1.148170
us_000362179,1.000000, 1.149605
us_000477105,1.000000, 1.151798
us_000463354,1.000000, 1.154727
us_000459398,1.000000, 1.154792
us_000323991,1.000000, 1.154849
us_000480852,1.000000, 1.154863
us_000461204,1.000000, 1.155331
us_000461211,1.000000, 1.155626
us_000466524,1.000000, 1.156125
us_000480466,1.000000, 1.157565
us_000492793,1.000000, 1.158406
us_000475996,1.000000, 1.159883
us_000031926,1.000000, 1.163584
us_000465907,1.000000, 1.165491
us_000468505,1.000000, 1.166213
us_000466551,1.000000, 1.170449
us_000462767,1.000000, 1.171636
us_000488515,1.000000, 1.171636
us_000463104,1.000000, 1.174139
us_000487929,1.000000, 1.176138
us_000461201,1.000000, 1.188431
us_000490827,1.000000, 1.201392
us_000540135,1.000000, 1.323298
us_000407185,1.000000, 1.618640
us_000528481,0.941870, 0.000000
pr_001141648,0.941870, 0.000000
pr_001063302,0.941870, 0.000000
pr_001699444,0.941870, 0.000000
pr_001796222,0.941870, 0.000000
pr_000817872,0.941870, 0.000006
pr_001155277,0.941870, 0.000010
us_000547920,0.941870, 0.000067
pr_000729907,0.941870, 0.000089
pr_000700769,0.941870, 0.000143
pr_000712991,0.941870, 0.000154
us_000600216,0.941870, 0.000239
pr_000982273,0.941870, 0.000498
pr_000555556,0.941870, 0.001103
pr_001142250,0.941870, 0.001574
pr_000556745,0.941870, 0.003263
pr_000644964,0.941870, 0.007012
us_000598270,0.941870, 0.030607
us_000597760,0.941870, 0.084556
us_000467306,0.941870, 0.770982
us_000462194,0.941870, 1.214974
us_000466048,0.941870, 1.413274
us_000327696,0.941870, 1.413296
us_000466516,0.941870, 1.569079
us_000463707,0.941870, 1.611868
us_000469034,0.941870, 1.612575
us_000475833,0.941870, 1.619728
us_000459811,0.941870, 1.622212
us_000461592,0.941870, 1.663848
us_000462690,0.941870, 1.676778
us_000460589,0.941870, 1.688534
us_000461878,0.941870, 1.692430
us_000183367,0.941870, 1.752261
us_000463711,0.941870, 1.765738
us_000272393,0.941870, 1.793565
us_000470486,0.941870, 1.799583
us_000466075,0.941870, 1.810270
us_000465081,0.941870, 1.826386
us_000466111,0.941870, 1.833931
us_000173213,0.941870, 1.860645
us_000459159,0.941870, 1.886182
us_000408146,0.941870, 1.891862
us_000464187,0.941870, 1.936912
us_000328580,0.941870, 1.950012
us_000280579,0.941870, 1.968082
us_000535434,0.941870, 1.993668
us_000273762,0.941870, 1.994789
us_000470518,0.941870, 2.012130
us_000459450,0.941870, 2.037652
us_000459167,0.941870, 2.050788
us_000483427,0.941870, 2.058818
us_000460612,0.941870, 2.101273
us_000273423,0.941870, 2.115176
us_000459198,0.941870, 2.131250
us_000597683,0.941870, 2.141341
us_000470535,0.941870, 2.284355
us_000557882,0.941870, 2.293568
us_000516889,0.921209, 0.000000
us_000505538,0.921209, 0.000000
us_000548763,0.921209, 0.000000
us_000548684,0.921209, 0.000000
us_000530883,0.921209, 0.000000
us_000483417,0.921209, 0.000427
us_000468375,0.921209, 0.640392
us_000475809,0.921209, 0.695677
us_000458506,0.921209, 0.764838
us_000475451,0.921209, 0.790226
us_000195817,0.921209, 0.801313
us_000237348,0.921209, 0.829326
us_000467258,0.921209, 0.853754
us_000019407,0.921209, 0.856574
us_000460007,0.921209, 0.863810
us_000471944,0.921209, 0.867745
us_000471822,0.921209, 0.871607
us_000454538,0.921209, 0.878101
us_000473005,0.921209, 0.899799
us_000515890,0.921209, 0.904435
us_000463527,0.921209, 0.904988
us_000397468,0.921209, 0.905459
us_000486041,0.921209, 0.905901
us_000473645,0.921209, 0.908485
us_000478291,0.921209, 0.910125
us_000480077,0.921209, 0.913068
us_000516548,0.921209, 0.917211
us_000478286,0.921209, 0.919191
us_000510605,0.921209, 0.920709
us_000465516,0.921209, 0.921148
us_000478919,0.921209, 0.923399
us_000474403,0.921209, 0.928063
us_000492377,0.921209, 0.930348
us_000504787,0.921209, 0.932822
us_000482353,0.921209, 0.940658
us_000471776,0.921209, 0.942244
us_000470734,0.921209, 0.942599
us_000467833,0.921209, 0.947289
us_000474160,0.921209, 1.389878
us_000475107,0.890675, 0.081527
us_000537869,0.890675, 0.216617
us_000473816,0.890675, 0.236939
us_000396870,0.890675, 0.256659
us_000476087,0.890675, 0.267545
us_000464824,0.890675, 0.284530
us_000242989,0.890675, 0.293667
us_000558414,0.890675, 0.296082
us_000465156,0.890675, 0.296744
us_000460975,0.890675, 0.296744
us_000464043,0.890675, 0.296744
us_000468066,0.890675, 0.297106
us_000017262,0.890675, 0.299634
us_000471223,0.890675, 0.324056
us_000478024,0.890675, 0.328417
us_000489009,0.890675, 0.328417
us_000469146,0.890675, 0.328417
us_000463203,0.890675, 0.328417
us_000464672,0.890675, 0.331073
us_000538241,0.890675, 0.341604
us_000464618,0.890675, 0.347547
us_000470851,0.890675, 0.348199
us_000328809,0.890675, 0.348199
us_000480378,0.890675, 0.354924
us_000482386,0.890675, 0.354924
us_000482351,0.890675, 0.354924
us_000461237,0.890675, 0.354924
us_000354752,0.890675, 0.354924
us_000465522,0.890675, 0.357648
us_000464894,0.890675, 0.358310
us_000478545,0.890675, 0.358310
us_000471422,0.890675, 0.358310
us_000458646,0.890675, 0.358310
us_000479415,0.890675, 0.358310
us_000464009,0.890675, 0.361713
us_000469666,0.890675, 0.361713
us_000465286,0.890675, 0.361713
us_000464505,0.890675, 0.361713
us_000492651,0.890675, 0.361713
us_000492473,0.890675, 0.361713
us_000187141,0.890675, 0.361713
us_000465183,0.890675, 0.361713
us_000474304,0.890675, 0.361713
us_000465216,0.890675, 0.361713
us_000464016,0.890675, 0.361713
us_000459392,0.890675, 0.361713
us_000483582,0.890675, 0.361713
us_000464458,0.890675, 0.361713
us_000489188,0.890675, 0.361713
us_000464074,0.890675, 0.361713
us_000358428,0.890675, 0.361713
us_000465664,0.890675, 0.361713
us_000592001,0.890675, 0.362703
us_000466877,0.890675, 0.366527
us_000475747,0.890675, 0.368567
us_000458716,0.890675, 0.368567
us_000475722,0.890675, 0.368567
us_000506632,0.890675, 0.369338
us_000471101,0.890675, 0.372018
us_000466290,0.890675, 0.374187
us_000482677,0.890675, 0.382469
us_000470718,0.890675, 0.382469
us_000461012,0.890675, 0.385986
us_000492335,0.890675, 0.385986
us_000490894,0.890675, 0.389518
us_000469684,0.890675, 0.389518
us_000465446,0.890675, 0.389518
us_000475148,0.890675, 0.391355
us_000465562,0.890675, 0.391761
us_000471144,0.890675, 0.391761
us_000482029,0.890675, 0.392591
us_000465366,0.890675, 0.393067
us_000466467,0.890675, 0.393067
us_000476953,0.890675, 0.393067
us_000470834,0.890675, 0.393067
us_000472502,0.890675, 0.393067
us_000466938,0.890675, 0.393067
us_000470752,0.890675, 0.393067
us_000549009,0.890675, 0.396490
us_000469137,0.890675, 0.396632
us_000464068,0.890675, 0.396632
us_000490071,0.890675, 0.396632
us_000483733,0.890675, 0.396632
us_000466793,0.890675, 0.396632
us_000462553,0.890675, 0.396632
us_000467436,0.890675, 0.396632
us_000476780,0.890675, 0.396632
us_000492382,0.890675, 0.396632
us_000483397,0.890675, 0.396632
us_000479787,0.890675, 0.396632
us_000465163,0.890675, 0.396632
us_000467492,0.890675, 0.397481
us_000470165,0.890675, 0.397622
us_000460150,0.890675, 0.400713
us_000473377,0.890675, 0.403810
us_000475742,0.890675, 0.403810
us_000400042,0.890675, 0.411054
us_000472289,0.890675, 0.414038
us_000477004,0.890675, 0.414700
us_000462255,0.890675, 0.414700
us_000477123,0.890675, 0.414700
us_000476936,0.890675, 0.418362
us_000028145,0.890675, 0.418362
us_000482800,0.890675, 0.418362
us_000464121,0.890675, 0.418362
us_000493432,0.890675, 0.418362
us_000468940,0.890675, 0.418362
us_000461793,0.890675, 0.418362
us_000462231,0.890675, 0.418362
us_000493433,0.890675, 0.418362
us_000483667,0.890675, 0.418362
us_000464789,0.890675, 0.418362
us_000469610,0.890675, 0.418362
us_000475083,0.890675, 0.420394
us_000488349,0.890675, 0.421379
us_000463840,0.890675, 0.422004
us_000462069,0.890675, 0.422041
us_000461024,0.890675, 0.422041
us_000487008,0.890675, 0.422041
us_000458862,0.890675, 0.422041
us_000479652,0.890675, 0.422041
us_000473634,0.890675, 0.422041
us_000469566,0.890675, 0.422041
us_000465135,0.890675, 0.422041
us_000483496,0.890675, 0.422041
us_000475075,0.890675, 0.422041
us_000462077,0.890675, 0.422041
us_000491011,0.890675, 0.422041
us_000372932,0.890675, 0.422041
us_000462092,0.890675, 0.422041
us_000608131,0.890675, 0.425074
us_000461550,0.890675, 0.425183
us_000475649,0.890675, 0.425559
us_000610858,0.890675, 0.425736
us_000461544,0.890675, 0.425736
us_000463340,0.890675, 0.425736
us_000493074,0.890675, 0.425736
us_000493044,0.890675, 0.425736
us_000476721,0.890675, 0.425736
us_000480380,0.890675, 0.425736
us_000461532,0.890675, 0.425736
us_000474849,0.890675, 0.425736
us_000469783,0.890675, 0.425736
us_000475764,0.890675, 0.425736
us_000471221,0.890675, 0.425736
us_000461551,0.890675, 0.425736
us_000471248,0.890675, 0.425736
us_000493081,0.890675, 0.425736
us_000013316,0.890675, 0.425736
us_000461478,0.890675, 0.425736
us_000482384,0.890675, 0.425736
us_000471372,0.890675, 0.425736
us_000173605,0.890675, 0.425736
us_000478818,0.890675, 0.425736
us_000471425,0.890675, 0.425736
us_000471481,0.890675, 0.425736
us_000461552,0.890675, 0.425736
us_000490939,0.890675, 0.425736
us_000493135,0.890675, 0.425736
us_000489915,0.890675, 0.425736
us_000480379,0.890675, 0.425736
us_000468748,0.890675, 0.425852
us_000476439,0.890675, 0.427702
us_000611684,0.890675, 0.428785
us_000464834,0.890675, 0.429132
us_000466043,0.890675, 0.429376
us_000464885,0.890675, 0.429447
us_000232847,0.890675, 0.429447
us_000462266,0.890675, 0.429447
us_000467347,0.890675, 0.429447
us_000476216,0.890675, 0.429447
us_000465586,0.890675, 0.429447
us_000474802,0.890675, 0.429447
us_000463084,0.890675, 0.429447
us_000466072,0.890675, 0.429447
us_000472983,0.890675, 0.429447
us_000466852,0.890675, 0.429447
us_000463128,0.890675, 0.429447
us_000473060,0.890675, 0.429447
us_000262710,0.890675, 0.429447
us_000473099,0.890675, 0.429447
us_000483698,0.890675, 0.429447
us_000475314,0.890675, 0.429447
us_000473327,0.890675, 0.429447
us_000476603,0.890675, 0.429447
us_000470865,0.890675, 0.429447
us_000491896,0.890675, 0.429447
us_000470117,0.890675, 0.429447
us_000493881,0.890675, 0.429447
us_000488178,0.890675, 0.429447
us_000018085,0.890675, 0.429447
us_000492883,0.890675, 0.429447
us_000483539,0.890675, 0.429447
us_000472056,0.890675, 0.429447
us_000464878,0.890675, 0.429447
us_000487581,0.890675, 0.429447
us_000467364,0.890675, 0.429447
us_000472358,0.890675, 0.429447
us_000475331,0.890675, 0.429447
us_000483699,0.890675, 0.429447
us_000464939,0.890675, 0.429447
us_000478243,0.890675, 0.429447
us_000491241,0.890675, 0.429447
us_000486188,0.890675, 0.429447
us_000473271,0.890675, 0.429447
us_000467333,0.890675, 0.429447
us_000476188,0.890675, 0.429447
us_000474932,0.890675, 0.429447
us_000493974,0.890675, 0.429447
us_000465547,0.890675, 0.429447
us_000464931,0.890675, 0.429447
us_000262712,0.890675, 0.429447
us_000470764,0.890675, 0.429447
us_000488080,0.890675, 0.429447
us_000476915,0.890675, 0.429447
us_000470933,0.890675, 0.429447
us_000472945,0.890675, 0.429447
us_000464919,0.890675, 0.429447
us_000477174,0.890675, 0.429447
us_000475711,0.890675, 0.429447
us_000483511,0.890675, 0.429603
us_000480657,0.890675, 0.430296
us_000460813,0.890675, 0.430436
us_000470693,0.890675, 0.430437
us_000470106,0.890675, 0.430712
us_000464641,0.890675, 0.431868
us_000469668,0.890675, 0.431868
us_000487060,0.890675, 0.432125
us_000603874,0.890675, 0.432125
us_000487579,0.890675, 0.432337
us_000492980,0.890675, 0.432512
us_000476678,0.890675, 0.432621
us_000487582,0.890675, 0.432621
us_000033435,0.890675, 0.432717
us_000461084,0.890675, 0.432738
us_000465817,0.890675, 0.433103
us_000489536,0.890675, 0.433103
us_000471381,0.890675, 0.433125
us_000472163,0.890675, 0.433125
us_000491639,0.890675, 0.433174
us_000471576,0.890675, 0.433174
us_000476939,0.890675, 0.433174
us_000465251,0.890675, 0.433174
us_000473948,0.890675, 0.433174
us_000464591,0.890675, 0.433174
us_000464006,0.890675, 0.433174
us_000490538,0.890675, 0.433174
us_000473160,0.890675, 0.433174
us_000465233,0.890675, 0.433174
us_000462304,0.890675, 0.433174
us_000458675,0.890675, 0.433174
us_000462469,0.890675, 0.433174
us_000282156,0.890675, 0.433174
us_000464362,0.890675, 0.433174
us_000477311,0.890675, 0.433174
us_000489541,0.890675, 0.433174
us_000480454,0.890675, 0.433174
us_000164623,0.890675, 0.433174
us_000492564,0.890675, 0.433174
us_000469119,0.890675, 0.433174
us_000480366,0.890675, 0.433174
us_000492858,0.890675, 0.433174
us_000483451,0.890675, 0.433174
us_000464650,0.890675, 0.433174
us_000461606,0.890675, 0.433174
us_000486594,0.890675, 0.433174
us_000476407,0.890675, 0.433174
us_000471843,0.890675, 0.433174
us_000225948,0.890675, 0.433174
us_000475042,0.890675, 0.433174
us_000465128,0.890675, 0.433174
us_000493012,0.890675, 0.433174
us_000465093,0.890675, 0.433174
us_000489045,0.890675, 0.433174
us_000470164,0.890675, 0.433174
us_000465265,0.890675, 0.433174
us_000462327,0.890675, 0.433174
us_000476042,0.890675, 0.433174
us_000463167,0.890675, 0.433174
us_000357068,0.890675, 0.433174
us_000458674,0.890675, 0.433174
us_000476693,0.890675, 0.433174
us_000606699,0.890675, 0.433174
us_000476696,0.890675, 0.433174
us_000033612,0.890675, 0.433174
us_000465162,0.890675, 0.433174
us_000014025,0.890675, 0.433174
us_000488100,0.890675, 0.433174
us_000493646,0.890675, 0.433174
us_000465813,0.890675, 0.433174
us_000275394,0.890675, 0.433174
us_000458846,0.890675, 0.433174
us_000472304,0.890675, 0.433174
us_000492554,0.890675, 0.433174
us_000484658,0.890675, 0.433174
us_000478026,0.890675, 0.433174
us_000482061,0.890675, 0.433174
us_000464592,0.890675, 0.433174
us_000473395,0.890675, 0.433174
us_000470886,0.890675, 0.433174
us_000465174,0.890675, 0.433174
us_000464567,0.890675, 0.433174
us_000486827,0.890675, 0.433174
us_000473912,0.890675, 0.433174
us_000273856,0.890675, 0.433174
us_000492735,0.890675, 0.433174
us_000397660,0.890675, 0.433174
us_000373877,0.890675, 0.433174
us_000440730,0.890675, 0.433174
us_000474660,0.890675, 0.433174
us_000464462,0.890675, 0.433174
us_000473157,0.890675, 0.433174
us_000486248,0.890675, 0.433174
us_000488019,0.890675, 0.433174
us_000474705,0.890675, 0.433174
us_000453616,0.890675, 0.433174
us_000484676,0.890675, 0.433174
us_000483744,0.890675, 0.433174
us_000465095,0.890675, 0.433174
us_000483138,0.890675, 0.433174
us_000478038,0.890675, 0.433174
us_000458551,0.890675, 0.433174
us_000492823,0.890675, 0.433174
us_000484480,0.890675, 0.433174
us_000489370,0.890675, 0.433174
us_000462459,0.890675, 0.433174
us_000464631,0.890675, 0.433174
us_000464375,0.890675, 0.433174
us_000473688,0.890675, 0.433174
us_000606360,0.890675, 0.433174
us_000493701,0.890675, 0.433174
us_000466750,0.890675, 0.433174
us_000463500,0.890675, 0.433174
us_000290772,0.890675, 0.433174
us_000489528,0.890675, 0.433174
us_000476682,0.890675, 0.433174
us_000462479,0.890675, 0.433174
us_000477371,0.890675, 0.433174
us_000484729,0.890675, 0.433174
us_000604649,0.890675, 0.433174
us_000469635,0.890675, 0.433174
us_000474606,0.890675, 0.433174
us_000475513,0.890675, 0.433174
us_000488169,0.890675, 0.433174
us_000477418,0.890675, 0.433174
us_000476814,0.890675, 0.433174
us_000479273,0.890675, 0.433174
us_000464504,0.890675, 0.433174
us_000492783,0.890675, 0.433174
us_000472410,0.890675, 0.433174
us_000471600,0.890675, 0.433174
us_000486472,0.890675, 0.433174
us_000221554,0.890675, 0.433174
us_000476555,0.890675, 0.433174
us_000476831,0.890675, 0.433174
us_000467066,0.890675, 0.433174
us_000604761,0.890675, 0.433174
us_000467048,0.890675, 0.433174
us_000465140,0.890675, 0.433174
us_000272407,0.890675, 0.433174
us_000336991,0.890675, 0.433174
us_000492703,0.890675, 0.433174
us_000490727,0.890675, 0.433174
us_000476861,0.890675, 0.433174
us_000460971,0.890675, 0.433174
us_000465179,0.890675, 0.433174
us_000601303,0.890675, 0.433174
us_000489736,0.890675, 0.433174
us_000460407,0.890675, 0.433174
us_000478912,0.890675, 0.433174
us_000484014,0.890675, 0.433174
us_000464464,0.890675, 0.433174
us_000470709,0.890675, 0.433174
us_000478236,0.890675, 0.433174
us_000275016,0.890675, 0.433174
us_000462322,0.890675, 0.433174
us_000483547,0.890675, 0.433174
us_000483544,0.890675, 0.433174
us_000464273,0.890675, 0.433174
us_000361877,0.890675, 0.433174
us_000476130,0.890675, 0.433174
us_000483359,0.890675, 0.433174
us_000484264,0.890675, 0.433174
us_000466620,0.890675, 0.433174
us_000610825,0.890675, 0.433174
us_000487589,0.890675, 0.433174
us_000473403,0.890675, 0.433174
us_000463501,0.890675, 0.433174
us_000414715,0.890675, 0.433174
us_000464542,0.890675, 0.433174
us_000466874,0.890675, 0.433174
us_000483462,0.890675, 0.433174
us_000467196,0.890675, 0.433174
us_000463827,0.890675, 0.433174
us_000467414,0.890675, 0.433174
us_000482835,0.890675, 0.433174
us_000605002,0.890675, 0.433174
us_000489788,0.890675, 0.433174
us_000482195,0.890675, 0.433174
us_000472459,0.890675, 0.433174
us_000257863,0.890675, 0.433174
us_000615175,0.890675, 0.433174
us_000462394,0.890675, 0.433174
us_000461673,0.890675, 0.433174
us_000474637,0.890675, 0.433174
us_000492978,0.890675, 0.433174
us_000484358,0.890675, 0.433174
us_000611851,0.890675, 0.433174
us_000465631,0.890675, 0.433174
us_000465136,0.890675, 0.433255
us_000463930,0.890675, 0.433309
us_000475792,0.890675, 0.433502
us_000479269,0.890675, 0.433606
us_000476817,0.890675, 0.434165
us_000470700,0.890675, 0.434165
us_000372938,0.890675, 0.434165
us_000216870,0.890675, 0.434969
us_000476847,0.890675, 0.435185
us_000486923,0.890675, 0.435190
us_000461674,0.890675, 0.435852
us_000476711,0.890675, 0.435997
us_000361930,0.890675, 0.436701
us_000458493,0.890675, 0.436840
us_000486534,0.890675, 0.438976
us_000473348,0.890675, 0.443306
us_000479804,0.890675, 0.444454
us_000468856,0.890675, 0.446258
us_000465092,0.890675, 0.452304
us_000464387,0.890675, 0.452304
us_000482237,0.890675, 0.460806
us_000474500,0.890675, 0.460962
us_000272533,0.890675, 0.462242
us_000469933,0.890675, 0.464653
us_000486250,0.890675, 0.465312
us_000472396,0.890675, 0.467169
us_000478265,0.890675, 0.472174
us_000288319,0.890675, 0.472174
us_000459989,0.890675, 0.472174
us_000463694,0.890675, 0.472174
us_000477456,0.890675, 0.474744
us_000467748,0.890675, 0.530185
us_000482853,0.890675, 0.596253
pr_001120587,0.888901, 0.000000
pr_001809337,0.888901, 0.000000
pr_001772432,0.888901, 0.000010
us_000474848,0.888901, 0.002798
us_000464525,0.888901, 0.005011
us_000474952,0.888901, 0.398992
us_000461310,0.888901, 0.414048
us_000478168,0.888901, 0.417614
us_000474835,0.888901, 0.424428
us_000169467,0.888901, 0.426351
us_000470602,0.888901, 0.430997
us_000471383,0.888901, 0.433371
us_000467535,0.888901, 0.459470
us_000473761,0.888901, 0.466597
us_000480368,0.888901, 0.468172
us_000467428,0.888901, 0.468172
us_000464391,0.888901, 0.468172
us_000486457,0.888901, 0.470469
us_000482702,0.888901, 0.474673
us_000233053,0.888901, 0.479290
us_000468759,0.888901, 0.480138
us_000471343,0.888901, 0.484374
us_000489385,0.888901, 0.484375
us_000473126,0.888901, 0.484375
us_000471360,0.888901, 0.486459
us_000048381,0.888901, 0.486544
us_000471292,0.888901, 0.489244
us_000466787,0.888901, 0.490041
us_000465935,0.888901, 0.490158
us_000326382,0.888901, 0.490158
us_000461744,0.888901, 0.490158
us_000475848,0.888901, 0.492172
us_000469388,0.888901, 0.492404
us_000312449,0.888901, 0.492730
us_000465900,0.888901, 0.492959
us_000490737,0.888901, 0.492959
us_000493239,0.888901, 0.493637
us_000490738,0.888901, 0.493637
us_000490051,0.888901, 0.493874
us_000265351,0.888901, 0.493874
us_000487398,0.888901, 0.493874
us_000472331,0.888901, 0.493874
us_000461077,0.888901, 0.493874
us_000476546,0.888901, 0.493874
us_000461615,0.888901, 0.493874
us_000252703,0.888901, 0.493874
us_000487863,0.888901, 0.493874
us_000461266,0.888901, 0.493874
us_000476230,0.888901, 0.493874
us_000464726,0.888901, 0.493874
us_000481006,0.888901, 0.495553
us_000463324,0.888901, 0.495981
us_000479313,0.888901, 0.496121
us_000601892,0.888901, 0.497146
us_000176472,0.888901, 0.497182
us_000487634,0.888901, 0.499963
us_000463024,0.888901, 0.500881
us_000471680,0.888901, 0.500881
us_000472656,0.888901, 0.502223
us_000611240,0.888901, 0.503119
us_000473090,0.888901, 0.503208
us_000285435,0.888901, 0.503395
us_000478081,0.888901, 0.503395
us_000118309,0.888901, 0.503395
us_000487278,0.888901, 0.503395
us_000459990,0.888901, 0.504360
us_000459290,0.888901, 0.504597
us_000486061,0.888901, 0.504597
us_000478121,0.888901, 0.504597
us_000464411,0.888901, 0.504597
us_000273879,0.888901, 0.506381
us_000486402,0.888901, 0.514327
us_000462090,0.888901, 0.515303
us_000459240,0.888901, 0.521050
us_000469467,0.888901, 0.521225
us_000536558,0.888901, 0.523959
us_000469213,0.888901, 0.525112
us_000308627,0.888901, 0.526088
us_000467997,0.888901, 0.527098
us_000469910,0.888901, 0.528089
us_000469873,0.888901, 0.528089
us_000486106,0.888901, 0.529596
us_000171468,0.888901, 0.534836
us_000491155,0.888901, 0.534905
us_000477929,0.888901, 0.534905
us_000468075,0.888901, 0.536622
us_000269387,0.888901, 0.538557
us_000428677,0.888901, 0.538767
us_000483931,0.888901, 0.540271
us_000486124,0.888901, 0.541256
us_000491357,0.888901, 0.541443
us_000277442,0.888901, 0.541443
us_000464694,0.888901, 0.542645
us_000510684,0.888901, 0.542645
us_000479476,0.888901, 0.542645
us_000467912,0.888901, 0.542645
us_000459040,0.888901, 0.542645
us_000141529,0.888901, 0.542645
us_000258679,0.888901, 0.542645
us_000479159,0.888901, 0.542645
us_000271586,0.888901, 0.550835
us_000514231,0.888901, 0.559632
us_000467089,0.888901, 0.566492
us_000474143,0.888901, 0.590188
us_000472956,0.888901, 0.593654
us_000547417,0.861391, 0.000000
us_000535988,0.861391, 0.000000
us_000463701,0.861391, 1.120264
us_000519844,0.861391, 1.313205
us_000466027,0.861391, 1.364391
us_000554089,0.861391, 1.421492
us_000467262,0.861391, 1.485193
us_000469854,0.861391, 1.511663
us_000471554,0.861391, 1.512004
us_000480565,0.861391, 1.512677
us_000462817,0.861391, 1.535746
us_000468968,0.861391, 1.552098
us_000469248,0.861391, 1.591394
us_000471534,0.861391, 1.612614
us_000469491,0.861391, 1.629602
pr_002122231,0.851527, 0.000000
pr_001827472,0.851527, 0.000001
us_000042343,0.851527, 0.392872
us_000149815,0.851527, 0.394225
us_000477130,0.851527, 0.396577
us_000475841,0.851527, 0.396577
us_000461960,0.851527, 0.396577
us_000483076,0.851527, 0.396577
us_000057568,0.851527, 0.396577
us_000477511,0.851527, 0.396577
us_000474501,0.851527, 0.400018
us_000477834,0.851527, 0.400160
us_000464826,0.851527, 0.400160
us_000470722,0.851527, 0.400160
us_000458562,0.851527, 0.400160
us_000475256,0.851527, 0.400160
us_000475085,0.851527, 0.400160
us_000469945,0.851527, 0.400160
us_000464100,0.851527, 0.400160
us_000464800,0.851527, 0.400160
us_000473485,0.851527, 0.403210
us_000156620,0.851527, 0.403760
us_000475187,0.851527, 0.403760
us_000461814,0.851527, 0.403760
us_000461034,0.851527, 0.403760
us_000465122,0.851527, 0.403760
us_000156036,0.851527, 0.403760
us_000488268,0.851527, 0.403760
us_000476571,0.851527, 0.403760
us_000475098,0.851527, 0.403760
us_000478759,0.851527, 0.403760
us_000461809,0.851527, 0.403760
us_000475069,0.851527, 0.404865
us_000330652,0.851527, 0.406823
us_000472599,0.851527, 0.406890
us_000462039,0.851527, 0.406890
us_000474898,0.851527, 0.407233
us_000465468,0.851527, 0.407310
us_000472246,0.851527, 0.407376
us_000466183,0.851527, 0.407376
us_000483449,0.851527, 0.407376
us_000478663,0.851527, 0.407376
us_000491148,0.851527, 0.407376
us_000535376,0.851527, 0.407376
us_000490366,0.851527, 0.407376
