Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
us_000495558,1.000000,0.000532
us_000521634,1.000000,0.023000
pr_001017955,0.999921,0.000000
pr_001090671,0.999921,0.000000
pr_000625378,0.999921,0.000000
pr_000994097,0.999921,0.000000
pr_002194513,0.999921,0.000062
pr_002102904,0.999921,0.000289
us_000598226,0.999921,1.390673
us_000578101,0.999921,2.258259
us_000535040,0.999921,2.294823
us_000581628,0.999921,2.408543
us_000461189,0.999921,2.534501
us_000521709,0.999921,2.659345
us_000521710,0.999921,2.692562
us_000593451,0.999921,2.719028
us_000521788,0.999921,2.731881
us_000598501,0.999921,2.745525
us_000559268,0.999921,2.761967
us_000594533,0.999921,2.837118
us_000502614,0.999921,2.895649
us_000575518,0.999921,2.913712
us_000553301,0.999921,3.169697
us_000553785,0.999921,3.209923
us_000553681,0.999921,3.216851
pr_001411024,0.984313,0.000000
us_000521579,0.984313,1.080922
us_000485778,0.984313,1.243412
us_000622724,0.984313,1.646892
us_000622840,0.984313,1.650637
us_000559264,0.984313,1.729030
us_000622811,0.984313,1.824896
us_000465070,0.984313,2.031144
us_000514607,0.984313,2.130295
us_000502639,0.984313,2.130465
us_000503184,0.984313,2.175382
us_000561174,0.984313,2.383593
us_000477624,0.984313,2.467927
us_000502859,0.984313,2.958060
pr_000227036,0.950959,0.000000
pr_001071500,0.950959,0.000000
pr_000188330,0.950959,0.000000
pr_001749086,0.950959,0.000000
pr_000584256,0.950959,0.000000
pr_000173341,0.950959,0.000000
pr_000861450,0.950959,0.000000
pr_000777142,0.950959,0.000000
pr_000814214,0.950959,0.000000
pr_000085808,0.950959,0.000000
pr_000586289,0.950959,0.000000
pr_000989862,0.950959,0.000000
pr_000075026,0.950959,0.000000
pr_000528104,0.950959,0.000000
pr_000262688,0.950959,0.000000
pr_001696815,0.950959,0.000000
pr_001845185,0.950959,0.000000
pr_000828434,0.950959,0.000000
pr_000105497,0.950959,0.000000
pr_001623943,0.950959,0.000000
pr_000266574,0.950959,0.000000
pr_000765147,0.950959,0.000000
pr_000001684,0.950959,0.000000
pr_001825785,0.950959,0.000000
pr_000852715,0.950959,0.000000
pr_000709507,0.950959,0.000000
us_000535039,0.950959,0.152815
us_000535068,0.950959,0.164431
us_000535054,0.950959,0.205890
us_000562317,0.950959,0.226234
us_000621224,0.950959,0.226450
us_000548388,0.950959,0.236674
us_000621721,0.950959,0.239193
us_000568424,0.950959,0.269489
us_000617814,0.950959,0.273296
us_000568062,0.950959,0.278765
us_000621217,0.950959,0.284749
us_000622197,0.950959,0.291634
us_000580224,0.950959,0.292174
us_000622100,0.950959,0.292357
us_000618010,0.950959,0.303003
us_000598937,0.950959,0.307742
us_000588459,0.950959,0.315266
us_000531451,0.950959,0.317625
us_000548066,0.950959,0.319629
us_000617999,0.950959,0.320078
us_000617838,0.950959,0.323562
us_000617375,0.950959,0.329787
us_000533094,0.950959,0.331163
us_000596222,0.950959,0.338799
us_000595352,0.950959,0.344673
us_000622769,0.950959,0.345148
us_000560261,0.950959,0.345612
us_000618770,0.950959,0.348140
us_000618486,0.950959,0.348832
us_000532628,0.950959,0.354814
us_000622211,0.950959,0.356880
us_000592296,0.950959,0.357006
us_000622135,0.950959,0.357572
us_000622733,0.950959,0.358621
us_000544147,0.950959,0.365884
us_000619778,0.950959,0.368308
us_000544688,0.950959,0.368500
us_000619458,0.950959,0.369662
us_000619457,0.950959,0.369662
us_000619456,0.950959,0.369662
us_000619454,0.950959,0.369662
us_000619455,0.950959,0.369662
us_000619453,0.950959,0.369663
us_000619452,0.950959,0.369663
us_000619451,0.950959,0.369663
us_000619450,0.950959,0.369663
us_000610146,0.950959,0.374873
us_000563152,0.950959,0.375421
us_000524636,0.950959,0.376605
us_000611056,0.950959,0.377543
us_000539345,0.950959,0.377694
us_000592553,0.950959,0.378340
us_000570334,0.950959,0.380007
us_000557653,0.950959,0.380354
us_000606431,0.950959,0.381104
us_000555788,0.950959,0.381791
us_000611085,0.950959,0.382332
us_000563172,0.950959,0.383679
us_000539676,0.950959,0.384551
us_000619796,0.950959,0.384970
us_000595467,0.950959,0.386105
us_000539167,0.950959,0.386689
us_000618688,0.950959,0.386845
us_000584301,0.950959,0.387766
us_000539769,0.950959,0.388241
us_000539708,0.950959,0.388605
us_000539712,0.950959,0.388712
us_000539730,0.950959,0.388808
us_000618942,0.950959,0.389091
us_000143951,0.950959,0.389387
us_000615502,0.950959,0.389989
us_000539776,0.950959,0.391174
us_000539522,0.950959,0.391408
us_000539380,0.950959,0.392345
us_000539760,0.950959,0.392387
us_000622639,0.950959,0.392667
us_000622627,0.950959,0.392679
us_000598462,0.950959,0.392811
us_000539688,0.950959,0.392869
us_000539729,0.950959,0.393074
us_000482581,0.950959,0.395298
us_000584369,0.950959,0.395862
us_000619439,0.950959,0.397631
us_000619980,0.950959,0.398119
us_000579720,0.950959,0.399904
us_000622800,0.950959,0.400314
