Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
us_000555788,0.896477,0.238642
us_000579989,0.896477,0.239978
us_000608073,0.896477,0.240551
us_000617375,0.896477,0.242060
us_000143951,0.896477,0.242856
us_000618010,0.896477,0.243982
us_000609140,0.896477,0.245173
us_000598462,0.896477,0.248710
us_000617999,0.896477,0.249752
us_000556607,0.896477,0.251035
us_000524636,0.896477,0.251844
us_000610146,0.896477,0.253924
us_000618486,0.896477,0.263708
us_000611085,0.896477,0.264518
us_000482581,0.896477,0.264767
us_000578771,0.896477,0.264797
us_000538794,0.896477,0.264893
us_000611056,0.896477,0.264992
us_000565642,0.896477,0.265105
us_000607008,0.896477,0.265251
us_000557251,0.896477,0.266956
us_000573889,0.896477,0.267281
us_000598750,0.896477,0.267757
us_000472814,0.896477,0.270577
us_000569648,0.896477,0.271108
us_000587723,0.896477,0.271496
us_000582252,0.896477,0.271890
us_000584369,0.896477,0.272037
us_000559376,0.896477,0.272757
us_000490218,0.896477,0.273322
us_000542059,0.896477,0.273475
us_000598294,0.896477,0.273854
us_000615399,0.896477,0.274272
us_000615380,0.896477,0.274280
us_000548390,0.896477,0.274769
pr_001934753,0.896477,0.275138
us_000609144,0.896477,0.276240
us_000609828,0.896477,0.276275
pr_001663210,0.896477,0.276507
us_000584506,0.896477,0.276563
us_000583831,0.896477,0.276572
us_000611247,0.896477,0.276940
us_000591516,0.896477,0.276983
us_000596574,0.896477,0.277078
us_000538806,0.896477,0.277130
us_000510314,0.896477,0.277324
us_000557253,0.896477,0.277834
us_000479950,0.896477,0.278054
us_000557279,0.896477,0.278323
pr_001611286,0.896477,0.279529
us_000584831,0.896477,0.279789
us_000565685,0.896477,0.280487
us_000581672,0.896477,0.280588
us_000610170,0.896477,0.280992
us_000512604,0.896477,0.281318
us_000468224,0.896477,0.282096
us_000606526,0.896477,0.282497
us_000494403,0.896477,0.282615
us_000500167,0.896477,0.282777
us_000565645,0.896477,0.284201
us_000598706,0.896477,0.285986
us_000472803,0.896477,0.286141
us_000532930,0.896477,0.286195
us_000556636,0.896477,0.286233
us_000587766,0.896477,0.286280
us_000586661,0.896477,0.288362
us_000588931,0.896477,0.289741
us_000573876,0.896477,0.290405
us_000565646,0.896477,0.290612
us_000576856,0.896477,0.290664
us_000523459,0.896477,0.291111
us_000586622,0.896477,0.291211
us_000587722,0.896477,0.291539
us_000587721,0.896477,0.291539
us_000592804,0.896477,0.294042
us_000616508,0.896477,0.294271
us_000598101,0.896477,0.294280
us_000598689,0.896477,0.294457
us_000568161,0.896477,0.294504
us_000537167,0.896477,0.294662
us_000586644,0.896477,0.294845
us_000599530,0.896477,0.295756
us_000618080,0.896477,0.296042
us_000593783,0.896477,0.296868
us_000567731,0.896477,0.297094
us_000586657,0.896477,0.297351
us_000586648,0.896477,0.297351
us_000587327,0.896477,0.297929
us_000534022,0.896477,0.298137
us_000510353,0.896477,0.298530
pr_001115139,0.896477,0.299404
us_000598172,0.896477,0.299533
us_000562317,0.896477,0.299640
us_000575111,0.896477,0.299990
pr_001816143,0.896477,0.300519
us_000570202,0.896477,0.300625
us_000538888,0.896477,0.300681
us_000616796,0.896477,0.301228
us_000616816,0.896477,0.301279
us_000616833,0.896477,0.301281
us_000588960,0.896477,0.302194
us_000547831,0.896477,0.302500
us_000587862,0.896477,0.302521
us_000599467,0.896477,0.302554
us_000563987,0.896477,0.303059
pr_001930348,0.896477,0.303172
pr_001146639,0.896477,0.303172
us_000588427,0.896477,0.303245
us_000565035,0.896477,0.303284
us_000565807,0.896477,0.303549
us_000618493,0.896477,0.303604
us_000512013,0.896477,0.304160
us_000512015,0.896477,0.304160
us_000618330,0.896477,0.304351
us_000618316,0.896477,0.304371
us_000563152,0.896477,0.304404
us_000554965,0.896477,0.305020
us_000468045,0.896477,0.305063
us_000592619,0.896477,0.305310
us_000592617,0.896477,0.305310
us_000554417,0.896477,0.305662
us_000577968,0.896477,0.305707
us_000466084,0.896477,0.305874
pr_001665531,0.896477,0.306073
pr_001663205,0.896477,0.306073
us_000513638,0.896477,0.306183
us_000239471,0.896477,0.306192
us_000586860,0.896477,0.306277
us_000532628,0.896477,0.306281
us_000560167,0.896477,0.306396
us_000599573,0.896477,0.306451
us_000599571,0.896477,0.306451
us_000500177,0.896477,0.306590
us_000599674,0.896477,0.307080
us_000599673,0.896477,0.307128
us_000570334,0.896477,0.307170
us_000472791,0.896477,0.307642
us_000470025,0.896477,0.307691
us_000584301,0.896477,0.307696
us_000468050,0.896477,0.307739
us_000573964,0.896477,0.307920
us_000563172,0.896477,0.308059
us_000589879,0.896477,0.308216
us_000557875,0.896477,0.308605
pr_001694457,0.896477,0.308781
us_000540954,0.896477,0.308839
us_000488318,0.896477,0.308944
us_000540029,0.896477,0.308947
us_000523242,0.896477,0.309035
us_000513305,0.896477,0.309164
us_000597910,0.896477,0.309252
us_000497597,0.896477,0.309673
pr_001767805,0.896477,0.309720
us_000499868,0.896477,0.309725
us_000233561,0.896477,0.309765
us_000616518,0.896477,0.309803
us_000616516,0.896477,0.309803
us_000544147,0.896477,0.309882
us_000597898,0.896477,0.310089
pr_001663198,0.896477,0.310210
us_000616221,0.896477,0.310609
us_000317920,0.896477,0.310820
us_000588594,0.896477,0.311127
us_000549455,0.896477,0.311131
us_000611937,0.896477,0.311265
us_000615943,0.896477,0.311354
pr_001767773,0.896477,0.311423
pr_001767226,0.896477,0.311423
pr_002124458,0.896477,0.311423
pr_002181082,0.896477,0.311423
us_000612015,0.896477,0.311504
us_000558812,0.896477,0.311647
pr_001583739,0.896477,0.311654
us_000602638,0.896477,0.311706
us_000537108,0.896477,0.311913
us_000587452,0.896477,0.311988
us_000615660,0.896477,0.312000
us_000615659,0.896477,0.312000
us_000615577,0.896477,0.312102
us_000600625,0.896477,0.312326
us_000554437,0.896477,0.312573
us_000539890,0.896477,0.312639
pr_001663206,0.896477,0.312852
us_000593690,0.896477,0.313146
us_000481212,0.896477,0.313312
us_000593015,0.896477,0.313589
us_000579996,0.896477,0.313589
pr_001654910,0.896477,0.313703
pr_001614842,0.896477,0.313703
us_000599602,0.896477,0.313849
us_000557597,0.896477,0.314215
us_000282944,0.896477,0.314368
us_000474799,0.896477,0.314418
us_000598147,0.896477,0.314485
us_000577069,0.896477,0.314511
us_000597952,0.896477,0.314592
us_000597948,0.896477,0.314614
us_000597947,0.896477,0.314615
us_000597946,0.896477,0.314615
us_000597911,0.896477,0.314625
us_000581611,0.896477,0.315106
us_000605752,0.896477,0.315118
us_000538796,0.896477,0.315212
us_000597026,0.896477,0.315275
us_000596888,0.896477,0.315396
us_000540224,0.896477,0.315538
pr_001397084,0.896477,0.315559
us_000596656,0.896477,0.315598
us_000596653,0.896477,0.315598
us_000596655,0.896477,0.315598
us_000578975,0.896477,0.316332
pr_001590707,0.896477,0.316345
pr_001913517,0.896477,0.316345
pr_002123358,0.896477,0.316345
pr_001655098,0.896477,0.316345
pr_001140701,0.896477,0.316345
pr_001685976,0.896477,0.316345
pr_001686108,0.896477,0.316345
pr_001115759,0.896477,0.316345
pr_001140263,0.896477,0.316378
pr_001397113,0.896477,0.316378
us_000581302,0.896477,0.316421
us_000574000,0.896477,0.316442
us_000573965,0.896477,0.316443
us_000573966,0.896477,0.316443
us_000573225,0.896477,0.316538
pr_000172117,0.896477,0.317065
us_000545668,0.896477,0.317263
us_000461086,0.896477,0.317468
us_000586797,0.896477,0.317477
us_000584146,0.896477,0.317604
us_000612139,0.896477,0.317654
us_000521577,0.896477,0.317713
us_000601803,0.896477,0.317963
us_000602169,0.896477,0.317963
us_000601836,0.896477,0.317963
us_000601739,0.896477,0.317963
us_000605103,0.896477,0.317963
us_000575116,0.896477,0.318011
us_000593453,0.896477,0.318164
pr_001640467,0.896477,0.318182
pr_002131448,0.896477,0.318182
pr_001914746,0.896477,0.318182
pr_002056351,0.896477,0.318182
us_000590177,0.896477,0.318193
pr_002099472,0.896477,0.318202
pr_001969519,0.896477,0.318202
us_000568975,0.896477,0.318569
us_000592621,0.896477,0.318679
us_000590181,0.896477,0.319011
us_000521562,0.896477,0.319260
us_000539380,0.896477,0.319326
us_000580847,0.896477,0.319377
us_000532821,0.896477,0.319594
us_000570200,0.896477,0.319594
us_000557375,0.896477,0.319672
us_000559377,0.896477,0.319762
us_000524327,0.896477,0.319878
us_000526476,0.896477,0.319993
us_000556954,0.896477,0.320122
us_000599045,0.896477,0.320274
us_000599044,0.896477,0.320275
us_000592998,0.896477,0.320312
us_000592988,0.896477,0.320313
pr_001960131,0.896477,0.320405
pr_001822693,0.896477,0.320405
pr_001397604,0.896477,0.320405
pr_001931297,0.896477,0.320405
pr_001975659,0.896477,0.320405
pr_001935908,0.896477,0.320405
us_000490349,0.896477,0.320633
us_000489515,0.896477,0.320646
us_000539522,0.896477,0.320694
us_000509345,0.896477,0.320728
us_000565706,0.896477,0.320875
us_000474513,0.896477,0.320896
us_000598413,0.896477,0.320946
us_000584143,0.896477,0.320976
us_000566485,0.896477,0.320984
us_000518159,0.896477,0.320985
us_000598302,0.896477,0.321019
us_000461093,0.896477,0.321204
us_000598027,0.896477,0.321235
us_000465858,0.896477,0.321300
us_000474734,0.896477,0.321300
us_000576960,0.896477,0.322154
us_000539759,0.896477,0.322249
us_000539769,0.896477,0.322284
us_000523890,0.896477,0.322329
us_000538955,0.896477,0.322355
us_000114121,0.896477,0.322398
us_000595973,0.896477,0.322702
us_000480534,0.896477,0.323019
pr_002118918,0.896477,0.323047
pr_001654956,0.896477,0.323047
pr_001652304,0.896477,0.323047
pr_001140272,0.896477,0.323047
pr_002123347,0.896477,0.323047
pr_002123423,0.896477,0.323047
pr_001651220,0.896477,0.323047
pr_001740179,0.896477,0.323047
pr_001739041,0.896477,0.323047
pr_001977375,0.896477,0.323047
pr_001900610,0.896477,0.323047
pr_001157962,0.896477,0.323047
pr_002118959,0.896477,0.323047
us_000573834,0.896477,0.323157
us_000522711,0.896477,0.323217
us_000599905,0.896477,0.323292
us_000579782,0.896477,0.323526
us_000544688,0.896477,0.323742
us_000568641,0.896477,0.323837
us_000583522,0.896477,0.324574
us_000583505,0.896477,0.324576
us_000496389,0.896477,0.324717
us_000491208,0.896477,0.324926
pr_001647458,0.896477,0.324960
us_000542071,0.896477,0.325034
us_000581995,0.896477,0.325116
us_000482640,0.896477,0.325208
us_000482566,0.896477,0.325227
us_000591261,0.896477,0.325421
us_000474149,0.896477,0.325492
us_000580130,0.896477,0.325604
us_000467371,0.896477,0.325759
us_000465887,0.896477,0.325856
us_000540403,0.896477,0.326005
us_000539037,0.896477,0.326076
us_000559624,0.896477,0.326453
us_000511470,0.896477,0.326598
us_000558243,0.896477,0.326675
us_000556895,0.896477,0.326874
us_000586921,0.896477,0.326973
us_000509658,0.896477,0.327000
us_000555289,0.896477,0.327100
us_000503672,0.896477,0.327102
pr_001953436,0.896477,0.327183
pr_001155362,0.896477,0.327183
pr_001912864,0.896477,0.327183
pr_002124456,0.896477,0.327183
pr_001971590,0.896477,0.327183
pr_001614612,0.896477,0.327183
us_000585949,0.896477,0.327255
us_000488298,0.896477,0.327419
us_000486281,0.896477,0.327455
us_000485872,0.896477,0.327462
us_000474744,0.896477,0.327647
us_000584399,0.896477,0.327650
us_000469383,0.896477,0.327740
us_000467134,0.896477,0.327803
us_000466928,0.896477,0.327808
us_000465944,0.896477,0.327834
us_000473442,0.896477,0.327890
us_000086369,0.896477,0.328012
us_000509763,0.896477,0.328156
us_000582137,0.896477,0.328245
us_000499914,0.896477,0.328406
us_000581126,0.896477,0.328466
us_000511471,0.896477,0.328500
us_000580526,0.896477,0.328591
pr_001666900,0.896477,0.328627
us_000540125,0.896477,0.329008
us_000539730,0.896477,0.329058
us_000539676,0.896477,0.329059
pr_001685973,0.896477,0.329103
us_000538984,0.896477,0.329125
us_000538795,0.896477,0.329147
us_000578213,0.896477,0.329149
us_000537072,0.896477,0.329268
us_000577346,0.896477,0.329318
us_000577246,0.896477,0.329327
us_000577141,0.896477,0.329358
us_000559642,0.896477,0.329479
us_000539712,0.896477,0.329688
pr_001140671,0.896477,0.329825
pr_002157695,0.896477,0.329825
pr_001815188,0.896477,0.329825
pr_001693497,0.896477,0.329825
pr_001929680,0.896477,0.329825
pr_001705258,0.896477,0.329825
pr_001635738,0.896477,0.329825
pr_001647159,0.896477,0.329825
pr_001957744,0.896477,0.329825
pr_001391567,0.896477,0.329825
pr_001818658,0.896477,0.329825
pr_001946862,0.896477,0.329825
pr_001630809,0.896477,0.329825
pr_001631762,0.896477,0.329825
pr_001148807,0.896477,0.329825
pr_001960249,0.896477,0.329825
pr_002124455,0.896477,0.329825
pr_001928822,0.896477,0.329825
pr_002076825,0.896477,0.329825
pr_001704723,0.896477,0.329825
pr_001911697,0.896477,0.329825
pr_001153337,0.896477,0.329825
pr_001595554,0.896477,0.329825
pr_001921416,0.896477,0.329825
pr_002132203,0.896477,0.329825
pr_001767863,0.896477,0.329825
pr_002228644,0.896477,0.329825
pr_002167966,0.896477,0.329825
pr_001117147,0.896477,0.329825
pr_001929424,0.896477,0.329825
pr_002090354,0.896477,0.329825
pr_001611104,0.896477,0.329825
pr_001717648,0.896477,0.329825
pr_001910819,0.896477,0.329825
pr_002083585,0.896477,0.329825
pr_001945308,0.896477,0.329825
pr_001605489,0.896477,0.329825
pr_001661340,0.896477,0.329825
pr_001583683,0.896477,0.329825
pr_001922767,0.896477,0.329825
pr_002185678,0.896477,0.329825
pr_001705254,0.896477,0.329825
us_000574518,0.896477,0.329831
us_000573962,0.896477,0.329925
us_000573960,0.896477,0.329925
us_000573956,0.896477,0.329925
us_000573860,0.896477,0.329932
us_000573812,0.896477,0.329939
us_000573802,0.896477,0.329956
us_000573599,0.896477,0.329971
us_000494064,0.896477,0.330042
us_000518209,0.896477,0.330258
us_000566663,0.896477,0.330880
us_000566661,0.896477,0.330880
us_000510646,0.896477,0.330931
us_000565130,0.896477,0.331018
us_000565115,0.896477,0.331022
us_000484338,0.896477,0.331050
us_000564531,0.896477,0.331072
us_000493941,0.896477,0.331615
us_000494026,0.896477,0.331719
us_000490279,0.896477,0.331755
us_000490171,0.896477,0.331756
us_000490135,0.896477,0.331762
us_000556221,0.896477,0.331806
pr_001140403,0.896477,0.331816
us_000556157,0.896477,0.331820
us_000474793,0.896477,0.332298
us_000473030,0.896477,0.332330
us_000472879,0.896477,0.332335
us_000472444,0.896477,0.332346
us_000103532,0.896477,0.332630
us_000466195,0.896477,0.332638
us_000540104,0.896477,0.332834
us_000539688,0.896477,0.332858
us_000538961,0.896477,0.332892
us_000336156,0.896477,0.332910
us_000100336,0.896477,0.332924
us_000247803,0.896477,0.332987
us_000487433,0.896477,0.333268
us_000509396,0.896477,0.333830
us_000507239,0.896477,0.333865
us_000505990,0.896477,0.333894
us_000503282,0.896477,0.333927
pr_001708114,0.896477,0.334039
us_000490022,0.896477,0.334218
us_000488974,0.896477,0.334235
us_000488350,0.896477,0.334246
