Product ID : 991 JPs covered : 87 : Energy, 
OID,Confidence at Map Node,Error at Map Node
us_000495935,0.890955, 0.000000
pr_000618132,0.890955, 0.000007
pr_001059081,0.890955, 0.000019
us_000487072,0.890955, 0.003240
pr_000653891,0.890955, 0.003555
us_000469261,0.890955, 0.021301
us_000472628,0.890955, 0.023399
us_000486296,0.890955, 1.255143
us_000554403,0.890955, 1.354187
us_000450965,0.890955, 1.397169
us_000228501,0.890955, 1.448989
us_000117504,0.890955, 1.497065
us_000508897,0.890955, 1.512733
us_000559000,0.890955, 1.573284
us_000591526,0.890955, 1.622000
pr_000183200,0.885487, 0.000000
us_000534935,0.885487, 0.000001
pr_000869542,0.885487, 0.000006
us_000538794,0.885487, 0.000007
us_000467317,0.885487, 0.000007
us_000539730,0.885487, 0.000007
pr_000974992,0.885487, 0.000018
us_000598937,0.885487, 0.000018
us_000574328,0.885487, 0.000041
us_000459887,0.885487, 0.000046
us_000473937,0.885487, 0.000046
us_000461294,0.885487, 0.000046
us_000463978,0.885487, 0.000046
us_000465630,0.885487, 0.000046
us_000465085,0.885487, 0.000046
us_000466418,0.885487, 0.000046
us_000465620,0.885487, 0.000046
us_000498340,0.885487, 0.000258
us_000480822,0.885487, 0.013166
us_000526109,0.885487, 0.034102
us_000509202,0.885487, 0.116603
us_000520611,0.885487, 0.869587
us_000562335,0.885487, 0.895487
us_000369086,0.885487, 0.923932
us_000498899,0.885487, 0.925308
us_000377048,0.885487, 0.975386
us_000486814,0.885487, 0.993582
us_000503097,0.885487, 0.994226
us_000602217,0.885487, 1.001628
us_000616202,0.885487, 1.012740
us_000520159,0.885487, 1.022259
us_000486795,0.885487, 1.024922
us_000503896,0.885487, 1.032528
us_000494223,0.885487, 1.037045
us_000597286,0.885487, 1.038160
us_000562171,0.885487, 1.040124
us_000492464,0.885487, 1.044406
us_000486717,0.885487, 1.050142
us_000584148,0.885487, 1.052393
us_000507824,0.885487, 1.053299
us_000492463,0.885487, 1.064253
us_000522993,0.885487, 1.091084
us_000481158,0.885487, 1.091757
us_000594439,0.885487, 1.092199
us_000463944,0.885487, 1.096649
us_000419974,0.885487, 1.096649
us_000469853,0.885487, 1.102910
us_000551187,0.885487, 1.110655
us_000472571,0.885487, 1.122892
us_000502185,0.885487, 1.124655
us_000465190,0.885487, 1.141383
us_000485534,0.885487, 1.149941
us_000568522,0.885487, 1.156421
us_000606089,0.885487, 1.157519
us_000461224,0.885487, 1.161246
us_000520911,0.885487, 1.162594
us_000592616,0.885487, 1.163409
us_000519976,0.885487, 1.163440
us_000485012,0.885487, 1.166646
us_000522531,0.885487, 1.177638
us_000502646,0.885487, 1.177638
us_000505372,0.885487, 1.177638
us_000503642,0.885487, 1.177638
us_000521200,0.885487, 1.177638
us_000498194,0.885487, 1.177638
us_000502841,0.885487, 1.177638
us_000522858,0.885487, 1.177638
us_000521943,0.885487, 1.177638
us_000521810,0.885487, 1.177638
us_000522226,0.885487, 1.177638
us_000548776,0.885487, 1.177890
us_000480323,0.885487, 1.178122
us_000470554,0.885487, 1.184468
us_000599186,0.885487, 1.185847
us_000551666,0.885487, 1.186359
us_000506920,0.885487, 1.187054
us_000592125,0.885487, 1.193075
us_000342764,0.885487, 1.211688
us_000606218,0.885487, 1.213560
us_000565292,0.885487, 1.229543
us_000569215,0.885487, 1.267665
us_000489696,0.885487, 1.289272
