Product ID : 2149 JPs covered : 377 : Energy-Renewable-Contracts, 
pr_000750931,0.316303, 0.000449
pr_000823781,0.316303, 0.000449
pr_000841315,0.316303, 0.000450
pr_000622291,0.316303, 0.000466
pr_001673589,0.316303, 0.000472
pr_001146818,0.316303, 0.000515
pr_002071238,0.316303, 0.000522
pr_000395368,0.316303, 0.000615
pr_000512838,0.316303, 0.000619
pr_000888672,0.316303, 0.000660
pr_000394395,0.316303, 0.000669
pr_000911143,0.316303, 0.000801
pr_000932121,0.316303, 0.000999
us_000493042,0.316303, 0.001067
pr_000396566,0.316303, 0.001300
pr_000347959,0.316303, 0.001351
us_000465967,0.316303, 0.001658
pr_001064873,0.316303, 0.001942
pr_001412940,0.316303, 0.003275
us_000520396,0.316303, 0.003548
us_000520377,0.316303, 0.006454
us_000591568,0.316303, 0.024226
us_000593371,0.316303, 0.175503
us_000597179,0.316303, 3.753362
us_000596935,0.316303, 3.763901
us_000478909,0.026517, 0.000001
pr_001061790,0.026517, 0.000001
pr_000720606,0.026517, 0.000001
pr_001061083,0.026517, 0.000001
us_000570776,0.026517, 0.000008
pr_001897476,0.026517, 0.000038
us_000508764,0.026517, 0.000056
us_000519572,0.026517, 0.000056
us_000460538,0.026517, 0.000056
us_000478273,0.026517, 0.000056
pr_001416779,0.026517, 0.000083
pr_001903862,0.026517, 0.000159
pr_001743491,0.026517, 0.000190
pr_000189966,0.026517, 0.000442
pr_001136044,0.026517, 0.000464
pr_000974154,0.026517, 0.000536
pr_000163892,0.026517, 0.000809
us_000526647,0.026517, 0.001171
pr_000177035,0.026517, 0.001662
us_000514295,0.026517, 0.003469
pr_001054958,0.026517, 0.005794
us_000572203,0.026517, 0.006421
us_000592774,0.026517, 0.010696
us_000470747,0.026517, 0.012642
us_000485778,0.026517, 0.066994
us_000477297,0.026517, 1.125872
us_000318376,0.026517, 1.143980
us_000491477,0.026517, 1.269838
us_000488108,0.026517, 1.275374
us_000471786,0.026517, 1.329634
us_000490000,0.026517, 1.398062
us_000523120,0.026517, 1.405536
us_000480087,0.026517, 1.408482
us_000483218,0.026517, 1.424756
us_000470970,0.026517, 1.438184
us_000473439,0.026517, 1.438388
us_000518878,0.026517, 1.449254
us_000501090,0.026517, 1.492857
us_000519446,0.026517, 1.495565
us_000527328,0.026517, 1.533592
us_000467765,0.026517, 1.544650
us_000525975,0.026517, 1.579762
us_000495445,0.026517, 1.588972
