Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
pr_001200085,0.000094,No Mappings With Chosen Products
pr_001569313,0.000027,No Mappings With Chosen Products
pr_001274668,0.000189,No Mappings With Chosen Products
pr_001553420,0.001185,No Mappings With Chosen Products
pr_001351287,0.000094,No Mappings With Chosen Products
pr_001013494,0.125350,No Mappings With Chosen Products
pr_001298272,0.000094,No Mappings With Chosen Products
pr_001171520,0.000092,No Mappings With Chosen Products
pr_001267561,0.000157,No Mappings With Chosen Products
pr_001959450,0.541874,No Mappings With Chosen Products
pr_001279597,0.000094,No Mappings With Chosen Products
us_000569260,0.000398,No Mappings With Chosen Products
pr_001230699,0.000094,No Mappings With Chosen Products
pr_001207056,0.000094,No Mappings With Chosen Products
us_000571774,0.006055,No Mappings With Chosen Products
pr_001347476,0.000198,No Mappings With Chosen Products
us_000605644,0.000094,No Mappings With Chosen Products
pr_001279204,0.000094,No Mappings With Chosen Products
pr_001198739,0.000198,No Mappings With Chosen Products
pr_001282243,0.000094,No Mappings With Chosen Products
pr_001260457,0.000092,No Mappings With Chosen Products
pr_001261282,0.000094,No Mappings With Chosen Products
pr_001317628,0.000093,No Mappings With Chosen Products
pr_001567486,0.000023,No Mappings With Chosen Products
pr_001231621,0.000094,No Mappings With Chosen Products
pr_001427451,0.000094,No Mappings With Chosen Products
us_000505928,0.127252,No Mappings With Chosen Products
pr_001529318,0.000810,No Mappings With Chosen Products
pr_001578897,0.000025,No Mappings With Chosen Products
pr_001202966,0.000094,No Mappings With Chosen Products
pr_001257828,0.000116,No Mappings With Chosen Products
pr_001374964,0.000190,No Mappings With Chosen Products
pr_001304871,0.000198,No Mappings With Chosen Products
pr_001250646,0.000136,No Mappings With Chosen Products
pr_001237107,0.000094,No Mappings With Chosen Products
us_000522771,0.000128,No Mappings With Chosen Products
pr_001367031,0.000198,No Mappings With Chosen Products
pr_001257233,0.000093,No Mappings With Chosen Products
pr_001188779,0.000094,No Mappings With Chosen Products
us_000505154,0.619902,No Mappings With Chosen Products
us_000458630,0.137074,No Mappings With Chosen Products
us_000551060,1.381295,No Mappings With Chosen Products
pr_001207565,0.000156,No Mappings With Chosen Products
us_000550139,1.613875,No Mappings With Chosen Products
pr_001576197,0.000027,No Mappings With Chosen Products
pr_001283076,0.000092,No Mappings With Chosen Products
pr_001255180,0.000094,No Mappings With Chosen Products
pr_001168400,0.000094,No Mappings With Chosen Products
pr_001168703,0.000094,No Mappings With Chosen Products
pr_001486280,0.000839,No Mappings With Chosen Products
pr_001331901,0.000093,No Mappings With Chosen Products
us_000554268,0.435430,No Mappings With Chosen Products
pr_001322159,0.000094,No Mappings With Chosen Products
us_000607851,2.241397,No Mappings With Chosen Products
pr_001209490,0.000141,No Mappings With Chosen Products
us_000554330,0.007409,No Mappings With Chosen Products
us_000621685,0.413901,No Mappings With Chosen Products
pr_001184796,0.000154,No Mappings With Chosen Products
pr_001208538,0.000094,No Mappings With Chosen Products
pr_001306928,0.000124,No Mappings With Chosen Products
us_000515327,0.104772,No Mappings With Chosen Products
pr_001278416,0.000094,No Mappings With Chosen Products
pr_001288233,0.000092,No Mappings With Chosen Products
us_000515385,0.000118,No Mappings With Chosen Products
pr_001196307,0.000094,No Mappings With Chosen Products
pr_001193084,0.000094,No Mappings With Chosen Products
pr_001205766,0.000198,No Mappings With Chosen Products
pr_001254418,0.000094,No Mappings With Chosen Products
pr_001292393,0.000152,No Mappings With Chosen Products
pr_001264847,0.000094,No Mappings With Chosen Products
us_000584676,2.122759,No Mappings With Chosen Products
pr_001243348,0.000094,No Mappings With Chosen Products
us_000508079,0.000087,No Mappings With Chosen Products
pr_001254787,0.000094,No Mappings With Chosen Products
pr_001540262,0.000783,No Mappings With Chosen Products
pr_001301082,0.000094,No Mappings With Chosen Products
us_000534402,2.916087,No Mappings With Chosen Products
us_000531429,0.016871,No Mappings With Chosen Products
pr_001226859,0.000094,No Mappings With Chosen Products
pr_001418210,0.000692,No Mappings With Chosen Products
pr_001200753,0.000932,No Mappings With Chosen Products
pr_001261737,0.000092,No Mappings With Chosen Products
pr_001574833,0.000027,No Mappings With Chosen Products
pr_001170027,0.000094,No Mappings With Chosen Products
pr_001349559,0.000122,No Mappings With Chosen Products
pr_001201916,0.000094,No Mappings With Chosen Products
pr_001329571,0.000094,No Mappings With Chosen Products
pr_001359264,0.000123,No Mappings With Chosen Products
us_000507714,0.012771,No Mappings With Chosen Products
pr_001243116,0.000094,No Mappings With Chosen Products
pr_001322660,0.000094,No Mappings With Chosen Products
pr_001904659,0.032966,No Mappings With Chosen Products
pr_001261053,0.000094,No Mappings With Chosen Products
pr_001298923,0.000944,No Mappings With Chosen Products
pr_001260831,0.000536,No Mappings With Chosen Products
pr_001291088,0.000094,No Mappings With Chosen Products
us_000509474,0.005728,No Mappings With Chosen Products
pr_001247281,0.000094,No Mappings With Chosen Products
pr_001219140,0.000198,No Mappings With Chosen Products
pr_001335836,0.000128,No Mappings With Chosen Products
pr_001315174,0.000094,No Mappings With Chosen Products
pr_001353357,0.001783,No Mappings With Chosen Products
pr_001170199,0.000092,No Mappings With Chosen Products
pr_001563634,0.007823,No Mappings With Chosen Products
pr_001247168,0.000094,No Mappings With Chosen Products
pr_001218058,0.000094,No Mappings With Chosen Products
pr_001306696,0.000195,No Mappings With Chosen Products
pr_001285934,0.000094,No Mappings With Chosen Products
pr_001284378,0.000093,No Mappings With Chosen Products
us_000617134,0.464923,No Mappings With Chosen Products
pr_001169493,0.000093,No Mappings With Chosen Products
pr_001280705,0.000094,No Mappings With Chosen Products
us_000603350,0.456962,No Mappings With Chosen Products
pr_001289747,0.000094,No Mappings With Chosen Products
pr_001203382,0.000092,No Mappings With Chosen Products
pr_001386082,0.000092,No Mappings With Chosen Products
pr_001189826,0.000094,No Mappings With Chosen Products
pr_001193126,0.000094,No Mappings With Chosen Products
pr_001526992,0.000094,No Mappings With Chosen Products
pr_001321248,0.001789,No Mappings With Chosen Products
pr_001196399,0.000136,No Mappings With Chosen Products
pr_001331012,0.000094,No Mappings With Chosen Products
pr_001281113,0.000949,No Mappings With Chosen Products
pr_001257552,0.000094,No Mappings With Chosen Products
pr_001305700,0.000094,No Mappings With Chosen Products
pr_000848997,0.125896,No Mappings With Chosen Products
us_000611566,2.407940,No Mappings With Chosen Products
pr_001528841,0.000094,No Mappings With Chosen Products
pr_001221155,0.000094,No Mappings With Chosen Products
pr_001571260,0.000027,No Mappings With Chosen Products
pr_001256788,0.000093,No Mappings With Chosen Products
pr_001201860,0.000600,No Mappings With Chosen Products
pr_001281027,0.000094,No Mappings With Chosen Products
pr_001221787,0.000094,No Mappings With Chosen Products
pr_001206729,0.000198,No Mappings With Chosen Products
pr_001240741,0.000094,No Mappings With Chosen Products
pr_001520692,0.000094,No Mappings With Chosen Products
pr_001177834,0.000094,No Mappings With Chosen Products
us_000563196,0.000245,No Mappings With Chosen Products
pr_001234489,0.000094,No Mappings With Chosen Products
pr_001557264,0.000092,No Mappings With Chosen Products
pr_001302237,0.000092,No Mappings With Chosen Products
pr_001210164,0.000094,No Mappings With Chosen Products
pr_001276966,0.000839,No Mappings With Chosen Products
pr_001328918,0.000094,No Mappings With Chosen Products
pr_000629112,0.000942,No Mappings With Chosen Products
pr_001264076,0.000094,No Mappings With Chosen Products
pr_001264540,0.000094,No Mappings With Chosen Products
pr_001215938,0.000094,No Mappings With Chosen Products
pr_001267183,0.000094,No Mappings With Chosen Products
pr_001349929,0.000094,No Mappings With Chosen Products
pr_001211646,0.000120,No Mappings With Chosen Products
pr_001362436,0.000094,No Mappings With Chosen Products
pr_001185200,0.000092,No Mappings With Chosen Products
us_000531181,0.040813,No Mappings With Chosen Products
pr_001368653,0.000182,No Mappings With Chosen Products
pr_001320411,0.000139,No Mappings With Chosen Products
us_000596385,1.584725,No Mappings With Chosen Products
pr_001072557,0.000106,No Mappings With Chosen Products
us_000524826,0.000087,No Mappings With Chosen Products
pr_001288999,0.000094,No Mappings With Chosen Products
pr_001208166,0.000094,No Mappings With Chosen Products
pr_001206444,0.000094,No Mappings With Chosen Products
pr_001266762,0.000197,No Mappings With Chosen Products
pr_001220700,0.000094,No Mappings With Chosen Products
pr_001298532,0.000094,No Mappings With Chosen Products
pr_001328073,0.000094,No Mappings With Chosen Products
pr_001540268,0.000858,No Mappings With Chosen Products
pr_001297513,0.000094,No Mappings With Chosen Products
pr_001294372,0.000093,No Mappings With Chosen Products
pr_001321675,0.000094,No Mappings With Chosen Products
pr_001188161,0.000094,No Mappings With Chosen Products
pr_001550447,0.000741,No Mappings With Chosen Products
pr_001325151,0.000093,No Mappings With Chosen Products
pr_001315227,0.000106,No Mappings With Chosen Products
pr_001496678,0.000094,No Mappings With Chosen Products
us_000614525,0.000169,No Mappings With Chosen Products
pr_001564284,0.000643,No Mappings With Chosen Products
pr_001466512,0.000143,No Mappings With Chosen Products
pr_001476349,0.001315,No Mappings With Chosen Products
pr_001358802,0.000094,No Mappings With Chosen Products
pr_001338677,0.000135,No Mappings With Chosen Products
us_000489231,0.001678,No Mappings With Chosen Products
pr_001113381,0.000093,No Mappings With Chosen Products
pr_001206844,0.000094,No Mappings With Chosen Products
pr_001296533,0.000094,No Mappings With Chosen Products
pr_001355584,0.000198,No Mappings With Chosen Products
pr_001524041,0.000848,No Mappings With Chosen Products
pr_001286777,0.000094,No Mappings With Chosen Products
us_000536476,0.196576,No Mappings With Chosen Products
us_000506612,0.015026,No Mappings With Chosen Products
us_000479764,0.514856,No Mappings With Chosen Products
pr_001266350,0.000094,No Mappings With Chosen Products
pr_001346193,0.000094,No Mappings With Chosen Products
pr_001253446,0.000094,No Mappings With Chosen Products
pr_001554902,0.000088,No Mappings With Chosen Products
pr_001483595,0.000093,No Mappings With Chosen Products
pr_001433616,0.000027,No Mappings With Chosen Products
pr_001206628,0.000094,No Mappings With Chosen Products
us_000487702,0.347190,No Mappings With Chosen Products
pr_001214829,0.000094,No Mappings With Chosen Products
pr_001320024,0.000094,No Mappings With Chosen Products
pr_001254385,0.000094,No Mappings With Chosen Products
us_000525553,0.031998,No Mappings With Chosen Products
pr_001319262,0.000191,No Mappings With Chosen Products
pr_001204559,0.000124,No Mappings With Chosen Products
pr_001193888,0.000198,No Mappings With Chosen Products
us_000515512,0.005602,No Mappings With Chosen Products
pr_001236808,0.000094,No Mappings With Chosen Products
pr_001002828,0.000096,No Mappings With Chosen Products
us_000521333,0.000151,No Mappings With Chosen Products
us_000507246,0.000251,No Mappings With Chosen Products
pr_000719208,0.000094,No Mappings With Chosen Products
pr_001187027,0.000094,No Mappings With Chosen Products
pr_001274516,0.000094,No Mappings With Chosen Products
pr_001270726,0.000094,No Mappings With Chosen Products
pr_001361488,0.000093,No Mappings With Chosen Products
pr_001218070,0.000119,No Mappings With Chosen Products
pr_001208721,0.000092,No Mappings With Chosen Products
pr_001326307,0.000094,No Mappings With Chosen Products
pr_001241719,0.000094,No Mappings With Chosen Products
pr_001350686,0.000094,No Mappings With Chosen Products
pr_001321922,0.000094,No Mappings With Chosen Products
pr_001184638,0.000094,No Mappings With Chosen Products
pr_001185010,0.000094,No Mappings With Chosen Products
us_000521344,0.058414,No Mappings With Chosen Products
pr_001318417,0.000094,No Mappings With Chosen Products
pr_001387345,0.000238,No Mappings With Chosen Products
pr_001421459,0.000094,No Mappings With Chosen Products
pr_001304886,0.000094,No Mappings With Chosen Products
us_000614618,0.001590,No Mappings With Chosen Products
pr_001190143,0.000094,No Mappings With Chosen Products
pr_001245121,0.000094,No Mappings With Chosen Products
pr_001504291,0.000278,No Mappings With Chosen Products
pr_001339749,0.000094,No Mappings With Chosen Products
pr_001256607,0.000094,No Mappings With Chosen Products
pr_001258976,0.000094,No Mappings With Chosen Products
pr_001285034,0.000094,No Mappings With Chosen Products
pr_001255164,0.000094,No Mappings With Chosen Products
us_000564298,0.997851,No Mappings With Chosen Products
pr_001508099,0.000093,No Mappings With Chosen Products
us_000612752,0.178798,No Mappings With Chosen Products
pr_001227815,0.000094,No Mappings With Chosen Products
pr_001177035,0.000093,No Mappings With Chosen Products
pr_001334270,0.000093,No Mappings With Chosen Products
pr_001214850,0.000930,No Mappings With Chosen Products
pr_001491749,0.001259,No Mappings With Chosen Products
pr_001351124,0.000092,No Mappings With Chosen Products
pr_001375277,0.000094,No Mappings With Chosen Products
pr_001251936,0.000094,No Mappings With Chosen Products
us_000510361,0.018693,No Mappings With Chosen Products
pr_001310475,0.000094,No Mappings With Chosen Products
us_000488472,1.009918,No Mappings With Chosen Products
pr_001193869,0.000094,No Mappings With Chosen Products
pr_001256282,0.000094,No Mappings With Chosen Products
pr_001295248,0.000114,No Mappings With Chosen Products
pr_001292442,0.000094,No Mappings With Chosen Products
pr_001384935,0.000094,No Mappings With Chosen Products
pr_001249085,0.000093,No Mappings With Chosen Products
pr_001280877,0.000094,No Mappings With Chosen Products
pr_001326833,0.000094,No Mappings With Chosen Products
us_000551552,0.838207,No Mappings With Chosen Products
pr_001517710,0.001161,No Mappings With Chosen Products
us_000610341,0.652342,No Mappings With Chosen Products
pr_001169228,0.000094,No Mappings With Chosen Products
pr_001330809,0.000094,No Mappings With Chosen Products
pr_001249815,0.000094,No Mappings With Chosen Products
pr_001308692,0.000944,No Mappings With Chosen Products
pr_001366368,0.000094,No Mappings With Chosen Products
pr_001325618,0.000094,No Mappings With Chosen Products
pr_001563028,0.000026,No Mappings With Chosen Products
pr_001377075,0.000198,No Mappings With Chosen Products
pr_001246485,0.000094,No Mappings With Chosen Products
us_000492525,0.795766,No Mappings With Chosen Products
us_000532974,0.474105,No Mappings With Chosen Products
pr_001321600,0.000094,No Mappings With Chosen Products
us_000602127,0.017801,No Mappings With Chosen Products
us_000609333,0.658335,No Mappings With Chosen Products
us_000569002,0.000457,No Mappings With Chosen Products
pr_001271982,0.000094,No Mappings With Chosen Products
us_000621150,0.684161,No Mappings With Chosen Products
pr_001382863,0.000198,No Mappings With Chosen Products
us_000608019,2.232854,No Mappings With Chosen Products
us_000566078,0.220525,No Mappings With Chosen Products
us_000594096,0.114887,No Mappings With Chosen Products
pr_001384298,0.000094,No Mappings With Chosen Products
pr_001352154,0.000093,No Mappings With Chosen Products
