Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
pr_001530768,0.000791,No Mappings With Chosen Products
pr_001419918,0.000629,No Mappings With Chosen Products
pr_000544316,0.000124,No Mappings With Chosen Products
pr_001227074,0.000152,No Mappings With Chosen Products
pr_001305359,0.000094,No Mappings With Chosen Products
pr_001468763,0.000232,No Mappings With Chosen Products
us_000506751,0.056350,No Mappings With Chosen Products
us_000459555,0.435402,No Mappings With Chosen Products
pr_001285358,0.000094,No Mappings With Chosen Products
pr_001222716,0.000094,No Mappings With Chosen Products
us_000584751,0.007476,No Mappings With Chosen Products
pr_001360106,0.000198,No Mappings With Chosen Products
pr_001203778,0.000198,No Mappings With Chosen Products
pr_001170011,0.000094,No Mappings With Chosen Products
pr_001243111,0.000094,No Mappings With Chosen Products
pr_001303273,0.000094,No Mappings With Chosen Products
pr_001504739,0.000102,No Mappings With Chosen Products
pr_001188082,0.000094,No Mappings With Chosen Products
us_000532689,0.001689,No Mappings With Chosen Products
us_000507205,1.577946,No Mappings With Chosen Products
pr_001439025,0.000094,No Mappings With Chosen Products
pr_001264831,0.000129,No Mappings With Chosen Products
pr_001233898,0.000093,No Mappings With Chosen Products
pr_001291510,0.000182,No Mappings With Chosen Products
pr_000955052,0.000091,No Mappings With Chosen Products
us_000518909,0.565387,No Mappings With Chosen Products
pr_001343693,0.000196,No Mappings With Chosen Products
us_000576504,1.991326,No Mappings With Chosen Products
us_000608414,0.127892,No Mappings With Chosen Products
pr_001313472,0.000493,No Mappings With Chosen Products
pr_001190678,0.000130,No Mappings With Chosen Products
pr_000862089,0.125442,No Mappings With Chosen Products
pr_001509037,0.034797,No Mappings With Chosen Products
pr_001331228,0.000094,No Mappings With Chosen Products
pr_001281550,0.000093,No Mappings With Chosen Products
us_000555810,0.361911,No Mappings With Chosen Products
pr_001423082,0.000093,No Mappings With Chosen Products
pr_001234994,0.000094,No Mappings With Chosen Products
pr_001224403,0.000094,No Mappings With Chosen Products
pr_001190205,0.000094,No Mappings With Chosen Products
pr_001419920,0.000247,No Mappings With Chosen Products
us_000614643,0.001755,No Mappings With Chosen Products
pr_000632840,0.000164,No Mappings With Chosen Products
pr_001371350,0.000094,No Mappings With Chosen Products
pr_001246743,0.000094,No Mappings With Chosen Products
pr_001362714,0.000094,No Mappings With Chosen Products
us_000526678,0.031900,No Mappings With Chosen Products
us_000578733,1.030312,No Mappings With Chosen Products
us_000619230,0.456592,No Mappings With Chosen Products
pr_001209266,0.000914,No Mappings With Chosen Products
pr_001359203,0.000094,No Mappings With Chosen Products
pr_001176423,0.000094,No Mappings With Chosen Products
us_000556797,1.011716,No Mappings With Chosen Products
us_000467309,1.009336,No Mappings With Chosen Products
pr_001334681,0.000150,No Mappings With Chosen Products
pr_001488190,0.000440,No Mappings With Chosen Products
pr_001219600,0.000094,No Mappings With Chosen Products
pr_001379405,0.000198,No Mappings With Chosen Products
pr_001309692,0.000094,No Mappings With Chosen Products
pr_001350375,0.000094,No Mappings With Chosen Products
pr_001201201,0.000093,No Mappings With Chosen Products
pr_001246495,0.000094,No Mappings With Chosen Products
pr_001264015,0.000094,No Mappings With Chosen Products
pr_000864568,0.000472,No Mappings With Chosen Products
pr_001185774,0.000094,No Mappings With Chosen Products
us_000536378,0.199430,No Mappings With Chosen Products
pr_001188236,0.000094,No Mappings With Chosen Products
pr_001187082,0.000094,No Mappings With Chosen Products
pr_001320683,0.000118,No Mappings With Chosen Products
pr_001329337,0.000094,No Mappings With Chosen Products
pr_001268872,0.000094,No Mappings With Chosen Products
pr_001228192,0.000094,No Mappings With Chosen Products
pr_001177912,0.000094,No Mappings With Chosen Products
us_000540636,0.001834,No Mappings With Chosen Products
pr_001469982,0.004009,No Mappings With Chosen Products
us_000537664,0.002124,No Mappings With Chosen Products
pr_001296049,0.002138,No Mappings With Chosen Products
us_000520936,0.027206,No Mappings With Chosen Products
pr_000996858,0.103346,No Mappings With Chosen Products
pr_001207371,0.000094,No Mappings With Chosen Products
pr_001272432,0.000094,No Mappings With Chosen Products
pr_001335353,0.000092,No Mappings With Chosen Products
pr_001380959,0.000121,No Mappings With Chosen Products
us_000489601,0.433494,No Mappings With Chosen Products
pr_001306385,0.000094,No Mappings With Chosen Products
pr_001533884,0.000093,No Mappings With Chosen Products
pr_001313686,0.000191,No Mappings With Chosen Products
pr_001366850,0.000094,No Mappings With Chosen Products
pr_001423803,0.000094,No Mappings With Chosen Products
us_000605007,0.397083,No Mappings With Chosen Products
pr_001363685,0.000094,No Mappings With Chosen Products
pr_001252027,0.000094,No Mappings With Chosen Products
pr_001254678,0.000094,No Mappings With Chosen Products
us_000525239,0.652042,No Mappings With Chosen Products
pr_001488606,0.000315,No Mappings With Chosen Products
pr_001356801,0.000198,No Mappings With Chosen Products
pr_001235779,0.000094,No Mappings With Chosen Products
pr_001442411,0.000094,No Mappings With Chosen Products
pr_001500969,0.000094,No Mappings With Chosen Products
pr_001350338,0.000129,No Mappings With Chosen Products
pr_001301760,0.000195,No Mappings With Chosen Products
pr_001421126,0.000094,No Mappings With Chosen Products
pr_001274776,0.000170,No Mappings With Chosen Products
pr_001244717,0.000094,No Mappings With Chosen Products
pr_001331816,0.000094,No Mappings With Chosen Products
pr_001307324,0.000106,No Mappings With Chosen Products
pr_001271842,0.000124,No Mappings With Chosen Products
pr_001424321,0.000094,No Mappings With Chosen Products
pr_001560431,0.000810,No Mappings With Chosen Products
pr_001263114,0.000094,No Mappings With Chosen Products
pr_001090887,0.000101,No Mappings With Chosen Products
pr_001345644,0.000093,No Mappings With Chosen Products
pr_001422764,0.000094,No Mappings With Chosen Products
pr_001305653,0.000094,No Mappings With Chosen Products
pr_001307861,0.000198,No Mappings With Chosen Products
pr_001211288,0.000125,No Mappings With Chosen Products
pr_001253779,0.000094,No Mappings With Chosen Products
pr_001202262,0.000094,No Mappings With Chosen Products
pr_001337024,0.000198,No Mappings With Chosen Products
pr_001179058,0.000094,No Mappings With Chosen Products
pr_001252822,0.000094,No Mappings With Chosen Products
pr_001276214,0.000129,No Mappings With Chosen Products
us_000396724,1.009428,No Mappings With Chosen Products
pr_001443413,0.000131,No Mappings With Chosen Products
pr_001302073,0.000198,No Mappings With Chosen Products
pr_001261198,0.000094,No Mappings With Chosen Products
pr_001310957,0.000949,No Mappings With Chosen Products
us_000617449,0.368685,No Mappings With Chosen Products
pr_001420638,0.000351,No Mappings With Chosen Products
pr_001358998,0.000094,No Mappings With Chosen Products
pr_001075049,0.000097,No Mappings With Chosen Products
pr_001379244,0.000094,No Mappings With Chosen Products
pr_001446214,0.000094,No Mappings With Chosen Products
us_000476752,1.013601,No Mappings With Chosen Products
pr_001321159,0.000094,No Mappings With Chosen Products
pr_000996865,0.125290,No Mappings With Chosen Products
pr_001540656,0.000093,No Mappings With Chosen Products
us_000398754,0.461899,No Mappings With Chosen Products
pr_001184844,0.000094,No Mappings With Chosen Products
pr_001012125,0.125269,No Mappings With Chosen Products
pr_001226204,0.000094,No Mappings With Chosen Products
pr_001169318,0.000093,No Mappings With Chosen Products
pr_001290179,0.000198,No Mappings With Chosen Products
pr_001438752,0.002790,No Mappings With Chosen Products
pr_001444190,0.000094,No Mappings With Chosen Products
pr_001171297,0.000094,No Mappings With Chosen Products
pr_001570588,0.000035,No Mappings With Chosen Products
pr_001325419,0.000094,No Mappings With Chosen Products
pr_001265186,0.000092,No Mappings With Chosen Products
pr_001301212,0.000094,No Mappings With Chosen Products
pr_001344514,0.000094,No Mappings With Chosen Products
pr_001334349,0.000106,No Mappings With Chosen Products
pr_001225012,0.000094,No Mappings With Chosen Products
pr_001369425,0.000094,No Mappings With Chosen Products
pr_001183118,0.000094,No Mappings With Chosen Products
pr_001368320,0.000094,No Mappings With Chosen Products
pr_001190998,0.000091,No Mappings With Chosen Products
pr_001314860,0.000094,No Mappings With Chosen Products
pr_001432042,0.000094,No Mappings With Chosen Products
pr_001212459,0.000196,No Mappings With Chosen Products
pr_001373765,0.000198,No Mappings With Chosen Products
pr_001235673,0.000094,No Mappings With Chosen Products
pr_001315540,0.000094,No Mappings With Chosen Products
pr_001381408,0.000094,No Mappings With Chosen Products
us_000608085,0.332008,No Mappings With Chosen Products
pr_001201298,0.000094,No Mappings With Chosen Products
pr_001320270,0.000094,No Mappings With Chosen Products
pr_001424467,0.000094,No Mappings With Chosen Products
pr_001434485,0.000094,No Mappings With Chosen Products
pr_001253031,0.000100,No Mappings With Chosen Products
pr_001169629,0.000094,No Mappings With Chosen Products
pr_001452168,0.000094,No Mappings With Chosen Products
pr_001479608,0.000094,No Mappings With Chosen Products
pr_001320120,0.000094,No Mappings With Chosen Products
pr_001323042,0.000094,No Mappings With Chosen Products
pr_001322116,0.000094,No Mappings With Chosen Products
pr_001331730,0.000093,No Mappings With Chosen Products
us_000616834,1.364309,No Mappings With Chosen Products
pr_001268521,0.000094,No Mappings With Chosen Products
pr_001240694,0.000094,No Mappings With Chosen Products
pr_001244982,0.000094,No Mappings With Chosen Products
pr_001286419,0.000094,No Mappings With Chosen Products
pr_001255968,0.000094,No Mappings With Chosen Products
us_000606473,0.500694,No Mappings With Chosen Products
pr_001302596,0.000094,No Mappings With Chosen Products
pr_001247780,0.000094,No Mappings With Chosen Products
pr_001213461,0.000094,No Mappings With Chosen Products
pr_001284161,0.000094,No Mappings With Chosen Products
pr_001220983,0.000094,No Mappings With Chosen Products
pr_001293357,0.000094,No Mappings With Chosen Products
pr_001280336,0.000094,No Mappings With Chosen Products
pr_001300773,0.000094,No Mappings With Chosen Products
us_000600948,0.395815,No Mappings With Chosen Products
pr_001362725,0.000094,No Mappings With Chosen Products
pr_001333399,0.000093,No Mappings With Chosen Products
pr_001482458,0.000094,No Mappings With Chosen Products
pr_001199260,0.000094,No Mappings With Chosen Products
pr_001370257,0.000094,No Mappings With Chosen Products
pr_001294632,0.000090,No Mappings With Chosen Products
pr_001573295,0.000027,No Mappings With Chosen Products
pr_001345098,0.000094,No Mappings With Chosen Products
pr_001456665,0.000789,No Mappings With Chosen Products
pr_001529297,0.001729,No Mappings With Chosen Products
us_000487216,1.009281,No Mappings With Chosen Products
pr_001241388,0.000094,No Mappings With Chosen Products
pr_001258379,0.000090,No Mappings With Chosen Products
pr_001054622,0.000101,No Mappings With Chosen Products
pr_001208906,0.000094,No Mappings With Chosen Products
us_000516398,0.033507,No Mappings With Chosen Products
pr_001293470,0.000094,No Mappings With Chosen Products
pr_001274173,0.000094,No Mappings With Chosen Products
pr_001367582,0.000094,No Mappings With Chosen Products
pr_001320324,0.000094,No Mappings With Chosen Products
pr_001437239,0.000147,No Mappings With Chosen Products
pr_001232690,0.000094,No Mappings With Chosen Products
pr_001520995,0.000317,No Mappings With Chosen Products
pr_001338243,0.000094,No Mappings With Chosen Products
pr_001550616,0.000101,No Mappings With Chosen Products
pr_001356816,0.000094,No Mappings With Chosen Products
pr_000925254,0.000094,No Mappings With Chosen Products
pr_001328819,0.000094,No Mappings With Chosen Products
pr_001251302,0.000841,No Mappings With Chosen Products
pr_001286649,0.000094,No Mappings With Chosen Products
pr_001309606,0.000784,No Mappings With Chosen Products
pr_000905125,0.125269,No Mappings With Chosen Products
pr_001250131,0.000094,No Mappings With Chosen Products
pr_001359215,0.000094,No Mappings With Chosen Products
us_000473053,0.386045,No Mappings With Chosen Products
pr_001250037,0.000094,No Mappings With Chosen Products
pr_001370588,0.000093,No Mappings With Chosen Products
pr_001522787,0.000094,No Mappings With Chosen Products
pr_001301258,0.000094,No Mappings With Chosen Products
pr_001386893,0.000094,No Mappings With Chosen Products
pr_001172773,0.000198,No Mappings With Chosen Products
pr_001313420,0.000198,No Mappings With Chosen Products
pr_001287218,0.000094,No Mappings With Chosen Products
pr_001464946,0.000094,No Mappings With Chosen Products
pr_001177170,0.000094,No Mappings With Chosen Products
pr_000858104,0.000094,No Mappings With Chosen Products
us_000540851,0.002702,No Mappings With Chosen Products
pr_001297981,0.000175,No Mappings With Chosen Products
pr_000749659,0.000094,No Mappings With Chosen Products
pr_001222755,0.000094,No Mappings With Chosen Products
pr_001561144,0.000026,No Mappings With Chosen Products
pr_001256882,0.000094,No Mappings With Chosen Products
us_000573810,2.256828,No Mappings With Chosen Products
pr_001292543,0.000122,No Mappings With Chosen Products
us_000033522,0.469018,No Mappings With Chosen Products
us_000575073,0.050951,No Mappings With Chosen Products
pr_001554740,0.000221,No Mappings With Chosen Products
us_000529432,0.010658,No Mappings With Chosen Products
pr_001237380,0.000091,No Mappings With Chosen Products
pr_001265516,0.000124,No Mappings With Chosen Products
pr_001356897,0.000094,No Mappings With Chosen Products
pr_001236878,0.000198,No Mappings With Chosen Products
pr_000810704,0.025791,No Mappings With Chosen Products
pr_001307295,0.000094,No Mappings With Chosen Products
pr_001230060,0.000094,No Mappings With Chosen Products
us_000551904,0.003609,No Mappings With Chosen Products
pr_001299605,0.000094,No Mappings With Chosen Products
pr_001185393,0.000094,No Mappings With Chosen Products
us_000516148,0.642855,No Mappings With Chosen Products
us_000519442,1.012038,No Mappings With Chosen Products
pr_001217820,0.000119,No Mappings With Chosen Products
us_000602503,1.460476,No Mappings With Chosen Products
us_000558364,0.000316,No Mappings With Chosen Products
pr_001175773,0.000094,No Mappings With Chosen Products
us_000617127,0.395575,No Mappings With Chosen Products
pr_000187984,0.000105,No Mappings With Chosen Products
us_000581931,0.284568,No Mappings With Chosen Products
us_000610674,0.264652,No Mappings With Chosen Products
pr_001473040,0.000114,No Mappings With Chosen Products
pr_001209929,0.000094,No Mappings With Chosen Products
pr_001188904,0.000094,No Mappings With Chosen Products
pr_001377824,0.000198,No Mappings With Chosen Products
pr_001239337,0.000094,No Mappings With Chosen Products
pr_001260757,0.000095,No Mappings With Chosen Products
pr_001514254,0.001870,No Mappings With Chosen Products
pr_001260995,0.000093,No Mappings With Chosen Products
pr_001228948,0.000094,No Mappings With Chosen Products
pr_001514350,0.000094,No Mappings With Chosen Products
us_000591271,1.220316,No Mappings With Chosen Products
pr_001205857,0.000092,No Mappings With Chosen Products
pr_001186142,0.000094,No Mappings With Chosen Products
pr_001226674,0.000094,No Mappings With Chosen Products
pr_001299616,0.000198,No Mappings With Chosen Products
pr_001223449,0.000092,No Mappings With Chosen Products
pr_001255826,0.000198,No Mappings With Chosen Products
us_000479271,1.082752,No Mappings With Chosen Products
pr_001252112,0.000094,No Mappings With Chosen Products
us_000536560,2.347579,No Mappings With Chosen Products
pr_001199624,0.000108,No Mappings With Chosen Products
pr_001182463,0.000094,No Mappings With Chosen Products
pr_001258231,0.000094,No Mappings With Chosen Products
us_000572667,0.003604,No Mappings With Chosen Products
pr_001506737,0.000092,No Mappings With Chosen Products
pr_001194223,0.000094,No Mappings With Chosen Products
pr_001189960,0.000094,No Mappings With Chosen Products
pr_001293934,0.000094,No Mappings With Chosen Products
pr_001300137,0.000094,No Mappings With Chosen Products
pr_001300230,0.000094,No Mappings With Chosen Products
pr_001299827,0.000094,No Mappings With Chosen Products
pr_001382862,0.000602,No Mappings With Chosen Products
pr_001454295,0.000094,No Mappings With Chosen Products
pr_001241409,0.000094,No Mappings With Chosen Products
pr_000576315,0.000091,No Mappings With Chosen Products
pr_001425315,0.002810,No Mappings With Chosen Products
pr_001492030,0.001312,No Mappings With Chosen Products
us_000585422,1.642408,No Mappings With Chosen Products
pr_001343781,0.000094,No Mappings With Chosen Products
pr_001483056,0.000091,No Mappings With Chosen Products
pr_001304065,0.000094,No Mappings With Chosen Products
pr_001170218,0.000094,No Mappings With Chosen Products
us_000461918,0.962896,No Mappings With Chosen Products
pr_001259207,0.000157,No Mappings With Chosen Products
pr_001336479,0.000094,No Mappings With Chosen Products
pr_001374453,0.000094,No Mappings With Chosen Products
pr_001518579,0.000094,No Mappings With Chosen Products
pr_001263276,0.000094,No Mappings With Chosen Products
pr_001378795,0.000134,No Mappings With Chosen Products
pr_001298771,0.000094,No Mappings With Chosen Products
pr_000558097,0.000093,No Mappings With Chosen Products
pr_001284564,0.000094,No Mappings With Chosen Products
pr_001304245,0.000124,No Mappings With Chosen Products
pr_001317306,0.000123,No Mappings With Chosen Products
us_000575632,1.880772,No Mappings With Chosen Products
us_000572603,1.182852,No Mappings With Chosen Products
pr_001326946,0.000094,No Mappings With Chosen Products
pr_001284942,0.000094,No Mappings With Chosen Products
pr_001303404,0.000175,No Mappings With Chosen Products
pr_001519660,0.000801,No Mappings With Chosen Products
pr_001307239,0.000191,No Mappings With Chosen Products
pr_001216541,0.000094,No Mappings With Chosen Products
pr_001385516,0.000092,No Mappings With Chosen Products
us_000564201,0.034812,No Mappings With Chosen Products
pr_001219119,0.000094,No Mappings With Chosen Products
pr_001257453,0.000094,No Mappings With Chosen Products
pr_001254536,0.000152,No Mappings With Chosen Products
pr_001265166,0.000123,No Mappings With Chosen Products
pr_001335281,0.000094,No Mappings With Chosen Products
pr_001254150,0.000094,No Mappings With Chosen Products
us_000541511,0.369753,No Mappings With Chosen Products
pr_001248176,0.000094,No Mappings With Chosen Products
pr_001347257,0.000148,No Mappings With Chosen Products
pr_001290739,0.000094,No Mappings With Chosen Products
us_000107775,1.118548,No Mappings With Chosen Products
pr_001365024,0.000094,No Mappings With Chosen Products
pr_001191047,0.000094,No Mappings With Chosen Products
pr_001452876,0.000599,No Mappings With Chosen Products
pr_001173473,0.000094,No Mappings With Chosen Products
pr_001260220,0.000094,No Mappings With Chosen Products
pr_001170294,0.000094,No Mappings With Chosen Products
pr_001383071,0.000919,No Mappings With Chosen Products
pr_001322840,0.000092,No Mappings With Chosen Products
pr_001458215,0.000093,No Mappings With Chosen Products
us_000521266,0.244670,No Mappings With Chosen Products
us_000596304,0.056533,No Mappings With Chosen Products
us_000508052,0.001138,No Mappings With Chosen Products
us_000606384,0.892007,No Mappings With Chosen Products
pr_001352870,0.000114,No Mappings With Chosen Products
pr_001234156,0.000094,No Mappings With Chosen Products
pr_001276595,0.000094,No Mappings With Chosen Products
pr_001193408,0.000094,No Mappings With Chosen Products
pr_001259375,0.000198,No Mappings With Chosen Products
pr_001282131,0.000094,No Mappings With Chosen Products
us_000538514,0.035412,No Mappings With Chosen Products
pr_001169084,0.000094,No Mappings With Chosen Products
pr_001044214,0.125245,No Mappings With Chosen Products
pr_001226157,0.000094,No Mappings With Chosen Products
pr_001211403,0.000130,No Mappings With Chosen Products
pr_001259512,0.000094,No Mappings With Chosen Products
pr_001304317,0.000094,No Mappings With Chosen Products
pr_001564331,0.000027,No Mappings With Chosen Products
pr_001241206,0.000094,No Mappings With Chosen Products
us_000621269,1.471620,No Mappings With Chosen Products
pr_001206285,0.000094,No Mappings With Chosen Products
pr_001536796,0.000094,No Mappings With Chosen Products
pr_001366339,0.000094,No Mappings With Chosen Products
pr_001356474,0.000093,No Mappings With Chosen Products
pr_001217223,0.000942,No Mappings With Chosen Products
pr_001333709,0.000094,No Mappings With Chosen Products
pr_001236859,0.000094,No Mappings With Chosen Products
