Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
pr_001435322,0.000094,No Mappings With Chosen Products
pr_001333341,0.000094,No Mappings With Chosen Products
pr_001211067,0.000949,No Mappings With Chosen Products
pr_001326591,0.000094,No Mappings With Chosen Products
us_000504217,1.050038,No Mappings With Chosen Products
pr_001362359,0.000094,No Mappings With Chosen Products
us_000516944,0.357644,No Mappings With Chosen Products
pr_001295622,0.000198,No Mappings With Chosen Products
pr_001198972,0.000092,No Mappings With Chosen Products
pr_001186963,0.000094,No Mappings With Chosen Products
pr_001213683,0.000949,No Mappings With Chosen Products
pr_001265863,0.000094,No Mappings With Chosen Products
pr_001538114,0.000094,No Mappings With Chosen Products
pr_001191392,0.000094,No Mappings With Chosen Products
pr_001306253,0.000093,No Mappings With Chosen Products
pr_001293415,0.000093,No Mappings With Chosen Products
pr_001330445,0.000094,No Mappings With Chosen Products
us_000460171,0.133944,No Mappings With Chosen Products
us_000557905,0.001307,No Mappings With Chosen Products
pr_001273546,0.000094,No Mappings With Chosen Products
pr_001157730,0.000429,No Mappings With Chosen Products
pr_001261141,0.000102,No Mappings With Chosen Products
pr_001240080,0.000094,No Mappings With Chosen Products
pr_001433420,0.005426,No Mappings With Chosen Products
pr_001338605,0.000195,No Mappings With Chosen Products
pr_001236855,0.001205,No Mappings With Chosen Products
pr_001345675,0.000500,No Mappings With Chosen Products
pr_001239389,0.000093,No Mappings With Chosen Products
us_000519272,0.013053,No Mappings With Chosen Products
us_000607893,0.458050,No Mappings With Chosen Products
pr_001459366,0.006715,No Mappings With Chosen Products
pr_001237193,0.000094,No Mappings With Chosen Products
pr_001200489,0.000092,No Mappings With Chosen Products
us_000535721,0.000427,No Mappings With Chosen Products
pr_001266911,0.000094,No Mappings With Chosen Products
pr_001363113,0.000093,No Mappings With Chosen Products
pr_001210735,0.000094,No Mappings With Chosen Products
pr_001220706,0.000094,No Mappings With Chosen Products
pr_001248550,0.000094,No Mappings With Chosen Products
pr_001237765,0.000094,No Mappings With Chosen Products
pr_001180704,0.000092,No Mappings With Chosen Products
us_000576648,0.005351,No Mappings With Chosen Products
pr_001330487,0.000093,No Mappings With Chosen Products
pr_001222415,0.000094,No Mappings With Chosen Products
pr_001316553,0.000198,No Mappings With Chosen Products
pr_001181359,0.000094,No Mappings With Chosen Products
pr_001351277,0.000094,No Mappings With Chosen Products
pr_001514475,0.000100,No Mappings With Chosen Products
us_000595685,0.483652,No Mappings With Chosen Products
pr_001248366,0.000094,No Mappings With Chosen Products
pr_001277583,0.000094,No Mappings With Chosen Products
pr_001279408,0.000092,No Mappings With Chosen Products
pr_001223638,0.000092,No Mappings With Chosen Products
pr_001218748,0.000198,No Mappings With Chosen Products
pr_001256890,0.000094,No Mappings With Chosen Products
pr_001248972,0.000094,No Mappings With Chosen Products
pr_001192223,0.000094,No Mappings With Chosen Products
pr_001575933,0.003348,No Mappings With Chosen Products
pr_001343538,0.000093,No Mappings With Chosen Products
pr_001311609,0.000094,No Mappings With Chosen Products
pr_002106042,0.540904,No Mappings With Chosen Products
pr_001516030,0.000091,No Mappings With Chosen Products
pr_001291030,0.000094,No Mappings With Chosen Products
pr_001293016,0.000094,No Mappings With Chosen Products
pr_001268781,0.000094,No Mappings With Chosen Products
pr_001575034,0.000027,No Mappings With Chosen Products
pr_001346696,0.000094,No Mappings With Chosen Products
us_000614107,2.319429,No Mappings With Chosen Products
pr_001258645,0.000093,No Mappings With Chosen Products
pr_001042899,0.123067,No Mappings With Chosen Products
pr_001318378,0.000094,No Mappings With Chosen Products
