Product ID : 2094 # of JPs covered : 1 : 420 : Litigation-Discovery, 
OID,Confidence at Map Node,Error at Map Node
us_000487510,1.000000, 0.372995
us_000402635,1.000000, 0.841334
us_000464143,0.361592, 0.000000
us_000470870,0.361592, 0.000000
us_000469979,0.361592, 0.000000
pr_000755753,0.361592, 0.000000
pr_000904914,0.361592, 0.000000
us_000544555,0.361592, 0.000000
us_000529657,0.361592, 0.000001
us_000550596,0.361592, 0.000001
us_000524032,0.361592, 0.000001
us_000518607,0.361592, 0.000001
us_000515325,0.361592, 0.000001
us_000587374,0.361592, 0.000003
us_000612422,0.361592, 0.000004
us_000540214,0.361592, 0.000009
pr_000891919,0.361592, 0.000012
us_000587046,0.361592, 0.000015
us_000474921,0.361592, 0.000044
pr_001966302,0.361592, 0.000100
pr_001680645,0.361592, 0.000143
pr_000717967,0.361592, 0.000180
pr_000843326,0.361592, 0.000231
us_000551962,0.361592, 0.000344
us_000594653,0.361592, 0.000359
us_000615136,0.361592, 0.000376
us_000604801,0.361592, 0.000380
us_000188916,0.361592, 0.000636
us_000018297,0.361592, 0.000652
us_000580549,0.361592, 0.000659
us_000580553,0.361592, 0.000659
us_000492349,0.361592, 0.000713
us_000462998,0.361592, 0.000713
pr_000988753,0.361592, 0.000782
us_000556745,0.361592, 0.001005
us_000511878,0.361592, 0.001074
us_000609015,0.361592, 0.001162
us_000580552,0.361592, 0.001603
us_000532962,0.361592, 0.001673
us_000515865,0.361592, 0.002269
us_000510421,0.361592, 0.002897
us_000582562,0.361592, 0.003191
us_000522194,0.361592, 0.004967
us_000466905,0.361592, 0.005969
us_000544848,0.361592, 0.006184
us_000478493,0.361592, 0.008211
us_000580214,0.361592, 0.008385
us_000599358,0.361592, 0.009644
us_000483187,0.361592, 0.010976
us_000523846,0.361592, 0.011002
us_000465663,0.361592, 0.011660
us_000607949,0.361592, 0.012435
us_000481514,0.361592, 0.012447
us_000574050,0.361592, 0.012705
us_000463060,0.361592, 0.013028
us_000575679,0.361592, 0.019550
us_000536031,0.361592, 0.021246
us_000536332,0.361592, 0.022369
us_000547608,0.361592, 0.024668
us_000482363,0.361592, 0.027232
us_000475522,0.361592, 0.028480
us_000469422,0.361592, 0.029800
us_000103730,0.361592, 0.030832
us_000491611,0.361592, 0.035990
us_000479628,0.361592, 0.036183
us_000462028,0.361592, 0.038655
us_000557200,0.361592, 0.040854
us_000578936,0.361592, 0.042963
us_000616842,0.361592, 0.044720
us_000587968,0.361592, 0.047362
us_000534932,0.361592, 0.049621
us_000594982,0.361592, 0.062592
us_000521649,0.361592, 0.067461
us_000502052,0.361592, 0.071109
us_000541173,0.361592, 0.073995
us_000472184,0.361592, 0.093796
us_000599192,0.361592, 0.095175
us_000558207,0.361592, 0.098085
us_000535239,0.361592, 0.109734
us_000521559,0.361592, 0.124962
us_000487607,0.361592, 0.783015
us_000487472,0.361592, 1.167901
us_000534374,0.361592, 1.218816
us_000487270,0.361592, 1.827862
us_000551944,0.161708, 0.000000
us_000523154,0.161708, 0.000000
us_000495081,0.161708, 0.000000
us_000489103,0.161708, 0.000003
us_000548253,0.161708, 0.000004
pr_000998892,0.161708, 0.000021
pr_001070463,0.161708, 0.000030
pr_000382222,0.161708, 0.000030
pr_000266331,0.161708, 0.000037
pr_001663206,0.161708, 0.000065
pr_001926776,0.161708, 0.000099
pr_001679540,0.161708, 0.000123
us_000599276,0.161708, 0.000916
us_000545553,0.161708, 0.001627
us_000518532,0.161708, 0.001895
us_000548844,0.161708, 0.004352
us_000477109,0.161708, 0.005583
us_000551301,0.161708, 0.005668
us_000572452,0.161708, 0.007839
us_000473678,0.161708, 0.009455
us_000570283,0.161708, 0.009975
us_000599519,0.161708, 0.014937
us_000527289,0.161708, 0.065913
us_000492071,0.161708, 0.079050
us_000491221,0.161708, 0.422965
us_000491156,0.161708, 0.448617
us_000536443,0.161708, 0.478106
us_000471271,0.161708, 0.496649
us_000471100,0.161708, 0.509483
us_000471703,0.161708, 0.530964
us_000471770,0.161708, 0.531578
us_000471449,0.161708, 0.540050
us_000487529,0.161708, 0.825324
us_000487665,0.161708, 0.919423
us_000487516,0.161708, 0.938886
us_000487296,0.161708, 0.947350
us_000467786,0.161708, 2.463710
us_000509318,0.085117, 0.000049
pr_001140044,0.085117, 0.000134
us_000574891,0.085117, 0.000193
us_000538772,0.085117, 0.000241
us_000469156,0.085117, 0.000358
us_000520822,0.085117, 0.000599
us_000399227,0.085117, 0.000798
us_000595945,0.085117, 0.002234
us_000574612,0.085117, 0.002270
us_000582790,0.085117, 0.002285
us_000590923,0.085117, 0.002538
us_000578669,0.085117, 0.004879
us_000498739,0.085117, 0.006954
us_000500811,0.085117, 0.007117
us_000542591,0.085117, 0.010960
us_000474831,0.085117, 0.011087
us_000477100,0.085117, 0.011426
us_000567577,0.085117, 0.016933
us_000541047,0.085117, 0.050445
us_000489748,0.085117, 0.064570
us_000505960,0.085117, 0.094732
us_000496814,0.085117, 0.160824
us_000528291,0.085117, 0.167918
us_000496767,0.085117, 0.186675
us_000587892,0.085117, 0.192965
us_000494914,0.085117, 0.221113
us_000472265,0.085117, 0.225970
us_000545612,0.085117, 0.230799
us_000472231,0.085117, 0.237705
us_000515645,0.085117, 0.237705
us_000472211,0.085117, 0.240541
us_000496204,0.085117, 0.245986
us_000512051,0.085117, 0.483121
us_000482848,0.085117, 2.237583
us_000494890,0.085117, 2.627225
us_000589497,0.085117, 4.033882
