Product ID : 906 # of JPs covered : 1 : 68 : Bankruptcy, 
OID,Confidence at Map Node,Error at Map Node
us_000459753,1.000000, 2.113341
us_000463710,1.000000, 2.266721
us_000526748,1.000000, 2.691897
pr_000777289,0.999073, 0.000090
us_000536014,0.999073, 0.002322
us_000509201,0.999073, 0.002322
us_000510781,0.999073, 0.002322
us_000509618,0.999073, 0.002322
us_000484899,0.999073, 0.058286
us_000502329,0.999073, 2.886946
pr_001134140,0.925952, 0.000010
us_000565772,0.925952, 0.000080
us_000577324,0.925952, 0.000346
us_000496810,0.925952, 0.889931
us_000520819,0.925952, 0.894253
us_000526812,0.925952, 0.904171
us_000500022,0.925952, 0.967846
us_000498316,0.925952, 1.014579
us_000501941,0.925952, 1.035804
us_000550045,0.925952, 1.058737
us_000459465,0.925952, 1.059079
us_000509279,0.925952, 1.065088
us_000528042,0.925952, 1.066931
us_000527392,0.925952, 1.072898
us_000475582,0.925952, 1.086509
us_000580026,0.925952, 1.087365
us_000399226,0.925952, 1.088376
us_000508473,0.925952, 1.113813
us_000481484,0.925952, 1.116206
us_000505267,0.925952, 1.119665
us_000567047,0.925952, 1.120476
us_000438146,0.925952, 1.121168
us_000503418,0.925952, 1.128473
us_000511142,0.925952, 1.129150
us_000191199,0.925952, 1.131637
us_000212805,0.925952, 1.137548
us_000483440,0.925952, 1.144295
us_000494876,0.925952, 1.147794
us_000539818,0.925952, 1.154995
us_000582646,0.925952, 1.155615
us_000527628,0.925952, 1.155805
us_000582979,0.925952, 1.159433
us_000004996,0.925952, 1.159882
us_000475786,0.925952, 1.163519
us_000509180,0.925952, 1.164991
us_000607837,0.925952, 1.166407
us_000526700,0.925952, 1.169172
us_000145978,0.925952, 1.169172
us_000463213,0.925952, 1.169172
us_000398516,0.925952, 1.177506
us_000072613,0.925952, 1.183463
us_000558270,0.925952, 1.183627
us_000469140,0.925952, 1.187215
us_000490987,0.925952, 1.187784
us_000476002,0.925952, 1.189080
us_000503541,0.925952, 1.191627
us_000409898,0.925952, 1.192942
us_000520565,0.925952, 1.193109
us_000471068,0.925952, 1.194457
us_000469879,0.925952, 1.197689
us_000474614,0.925952, 1.197689
us_000508317,0.925952, 1.198863
us_000459958,0.925952, 1.199293
us_000525869,0.925952, 1.200612
us_000510485,0.925952, 1.206570
us_000160893,0.925952, 1.207981
us_000527991,0.925952, 1.216794
us_000210473,0.925952, 1.221497
us_000526877,0.925952, 1.227306
us_000113224,0.925952, 1.230316
us_000528119,0.925952, 1.230316
us_000524484,0.925952, 1.239358
us_000491068,0.925952, 1.255615
us_000145277,0.925952, 1.260485
us_000578556,0.925952, 1.275457
pr_000914102,0.909655, 0.000000
pr_002050949,0.909655, 0.000000
pr_001806161,0.909655, 0.000000
us_000480897,0.909655, 1.012379
us_000585921,0.909655, 1.079944
us_000464216,0.909655, 1.084240
us_000483952,0.909655, 1.115047
us_000481404,0.909655, 1.115364
us_000548351,0.909655, 1.124931
us_000532185,0.909655, 1.168037
us_000575076,0.909655, 1.168596
us_000563955,0.909655, 1.170537
us_000481392,0.909655, 1.173061
us_000563098,0.909655, 1.178916
us_000557419,0.909655, 1.181039
us_000518418,0.909655, 1.202504
us_000480216,0.909655, 1.203201
us_000499814,0.909655, 1.210980
us_000152761,0.909655, 1.212106
us_000578982,0.909655, 1.218203
us_000541055,0.909655, 1.229841
us_000517392,0.909655, 1.239829
us_000592053,0.909655, 1.245155
us_000549907,0.909655, 1.245780
us_000469749,0.909655, 1.247250
us_000588671,0.909655, 1.252932
us_000493242,0.909655, 1.256719
us_000545252,0.909655, 1.260075
us_000545208,0.909655, 1.263143
us_000570365,0.909655, 1.264317
us_000471053,0.909655, 1.265906
us_000588257,0.909655, 1.266681
us_000469131,0.909655, 1.268997
us_000465726,0.909655, 1.269510
us_000598000,0.909655, 1.275531
us_000492121,0.909655, 1.275726
us_000569883,0.909655, 1.279043
us_000585661,0.909655, 1.279770
us_000483246,0.909655, 1.283503
us_000596227,0.909655, 1.290556
us_000508339,0.909655, 1.290866
us_000546343,0.909655, 1.295374
us_000482871,0.909655, 1.297962
us_000463982,0.909655, 1.298574
us_000520919,0.909655, 1.300865
us_000497139,0.909655, 1.303670
us_000068888,0.909655, 1.303849
us_000492756,0.909655, 1.304628
us_000475141,0.909655, 1.310803
us_000546301,0.909655, 1.311607
us_000573360,0.909655, 1.313250
us_000512585,0.909655, 1.313365
us_000463668,0.909655, 1.315584
us_000495504,0.909655, 1.316691
us_000462733,0.909655, 1.316874
us_000467209,0.909655, 1.319097
us_000584079,0.909655, 1.319783
us_000486404,0.909655, 1.321025
us_000521321,0.909655, 1.322135
us_000414873,0.909655, 1.323538
us_000527999,0.909655, 1.324324
us_000391720,0.909655, 1.326346
us_000511029,0.909655, 1.327443
us_000532070,0.909655, 1.328201
us_000556593,0.909655, 1.332177
us_000509369,0.909655, 1.332262
us_000370411,0.909655, 1.333291
us_000470546,0.909655, 1.336422
us_000467887,0.909655, 1.337790
us_000467130,0.909655, 1.338450
us_000465933,0.909655, 1.338722
us_000491131,0.909655, 1.340861
us_000550374,0.909655, 1.341075
us_000602549,0.909655, 1.341460
us_000556284,0.909655, 1.341787
us_000477360,0.909655, 1.342326
us_000547088,0.909655, 1.342783
us_000534883,0.909655, 1.344196
us_000465958,0.909655, 1.344327
us_000220233,0.909655, 1.344364
us_000588954,0.909655, 1.344758
us_000481059,0.909655, 1.344805
us_000460674,0.909655, 1.346625
us_000616524,0.909655, 1.347177
us_000581308,0.909655, 1.347283
us_000489976,0.909655, 1.349407
us_000468312,0.909655, 1.352757
us_000512934,0.909655, 1.353469
us_000587857,0.909655, 1.354208
us_000009884,0.909655, 1.354735
us_000572370,0.909655, 1.355063
us_000465246,0.909655, 1.355237
us_000485630,0.909655, 1.356002
us_000571816,0.909655, 1.356192
us_000528255,0.909655, 1.357603
us_000518845,0.909655, 1.358743
us_000009849,0.909655, 1.358754
