Product ID : 902 # of JPs covered : 1 : 129 : Real Estate/Real Property/Land Use, 
pr_000622317,0.160618, 0.000001
pr_001034193,0.160618, 0.000001
pr_001621824,0.160618, 0.000001
pr_000653136,0.160618, 0.000001
pr_001671979,0.160618, 0.000001
pr_001139688,0.160618, 0.000001
pr_001872686,0.160618, 0.000008
pr_001147835,0.160618, 0.000010
pr_001614152,0.160618, 0.000010
pr_001165736,0.160618, 0.000010
pr_000783823,0.160618, 0.000016
pr_000691527,0.160618, 0.000016
us_000035173,0.160618, 0.000024
us_000487683,0.160618, 0.000111
pr_000634782,0.160618, 0.000167
pr_000830038,0.160618, 0.000211
pr_001734011,0.160618, 0.000214
pr_000859311,0.160618, 0.000214
pr_000927804,0.160618, 0.000214
pr_000901096,0.160618, 0.000220
pr_000853500,0.160618, 0.000232
pr_001932440,0.160618, 0.000234
pr_001062537,0.160618, 0.000234
pr_000785154,0.160618, 0.000331
pr_000986717,0.160618, 0.000490
pr_000721458,0.160618, 0.000857
pr_001605667,0.160618, 0.001215
us_000479834,0.160618, 0.001356
us_000592592,0.160618, 0.004274
us_000499813,0.160618, 0.007693
us_000497010,0.160618, 0.890752
us_000496869,0.160618, 1.043329
us_000556391,0.160618, 1.076110
us_000518125,0.160618, 1.148308
