Product ID : 2083 JPs covered : 267 : Criminal Law, 
OID,Confidence at Map Node,Error at Map Node
us_000502752,1.000000, 0.001063
us_000502807,1.000000, 0.038046
us_000499241,1.000000, 0.100018
us_000504016,1.000000, 0.148992
us_000502271,1.000000, 0.164155
us_000503053,1.000000, 0.164155
us_000500199,1.000000, 0.166409
us_000502770,1.000000, 0.178421
us_000503733,1.000000, 0.312084
us_000503523,1.000000, 0.312084
us_000498794,1.000000, 0.356463
us_000500408,1.000000, 0.356463
us_000502262,1.000000, 0.356463
us_000498745,1.000000, 0.356463
us_000499926,1.000000, 0.356463
us_000499842,1.000000, 0.356463
us_000498894,1.000000, 0.356463
us_000471848,1.000000, 0.356463
us_000502730,1.000000, 0.356463
us_000483553,1.000000, 0.357675
us_000593527,1.000000, 0.367938
us_000503502,1.000000, 0.368378
us_000487010,1.000000, 0.370826
us_000504116,1.000000, 0.371961
us_000535644,1.000000, 0.372887
us_000473622,1.000000, 0.375699
us_000521243,1.000000, 0.401176
us_000517104,1.000000, 0.446567
us_000551054,1.000000, 0.468252
us_000516205,1.000000, 0.485398
pr_001096933,1.000000, 0.563563
pr_001121084,1.000000, 0.563563
pr_001104508,1.000000, 0.566246
pr_000913445,1.000000, 0.592779
pr_000164934,1.000000, 0.592779
pr_001135450,1.000000, 0.592779
pr_000230490,1.000000, 0.592779
pr_001120888,1.000000, 0.592779
pr_001135487,1.000000, 0.592779
pr_001091616,1.000000, 0.592779
pr_001102070,1.000000, 0.592779
pr_000814414,1.000000, 0.592779
pr_001137725,1.000000, 0.592779
pr_001101005,1.000000, 0.592779
pr_001102830,1.000000, 0.592779
pr_001096932,1.000000, 0.595462
pr_001121779,1.000000, 0.598641
pr_000234901,1.000000, 0.599326
pr_001109871,1.000000, 0.622363
pr_001165783,1.000000, 0.622735
pr_000854581,1.000000, 0.622735
pr_001866569,1.000000, 0.622735
pr_001859034,1.000000, 0.622735
pr_001096402,1.000000, 0.622735
pr_001110360,1.000000, 0.622735
pr_001101480,1.000000, 0.622735
pr_001584491,1.000000, 0.622735
pr_001133221,1.000000, 0.622735
pr_001695963,1.000000, 0.622735
pr_001699321,1.000000, 0.622735
pr_001100475,1.000000, 0.622735
pr_000740141,1.000000, 0.622735
pr_001394515,1.000000, 0.622735
pr_001670529,1.000000, 0.622735
pr_000582344,1.000000, 0.622735
pr_000574939,1.000000, 0.622735
pr_000410316,1.000000, 0.622735
pr_000620915,1.000000, 0.622735
pr_001824323,1.000000, 0.622735
pr_001135916,1.000000, 0.622735
pr_001137067,1.000000, 0.622735
pr_001135961,1.000000, 0.622735
pr_000965209,1.000000, 0.622735
pr_001166853,1.000000, 0.622735
pr_001714495,1.000000, 0.622735
pr_001137534,1.000000, 0.622735
pr_001593031,1.000000, 0.622735
pr_001394371,1.000000, 0.622735
pr_001085939,1.000000, 0.622735
pr_001637882,1.000000, 0.622735
pr_001135296,1.000000, 0.622735
pr_001400301,1.000000, 0.622735
pr_001088044,1.000000, 0.622735
pr_001091726,1.000000, 0.622735
pr_000435003,1.000000, 0.622735
pr_001851016,1.000000, 0.622735
pr_001136818,1.000000, 0.622735
pr_000607613,1.000000, 0.622735
pr_000948465,1.000000, 0.622735
pr_001093883,1.000000, 0.622735
pr_001397674,1.000000, 0.622735
pr_001135309,1.000000, 0.622735
pr_001705239,1.000000, 0.622735
pr_001137552,1.000000, 0.622735
pr_001119616,1.000000, 0.622735
pr_001395515,1.000000, 0.622735
pr_000772251,1.000000, 0.622735
pr_001096601,1.000000, 0.622735
pr_001851824,1.000000, 0.622735
pr_001136876,1.000000, 0.622735
pr_001080530,1.000000, 0.622735
pr_001137703,1.000000, 0.622735
pr_002060309,1.000000, 0.622735
pr_000773559,1.000000, 0.622735
pr_001137574,1.000000, 0.622735
pr_001137043,1.000000, 0.622735
pr_000937649,1.000000, 0.622735
pr_001734007,1.000000, 0.622735
pr_001102460,1.000000, 0.622735
pr_001732879,1.000000, 0.622735
pr_000641939,1.000000, 0.622735
pr_000774970,1.000000, 0.622735
pr_001102221,1.000000, 0.622735
pr_001734010,1.000000, 0.622735
pr_001136919,1.000000, 0.622735
pr_001096246,1.000000, 0.622735
pr_001095869,1.000000, 0.622735
pr_000594377,1.000000, 0.622735
pr_000836425,1.000000, 0.622735
pr_001135536,1.000000, 0.622735
pr_000465676,1.000000, 0.622735
pr_001131825,1.000000, 0.622735
pr_001131894,1.000000, 0.622735
pr_001152030,1.000000, 0.622735
pr_001601629,1.000000, 0.622735
pr_000764525,1.000000, 0.622735
pr_001097233,1.000000, 0.622735
pr_001945227,1.000000, 0.622735
pr_001394016,1.000000, 0.622735
pr_000930570,1.000000, 0.622735
pr_001094908,1.000000, 0.622735
pr_001100993,1.000000, 0.622735
pr_000433339,1.000000, 0.622735
pr_000772176,1.000000, 0.622735
pr_001397688,1.000000, 0.622735
pr_001974981,1.000000, 0.622735
pr_001167500,1.000000, 0.622735
pr_001136916,1.000000, 0.622735
pr_000781221,1.000000, 0.622735
pr_001136955,1.000000, 0.622735
pr_001090505,1.000000, 0.622735
pr_001090842,1.000000, 0.622735
pr_000424300,1.000000, 0.622754
pr_001096984,1.000000, 0.625418
pr_001400147,1.000000, 0.625778
pr_001076414,1.000000, 0.626158
pr_001935141,1.000000, 0.626158
pr_001152924,1.000000, 0.626158
pr_000832880,1.000000, 0.628597
pr_001096010,1.000000, 0.628597
pr_001705237,1.000000, 0.628597
pr_001395745,1.000000, 0.628597
pr_000853977,1.000000, 0.628597
pr_000172015,1.000000, 0.628597
pr_000768053,1.000000, 0.628597
pr_000573703,1.000000, 0.628597
pr_000930887,1.000000, 0.628597
pr_001081478,1.000000, 0.628597
pr_000846031,1.000000, 0.628597
pr_000228502,1.000000, 0.628597
pr_000170991,1.000000, 0.628597
pr_000197953,1.000000, 0.628597
pr_000824430,1.000000, 0.628597
pr_000700135,1.000000, 0.628597
pr_000852092,1.000000, 0.628597
pr_000565589,1.000000, 0.628616
pr_000692994,1.000000, 0.629281
pr_000167548,1.000000, 0.629281
pr_000735223,1.000000, 0.629281
pr_000955409,1.000000, 0.629434
pr_001391416,1.000000, 0.629442
pr_000166738,1.000000, 0.630002
pr_000893295,1.000000, 0.633860
pr_001971645,1.000000, 0.633860
pr_001094886,1.000000, 0.652319
pr_000226955,1.000000, 0.652319
pr_001096468,1.000000, 0.652319
pr_001120124,1.000000, 0.652319
pr_001738173,1.000000, 0.655255
pr_001418067,1.000000, 0.655255
pr_001726001,1.000000, 0.655255
pr_000629371,1.000000, 0.746454
pr_001722646,1.000000, 0.774339
pr_000856717,1.000000, 0.847166
pr_000286204,0.501623, 0.000000
pr_000227356,0.501623, 0.000001
us_000466768,0.501623, 0.000001
us_000480305,0.501623, 0.000001
us_000462863,0.501623, 0.000001
us_000416968,0.501623, 0.000001
us_000572423,0.501623, 0.000001
us_000573290,0.501623, 0.000001
us_000487844,0.501623, 0.000001
us_000571853,0.501623, 0.000001
us_000469058,0.501623, 0.000001
us_000573289,0.501623, 0.000001
pr_000699975,0.501623, 0.000034
us_000469266,0.501623, 0.000188
us_000503849,0.501623, 0.000453
pr_000988276,0.501623, 0.001732
pr_000746618,0.501623, 0.002140
us_000588863,0.501623, 0.002834
pr_001945327,0.501623, 0.003466
us_000465422,0.501623, 0.057905
us_000465998,0.269649, 0.000000
us_000471493,0.269649, 0.000000
pr_000000231,0.269649, 0.000002
pr_000832740,0.269649, 0.000002
pr_001719433,0.269649, 0.000030
us_000544553,0.269649, 0.000156
us_000564657,0.269649, 0.003960
us_000541897,0.269649, 0.047336
us_000614903,0.184836, 0.000000
us_000586673,0.184836, 0.000000
us_000593003,0.184836, 0.000000
us_000578888,0.184836, 0.000000
us_000572275,0.184836, 0.000000
us_000604804,0.184836, 0.000000
us_000600189,0.184836, 0.000000
us_000586053,0.184836, 0.000000
us_000528043,0.184836, 0.000000
us_000586055,0.184836, 0.000000
us_000558716,0.184836, 0.000000
us_000606724,0.184836, 0.000000
us_000584909,0.184836, 0.000000
us_000529944,0.184836, 0.000000
