Product ID : 7842 # of JPs covered : 1 : 435 : Tax Prep-Pass-Through-Planning, 
OID,Confidence at Map Node,Error at Map Node
us_000546252,1.000000,0.000000
pr_001228980,1.000000,0.000000
us_000553218,0.548072,0.000000
us_000553178,0.548072,0.000000
us_000553076,0.548072,0.000000
us_000552675,0.548072,0.000000
us_000622040,0.548072,0.005461
pr_001179535,0.548072,0.024173
pr_001238926,0.548072,0.030268
us_000610823,0.548072,0.051267
us_000613535,0.548072,0.053216
us_000556548,0.548072,0.055279
us_000589855,0.548072,0.058044
us_000611895,0.548072,0.206836
pr_001182492,0.474005,0.000000
pr_001292696,0.474005,0.000000
pr_001319105,0.474005,0.000000
pr_001201044,0.474005,0.000000
pr_001303848,0.474005,0.000000
pr_001321095,0.474005,0.000000
pr_001181775,0.474005,0.000000
pr_001301935,0.474005,0.000000
pr_001364912,0.474005,0.000000
pr_001203881,0.474005,0.000000
pr_001273501,0.474005,0.000000
pr_001194570,0.474005,0.000000
pr_001463155,0.474005,0.000000
us_000550656,0.474005,0.000001
us_000553135,0.474005,0.000001
us_000564091,0.474005,0.000006
us_000601215,0.474005,0.000042
us_000621419,0.474005,0.000058
us_000621394,0.474005,0.000059
pr_001294950,0.474005,0.000106
pr_001511653,0.474005,0.000106
us_000619144,0.474005,0.000107
us_000615788,0.474005,0.000132
pr_001277968,0.474005,0.032666
pr_001355179,0.474005,0.032666
pr_001538020,0.474005,0.032666
us_000555338,0.474005,0.033667
pr_001257108,0.474005,0.038875
pr_001287459,0.474005,0.038980
us_000542363,0.474005,0.039682
us_000573282,0.474005,0.126296
us_000514198,0.474005,0.166822
us_000573591,0.474005,0.182195
us_000514177,0.474005,0.187988
us_000612932,0.474005,0.272122
us_000560455,0.447011,0.008226
us_000514051,0.447011,0.034240
us_000535930,0.447011,0.034832
us_000561513,0.447011,0.042226
us_000554360,0.447011,0.051441
us_000608013,0.447011,0.057675
pr_001232024,0.447011,0.065418
us_000588181,0.447011,0.079009
us_000613883,0.447011,0.083742
us_000591377,0.447011,0.089741
us_000615498,0.447011,0.114643
us_000562968,0.447011,0.224317
us_000525553,0.447011,0.389919
pr_001061436,0.439728,0.000001
pr_000954502,0.439728,0.000001
us_000569760,0.439728,0.000005
pr_000611479,0.439728,0.000010
pr_000889444,0.439728,0.000010
pr_000779311,0.439728,0.000010
pr_000895190,0.439728,0.000010
pr_000611238,0.439728,0.000010
pr_000924563,0.439728,0.000010
pr_000926351,0.439728,0.000010
pr_001041292,0.439728,0.000010
pr_000704970,0.439728,0.000010
pr_000893666,0.439728,0.000010
pr_000611421,0.439728,0.000010
pr_000923810,0.439728,0.000010
pr_000781040,0.439728,0.000011
pr_001100590,0.439728,0.000018
pr_001040114,0.439728,0.000285
pr_001041356,0.439728,0.000387
pr_001040487,0.439728,0.000396
pr_000757266,0.439728,0.000722
pr_000894490,0.439728,0.001429
pr_000813201,0.439728,0.002212
pr_000900475,0.439728,0.003359
us_000560376,0.439728,0.572054
us_000514162,0.439728,0.670556
us_000611882,0.439728,0.930252
us_000577997,0.411632,0.000000
pr_001445318,0.411632,0.006885
pr_001262539,0.411632,0.026150
us_000600645,0.411632,0.032885
pr_001344765,0.411632,0.033919
us_000612946,0.411632,0.045865
us_000507308,0.411632,0.071570
us_000531844,0.411632,0.074630
us_000507801,0.411632,0.077203
us_000553447,0.411632,0.121347
us_000532591,0.411632,0.123587
pr_001489585,0.411632,0.131760
pr_001483651,0.411632,0.132275
pr_001352011,0.411632,0.171867
us_000531075,0.411632,0.189424
us_000586923,0.411632,0.216262
us_000621574,0.405941,0.000015
pr_001358383,0.405941,0.027642
us_000529815,0.405941,0.030531
us_000519638,0.405941,0.065203
pr_001249731,0.405941,0.066841
pr_001353564,0.405941,0.067890
us_000526733,0.405941,0.068665
us_000532992,0.384990,0.000000
us_000561775,0.384990,0.000002
us_000587990,0.384990,0.000014
us_000593720,0.384990,0.030868
us_000534946,0.384990,0.033791
us_000613715,0.384990,0.033795
us_000571755,0.384990,0.033898
us_000538611,0.384990,0.033901
pr_001939725,0.384990,0.033953
us_000541386,0.384990,0.033958
us_000541394,0.384990,0.033958
us_000575515,0.384990,0.033961
us_000539235,0.384990,0.033974
us_000510968,0.384990,0.033986
us_000512797,0.384990,0.033986
us_000496545,0.384990,0.033988
us_000537546,0.384990,0.033996
us_000576337,0.384990,0.033996
pr_001941269,0.384990,0.034003
