Product ID : 2137 # of JPs covered : 1 : 226 : Healthcare Litigation, 
us_000473758,0.859438, 1.218197
us_000471615,0.859438, 1.220967
us_000483241,0.859438, 1.235511
us_000560513,0.859438, 1.251182
us_000571856,0.859438, 1.265914
us_000551753,0.859438, 1.273536
us_000548644,0.859438, 1.289958
us_000475477,0.859438, 1.329202
us_000561541,0.859438, 1.390706
us_000132962,0.684819, 0.336150
us_000496995,0.684819, 0.385051
us_000517969,0.684819, 0.394396
us_000534450,0.684819, 0.418296
us_000486276,0.684819, 0.418915
us_000122764,0.684819, 0.425008
us_000529364,0.684819, 0.429639
us_000486225,0.684819, 0.434381
us_000479034,0.684819, 0.434850
us_000353702,0.684819, 0.435599
us_000414852,0.684819, 0.436780
us_000509627,0.684819, 0.437755
us_000516875,0.684819, 0.441283
us_000535807,0.684819, 0.444006
us_000490405,0.684819, 0.450996
us_000490914,0.684819, 0.456321
us_000542783,0.684819, 0.460063
us_000505832,0.684819, 0.460611
us_000486205,0.684819, 0.461615
us_000481346,0.684819, 0.462831
us_000224125,0.684819, 0.463680
us_000474910,0.684819, 0.463771
us_000487263,0.684819, 0.465156
us_000487187,0.684819, 0.469244
us_000481060,0.684819, 0.472308
us_000504253,0.684819, 0.473341
us_000480886,0.684819, 0.474012
us_000481789,0.684819, 0.474959
us_000526061,0.684819, 0.476810
us_000474077,0.684819, 0.476850
us_000497760,0.684819, 0.479901
us_000539868,0.684819, 0.480124
us_000485047,0.684819, 0.480415
us_000589066,0.684819, 0.480625
us_000461193,0.684819, 0.481552
us_000483183,0.684819, 0.482054
us_000197187,0.684819, 0.482363
us_000497013,0.684819, 0.482987
us_000485004,0.684819, 0.483641
us_000496484,0.684819, 0.485734
us_000523694,0.684819, 0.488546
us_000515833,0.684819, 0.489396
us_000523998,0.684819, 0.489651
us_000494716,0.684819, 0.493883
us_000524011,0.684819, 0.494483
us_000505860,0.684819, 0.495718
us_000476710,0.684819, 0.496352
us_000484689,0.684819, 0.496836
us_000480578,0.684819, 0.499794
us_000484116,0.684819, 0.502692
us_000480839,0.684819, 0.503051
us_000518820,0.684819, 0.508804
us_000488619,0.684819, 0.518472
us_000480837,0.684819, 0.520229
us_000494978,0.684819, 0.521180
us_000487846,0.684819, 0.521242
us_000475189,0.684819, 0.535085
us_000560568,0.684819, 0.539181
us_000515781,0.684819, 0.548777
us_000477485,0.684819, 0.560383
us_000504619,0.684819, 0.577955
us_000582280,0.684819, 0.591708
us_000484451,0.684819, 0.614949
us_000551635,0.684819, 0.645367
us_000474738,0.684819, 0.736147
pr_001012328,0.673033, 0.000000
pr_000909098,0.673033, 0.000000
pr_001751119,0.673033, 0.000000
pr_000959105,0.673033, 0.000000
pr_000017835,0.673033, 0.000000
pr_000562980,0.673033, 0.000000
pr_000721615,0.673033, 0.000000
us_000508328,0.673033, 0.000001
us_000544520,0.673033, 0.000001
pr_000446966,0.673033, 0.000204
us_000574643,0.673033, 0.000910
us_000463787,0.673033, 0.012243
us_000293366,0.673033, 0.029352
us_000463693,0.673033, 0.045519
us_000495287,0.673033, 0.094476
us_000470144,0.673033, 0.095280
us_000507923,0.673033, 0.098217
us_000503372,0.673033, 0.099299
us_000490190,0.673033, 0.100628
us_000481781,0.673033, 0.101235
us_000543108,0.673033, 0.101922
us_000498164,0.673033, 0.102293
us_000490326,0.673033, 0.102578
us_000541843,0.673033, 0.104222
us_000487794,0.673033, 0.105091
us_000472087,0.673033, 0.105770
us_000464480,0.673033, 0.105817
us_000515652,0.673033, 0.106063
us_000470153,0.673033, 0.106100
us_000506933,0.673033, 0.106134
us_000588769,0.673033, 0.106216
us_000471869,0.673033, 0.106241
us_000501680,0.673033, 0.106250
us_000551710,0.673033, 0.106685
us_000542615,0.673033, 0.106804
us_000515785,0.673033, 0.106882
us_000560804,0.673033, 0.107214
us_000534701,0.673033, 0.107445
us_000612254,0.673033, 0.107569
us_000589615,0.673033, 0.107667
us_000519230,0.673033, 0.107752
us_000478996,0.673033, 0.107794
us_000515851,0.673033, 0.107944
us_000562536,0.673033, 0.108085
us_000486093,0.673033, 0.108917
us_000548186,0.673033, 0.108917
us_000505611,0.673033, 0.109322
us_000523710,0.673033, 0.109352
us_000484062,0.673033, 0.109524
us_000506478,0.673033, 0.109531
us_000473857,0.673033, 0.110086
us_000487226,0.673033, 0.110566
us_000490863,0.673033, 0.110694
us_000471681,0.673033, 0.111478
us_000485007,0.673033, 0.111834
us_000458808,0.673033, 0.112321
us_000487920,0.673033, 0.112507
us_000466643,0.673033, 0.112782
us_000506445,0.673033, 0.112960
us_000472301,0.673033, 0.113030
us_000541303,0.673033, 0.113354
us_000474545,0.673033, 0.113940
us_000551746,0.673033, 0.114167
us_000026379,0.673033, 0.114335
us_000138570,0.673033, 0.114759
us_000482833,0.673033, 0.114849
us_000489459,0.673033, 0.114881
us_000478213,0.673033, 0.114897
us_000520534,0.673033, 0.114947
us_000525945,0.673033, 0.114982
us_000484608,0.673033, 0.115105
us_000529936,0.673033, 0.115653
us_000542577,0.673033, 0.115732
us_000587396,0.673033, 0.115753
us_000500193,0.673033, 0.116006
us_000089960,0.673033, 0.116167
us_000551717,0.673033, 0.116231
us_000565689,0.673033, 0.116354
us_000483016,0.673033, 0.116374
us_000482971,0.673033, 0.116374
us_000517720,0.673033, 0.116623
us_000481881,0.673033, 0.116623
us_000525811,0.673033, 0.116623
us_000467395,0.673033, 0.116890
us_000551787,0.673033, 0.117079
us_000525994,0.673033, 0.117435
us_000537341,0.673033, 0.117947
us_000522025,0.673033, 0.118240
us_000490220,0.673033, 0.118359
us_000550744,0.673033, 0.118359
us_000550831,0.673033, 0.118359
us_000551681,0.673033, 0.118359
us_000505546,0.673033, 0.118359
us_000488484,0.673033, 0.118401
us_000503698,0.673033, 0.118947
us_000498816,0.673033, 0.119067
us_000504710,0.673033, 0.119252
us_000524498,0.673033, 0.119252
us_000467696,0.673033, 0.119323
us_000520470,0.673033, 0.119660
us_000481868,0.673033, 0.120086
us_000478351,0.673033, 0.120456
us_000483724,0.673033, 0.120529
us_000483783,0.673033, 0.120529
us_000507630,0.673033, 0.120529
us_000486709,0.673033, 0.120529
us_000483679,0.673033, 0.120529
us_000478194,0.673033, 0.120529
us_000477344,0.673033, 0.121622
us_000536703,0.673033, 0.122499
us_000534385,0.673033, 0.122508
us_000526276,0.673033, 0.122622
us_000532430,0.673033, 0.122732
us_000531825,0.673033, 0.122796
us_000484554,0.673033, 0.123488
us_000515979,0.673033, 0.123800
us_000564807,0.673033, 0.124576
us_000487006,0.673033, 0.124761
us_000477249,0.673033, 0.125031
us_000505795,0.673033, 0.125654
us_000526119,0.673033, 0.125694
us_000497929,0.673033, 0.125748
us_000477605,0.673033, 0.125928
us_000467391,0.673033, 0.125928
us_000412844,0.673033, 0.125928
us_000491387,0.673033, 0.125928
us_000565339,0.673033, 0.125928
us_000467847,0.673033, 0.125928
us_000523749,0.673033, 0.125928
us_000466564,0.673033, 0.125928
us_000529907,0.673033, 0.125928
us_000521809,0.673033, 0.125928
us_000521801,0.673033, 0.125928
us_000490118,0.673033, 0.125928
us_000490862,0.673033, 0.125928
us_000564487,0.673033, 0.125928
us_000524471,0.673033, 0.125928
us_000489761,0.673033, 0.125928
us_000262705,0.673033, 0.125928
us_000490049,0.673033, 0.125928
us_000476716,0.673033, 0.125928
us_000544660,0.673033, 0.125928
us_000484998,0.673033, 0.125928
us_000523637,0.673033, 0.125928
us_000491921,0.673033, 0.125928
us_000467215,0.673033, 0.125928
us_000466830,0.673033, 0.125928
us_000523718,0.673033, 0.125928
us_000543839,0.673033, 0.125928
us_000522146,0.673033, 0.125928
us_000468246,0.673033, 0.125928
us_000490066,0.673033, 0.126965
us_000520536,0.673033, 0.130035
us_000565135,0.673033, 0.132247
us_000331492,0.673033, 0.137820
us_000548219,0.673033, 0.137962
us_000486659,0.673033, 0.138420
us_000517810,0.673033, 0.139264
us_000532349,0.673033, 0.139971
us_000478105,0.673033, 0.140121
us_000488156,0.673033, 0.140759
us_000470075,0.673033, 0.141277
us_000543158,0.673033, 0.141437
us_000483754,0.673033, 0.145781
us_000563102,0.673033, 0.147817
us_000522033,0.673033, 0.149073
us_000480755,0.673033, 0.149925
us_000467251,0.673033, 0.150017
us_000504720,0.673033, 0.151028
us_000519259,0.673033, 0.151509
us_000521803,0.673033, 0.154202
us_000534070,0.673033, 0.155455
us_000517725,0.673033, 0.156416
us_000581999,0.673033, 0.157316
us_000526672,0.673033, 0.157672
us_000612538,0.673033, 0.164839
us_000543380,0.673033, 0.167775
us_000488269,0.673033, 0.168071
us_000465754,0.673033, 0.175652
us_000486572,0.673033, 0.180694
us_000153237,0.673033, 0.183144
us_000551642,0.673033, 0.186274
us_000466159,0.673033, 0.192160
us_000501110,0.673033, 0.196318
us_000012188,0.673033, 0.219309
us_000491195,0.673033, 0.226998
us_000587241,0.673033, 0.265166
us_000498962,0.673033, 0.266964
us_000499095,0.673033, 0.614848
pr_000871401,0.365374, 0.000000
pr_000881152,0.365374, 0.000071
us_000591112,0.365374, 0.000142
us_000567883,0.365374, 0.000156
us_000609301,0.365374, 0.000211
pr_001690175,0.365374, 0.000660
us_000489855,0.365374, 0.000786
pr_000170110,0.365374, 0.001112
pr_001687430,0.365374, 0.001518
pr_001658032,0.365374, 0.001624
us_000464767,0.365374, 0.013400
us_000488485,0.365374, 1.108380
us_000516597,0.365374, 1.308005
us_000217019,0.365374, 1.402696
us_000482601,0.365374, 1.661724
us_000516367,0.365374, 1.789856
us_000468596,0.365374, 1.959848
us_000501637,0.365374, 2.229444
us_000548893,0.365374, 2.252475
us_000486265,0.365374, 2.264685
us_000581698,0.365374, 2.431772
us_000469453,0.365374, 2.444049
us_000495294,0.365374, 2.453921
us_000565889,0.365374, 2.467686
us_000477865,0.365374, 2.489479
us_000194274,0.365374, 2.501434
us_000495376,0.365374, 2.642992
us_000472441,0.365374, 2.646743
us_000496574,0.365374, 2.670195
us_000469603,0.365374, 2.691877
us_000502599,0.365374, 2.739452
us_000513675,0.365374, 2.786381
us_000514490,0.365374, 2.806206
us_000306644,0.365374, 3.243540
us_000458492,0.365374, 8.278189
pr_000912275,0.355909, 0.000000
us_000493102,0.355909, 0.000000
pr_000001044,0.355909, 0.000004
us_000490182,0.355909, 0.021729
us_000538577,0.355909, 0.086968
us_000551401,0.355909, 0.088674
us_000556589,0.355909, 0.091724
us_000543966,0.355909, 0.097673
us_000139292,0.355909, 0.100632
us_000556744,0.355909, 0.101597
us_000575215,0.355909, 0.103268
us_000475203,0.355909, 0.105501
us_000560412,0.355909, 0.106650
us_000514852,0.355909, 0.109292
us_000472486,0.355909, 0.109393
us_000564601,0.355909, 0.110797
us_000559345,0.355909, 0.122267
us_000489425,0.355909, 0.122364
us_000550724,0.355909, 0.123394
us_000515216,0.355909, 0.141278
us_000250291,0.355909, 0.243346
us_000558937,0.355909, 0.274034
pr_001833512,0.201214, 0.000004
pr_002165876,0.201214, 0.000005
us_000549288,0.201214, 0.000011
pr_002167557,0.201214, 0.000020
us_000543334,0.201214, 0.000040
pr_000832941,0.201214, 0.000160
us_000469932,0.201214, 0.000293
us_000471651,0.201214, 0.012437
us_000471137,0.201214, 0.013817
us_000588066,0.201214, 0.023151
us_000615653,0.201214, 0.037933
us_000564994,0.201214, 0.122652
pr_001011556,0.116684, 0.000000
us_000551427,0.116684, 0.000000
us_000481766,0.116684, 0.000000
us_000099853,0.116684, 0.000004
us_000500335,0.116684, 0.000004
us_000491165,0.116684, 0.000004
us_000466596,0.116684, 0.000004
us_000481999,0.116684, 0.000012
us_000516924,0.116684, 0.000050
us_000526237,0.116684, 0.000056
us_000465540,0.116684, 0.001080
us_000466533,0.116684, 0.002177
us_000497569,0.116684, 0.005056
us_000474158,0.116684, 0.005838
us_000482530,0.116684, 0.038718
us_000595282,0.116684, 0.039273
us_000508001,0.116684, 0.039416
us_000575428,0.116684, 0.039507
us_000511909,0.116684, 0.040076
us_000579594,0.116684, 0.040454
us_000460048,0.116684, 0.040568
us_000473729,0.116684, 0.040661
us_000539452,0.116684, 0.041252
us_000577211,0.116684, 0.041428
us_000528993,0.116684, 0.041430
us_000581230,0.116684, 0.041545
us_000462516,0.116684, 0.042010
us_000528186,0.116684, 0.042347
us_000612250,0.116684, 0.042715
us_000549126,0.116684, 0.042899
us_000522362,0.116684, 0.042966
us_000522152,0.116684, 0.043175
us_000593067,0.116684, 0.043342
us_000578746,0.116684, 0.043600
us_000469314,0.116684, 0.043749
us_000514854,0.116684, 0.043811
us_000472529,0.116684, 0.044365
us_000565317,0.116684, 0.044990
us_000582347,0.116684, 0.044990
us_000566111,0.116684, 0.045102
us_000500488,0.116684, 0.045198
us_000569487,0.116684, 0.045223
us_000482178,0.116684, 0.045325
us_000524954,0.116684, 0.045575
us_000475438,0.116684, 0.045675
us_000564503,0.116684, 0.045795
us_000592907,0.116684, 0.045872
us_000592529,0.116684, 0.045873
us_000607500,0.116684, 0.046489
us_000092435,0.116684, 0.046561
us_000613790,0.116684, 0.046645
us_000491481,0.116684, 0.046753
us_000564685,0.116684, 0.046939
us_000464193,0.116684, 0.046939
us_000332948,0.116684, 0.047120
us_000610764,0.116684, 0.047306
us_000612940,0.116684, 0.047450
us_000565318,0.116684, 0.047499
us_000585476,0.116684, 0.047525
us_000488773,0.116684, 0.047915
us_000512692,0.116684, 0.048249
us_000564566,0.116684, 0.048526
us_000319497,0.116684, 0.048526
us_000600875,0.116684, 0.048635
us_000601307,0.116684, 0.048635
us_000493942,0.116684, 0.048638
us_000563218,0.116684, 0.048668
us_000581214,0.116684, 0.048861
us_000566053,0.116684, 0.049069
us_000615086,0.116684, 0.049331
us_000585553,0.116684, 0.049780
us_000616853,0.116684, 0.049780
us_000083555,0.116684, 0.050372
us_000496612,0.116684, 0.050602
us_000601365,0.116684, 0.050640
us_000490357,0.116684, 0.050701
us_000407545,0.116684, 0.050804
us_000324156,0.116684, 0.050943
us_000472819,0.116684, 0.050992
us_000463862,0.116684, 0.050992
us_000517125,0.116684, 0.051034
us_000491405,0.116684, 0.051187
us_000536007,0.116684, 0.051188
us_000578748,0.116684, 0.051369
us_000583527,0.116684, 0.051563
us_000513354,0.116684, 0.051679
us_000612920,0.116684, 0.051681
us_000485891,0.116684, 0.051698
us_000564639,0.116684, 0.051743
us_000560175,0.116684, 0.051855
us_000492209,0.116684, 0.052025
us_000507562,0.116684, 0.052025
us_000521595,0.116684, 0.052025
us_000515002,0.116684, 0.052184
us_000482137,0.116684, 0.052536
us_000520971,0.116684, 0.052623
us_000550151,0.116684, 0.052695
us_000580511,0.116684, 0.052842
us_000467065,0.116684, 0.052842
us_000468658,0.116684, 0.052842
us_000482467,0.116684, 0.052858
us_000517065,0.116684, 0.052858
us_000509509,0.116684, 0.052998
us_000612118,0.116684, 0.053065
us_000612919,0.116684, 0.053065
us_000469791,0.116684, 0.053292
us_000476703,0.116684, 0.053324
us_000507963,0.116684, 0.053451
us_000516303,0.116684, 0.053541
us_000523015,0.116684, 0.053886
us_000578054,0.116684, 0.054005
us_000566051,0.116684, 0.054330
us_000478313,0.116684, 0.054346
us_000546209,0.116684, 0.054349
us_000495853,0.116684, 0.054598
us_000516972,0.116684, 0.054598
us_000481996,0.116684, 0.054598
us_000512199,0.116684, 0.054601
us_000567786,0.116684, 0.054716
us_000489513,0.116684, 0.054864
us_000478147,0.116684, 0.054864
us_000539873,0.116684, 0.054921
us_000483182,0.116684, 0.055285
us_000370781,0.116684, 0.055374
us_000485316,0.116684, 0.055397
us_000548701,0.116684, 0.055415
us_000227762,0.116684, 0.055618
us_000530959,0.116684, 0.055668
us_000606055,0.116684, 0.055668
us_000580174,0.116684, 0.055841
us_000614135,0.116684, 0.055932
us_000028830,0.116684, 0.056285
us_000611154,0.116684, 0.056508
us_000564691,0.116684, 0.056520
us_000551169,0.116684, 0.056587
us_000515192,0.116684, 0.056916
us_000459696,0.116684, 0.057122
us_000462575,0.116684, 0.057197
us_000545749,0.116684, 0.057244
us_000606853,0.116684, 0.057244
us_000478518,0.116684, 0.057244
us_000507400,0.116684, 0.057428
us_000548647,0.116684, 0.057478
us_000553789,0.116684, 0.057590
us_000567124,0.116684, 0.057590
us_000605915,0.116684, 0.057590
us_000476751,0.116684, 0.057590
us_000576670,0.116684, 0.057590
us_000525378,0.116684, 0.057590
us_000485436,0.116684, 0.057590
us_000483196,0.116684, 0.058043
us_000490172,0.116684, 0.058510
us_000419727,0.116684, 0.058510
us_000491708,0.116684, 0.058510
us_000476699,0.116684, 0.058510
us_000505496,0.116684, 0.058510
us_000612105,0.116684, 0.058654
us_000516118,0.116684, 0.059126
us_000564399,0.116684, 0.059244
us_000546783,0.116684, 0.059707
us_000519404,0.116684, 0.059828
us_000564528,0.116684, 0.059959
us_000478166,0.116684, 0.059959
us_000604555,0.116684, 0.060020
us_000514739,0.116684, 0.060583
us_000507218,0.116684, 0.061285
us_000485460,0.116684, 0.062021
us_000601294,0.116684, 0.062021
us_000543948,0.116684, 0.062021
us_000510076,0.116684, 0.062021
us_000565001,0.116684, 0.062021
us_000507612,0.116684, 0.062021
us_000467955,0.116684, 0.062021
us_000086435,0.116684, 0.062021
us_000477740,0.116684, 0.062021
us_000544834,0.116684, 0.062021
us_000491175,0.116684, 0.062021
us_000543797,0.116684, 0.062021
us_000551827,0.116684, 0.062021
us_000601306,0.116684, 0.062021
us_000545923,0.116684, 0.062021
us_000565312,0.116684, 0.062021
us_000523573,0.116684, 0.062021
us_000467401,0.116684, 0.062021
us_000531551,0.116684, 0.062021
us_000467706,0.116684, 0.062021
us_000491426,0.116684, 0.062021
us_000564405,0.116684, 0.062021
us_000491390,0.116684, 0.062021
us_000564535,0.116684, 0.062021
us_000565279,0.116684, 0.062021
us_000543554,0.116684, 0.062021
us_000524429,0.116684, 0.062021
us_000491401,0.116684, 0.062021
us_000544866,0.116684, 0.062021
us_000564338,0.116684, 0.062021
us_000491150,0.116684, 0.062021
us_000491413,0.116684, 0.062021
us_000489986,0.116684, 0.062021
us_000520978,0.116684, 0.062021
us_000522149,0.116684, 0.062021
us_000467281,0.116684, 0.062021
us_000476739,0.116684, 0.062021
us_000489735,0.116684, 0.062021
us_000466567,0.116684, 0.062021
us_000489471,0.116684, 0.062021
us_000545628,0.116684, 0.062021
us_000565262,0.116684, 0.062021
us_000565185,0.116684, 0.062021
us_000511475,0.116684, 0.062021
us_000402664,0.116684, 0.062021
us_000490104,0.116684, 0.062021
us_000548164,0.116684, 0.062021
us_000544856,0.116684, 0.062021
us_000500359,0.116684, 0.062021
us_000467719,0.116684, 0.062021
us_000548102,0.116684, 0.062021
us_000564670,0.116684, 0.062021
us_000551855,0.116684, 0.062021
us_000491414,0.116684, 0.062021
us_000491954,0.116684, 0.062021
us_000491207,0.116684, 0.062021
us_000491418,0.116684, 0.062021
us_000491423,0.116684, 0.062021
us_000564325,0.116684, 0.062021
us_000523740,0.116684, 0.062021
us_000490061,0.116684, 0.062021
us_000472963,0.116684, 0.062647
us_000529550,0.116684, 0.062650
us_000596404,0.116684, 0.062656
us_000496381,0.116684, 0.062671
us_000512964,0.116684, 0.063102
us_000075921,0.116684, 0.063103
us_000529450,0.116684, 0.063243
us_000490095,0.116684, 0.063247
us_000513410,0.116684, 0.063252
us_000613789,0.116684, 0.063376
us_000528826,0.116684, 0.064321
us_000099372,0.116684, 0.064797
pr_000632714,0.116684, 0.065117
us_000564546,0.116684, 0.065476
us_000490891,0.116684, 0.065974
us_000529899,0.116684, 0.066191
us_000468808,0.116684, 0.066951
us_000520300,0.116684, 0.067001
us_000348985,0.116684, 0.067243
us_000482287,0.116684, 0.068540
us_000476766,0.116684, 0.069861
us_000550404,0.116684, 0.072201
us_000473029,0.116684, 0.072482
us_000477682,0.116684, 0.073244
us_000477609,0.116684, 0.073244
us_000551179,0.116684, 0.073244
us_000482440,0.116684, 0.074237
us_000250980,0.116684, 0.074897
us_000524857,0.116684, 0.075376
us_000559467,0.116684, 0.076078
us_000605630,0.116684, 0.077047
us_000491140,0.116684, 0.077875
us_000496618,0.116684, 0.078229
us_000516930,0.116684, 0.079862
us_000478840,0.116684, 0.080799
us_000577441,0.116684, 0.082318
us_000512894,0.116684, 0.084545
us_000468444,0.116684, 0.085291
us_000490119,0.116684, 0.088472
us_000489000,0.116684, 0.092195
us_000599924,0.116684, 0.095854
us_000514308,0.116684, 0.096986
us_000506984,0.116684, 0.100096
us_000515191,0.116684, 0.100816
us_000601364,0.116684, 0.103763
us_000544704,0.116684, 0.103905
us_000490125,0.116684, 0.104896
us_000500939,0.116684, 0.106519
us_000547780,0.116684, 0.110020
us_000566076,0.116684, 0.110654
us_000234135,0.116684, 0.113551
us_000565316,0.116684, 0.114519
us_000469404,0.116684, 0.121405
us_000472854,0.116684, 0.122562
us_000491264,0.116684, 0.129727
us_000597365,0.116684, 0.129745
us_000470171,0.116684, 0.131119
us_000560052,0.116684, 0.131284
us_000488640,0.116684, 0.135336
us_000509244,0.116684, 0.142707
us_000479419,0.116684, 0.152097
us_000559344,0.116684, 0.152986
us_000576098,0.116684, 0.154295
us_000576119,0.116684, 0.154590
us_000599641,0.116684, 0.155334
us_000479131,0.116684, 0.160592
us_000472943,0.116684, 0.161444
us_000596936,0.116684, 0.162141
us_000491786,0.116684, 0.175411
us_000516272,0.116684, 0.189395
us_000507567,0.116684, 0.207854
us_000539412,0.116684, 0.210656
us_000548072,0.116684, 0.216149
us_000552934,0.116684, 0.309762
us_000475788,0.116684, 0.390746
us_000517387,0.116684, 0.417162
us_000495944,0.116684, 0.435887
us_000461466,0.113189, 0.000004
us_000466574,0.113189, 0.000004
us_000461796,0.113189, 0.000004
pr_000000198,0.113189, 0.000004
us_000519547,0.113189, 0.000051
us_000478476,0.113189, 0.000060
us_000471891,0.113189, 0.000060
us_000489568,0.113189, 0.000061
us_000489642,0.113189, 0.000180
us_000516240,0.113189, 0.000209
us_000525226,0.113189, 0.000268
us_000565692,0.113189, 0.000353
us_000582224,0.113189, 0.000394
us_000506082,0.113189, 0.000481
us_000524970,0.113189, 0.000500
us_000540619,0.113189, 0.000539
us_000518609,0.113189, 0.000657
us_000516258,0.113189, 0.000668
us_000501599,0.113189, 0.001004
us_000578954,0.113189, 0.001362
us_000505554,0.113189, 0.002348
us_000481233,0.113189, 0.003785
us_000572576,0.113189, 0.005860
us_000516458,0.113189, 0.008908
us_000490097,0.113189, 0.014552
us_000604003,0.113189, 0.017606
us_000028533,0.113189, 0.108345
us_000510692,0.005976, 0.000115
us_000466323,0.005976, 0.000279
us_000484644,0.005976, 0.009467
us_000467947,0.005976, 0.010215
us_000552910,0.005976, 0.010592
us_000459424,0.005976, 0.011099
us_000480341,0.005976, 0.011127
us_000612944,0.005976, 0.012273
us_000467204,0.005976, 0.013429
us_000615315,0.005976, 0.017586
us_000514563,0.005976, 0.019443
us_000615639,0.005976, 0.038656
us_000520443,0.005976, 0.092556
us_000589050,0.005976, 0.109040
