Product ID : 2081 # of JPs covered : 1 : 243 : Family Law, 
OID,Confidence at Map Node,Error at Map Node
us_000532892,0.733738, 0.078825
us_000505701,0.733738, 0.078825
us_000501711,0.733738, 0.079198
us_000500584,0.733738, 0.080562
us_000508887,0.733738, 0.080562
us_000496986,0.733738, 0.080562
us_000507189,0.733738, 0.082320
us_000503505,0.733738, 0.084099
us_000535281,0.733738, 0.089564
us_000491661,0.733738, 0.089564
us_000501572,0.733738, 0.089564
us_000501324,0.733738, 0.093312
us_000484987,0.733738, 0.093312
us_000529282,0.733738, 0.095218
us_000545316,0.733738, 0.097144
us_000492509,0.733738, 0.097144
us_000536296,0.733738, 0.097144
us_000487575,0.733738, 0.098580
us_000496942,0.733738, 0.098591
us_000494031,0.733738, 0.099092
us_000500937,0.733738, 0.099092
us_000521914,0.733738, 0.099163
us_000506895,0.733738, 0.101061
us_000527700,0.733738, 0.101061
us_000507621,0.733738, 0.101061
us_000514584,0.733738, 0.101061
us_000490597,0.733738, 0.103747
us_000487650,0.733738, 0.106574
us_000463859,0.733738, 0.107091
us_000568190,0.733738, 0.107485
us_000498979,0.733738, 0.108542
us_000492257,0.733738, 0.109148
us_000492238,0.733738, 0.109148
us_000500797,0.733738, 0.109148
us_000511791,0.733738, 0.111223
us_000485137,0.733738, 0.111484
us_000578608,0.733738, 0.113318
us_000496624,0.733738, 0.113318
us_000501655,0.733738, 0.115435
us_000497019,0.733738, 0.115435
us_000503980,0.733738, 0.115435
us_000499901,0.733738, 0.115435
us_000487966,0.733738, 0.115435
us_000487362,0.733738, 0.115435
us_000486741,0.733738, 0.115435
us_000506270,0.733738, 0.117572
us_000496927,0.733738, 0.117572
us_000473236,0.733738, 0.117572
us_000516957,0.733738, 0.117572
us_000521437,0.733738, 0.117572
us_000496929,0.733738, 0.117572
us_000472721,0.733738, 0.119659
us_000490127,0.733738, 0.119731
us_000526486,0.733738, 0.119731
us_000516493,0.733738, 0.119731
us_000502857,0.733738, 0.119731
us_000501076,0.733738, 0.120419
us_000503521,0.733738, 0.120920
us_000489603,0.733738, 0.121539
us_000525259,0.733738, 0.121911
us_000507515,0.733738, 0.121911
us_000574811,0.733738, 0.121911
us_000513714,0.733738, 0.121911
us_000574193,0.733738, 0.121911
us_000518303,0.733738, 0.121911
us_000496596,0.733738, 0.121911
us_000487292,0.733738, 0.121911
us_000564534,0.733738, 0.121911
us_000526399,0.733738, 0.122048
us_000485155,0.733738, 0.122325
us_000487940,0.733738, 0.122497
us_000493921,0.733738, 0.123677
us_000487303,0.733738, 0.124112
us_000488536,0.733738, 0.124518
us_000473232,0.733738, 0.125207
us_000492244,0.733738, 0.128393
us_000496510,0.733738, 0.131169
us_000485286,0.733738, 0.132726
us_000496993,0.733738, 0.132823
us_000485282,0.733738, 0.140795
us_000484460,0.733738, 0.145617
us_000462452,0.733738, 0.156205
us_000575364,0.733738, 0.174946
us_000485600,0.733738, 0.186073
us_000499690,0.733738, 0.188224
us_000496714,0.733738, 0.200062
us_000487673,0.733738, 0.237915
us_000498596,0.733738, 0.243543
us_000496068,0.733738, 1.080940
us_000496338,0.733738, 1.110670
pr_001041369,0.708865, 0.000000
pr_000609656,0.708865, 0.000000
pr_000898470,0.708865, 0.000000
pr_001013264,0.708865, 0.000000
pr_001105446,0.708865, 0.000000
pr_001051133,0.708865, 0.000000
pr_000937602,0.708865, 0.000000
pr_001052522,0.708865, 0.000000
pr_000662197,0.708865, 0.000000
pr_000575766,0.708865, 0.000000
pr_001049075,0.708865, 0.000000
pr_001032674,0.708865, 0.000000
pr_001053718,0.708865, 0.000000
pr_001039808,0.708865, 0.000000
pr_001039851,0.708865, 0.000000
pr_000904871,0.708865, 0.000000
pr_001003744,0.708865, 0.000000
pr_001062510,0.708865, 0.000000
pr_001098883,0.708865, 0.000000
pr_000950822,0.708865, 0.000000
pr_001058370,0.708865, 0.000000
pr_001039985,0.708865, 0.000000
pr_000892122,0.708865, 0.000000
pr_000881134,0.708865, 0.000002
pr_000940095,0.708865, 0.000002
pr_001071710,0.708865, 0.000002
pr_000441375,0.708865, 0.000002
pr_000904439,0.708865, 0.000003
pr_001049137,0.708865, 0.000004
pr_000693119,0.708865, 0.000004
pr_001061643,0.708865, 0.000004
pr_001092508,0.708865, 0.000015
pr_001041283,0.708865, 0.000015
pr_001052276,0.708865, 0.000016
pr_001057861,0.708865, 0.000034
pr_000758172,0.708865, 0.000034
pr_000769196,0.708865, 0.000035
pr_001039891,0.708865, 0.000035
pr_000435388,0.708865, 0.000036
pr_000939531,0.708865, 0.000041
pr_000954089,0.708865, 0.000044
pr_001047749,0.708865, 0.000056
pr_001086752,0.708865, 0.000084
pr_000433403,0.708865, 0.000084
pr_001070283,0.708865, 0.000099
pr_001040709,0.708865, 0.000100
pr_001040062,0.708865, 0.000131
pr_001051714,0.708865, 0.000181
pr_001029458,0.708865, 0.000196
pr_001123897,0.634911, 0.000000
us_000494144,0.634911, 0.000000
us_000508918,0.634911, 0.000000
us_000495728,0.634911, 0.000000
us_000494290,0.634911, 0.000002
us_000543982,0.634911, 0.000002
us_000564154,0.634911, 0.000002
us_000565363,0.634911, 0.000002
us_000601349,0.634911, 0.000009
us_000561991,0.634911, 0.000255
us_000574990,0.634911, 0.000346
us_000509708,0.634911, 0.000630
us_000510963,0.634911, 0.000630
us_000616410,0.634911, 0.001340
us_000553744,0.634911, 0.001602
us_000520402,0.634911, 0.003838
us_000510502,0.634911, 0.005312
us_000483289,0.634911, 0.173679
us_000511816,0.634911, 0.174105
us_000502510,0.634911, 0.186947
us_000490591,0.634911, 0.212186
us_000494825,0.634911, 0.223453
us_000482667,0.634911, 0.242563
us_000580495,0.634911, 0.247165
us_000501051,0.634911, 0.282160
us_000521869,0.634911, 0.285028
us_000498497,0.634911, 0.292453
us_000537395,0.634911, 0.304198
pr_000763914,0.564967, 0.000001
us_000498480,0.564967, 0.058667
us_000511817,0.564967, 0.058667
us_000520069,0.564967, 0.058667
us_000579760,0.564967, 0.060188
us_000489973,0.564967, 0.060188
us_000498582,0.564967, 0.060188
us_000496063,0.564967, 0.061730
us_000488103,0.564967, 0.063293
us_000483901,0.564967, 0.063293
us_000502276,0.564967, 0.063293
us_000484659,0.564967, 0.063293
us_000524544,0.564967, 0.063293
us_000511499,0.564967, 0.063293
us_000516872,0.564967, 0.063293
us_000504652,0.564967, 0.064877
us_000492154,0.564967, 0.064877
us_000518349,0.564967, 0.064877
us_000517371,0.564967, 0.064877
us_000493465,0.564967, 0.064877
us_000505881,0.564967, 0.066483
us_000508974,0.564967, 0.066483
us_000511999,0.564967, 0.066483
us_000507313,0.564967, 0.066483
us_000503291,0.564967, 0.066483
us_000492863,0.564967, 0.068109
us_000490141,0.564967, 0.068109
us_000525777,0.564967, 0.068109
us_000480429,0.564967, 0.068662
us_000518241,0.564967, 0.069756
us_000497485,0.564967, 0.069756
us_000528532,0.564967, 0.069756
us_000479149,0.564967, 0.069756
us_000494430,0.564967, 0.069756
us_000506882,0.564967, 0.069756
us_000508978,0.564967, 0.069756
us_000508594,0.564967, 0.069756
us_000508817,0.564967, 0.069756
us_000496098,0.564967, 0.071425
us_000487217,0.564967, 0.071425
us_000533272,0.564967, 0.071425
us_000517366,0.564967, 0.071425
us_000580724,0.564967, 0.071425
us_000493814,0.564967, 0.071425
us_000520738,0.564967, 0.071425
us_000513342,0.564967, 0.071425
us_000502821,0.564967, 0.071425
us_000505898,0.564967, 0.071425
us_000506926,0.564967, 0.073115
us_000524762,0.564967, 0.073125
us_000484704,0.564967, 0.073630
us_000534223,0.564967, 0.074624
us_000502951,0.564967, 0.074825
us_000495842,0.564967, 0.074825
us_000494011,0.564967, 0.074825
us_000508249,0.564967, 0.076557
us_000488732,0.564967, 0.076557
us_000520102,0.564967, 0.076557
us_000492993,0.564967, 0.076976
us_000508298,0.564967, 0.078310
us_000528630,0.564967, 0.078310
us_000496960,0.564967, 0.078310
us_000574802,0.564967, 0.078310
us_000500997,0.564967, 0.078310
us_000516522,0.564967, 0.078310
us_000502228,0.564967, 0.078310
us_000562239,0.564967, 0.078310
us_000508260,0.564967, 0.078310
us_000489705,0.564967, 0.080084
us_000519034,0.564967, 0.080084
us_000492281,0.564967, 0.080084
us_000492304,0.564967, 0.080084
us_000492975,0.564967, 0.080084
us_000497266,0.564967, 0.080084
us_000496087,0.564967, 0.080084
us_000466790,0.564967, 0.080867
us_000479649,0.564967, 0.083570
us_000567650,0.564967, 0.087956
us_000468984,0.564967, 0.088616
us_000524856,0.564967, 0.096158
us_000520704,0.564967, 0.100685
us_000503297,0.564967, 0.100909
us_000483470,0.564967, 0.106112
us_000484720,0.564967, 0.118321
us_000517456,0.564967, 0.129322
us_000499243,0.564967, 0.166725
us_000496088,0.564967, 0.224370
us_000514480,0.564967, 0.260167
us_000500518,0.564967, 0.359214
pr_000418401,0.554606, 0.000000
us_000499446,0.554606, 0.000001
pr_002149437,0.554606, 0.000001
pr_001834872,0.554606, 0.000001
pr_001839573,0.554606, 0.000001
pr_000742365,0.554606, 0.000027
pr_001027550,0.554606, 0.000031
pr_001039655,0.554606, 0.000032
