Product ID : 2127 # of JPs covered : 1 : 361 : LoanDoc-Syndicated Loans, 
pr_000979388,0.997141, 0.000000
pr_001126527,0.997141, 0.000000
pr_001128467,0.997141, 0.000000
pr_000979316,0.997141, 0.000000
pr_001128274,0.997141, 0.000000
us_000558652,0.997141, 0.000000
us_000542920,0.997141, 0.000000
us_000553651,0.997141, 0.000000
pr_001612512,0.997141, 0.000000
pr_000689893,0.997141, 0.000000
pr_001661875,0.997141, 0.000003
pr_001056907,0.997141, 0.000003
pr_000733337,0.997141, 0.000003
pr_001682170,0.997141, 0.000003
pr_000626543,0.997141, 0.000003
pr_001008637,0.997141, 0.000004
pr_002095344,0.997141, 0.000004
us_000537309,0.997141, 0.000006
pr_000526777,0.997141, 0.000007
pr_001013248,0.997141, 0.000007
pr_001033568,0.997141, 0.000012
pr_000847702,0.997141, 0.000015
pr_002062722,0.997141, 0.000019
pr_001999429,0.997141, 0.000020
pr_000633068,0.997141, 0.000026
us_000597549,0.997141, 0.000044
us_000551173,0.997141, 0.000098
us_000542916,0.997141, 0.000543
us_000476765,0.997141, 0.000860
us_000546502,0.997141, 0.001415
us_000594803,0.997141, 0.002058
us_000483853,0.997141, 0.003330
us_000478803,0.997141, 0.016506
us_000545942,0.997141, 0.032574
us_000537082,0.997141, 0.038749
us_000497706,0.997141, 0.065039
us_000531618,0.997141, 4.458370
us_000491042,0.997141, 4.718196
us_000614007,0.955168, 0.000000
us_000579584,0.955168, 0.000001
pr_000811684,0.955168, 0.000014
pr_001008642,0.955168, 0.000034
us_000591676,0.955168, 0.000070
pr_001393097,0.955168, 0.000075
pr_000292008,0.955168, 0.000075
pr_000976558,0.955168, 0.000075
pr_001581120,0.955168, 0.000075
pr_000846122,0.955168, 0.000075
pr_000694566,0.955168, 0.000075
pr_000816001,0.955168, 0.000075
pr_000587451,0.955168, 0.000075
pr_000812083,0.955168, 0.000075
pr_000990603,0.955168, 0.000075
pr_001050782,0.955168, 0.000075
pr_000948664,0.955168, 0.000075
pr_001078712,0.955168, 0.000075
pr_000836651,0.955168, 0.000101
pr_000291763,0.955168, 0.000129
pr_000900143,0.955168, 0.000147
pr_000335205,0.955168, 0.000163
us_000591679,0.955168, 0.000179
pr_000989145,0.955168, 0.000231
pr_000769560,0.955168, 0.000245
us_000604368,0.955168, 0.000261
pr_001583770,0.955168, 0.000265
pr_000985350,0.955168, 0.000336
pr_000953342,0.955168, 0.000664
pr_000343248,0.955168, 0.000664
pr_000944114,0.955168, 0.000664
pr_000958584,0.955168, 0.000664
pr_000952750,0.955168, 0.000664
pr_002056356,0.955168, 0.000664
pr_000960086,0.955168, 0.000664
pr_000648118,0.955168, 0.000664
pr_001013456,0.955168, 0.000664
pr_000817392,0.955168, 0.000673
pr_000759739,0.955168, 0.000679
pr_001611431,0.955168, 0.000753
pr_000730907,0.955168, 0.000753
pr_000943183,0.955168, 0.000753
pr_001686073,0.955168, 0.000817
pr_001651438,0.955168, 0.000834
pr_001954439,0.955168, 0.000879
pr_001012546,0.955168, 0.000934
pr_001003537,0.955168, 0.001022
pr_000628353,0.955168, 0.001070
pr_002139046,0.955168, 0.001153
pr_000756940,0.955168, 0.001234
pr_000092933,0.955168, 0.001312
us_000497147,0.955168, 0.001508
us_000510323,0.955168, 0.001508
us_000542463,0.955168, 0.001508
pr_001686026,0.955168, 0.001812
pr_000690384,0.955168, 0.001936
pr_000666471,0.955168, 0.001955
pr_000845920,0.955168, 0.002341
pr_000759221,0.955168, 0.002533
us_000490526,0.955168, 0.005416
us_000500303,0.955168, 0.005858
us_000598732,0.955168, 0.005946
us_000557539,0.955168, 0.006657
us_000536764,0.955168, 0.006935
us_000494504,0.955168, 0.007796
us_000611276,0.955168, 0.007807
us_000488330,0.955168, 0.010306
us_000523477,0.955168, 0.021918
us_000523609,0.955168, 0.025177
us_000549475,0.955168, 0.029777
us_000522323,0.955168, 0.037256
us_000490156,0.955168, 0.053228
us_000500308,0.955168, 0.056203
us_000379896,0.955168, 0.110415
us_000481771,0.955168, 0.110844
us_000509415,0.904306, 0.000000
us_000594741,0.904306, 0.000000
us_000594046,0.904306, 0.000000
us_000553035,0.904306, 0.000000
us_000521094,0.904306, 0.000000
us_000460332,0.904306, 0.000000
us_000472648,0.904306, 0.000000
us_000502050,0.904306, 0.000000
pr_001063722,0.904306, 0.000000
us_000523182,0.904306, 0.000000
us_000511047,0.904306, 0.000000
us_000525321,0.904306, 0.000000
us_000494375,0.904306, 0.000000
us_000558905,0.904306, 0.000000
us_000485729,0.904306, 0.000000
us_000534734,0.904306, 0.000000
us_000525785,0.904306, 0.000000
us_000117377,0.904306, 0.000000
us_000494996,0.904306, 0.000000
us_000595192,0.904306, 0.000000
pr_001051791,0.904306, 0.000001
pr_001041910,0.904306, 0.000001
pr_001093895,0.904306, 0.000001
us_000502723,0.904306, 0.000002
us_000502194,0.904306, 0.000002
pr_000725016,0.904306, 0.000006
pr_001085488,0.904306, 0.000006
pr_001039818,0.904306, 0.000006
pr_001045293,0.904306, 0.000008
pr_000945558,0.904306, 0.000008
pr_000870781,0.904306, 0.000016
pr_001658733,0.904306, 0.000018
pr_001410899,0.904306, 0.000020
pr_001728765,0.904306, 0.000020
pr_002155699,0.904306, 0.000020
pr_002115192,0.904306, 0.000020
pr_001708352,0.904306, 0.000020
pr_001905520,0.904306, 0.000020
pr_001904929,0.904306, 0.000020
pr_001836189,0.904306, 0.000020
pr_001966318,0.904306, 0.000020
pr_002194526,0.904306, 0.000020
pr_002149275,0.904306, 0.000020
pr_001956982,0.904306, 0.000020
pr_001732422,0.904306, 0.000020
pr_001881303,0.904306, 0.000020
pr_001963266,0.904306, 0.000020
pr_002185346,0.904306, 0.000020
pr_001622675,0.904306, 0.000020
pr_001049619,0.904306, 0.000020
pr_000851935,0.904306, 0.000020
pr_001397828,0.904306, 0.000020
pr_001024313,0.904306, 0.000020
us_000497679,0.904306, 0.000021
pr_000581799,0.904306, 0.000028
pr_000656326,0.904306, 0.000031
pr_001143647,0.904306, 0.000032
pr_001076156,0.904306, 0.000041
pr_001903707,0.904306, 0.000042
pr_001411457,0.904306, 0.000043
us_000516304,0.904306, 0.000048
pr_000188293,0.904306, 0.000048
us_000524387,0.904306, 0.000049
pr_001722513,0.904306, 0.000052
pr_001959955,0.904306, 0.000067
us_000512532,0.904306, 0.000075
pr_001403687,0.904306, 0.000076
us_000511857,0.904306, 0.000095
pr_001403560,0.904306, 0.000103
us_000590222,0.904306, 0.000118
pr_001085899,0.904306, 0.000133
us_000581499,0.904306, 0.000175
pr_001098621,0.904306, 0.000235
pr_000410075,0.904306, 0.000258
us_000588325,0.904306, 0.000515
us_000555876,0.904306, 0.000619
us_000606431,0.904306, 0.000705
us_000598747,0.904306, 0.000735
us_000558078,0.904306, 0.000908
us_000588931,0.904306, 0.001353
us_000591421,0.904306, 0.001739
us_000591062,0.904306, 0.002105
us_000595152,0.904306, 0.002994
us_000557251,0.904306, 0.004607
us_000582132,0.904306, 0.009002
us_000144573,0.904306, 0.010435
us_000542698,0.904306, 0.010629
us_000496250,0.904306, 6.419337
us_000532795,0.904306, 7.006156
us_000589358,0.904306, 8.812871
us_000536695,0.904306, 9.275600
us_000536478,0.904306, 9.304485
us_000514227,0.904306, 9.450528
us_000496340,0.904306, 9.840022
us_000536638,0.904306, 9.885546
us_000536392,0.904306, 10.219716
us_000417009,0.862125, 0.000007
us_000597473,0.862125, 0.000846
us_000470281,0.862125, 2.683752
us_000478240,0.862125, 2.851102
us_000459982,0.862125, 2.879175
us_000590121,0.862125, 2.888430
us_000496432,0.862125, 2.919299
us_000195579,0.862125, 2.924352
us_000485343,0.862125, 2.950472
us_000478459,0.862125, 2.967795
us_000529916,0.862125, 2.974814
us_000533011,0.862125, 2.996585
us_000469221,0.862125, 3.027794
us_000496225,0.862125, 3.033553
us_000188777,0.862125, 3.079918
us_000478552,0.862125, 3.110730
us_000474504,0.862125, 3.123411
us_000489038,0.862125, 3.129719
us_000474650,0.862125, 3.156879
us_000535792,0.862125, 3.158768
us_000577522,0.862125, 3.169867
us_000483957,0.862125, 3.179739
us_000330823,0.862125, 3.191705
us_000607538,0.862125, 3.201358
us_000495048,0.862125, 3.201529
us_000607266,0.862125, 3.205069
us_000545943,0.862125, 3.209516
us_000461943,0.862125, 3.212933
us_000533201,0.862125, 3.213027
us_000607267,0.862125, 3.215050
us_000596030,0.862125, 3.221983
us_000470217,0.862125, 3.225117
us_000590060,0.862125, 3.228559
us_000529736,0.862125, 3.238691
us_000491197,0.862125, 3.241606
us_000482956,0.862125, 3.244290
us_000538629,0.862125, 3.254387
us_000489391,0.862125, 3.257009
us_000602928,0.862125, 3.261242
us_000568640,0.862125, 3.272842
us_000103152,0.862125, 3.284905
us_000556727,0.862125, 3.290731
us_000600817,0.862125, 3.293796
us_000527432,0.862125, 3.299135
us_000535701,0.862125, 3.308897
us_000570893,0.862125, 3.324864
us_000557813,0.862125, 3.326590
us_000596031,0.862125, 3.328606
us_000511235,0.862125, 3.342959
us_000521516,0.862125, 3.351907
us_000545241,0.862125, 3.426271
us_000556005,0.861244, 0.000000
us_000561867,0.861244, 0.000000
us_000583571,0.861244, 0.000000
us_000609869,0.861244, 0.000000
us_000587702,0.861244, 0.000000
us_000614230,0.861244, 0.000000
us_000594589,0.861244, 0.000000
us_000564486,0.861244, 0.000000
us_000608585,0.861244, 0.000000
us_000571941,0.861244, 0.000000
us_000526673,0.861244, 0.000000
us_000514465,0.861244, 0.000000
us_000615324,0.861244, 0.000000
us_000520659,0.861244, 0.000000
us_000518872,0.861244, 0.000000
us_000510383,0.861244, 0.000000
us_000557045,0.861244, 0.000000
us_000483302,0.861244, 0.000000
us_000566511,0.861244, 0.000000
us_000480554,0.861244, 0.000000
us_000484897,0.861244, 0.000000
us_000568936,0.861244, 0.000000
us_000481478,0.861244, 0.000000
pr_001198356,0.861244, 0.000000
us_000459965,0.861244, 0.000000
us_000561609,0.861244, 0.000000
pr_000512936,0.861244, 0.000001
pr_000553708,0.861244, 0.000001
pr_000525022,0.861244, 0.000001
us_000566717,0.861244, 0.000005
us_000488177,0.861244, 0.000005
us_000555845,0.861244, 0.000005
pr_000547930,0.861244, 0.000006
pr_001159357,0.861244, 0.000006
us_000590277,0.861244, 0.000007
us_000566916,0.861244, 0.000008
us_000558506,0.861244, 0.000008
us_000589284,0.861244, 0.000015
us_000582837,0.861244, 0.000240
us_000596575,0.861244, 0.000686
us_000609144,0.861244, 0.000794
us_000584686,0.861244, 0.000828
us_000617081,0.861244, 0.000863
us_000579349,0.861244, 0.001431
us_000599987,0.861244, 0.001849
us_000599695,0.861244, 0.001849
us_000572177,0.861244, 0.002521
us_000549376,0.861244, 0.003183
us_000598769,0.861244, 0.003353
us_000584434,0.861244, 0.004975
us_000501268,0.861244, 0.007158
us_000523697,0.861244, 0.016723
us_000580430,0.861244, 0.030038
us_000496334,0.861244, 0.048682
us_000468274,0.861244, 4.406743
us_000553362,0.861244, 4.538523
us_000523992,0.861244, 5.194504
us_000547588,0.861244, 5.391441
us_000539626,0.861244, 6.676672
us_000535163,0.861244, 6.939778
us_000460249,0.861244, 7.183022
us_000524201,0.861244, 7.585209
us_000553375,0.861244, 8.848219
pr_000416917,0.734377, 0.000000
pr_000021577,0.734377, 0.000000
pr_001399190,0.734377, 0.000000
us_000496920,0.734377, 0.000000
pr_000925767,0.734377, 0.000000
us_000519151,0.734377, 0.000000
us_000587231,0.734377, 0.000001
us_000539657,0.734377, 0.000001
us_000518123,0.734377, 0.000003
us_000518750,0.734377, 0.000003
us_000533157,0.734377, 0.000003
us_000523737,0.734377, 0.000003
us_000464976,0.734377, 0.000003
us_000463092,0.734377, 0.000003
us_000459542,0.734377, 0.000003
pr_000584329,0.734377, 0.000004
us_000461596,0.734377, 0.000029
us_000474939,0.734377, 0.000029
us_000541963,0.734377, 0.000029
us_000589005,0.734377, 0.000029
us_000462019,0.734377, 0.000029
us_000458465,0.734377, 0.000029
us_000474850,0.734377, 0.000029
us_000466873,0.734377, 0.000029
us_000459232,0.734377, 0.000029
us_000474048,0.734377, 0.000029
us_000458466,0.734377, 0.000029
us_000468411,0.734377, 0.000029
us_000466300,0.734377, 0.000029
us_000471024,0.734377, 0.000029
us_000467863,0.734377, 0.000029
us_000466508,0.734377, 0.000029
us_000471448,0.734377, 0.000029
us_000467675,0.734377, 0.000029
us_000466386,0.734377, 0.000029
us_000469164,0.734377, 0.000029
us_000467681,0.734377, 0.000029
us_000584604,0.734377, 0.000029
us_000592544,0.734377, 0.000029
us_000592397,0.734377, 0.000029
us_000616636,0.734377, 0.000029
us_000592257,0.734377, 0.000029
pr_001138256,0.734377, 0.000031
pr_001777089,0.734377, 0.000047
pr_001802922,0.734377, 0.000047
us_000513021,0.734377, 0.000050
pr_001801207,0.734377, 0.000055
pr_002121650,0.734377, 0.000055
pr_001785803,0.734377, 0.000063
us_000526716,0.734377, 0.000063
pr_001154845,0.734377, 0.000070
pr_000755813,0.734377, 0.000070
pr_001775771,0.734377, 0.000072
us_000516689,0.734377, 0.000080
pr_002038172,0.734377, 0.000080
pr_001027951,0.734377, 0.000094
us_000465997,0.734377, 0.000098
us_000469738,0.734377, 0.000113
us_000461275,0.734377, 0.000113
us_000141844,0.734377, 0.000117
pr_001780587,0.734377, 0.000129
pr_002042257,0.734377, 0.000134
us_000614329,0.734377, 0.000142
pr_001884201,0.734377, 0.000143
us_000215592,0.734377, 0.000163
us_000531255,0.734377, 0.000167
us_000549940,0.734377, 0.000174
us_000478811,0.734377, 0.000183
us_000488851,0.734377, 0.000202
us_000518193,0.734377, 0.000203
pr_001783692,0.734377, 0.000215
us_000479525,0.734377, 0.000218
us_000596966,0.734377, 0.000226
us_000592444,0.734377, 0.000233
us_000533506,0.734377, 0.000233
us_000500173,0.734377, 0.000233
us_000498889,0.734377, 0.000316
us_000510904,0.734377, 0.000324
us_000525420,0.734377, 0.000330
us_000568223,0.734377, 0.000347
us_000483711,0.734377, 0.000417
us_000512248,0.734377, 0.000441
us_000613316,0.734377, 0.000446
us_000479618,0.734377, 0.000463
us_000524552,0.734377, 0.000533
us_000511120,0.734377, 0.000589
pr_000208930,0.734377, 0.000630
us_000225346,0.734377, 0.000637
us_000534794,0.734377, 0.000738
us_000548458,0.734377, 0.000845
us_000583392,0.734377, 0.000950
us_000476394,0.734377, 0.000970
us_000461962,0.734377, 0.000983
us_000487051,0.734377, 0.001018
us_000508586,0.734377, 0.001018
us_000590931,0.734377, 0.001069
us_000592455,0.734377, 0.001069
us_000460758,0.734377, 0.001102
us_000467812,0.734377, 0.001328
us_000616794,0.734377, 0.001337
us_000591487,0.734377, 0.001437
us_000538336,0.734377, 0.001440
us_000548272,0.734377, 0.001455
us_000508363,0.734377, 0.001483
us_000470400,0.734377, 0.001500
us_000480743,0.734377, 0.001581
us_000393232,0.734377, 0.001674
us_000541751,0.734377, 0.001856
us_000499098,0.734377, 0.001920
us_000530241,0.734377, 0.002009
us_000553361,0.734377, 0.002038
pr_001774601,0.734377, 0.002132
us_000579214,0.734377, 0.002192
us_000494194,0.734377, 0.002348
us_000584481,0.734377, 0.002356
us_000502521,0.734377, 0.002367
us_000511786,0.734377, 0.002415
us_000468063,0.734377, 0.002458
us_000525947,0.734377, 0.002513
us_000503687,0.734377, 0.002530
us_000588989,0.734377, 0.002614
us_000580705,0.734377, 0.002723
us_000498095,0.734377, 0.002913
us_000560989,0.734377, 0.003061
us_000546029,0.734377, 0.003299
us_000479473,0.734377, 0.003546
us_000500243,0.734377, 0.003745
us_000558945,0.734377, 0.003768
us_000517162,0.734377, 0.003770
us_000473652,0.734377, 0.004349
us_000541517,0.734377, 0.005343
us_000508132,0.734377, 0.005701
us_000571407,0.734377, 0.005745
us_000580573,0.734377, 0.005801
us_000505900,0.734377, 0.006175
us_000521473,0.734377, 0.006378
us_000487766,0.734377, 0.006938
us_000509684,0.734377, 0.008220
us_000600173,0.734377, 0.008371
us_000551828,0.734377, 0.008436
us_000480956,0.734377, 0.011969
us_000550178,0.734377, 0.015121
us_000563109,0.734377, 0.015635
us_000561107,0.734377, 0.016918
us_000580502,0.734377, 0.016918
us_000583074,0.734377, 0.016918
us_000596690,0.734377, 0.016918
us_000464386,0.734377, 0.017037
us_000579820,0.734377, 0.017286
us_000470069,0.734377, 0.017612
us_000508028,0.734377, 0.018692
us_000499925,0.734377, 0.019673
us_000525843,0.734377, 0.019887
us_000500903,0.734377, 0.022190
us_000521051,0.734377, 0.022801
us_000027597,0.734377, 0.023207
us_000517450,0.734377, 0.024244
us_000473774,0.734377, 0.024625
us_000506678,0.734377, 0.024854
us_000528006,0.734377, 0.025288
us_000617039,0.734377, 0.027844
us_000568136,0.734377, 0.028889
us_000498404,0.734377, 0.028993
us_000526994,0.734377, 0.029582
us_000533880,0.734377, 0.029878
us_000550675,0.734377, 0.030046
us_000527023,0.734377, 0.032272
us_000517878,0.734377, 0.032291
us_000489336,0.734377, 0.036534
us_000473591,0.734377, 0.036961
us_000587861,0.734377, 0.041871
us_000592560,0.734377, 0.042341
us_000521761,0.734377, 0.051437
us_000562140,0.734377, 0.066025
us_000507744,0.734377, 0.070828
us_000538344,0.734377, 0.073138
us_000545914,0.734377, 0.085027
us_000559135,0.734377, 0.089871
us_000543691,0.734377, 0.092093
us_000480792,0.734377, 0.099396
us_000522564,0.734377, 0.116936
us_000543851,0.734377, 0.143956
us_000549243,0.734377, 0.226650
us_000563118,0.734377, 0.287916
us_000555873,0.734377, 0.333005
us_000425859,0.734377, 0.588824
us_000496383,0.734377, 0.683060
us_000125898,0.723282, 0.000000
us_000476864,0.723282, 0.000000
us_000475710,0.723282, 0.000000
us_000475265,0.723282, 0.000000
us_000454651,0.723282, 0.000000
us_000476350,0.723282, 0.000000
us_000470605,0.723282, 0.000000
us_000476324,0.723282, 0.000000
us_000475740,0.723282, 0.000000
us_000475313,0.723282, 0.000000
us_000467248,0.723282, 0.000000
us_000467223,0.723282, 0.000000
us_000473159,0.723282, 0.000000
us_000475033,0.723282, 0.000000
us_000467224,0.723282, 0.000000
us_000508179,0.723282, 0.000000
pr_001668386,0.723282, 0.000000
us_000470086,0.723282, 0.000000
pr_000829070,0.723282, 0.000000
pr_000724891,0.723282, 0.000000
pr_001659233,0.723282, 0.000000
pr_001094461,0.723282, 0.000001
us_000467788,0.723282, 0.000002
us_000525923,0.723282, 0.000002
us_000569909,0.723282, 0.000002
us_000529839,0.723282, 0.000002
us_000493967,0.723282, 0.000002
us_000528093,0.723282, 0.000002
us_000544366,0.723282, 0.000002
us_000561286,0.723282, 0.000002
us_000515161,0.723282, 0.000002
us_000551346,0.723282, 0.000002
us_000572124,0.723282, 0.000002
us_000533287,0.723282, 0.000004
pr_000992583,0.723282, 0.000006
pr_001062915,0.723282, 0.000006
pr_000654439,0.723282, 0.000006
pr_001666683,0.723282, 0.000008
pr_000204501,0.723282, 0.000008
pr_000353389,0.723282, 0.000010
us_000525838,0.723282, 0.000014
pr_000922829,0.723282, 0.000026
us_000459957,0.723282, 0.000029
us_000466917,0.723282, 0.000045
pr_001396113,0.723282, 0.000045
pr_001863770,0.723282, 0.000057
us_000512623,0.723282, 0.000058
pr_000214617,0.723282, 0.000068
us_000571760,0.723282, 0.000084
pr_000651867,0.723282, 0.000085
us_000495743,0.723282, 0.000098
pr_000979242,0.723282, 0.000120
us_000519733,0.723282, 0.000151
pr_000654741,0.723282, 0.000189
us_000602929,0.723282, 0.000215
pr_001043964,0.723282, 0.000322
us_000559749,0.723282, 0.000334
pr_000856808,0.723282, 0.000401
pr_000877373,0.723282, 0.000481
pr_001804945,0.723282, 0.000518
pr_000641864,0.723282, 0.000551
us_000468733,0.723282, 0.000576
us_000510902,0.723282, 0.000592
pr_001659572,0.723282, 0.000615
us_000533975,0.723282, 0.000908
pr_000993660,0.723282, 0.001023
pr_001620362,0.723282, 0.001388
pr_000825523,0.723282, 0.001451
us_000499533,0.723282, 0.001574
pr_000697292,0.723282, 0.001640
us_000523410,0.723282, 0.012144
us_000500138,0.723282, 0.013754
us_000500462,0.723282, 0.014014
us_000467070,0.723282, 0.022070
us_000570107,0.723282, 0.025947
us_000551929,0.723282, 0.028690
us_000554681,0.723282, 0.039017
us_000502916,0.723282, 0.043698
us_000129357,0.723282, 0.047213
us_000028057,0.723282, 0.050054
us_000458632,0.723282, 0.061789
us_000435759,0.723282, 0.075212
us_000586742,0.723282, 0.306978
us_000430456,0.723282, 1.038287
us_000560225,0.662272, 0.004032
us_000541734,0.662272, 0.004478
us_000566917,0.662272, 0.915524
us_000499630,0.662272, 0.928234
us_000498943,0.662272, 1.024382
us_000523842,0.662272, 1.029268
us_000526746,0.662272, 1.045794
us_000252500,0.662272, 1.082964
us_000573288,0.662272, 1.084181
us_000574548,0.662272, 1.111947
us_000521763,0.662272, 1.121326
us_000596968,0.662272, 1.124372
us_000533840,0.662272, 1.131347
us_000512420,0.662272, 1.134546
us_000511606,0.662272, 1.134874
us_000501578,0.662272, 1.135142
us_000544167,0.662272, 1.141719
us_000420058,0.662272, 1.160496
us_000231918,0.662272, 1.163367
us_000521257,0.662272, 1.171971
us_000608495,0.662272, 1.175544
us_000553688,0.662272, 1.190439
us_000585856,0.662272, 1.200118
us_000481393,0.662272, 1.200121
us_000607653,0.662272, 1.200936
us_000013307,0.662272, 1.214702
us_000552628,0.662272, 1.214716
us_000542790,0.662272, 1.214898
us_000540087,0.662272, 1.217507
us_000477165,0.662272, 1.219986
us_000524561,0.662272, 1.221637
us_000464995,0.662272, 1.227212
us_000563385,0.662272, 1.233130
us_000546153,0.662272, 1.237415
us_000526876,0.662272, 1.241167
us_000475220,0.662272, 1.243559
us_000463053,0.662272, 1.245253
us_000584017,0.662272, 1.247627
us_000509559,0.662272, 1.248593
us_000553323,0.662272, 1.249257
us_000481589,0.662272, 1.249510
us_000596948,0.662272, 1.253557
us_000488601,0.662272, 1.256358
us_000577173,0.662272, 1.262653
us_000607864,0.662272, 1.264768
us_000556562,0.662272, 1.271283
us_000608646,0.662272, 1.273696
us_000579256,0.662272, 1.274435
us_000304749,0.662272, 1.274475
us_000501132,0.662272, 1.280955
us_000475104,0.662272, 1.288393
us_000507414,0.662272, 1.291835
us_000142957,0.662272, 1.295701
us_000476958,0.662272, 1.297820
us_000461280,0.662272, 1.302820
us_000110358,0.662272, 1.308040
us_000458597,0.662272, 1.318960
us_000465118,0.662272, 1.320176
us_000538101,0.662272, 1.320859
us_000610388,0.662272, 1.326796
us_000557647,0.662272, 1.334814
us_000436858,0.662272, 1.335462
us_000538783,0.662272, 1.490428
pr_001808080,0.652327, 0.000000
pr_001887259,0.652327, 0.000000
pr_001939003,0.652327, 0.000000
pr_001723260,0.652327, 0.000000
pr_001780997,0.652327, 0.000000
pr_002015461,0.652327, 0.000000
pr_001806660,0.652327, 0.000000
pr_002001468,0.652327, 0.000000
pr_001809086,0.652327, 0.000000
pr_002027453,0.652327, 0.000000
pr_001789866,0.652327, 0.000000
pr_001782314,0.652327, 0.000000
pr_001784218,0.652327, 0.000000
pr_001887074,0.652327, 0.000000
pr_001893720,0.652327, 0.000000
pr_002014622,0.652327, 0.000000
pr_001887909,0.652327, 0.000000
pr_001803592,0.652327, 0.000000
pr_002036846,0.652327, 0.000000
pr_001855520,0.652327, 0.000000
pr_002038214,0.652327, 0.000000
pr_001789345,0.652327, 0.000000
pr_001888505,0.652327, 0.000000
pr_001788807,0.652327, 0.000000
pr_001939377,0.652327, 0.000000
pr_001883045,0.652327, 0.000000
pr_001778720,0.652327, 0.000000
pr_001807085,0.652327, 0.000000
pr_001942498,0.652327, 0.000000
pr_001778570,0.652327, 0.000000
pr_002045860,0.652327, 0.000000
pr_000748519,0.652327, 0.000000
pr_001785022,0.652327, 0.000000
pr_002041730,0.652327, 0.000000
pr_001801550,0.652327, 0.000000
pr_001940739,0.652327, 0.000000
pr_002046720,0.652327, 0.000000
pr_001894852,0.652327, 0.000000
pr_001778701,0.652327, 0.000000
pr_001779428,0.652327, 0.000000
pr_001888259,0.652327, 0.000000
pr_002046045,0.652327, 0.000000
pr_001893310,0.652327, 0.000000
pr_001851210,0.652327, 0.000000
pr_001804044,0.652327, 0.000000
pr_001789882,0.652327, 0.000000
pr_001790182,0.652327, 0.000000
pr_001787742,0.652327, 0.000000
pr_001808991,0.652327, 0.000000
pr_001778244,0.652327, 0.000000
pr_001864165,0.652327, 0.000000
pr_001775957,0.652327, 0.000000
pr_001782096,0.652327, 0.000000
pr_001801516,0.652327, 0.000000
pr_001792214,0.652327, 0.000000
pr_001790475,0.652327, 0.000000
pr_001801960,0.652327, 0.000000
pr_001792243,0.652327, 0.000000
pr_001776950,0.652327, 0.000000
pr_001888383,0.652327, 0.000000
pr_001854092,0.652327, 0.000000
pr_001775158,0.652327, 0.000000
pr_001800718,0.652327, 0.000000
pr_001886976,0.652327, 0.000000
