Product ID : 2090 JPs covered : 380 : M&A-Structuring Deals, 
us_000503609,0.803619, 0.000001
us_000500533,0.803619, 0.000001
us_000564950,0.803619, 0.000001
us_000483211,0.803619, 0.000001
us_000118389,0.803619, 0.000001
us_000493164,0.803619, 0.000001
us_000506662,0.803619, 0.000001
us_000506035,0.803619, 0.000002
pr_000762444,0.803619, 0.000003
pr_000765291,0.803619, 0.000006
us_000492365,0.803619, 0.000014
us_000481970,0.803619, 0.000014
us_000555788,0.803619, 0.000014
us_000564083,0.803619, 0.000014
us_000533126,0.803619, 0.000015
us_000613819,0.803619, 0.000027
us_000452165,0.803619, 0.000030
pr_001875570,0.803619, 0.000037
us_000550195,0.803619, 0.000038
us_000591898,0.803619, 0.000060
pr_000290742,0.803619, 0.000121
us_000480138,0.803619, 0.000397
pr_002081041,0.803619, 0.000433
us_000562944,0.803619, 0.001115
us_000471675,0.803619, 0.001117
us_000493938,0.803619, 0.001642
us_000230803,0.803619, 0.002455
us_000481214,0.803619, 0.002467
us_000589824,0.803619, 0.003105
us_000590075,0.803619, 0.006217
us_000591738,0.803619, 0.008062
us_000528381,0.803619, 0.008178
us_000564004,0.803619, 0.011864
us_000581121,0.803619, 0.016336
us_000518874,0.803619, 0.017066
us_000529065,0.803619, 0.017811
us_000529401,0.803619, 0.019960
us_000563683,0.803619, 0.022533
us_000530869,0.803619, 0.031560
us_000512515,0.803619, 0.076988
us_000504308,0.803619, 0.096200
us_000458943,0.803619, 8.278928
