Product ID : 2110 JPs covered : 143 : Trademarks, 
OID,Confidence at Map Node,Error at Map Node
pr_000715534,1.000000, 0.000000
us_000467522,1.000000, 0.000000
us_000483322,1.000000, 0.000000
pr_000324145,1.000000, 0.000004
us_000497983,1.000000, 0.000004
us_000541283,1.000000, 0.000004
us_000460879,1.000000, 0.000004
us_000481988,1.000000, 0.000004
us_000479999,1.000000, 0.000004
us_000534343,1.000000, 0.000004
us_000464445,1.000000, 0.000004
us_000548303,1.000000, 0.000004
us_000310214,1.000000, 0.000004
us_000480702,1.000000, 0.000004
us_000513583,1.000000, 0.000008
us_000387190,1.000000, 0.000008
us_000466582,1.000000, 0.000026
us_000497575,1.000000, 0.000026
us_000501662,1.000000, 0.000098
us_000504700,1.000000, 0.004104
us_000532733,1.000000, 0.008803
us_000545328,1.000000, 0.025684
us_000596991,1.000000, 0.139317
us_000575986,1.000000, 0.199849
us_000576907,1.000000, 0.316467
us_000545275,0.997183, 0.000000
us_000597569,0.997183, 0.000556
us_000562723,0.997183, 0.001100
us_000551497,0.997183, 0.002663
us_000474338,0.997183, 0.225707
us_000469556,0.997183, 0.322124
us_000464669,0.997183, 0.390073
us_000486723,0.997183, 0.447932
us_000464164,0.997183, 0.454341
us_000474174,0.997183, 0.459352
us_000464626,0.997183, 0.483577
us_000499866,0.997183, 0.488783
us_000028032,0.997183, 0.499280
us_000462681,0.997183, 0.504572
us_000477124,0.997183, 0.504572
us_000459553,0.997183, 0.504572
us_000595296,0.997183, 0.504594
us_000561121,0.997183, 0.504594
us_000476060,0.997183, 0.547929
us_000467778,0.997183, 0.553477
us_000500751,0.997183, 0.553477
us_000078287,0.997183, 0.559053
us_000525706,0.997183, 0.559053
us_000459653,0.997183, 0.559053
us_000595039,0.997183, 0.559053
us_000496670,0.997183, 0.570291
us_000462381,0.997183, 0.593109
us_000462481,0.997183, 0.593109
us_000491732,0.997183, 0.594482
us_000487200,0.997183, 0.598884
us_000486159,0.997183, 0.604688
us_000039338,0.997183, 0.605298
us_000473547,0.997183, 0.610521
us_000462130,0.997183, 0.610521
us_000339146,0.997183, 0.610521
us_000468351,0.997183, 0.610521
us_000501642,0.997183, 0.614608
us_000459622,0.997183, 0.616382
us_000463592,0.997183, 0.616382
us_000554150,0.997183, 0.616382
us_000555088,0.997183, 0.616382
us_000461725,0.997183, 0.616382
us_000461799,0.997183, 0.616382
us_000080058,0.997183, 0.616382
us_000476320,0.997183, 0.616382
us_000478971,0.997183, 0.616382
us_000057902,0.997183, 0.616401
us_000490600,0.997183, 0.616920
us_000467583,0.997183, 0.616920
us_000557151,0.997183, 0.616991
us_000599927,0.997183, 0.617854
us_000476945,0.997183, 0.622271
us_000476727,0.997183, 0.640111
us_000486332,0.997183, 0.646115
us_000555139,0.997183, 0.652146
us_000476910,0.997183, 0.652146
us_000464659,0.997183, 0.652146
us_000508610,0.997183, 0.655574
us_000505203,0.997183, 0.658207
us_000388491,0.997183, 0.658207
us_000472792,0.997183, 0.658745
us_000600767,0.997183, 0.664275
us_000600774,0.997183, 0.664275
us_000463262,0.997183, 0.664296
us_000487403,0.997183, 0.664296
us_000600919,0.997183, 0.664364
us_000601016,0.997183, 0.664364
us_000542064,0.965908, 0.000000
us_000500082,0.965908, 0.000000
us_000562339,0.965908, 0.001302
us_000516803,0.965908, 0.003123
us_000505487,0.929376, 0.000271
pr_001092265,0.862038, 0.000000
us_000460679,0.862038, 0.000000
us_000488681,0.862038, 0.000002
pr_001961812,0.862038, 0.000057
pr_002094060,0.862038, 0.000074
us_000577628,0.862038, 0.001694
us_000513914,0.862038, 0.001894
us_000602720,0.862038, 0.001979
us_000579462,0.862038, 0.003332
us_000529307,0.862038, 0.010280
us_000492775,0.862038, 0.014517
us_000469219,0.862038, 0.018214
us_000560316,0.862038, 0.020141
us_000471586,0.862038, 0.026386
us_000546972,0.862038, 0.033355
us_000497129,0.862038, 1.066658
us_000330350,0.862038, 2.452195
us_000479562,0.803447, 0.358705
us_000315869,0.803447, 0.358705
us_000496571,0.803447, 0.358705
us_000555092,0.803447, 0.358705
us_000464747,0.803447, 0.358705
us_000462123,0.803447, 0.358943
us_000569105,0.803447, 0.359049
us_000600651,0.803447, 0.359747
us_000593405,0.803447, 0.363237
us_000477040,0.803447, 0.363237
us_000595783,0.803447, 0.363237
us_000497047,0.803447, 0.363237
us_000502181,0.803447, 0.363237
us_000015682,0.803447, 0.363237
us_000480002,0.803447, 0.363237
us_000570251,0.803447, 0.363237
us_000496820,0.803447, 0.363237
us_000464177,0.803447, 0.363237
us_000483236,0.803447, 0.363237
us_000484812,0.803447, 0.363431
us_000459641,0.803447, 0.363475
us_000591169,0.803447, 0.363527
