Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
us_000505252,0.797647,0.000069
us_000622786,0.797647,0.000156
us_000622291,0.797647,0.000992
us_000550211,0.797647,0.009788
us_000615164,0.797647,0.018130
pr_001085913,0.796272,0.000000
pr_000465595,0.796272,0.000000
pr_001834027,0.796272,0.000000
pr_001677700,0.796272,0.000000
pr_000678077,0.796272,0.000000
pr_000243176,0.796272,0.000000
pr_001074188,0.796272,0.000000
pr_000996095,0.796272,0.000000
pr_001841402,0.796272,0.000000
pr_000933640,0.796272,0.000000
pr_000651845,0.796272,0.000000
pr_001835724,0.796272,0.000000
pr_000312452,0.796272,0.000000
pr_000994458,0.796272,0.000000
pr_000516749,0.796272,0.000000
pr_000714868,0.796272,0.000000
pr_001198691,0.796272,0.000000
pr_000655435,0.796272,0.000000
pr_000725277,0.796272,0.000000
pr_001156627,0.796272,0.000000
pr_000723266,0.796272,0.000000
pr_000979799,0.796272,0.000000
pr_000577637,0.796272,0.000000
pr_000031547,0.796272,0.000000
pr_000597052,0.796272,0.000000
pr_000904817,0.796272,0.000000
pr_000125723,0.796272,0.000000
pr_001087545,0.796272,0.000000
pr_001087652,0.796272,0.000000
pr_001597717,0.796272,0.000001
pr_000543417,0.796272,0.000001
pr_000301534,0.796272,0.000001
pr_000588388,0.796272,0.000001
pr_001658624,0.796272,0.000006
us_000581323,0.796272,0.001627
us_000535039,0.796272,0.103976
us_000562317,0.796272,0.133843
us_000535054,0.796272,0.137646
us_000621721,0.796272,0.157396
us_000487072,0.796272,0.157622
us_000588459,0.796272,0.160136
us_000568424,0.796272,0.161831
us_000588427,0.796272,0.176649
us_000595337,0.796272,0.181991
us_000580224,0.796272,0.189202
us_000618770,0.796272,0.191070
us_000531451,0.796272,0.191093
us_000621224,0.796272,0.193700
us_000533094,0.796272,0.196425
us_000622197,0.796272,0.197272
us_000622100,0.796272,0.197454
us_000548066,0.796272,0.201825
us_000548388,0.796272,0.207392
us_000617999,0.796272,0.208065
us_000524591,0.796272,0.211301
us_000592296,0.796272,0.213834
us_000595352,0.796272,0.215169
us_000532628,0.796272,0.215985
us_000560261,0.796272,0.216016
us_000617814,0.796272,0.220232
us_000618688,0.796272,0.221250
us_000610146,0.796272,0.221489
us_000143951,0.796272,0.222319
us_000608940,0.796272,0.222810
us_000618486,0.796272,0.223569
us_000622769,0.796272,0.225147
us_000595470,0.796272,0.225705
us_000617375,0.796272,0.228873
us_000621217,0.796272,0.229999
us_000563172,0.796272,0.231332
us_000544147,0.796272,0.233041
us_000622211,0.796272,0.233593
us_000622135,0.796272,0.233996
us_000622733,0.796272,0.235523
us_000544688,0.796272,0.236611
us_000588931,0.796272,0.237339
