Product ID : 1000 JPs covered : 117 : Litigation, 
OID,Confidence at Map Node,Error at Map Node
pr_001088591,0.288673, 0.000065
pr_000743977,0.288673, 0.000137
us_000601077,0.288673, 0.002111
us_000524563,0.288673, 0.133806
us_000483915,0.288673, 0.144420
us_000548965,0.288673, 0.145884
us_000476533,0.288673, 0.146986
us_000575954,0.288673, 0.150856
us_000467654,0.288673, 0.152873
us_000524804,0.288673, 0.154740
us_000462029,0.288673, 0.157304
us_000549104,0.288673, 0.157803
us_000548916,0.288673, 0.159813
us_000476563,0.288673, 0.160360
us_000548923,0.288673, 0.160565
us_000463117,0.288673, 0.160920
us_000482593,0.288673, 0.160920
us_000536875,0.288673, 0.161755
us_000524680,0.288673, 0.161934
us_000536924,0.288673, 0.162710
us_000476525,0.288673, 0.162904
us_000472660,0.288673, 0.162904
us_000461343,0.288673, 0.162904
us_000548878,0.288673, 0.163141
us_000524715,0.288673, 0.163228
us_000473839,0.288673, 0.163620
us_000549045,0.288673, 0.163766
us_000536892,0.288673, 0.163822
us_000518082,0.288673, 0.164009
us_000518073,0.288673, 0.165087
us_000518071,0.288673, 0.166744
us_000423791,0.288673, 0.167599
us_000548922,0.288673, 0.168082
us_000516567,0.288673, 0.168364
us_000524817,0.288673, 0.168993
us_000472478,0.288673, 0.174320
us_000483900,0.288673, 0.175061
us_000524621,0.288673, 0.176230
us_000536725,0.288673, 0.176389
us_000149963,0.288673, 0.178259
us_000150085,0.288673, 0.179676
us_000536763,0.288673, 0.181314
us_000548952,0.288673, 0.204387
us_000483896,0.288673, 0.217463
us_000537007,0.288673, 0.217916
us_000482636,0.288673, 0.220248
us_000537019,0.288673, 0.246650
us_000518110,0.288673, 0.252842
us_000516418,0.288673, 0.378649
us_000489531,0.288673, 0.410505
us_000282181,0.279187, 0.000000
us_000546072,0.279187, 0.000010
us_000558218,0.279187, 0.000010
us_000522933,0.279187, 0.000010
us_000594023,0.279187, 0.000012
us_000585811,0.279187, 0.000012
us_000577295,0.279187, 0.000012
us_000577304,0.279187, 0.000012
us_000597851,0.279187, 0.000014
us_000519780,0.279187, 0.000026
us_000464364,0.279187, 0.000098
us_000502314,0.279187, 0.000098
us_000470904,0.279187, 0.000098
us_000481810,0.279187, 0.000098
us_000491015,0.279187, 0.000098
us_000555366,0.279187, 0.000098
us_000492453,0.279187, 0.000098
us_000459743,0.279187, 0.000098
us_000347836,0.279187, 0.000098
us_000494213,0.279187, 0.000098
us_000501299,0.279187, 0.000098
us_000459767,0.279187, 0.000098
us_000586919,0.279187, 0.000104
us_000481247,0.279187, 0.000111
us_000485742,0.279187, 0.000116
us_000545941,0.279187, 0.000120
us_000555373,0.279187, 0.000180
us_000545418,0.279187, 0.000190
us_000479893,0.279187, 0.000204
us_000595840,0.279187, 0.000223
us_000570419,0.279187, 0.000239
us_000600690,0.279187, 0.000239
us_000479218,0.279187, 0.000239
us_000596492,0.279187, 0.000259
us_000599150,0.279187, 0.000259
us_000542287,0.279187, 0.000278
us_000594258,0.279187, 0.000280
us_000498841,0.279187, 0.000954
us_000491090,0.279187, 0.001024
us_000485933,0.279187, 0.001072
us_000479877,0.279187, 0.001131
us_000478435,0.279187, 0.001206
us_000496023,0.279187, 0.001444
us_000496192,0.279187, 0.001444
us_000495763,0.279187, 0.001444
us_000528440,0.279187, 0.001557
us_000553411,0.279187, 0.001699
us_000492552,0.279187, 0.001768
us_000532230,0.279187, 0.001975
us_000552431,0.279187, 0.002050
us_000526361,0.279187, 0.002081
us_000597072,0.279187, 0.002575
us_000488472,0.279187, 0.002761
us_000570721,0.279187, 0.003104
us_000478204,0.279187, 0.003123
us_000611936,0.279187, 0.003361
us_000547117,0.279187, 0.003429
us_000485664,0.279187, 0.004499
us_000484921,0.279187, 0.004705
pr_000905235,0.279187, 0.004741
us_000543182,0.279187, 0.004848
us_000230819,0.279187, 0.005716
us_000542244,0.279187, 0.007525
us_000561611,0.279187, 0.010174
us_000476277,0.279187, 0.014506
us_000023653,0.279187, 0.014735
us_000581186,0.279187, 0.019488
us_000571417,0.279187, 0.020856
us_000504928,0.279187, 0.021794
us_000549263,0.279187, 0.023194
us_000467885,0.279187, 0.048637
us_000491927,0.279187, 0.053088
us_000510478,0.279187, 0.115557
us_000483416,0.279187, 0.166728
us_000566818,0.238892, 0.000000
us_000614734,0.238892, 0.000000
us_000432007,0.238892, 0.000001
pr_000975438,0.238892, 0.000004
us_000606461,0.238892, 0.000013
us_000607045,0.238892, 0.000013
us_000571921,0.238892, 0.000033
us_000563500,0.238892, 0.000082
us_000564272,0.238892, 0.000097
us_000574156,0.238892, 0.000297
us_000537058,0.238892, 0.131139
us_000518088,0.238892, 0.135677
us_000473800,0.238892, 0.141346
