Product ID : 2141 # of JPs covered : 1 : 371 : Construction Insurance Risk Mitigation, 
OID,Confidence at Map Node,Error at Map Node
pr_001396995,0.637055, 0.000000
pr_001075655,0.637055, 0.000000
pr_001074235,0.637055, 0.000001
us_000578718,0.637055, 0.000001
us_000588796,0.637055, 0.000001
pr_002050329,0.637055, 0.000002
pr_001941778,0.637055, 0.000003
us_000614295,0.637055, 0.000009
pr_001995580,0.637055, 0.000013
us_000540413,0.637055, 0.000020
pr_001588650,0.637055, 0.000021
pr_002037213,0.637055, 0.000023
pr_000596975,0.637055, 0.000023
pr_000852338,0.637055, 0.000024
pr_001883748,0.637055, 0.000027
pr_001775807,0.637055, 0.000027
pr_001787761,0.637055, 0.000047
pr_001802094,0.637055, 0.000117
pr_002121984,0.637055, 0.000238
pr_001781591,0.637055, 0.000286
pr_000875226,0.637055, 0.000385
us_000578304,0.637055, 0.000403
pr_002234532,0.637055, 0.000473
pr_002144504,0.637055, 0.000508
us_000602337,0.637055, 0.000820
us_000329327,0.637055, 0.001315
us_000588311,0.637055, 0.003156
us_000525227,0.637055, 0.005128
us_000475785,0.637055, 0.005432
us_000614006,0.637055, 0.009097
us_000512851,0.637055, 0.023228
us_000479443,0.637055, 1.084473
us_000496453,0.637055, 1.117491
us_000485379,0.637055, 1.323360
pr_000912272,0.610726, 0.000002
pr_000711509,0.610726, 0.000007
pr_000440559,0.610726, 0.000012
pr_000945378,0.610726, 0.000075
pr_001607486,0.610726, 0.000078
pr_000654239,0.610726, 0.000107
pr_000166903,0.610726, 0.000143
pr_000760696,0.610726, 0.000172
pr_000593138,0.610726, 0.000185
pr_001008688,0.610726, 0.000403
pr_000881373,0.610726, 0.000657
pr_000342940,0.610726, 0.000968
pr_000832708,0.610726, 0.001015
us_000539566,0.610726, 0.064580
us_000460600,0.610726, 0.138544
us_000134522,0.610726, 1.490238
us_000507485,0.610726, 1.528897
us_000502162,0.610726, 1.550932
us_000482927,0.610726, 1.559324
us_000499239,0.610726, 1.572751
us_000524923,0.610726, 1.578474
us_000467090,0.610726, 1.601409
us_000478339,0.610726, 1.630360
us_000479299,0.610726, 1.641977
us_000577530,0.610726, 1.670956
us_000533858,0.610726, 1.672335
us_000502721,0.610726, 1.672340
us_000502739,0.610726, 1.688129
us_000567432,0.610726, 1.702528
us_000078055,0.610726, 1.705939
us_000550560,0.610726, 1.712140
us_000533890,0.610726, 1.714172
us_000502751,0.610726, 1.717929
us_000479241,0.610726, 1.725140
us_000470442,0.610726, 1.728571
us_000539572,0.610726, 1.730913
us_000513094,0.610726, 1.731189
us_000479310,0.610726, 1.733218
us_000557363,0.610726, 1.736023
us_000497464,0.610726, 1.737771
us_000470397,0.610726, 1.750297
us_000540714,0.610726, 1.752908
us_000540719,0.610726, 1.760050
us_000567251,0.610726, 1.760951
us_000465616,0.610726, 1.763820
us_000467810,0.610726, 1.767071
us_000500425,0.610726, 1.768265
us_000543344,0.610726, 1.768740
us_000543381,0.610726, 1.773966
us_000559087,0.610726, 1.774633
us_000559107,0.610726, 1.782304
us_000481785,0.610726, 1.785395
us_000533790,0.610726, 1.788451
us_000502748,0.610726, 1.792059
us_000567433,0.610726, 1.801706
us_000481816,0.610726, 1.806408
us_000479290,0.610726, 1.820306
us_000481768,0.610726, 1.821709
us_000524131,0.610726, 1.833839
us_000544221,0.610726, 1.835868
us_000543148,0.610726, 1.835868
us_000545232,0.610726, 1.835868
us_000543203,0.610726, 1.837075
us_000496256,0.610726, 1.841502
us_000462053,0.610726, 1.842888
us_000540656,0.610726, 1.843415
us_000484106,0.610726, 1.852209
us_000518090,0.610726, 1.853470
us_000534651,0.610726, 1.853470
us_000535665,0.610726, 1.864635
us_000540521,0.610726, 1.870611
us_000497653,0.610726, 1.884521
us_000579263,0.610726, 1.890392
us_000502766,0.610726, 1.893194
us_000478900,0.610726, 1.985958
us_000501659,0.610726, 2.129650
us_000565566,0.584014, 0.000000
us_000529708,0.584014, 0.000000
us_000542255,0.584014, 0.000000
us_000562671,0.584014, 0.000000
us_000569767,0.584014, 0.000000
us_000562670,0.584014, 0.000000
us_000603156,0.584014, 0.000000
us_000463080,0.584014, 0.000004
pr_002054777,0.584014, 0.000020
pr_001600235,0.584014, 0.000022
pr_000745644,0.584014, 0.000035
pr_000758954,0.584014, 0.000035
pr_001017725,0.584014, 0.000035
pr_000898352,0.584014, 0.000035
pr_000879860,0.584014, 0.000103
pr_000909790,0.584014, 0.000129
pr_001814048,0.584014, 0.000159
pr_001016663,0.584014, 0.000421
pr_001120228,0.584014, 0.000466
us_000583818,0.584014, 0.000595
pr_001740691,0.584014, 0.001424
us_000567550,0.584014, 0.073960
us_000554917,0.487888, 0.000000
us_000507352,0.487888, 0.000000
us_000608233,0.487888, 0.000000
us_000603921,0.487888, 0.000000
us_000572062,0.487888, 0.000000
us_000554543,0.487888, 0.000000
us_000535994,0.487888, 0.000000
us_000554672,0.487888, 0.000000
us_000613513,0.487888, 0.000000
us_000599747,0.487888, 0.000000
us_000583310,0.487888, 0.000000
us_000508914,0.487888, 0.000000
us_000610398,0.487888, 0.000000
us_000545538,0.487888, 0.000000
us_000544891,0.487888, 0.000000
pr_002014563,0.487888, 0.000000
pr_002122199,0.487888, 0.000000
pr_002196377,0.487888, 0.000000
pr_001934198,0.487888, 0.000000
pr_001987421,0.487888, 0.000000
pr_000815512,0.487888, 0.000000
pr_001715792,0.487888, 0.000000
pr_000923602,0.487888, 0.000000
pr_001895427,0.487888, 0.000000
pr_000970116,0.487888, 0.000000
pr_002119639,0.487888, 0.000000
pr_001792397,0.487888, 0.000000
pr_001133408,0.487888, 0.000000
pr_001799723,0.487888, 0.000000
pr_002222190,0.487888, 0.000000
pr_001895387,0.487888, 0.000000
pr_001988798,0.487888, 0.000000
pr_001796369,0.487888, 0.000000
pr_001974038,0.487888, 0.000000
pr_002051529,0.487888, 0.000000
pr_000850657,0.487888, 0.000000
pr_001890791,0.487888, 0.000000
pr_002120509,0.487888, 0.000000
pr_001919771,0.487888, 0.000000
pr_001720018,0.487888, 0.000000
pr_001884468,0.487888, 0.000000
pr_001935651,0.487888, 0.000000
pr_001966616,0.487888, 0.000000
pr_001751114,0.487888, 0.000000
pr_001987350,0.487888, 0.000000
pr_001933209,0.487888, 0.000000
pr_000080780,0.487888, 0.000000
pr_000977637,0.487888, 0.000000
pr_000227141,0.487888, 0.000001
pr_001853878,0.487888, 0.000001
pr_001889890,0.487888, 0.000001
us_000612073,0.487888, 0.000002
pr_001853429,0.487888, 0.000003
us_000534543,0.487888, 0.000004
us_000529499,0.487888, 0.000005
pr_000751532,0.487888, 0.000007
pr_001779840,0.487888, 0.000011
pr_001161482,0.487888, 0.000011
pr_001795963,0.487888, 0.000011
pr_000162615,0.487888, 0.000013
us_000599433,0.487888, 0.000016
pr_000326331,0.487888, 0.000019
us_000575382,0.487888, 0.000025
us_000468134,0.487888, 0.000035
pr_001886990,0.487888, 0.000035
us_000599567,0.487888, 0.000040
us_000582587,0.487888, 0.000040
us_000601280,0.487888, 0.000040
us_000551495,0.487888, 0.000040
us_000577318,0.487888, 0.000042
