Product ID : 2095 # of JPs covered : 1 : 252 : Elder Law, 
OID,Confidence at Map Node,Error at Map Node
us_000586716,0.927958, 0.275907
us_000551703,0.927958, 0.275907
us_000591322,0.927958, 0.275907
us_000588978,0.927958, 0.275907
us_000592555,0.927958, 0.275907
us_000513016,0.927958, 0.275907
us_000551761,0.927958, 0.275907
us_000552823,0.927958, 0.275907
us_000484550,0.927958, 0.275907
us_000488704,0.927958, 0.278486
us_000526410,0.927958, 0.280459
us_000485416,0.927958, 0.281281
us_000550450,0.927958, 0.282630
us_000585515,0.927958, 0.282630
us_000586163,0.927958, 0.282630
us_000584451,0.927958, 0.282630
us_000490398,0.927958, 0.282630
us_000580244,0.927958, 0.282630
us_000543846,0.927958, 0.282630
us_000512330,0.927958, 0.282630
us_000535861,0.927958, 0.282630
us_000511952,0.927958, 0.282630
us_000587599,0.927958, 0.282630
us_000536525,0.927958, 0.282630
us_000544937,0.927958, 0.282630
us_000512269,0.927958, 0.282630
us_000512977,0.927958, 0.282630
us_000531773,0.927958, 0.282630
us_000617407,0.927958, 0.282630
us_000543245,0.927958, 0.282630
us_000500723,0.927958, 0.282630
us_000526656,0.927958, 0.282630
us_000586183,0.927958, 0.282630
us_000498514,0.927958, 0.282630
us_000593348,0.927958, 0.282630
us_000550409,0.927958, 0.282630
us_000588413,0.927958, 0.282630
us_000490659,0.927958, 0.282630
us_000488971,0.927958, 0.282828
us_000507820,0.927958, 0.282828
us_000544568,0.927958, 0.283026
us_000600307,0.927958, 0.283735
us_000487121,0.927958, 0.283735
us_000490783,0.927958, 0.283966
us_000482108,0.927958, 0.284462
us_000527010,0.927958, 0.289434
us_000614708,0.927958, 0.289434
us_000514117,0.927958, 0.289434
us_000499316,0.927958, 0.289434
us_000488343,0.927958, 0.289434
us_000580315,0.927958, 0.290771
us_000550867,0.927958, 0.326995
us_000582766,0.927958, 0.418478
us_000506381,0.923172, 0.000019
us_000500964,0.923172, 0.000019
us_000576384,0.923172, 0.004920
us_000484013,0.923172, 0.153705
us_000518746,0.923172, 0.160297
us_000484610,0.923172, 0.207927
us_000479677,0.923172, 0.209677
us_000537994,0.923172, 0.213044
us_000500373,0.923172, 0.213480
us_000526336,0.923172, 0.218286
us_000486892,0.923172, 0.219720
us_000479361,0.923172, 0.219795
us_000479664,0.923172, 0.219795
us_000478611,0.923172, 0.231097
us_000497061,0.923172, 0.237931
us_000487106,0.923172, 0.269601
us_000615037,0.923172, 0.281171
us_000544732,0.923172, 0.281745
us_000576970,0.923172, 0.282509
us_000532372,0.923172, 0.282509
pr_001027014,0.923172, 0.323309
pr_000658602,0.828960, 0.000000
pr_001733425,0.828960, 0.000001
pr_001153128,0.828960, 0.000001
pr_001055152,0.828960, 0.000001
pr_001095170,0.828960, 0.000001
pr_001586144,0.828960, 0.000001
pr_001054097,0.828960, 0.000001
pr_001053568,0.828960, 0.000001
pr_001111759,0.828960, 0.000001
pr_001053199,0.828960, 0.000001
pr_001142506,0.828960, 0.000001
pr_001096619,0.828960, 0.000001
pr_000781674,0.828960, 0.000001
pr_001050456,0.828960, 0.000001
pr_001589164,0.828960, 0.000001
pr_001052997,0.828960, 0.000001
pr_001057858,0.828960, 0.000001
pr_001053182,0.828960, 0.000001
pr_001151887,0.828960, 0.000001
pr_001393945,0.828960, 0.000001
pr_002058073,0.828960, 0.000001
pr_002115642,0.828960, 0.000001
pr_000782384,0.828960, 0.000001
pr_000936902,0.828960, 0.000001
pr_001405666,0.828960, 0.000001
pr_000937574,0.828960, 0.000001
pr_001054368,0.828960, 0.000001
pr_000945337,0.828960, 0.000001
pr_001053167,0.828960, 0.000001
pr_001142496,0.828960, 0.000001
pr_001616938,0.828960, 0.000001
pr_002115288,0.828960, 0.000001
pr_001144813,0.828960, 0.000001
pr_001099480,0.828960, 0.000001
pr_001057231,0.828960, 0.000001
pr_001055083,0.828960, 0.000001
pr_001097334,0.828960, 0.000001
pr_001058089,0.828960, 0.000001
pr_001054024,0.828960, 0.000001
pr_000949259,0.828960, 0.000001
pr_000951678,0.828960, 0.000001
pr_000755363,0.828960, 0.000001
pr_000939998,0.828960, 0.000001
pr_001142322,0.828960, 0.000001
pr_000953722,0.828960, 0.000001
pr_000937670,0.828960, 0.000001
pr_001053139,0.828960, 0.000001
pr_001053687,0.828960, 0.000029
pr_000946082,0.828960, 0.000158
pr_000947820,0.828960, 0.000232
us_000584732,0.828960, 0.001330
us_000505787,0.828960, 0.001377
us_000542473,0.828960, 0.002155
us_000526141,0.828960, 0.003485
us_000491582,0.828960, 0.005430
us_000491593,0.828960, 0.005800
us_000492508,0.828960, 0.083665
us_000493166,0.828960, 0.132754
us_000497151,0.828960, 0.169082
us_000501415,0.828960, 0.172519
us_000495633,0.828960, 0.186612
us_000496378,0.828960, 0.189758
us_000560235,0.828960, 0.212129
us_000478819,0.828960, 0.212979
us_000495183,0.828960, 0.225796
us_000542133,0.828960, 0.229064
us_000532415,0.828960, 0.229064
us_000526534,0.828960, 0.237755
us_000488299,0.828960, 0.237757
us_000616468,0.828960, 0.241025
us_000527654,0.828960, 0.243859
us_000595446,0.828960, 0.243859
us_000527102,0.828960, 0.243859
us_000541401,0.828960, 0.243859
us_000584435,0.828960, 0.246635
us_000495150,0.828960, 0.247127
us_000580826,0.828960, 0.247127
us_000496348,0.828960, 0.247127
us_000489164,0.828960, 0.247127
us_000598742,0.828960, 0.247127
us_000528649,0.828960, 0.261489
us_000491274,0.826359, 0.184365
us_000587844,0.826359, 0.184365
us_000495055,0.826359, 0.184365
us_000495625,0.826359, 0.184365
us_000491276,0.826359, 0.184365
us_000533695,0.826359, 0.189868
us_000600034,0.826359, 0.189868
us_000600049,0.826359, 0.189868
us_000600028,0.826359, 0.189868
us_000527661,0.826359, 0.195452
us_000490627,0.826359, 0.195452
us_000584374,0.826359, 0.195452
us_000496116,0.826359, 0.195452
us_000489693,0.826359, 0.195452
us_000584404,0.826359, 0.195452
us_000588133,0.826359, 0.195452
us_000491002,0.826359, 0.195452
us_000526423,0.826359, 0.195452
us_000530464,0.826359, 0.195452
us_000522204,0.826359, 0.195452
us_000502386,0.826359, 0.196690
pr_001047651,0.826359, 0.200770
us_000530014,0.826359, 0.201118
us_000491032,0.826359, 0.201118
us_000536104,0.826359, 0.201118
us_000496200,0.826359, 0.201118
us_000513750,0.826359, 0.201118
us_000530096,0.826359, 0.201118
us_000580905,0.826359, 0.201118
us_000517685,0.826359, 0.201118
us_000515171,0.826359, 0.201118
us_000536126,0.826359, 0.201118
us_000496213,0.826359, 0.201118
us_000552764,0.826359, 0.201118
us_000527919,0.826359, 0.201415
us_000495035,0.826359, 0.201491
us_000484234,0.826359, 0.201570
us_000485944,0.826359, 0.202846
us_000582920,0.826359, 0.206864
us_000579938,0.826359, 0.206864
us_000497992,0.826359, 0.206864
us_000498002,0.826359, 0.206864
us_000579979,0.826359, 0.206864
us_000529646,0.826359, 0.206864
us_000549825,0.826359, 0.206864
us_000593922,0.826359, 0.206864
us_000491255,0.826359, 0.206864
us_000495266,0.826359, 0.206864
us_000550797,0.826359, 0.206864
us_000495207,0.826359, 0.206864
us_000593794,0.826359, 0.206864
us_000530097,0.826359, 0.206864
us_000543921,0.826359, 0.206864
us_000551134,0.826359, 0.208218
us_000493029,0.826359, 0.212989
us_000490490,0.826359, 0.213708
us_000587593,0.826359, 0.213929
us_000515181,0.826359, 0.217865
us_000482105,0.826359, 0.221190
us_000488649,0.775362, 0.000000
pr_001041048,0.775362, 0.000000
