Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 21 | Tax Law (jpg:21,idx:17)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.2344828,4.0,(44|15)
0.2317073,2.0,(4|14)
0.2315789,5.0,(44|16)
0.2302158,5.0,(17|26)
0.2265861,6.0,(2|11)
0.2252747,4.0,(2|10)
0.2199313,5.0,(47|17)
0.2166667,5.0,(42|32)
0.2164948,4.0,(38|13)
0.2159468,4.0,(45|16)
0.2159091,4.0,(38|27)
0.2148760,6.0,(6|12)
0.2100457,5.0,(30|34)
0.2080925,4.0,(44|22)
0.2063492,4.0,(9|24)
0.2056075,4.0,(23|37)
0.2033898,5.0,(28|24)
0.2031250,4.0,(26|36)
0.1980198,3.0,(20|32)
0.1979695,7.0,(9|35)
0.1968085,6.0,(27|26)
0.1956522,5.0,(15|23)
0.1942446,3.0,(46|25)
0.1938775,5.0,(39|32)
0.1936937,6.0,(42|15)
0.1897436,6.0,(27|24)
0.1873081,4.0,(28|46)
0.1813471,6.0,(45|22)
0.1813187,3.0,(45|21)
0.1801802,2.0,(20|33)
0.1781915,3.0,(1|12)
0.1769911,3.0,(44|23)
0.1769231,5.0,(42|16)
0.1739130,3.0,(25|30)
0.1707317,4.0,(31|41)
0.1688312,4.0,(19|40)
0.1680912,5.0,(8|31)
0.1666667,7.0,(44|33)
0.1654412,6.0,(24|1)
0.1651376,5.0,(28|23)
0.1650485,4.0,(22|29)
0.1641791,6.0,(2|44)
0.1608392,2.0,(10|15)
0.1601942,3.0,(23|26)
0.1600000,3.0,(48|12)
0.1578947,2.0,(17|32)
0.1578947,5.0,(39|27)
0.1574074,5.0,(5|27)
0.1565217,7.0,(11|25)
0.1555556,4.0,(10|30)
0.1548117,7.0,(2|43)
0.1535836,6.0,(44|14)
0.1505376,4.0,(28|25)
0.1495727,6.0,(9|34)
0.1490683,4.0,(1|20)
0.1489362,6.0,(45|19)
0.1481481,3.0,(49|23)
0.1465517,3.0,(44|18)
0.1454545,4.0,(7|22)
0.1449275,3.0,(12|32)
0.1442308,4.0,(31|43)
0.1439394,3.0,(4|16)
0.1428571,1.0,(21|47)
0.1428571,3.0,(23|31)
0.1421320,3.0,(47|12)
0.1420455,5.0,(11|2)
0.1418919,3.0,(3|15)
0.1417910,5.0,(29|25)
0.1407407,4.0,(43|32)
0.1395349,6.0,(13|46)
0.1392857,6.0,(43|14)
0.1385768,7.0,(8|30)
0.1363636,1.0,(32|20)
0.1346154,2.0,(34|32)
0.1338912,4.0,(40|13)
0.1333333,1.0,(27|44)
0.1333333,2.0,(46|32)
0.1329923,6.0,(16|27)
0.1328125,5.0,(25|38)
0.1320132,5.0,(10|44)
0.1304348,4.0,(45|28)
0.1298701,3.0,(27|23)
0.1287879,3.0,(2|12)
0.1287879,4.0,(9|29)
0.1285714,4.0,(4|6)
0.1282051,3.0,(23|36)
0.1276596,3.0,(15|28)
0.1276596,4.0,(26|21)
0.1266667,4.0,(1|11)
0.1250000,2.0,(29|22)
0.1250000,2.0,(46|28)
0.1242938,4.0,(1|10)
0.1224490,4.0,(2|5)
0.1216931,4.0,(46|12)
0.1203704,4.0,(19|39)
0.1203704,3.0,(25|39)
0.1200000,2.0,(25|21)
0.1168831,3.0,(40|27)
0.1162791,3.0,(49|13)
0.1135135,3.0,(1|17)
0.1132075,5.0,(43|18)
0.1126761,6.0,(24|6)
0.1111111,2.0,(25|41)
0.1111111,1.0,(27|46)
0.1111111,2.0,(28|31)
0.1071429,4.0,(12|37)
0.1061093,4.0,(42|17)
0.1058824,2.0,(8|25)
0.1052632,5.0,(10|37)
0.1052632,1.0,(47|31)
0.1028037,3.0,(47|28)
0.1027397,4.0,(45|12)
0.1025641,2.0,(39|23)
0.1020408,3.0,(24|49)
0.1000000,1.0,(24|42)
0.09844559,5.0,(25|44)
0.09625668,3.0,(48|15)
0.09606987,4.0,(46|21)
0.09589041,6.0,(34|41)
0.09585492,6.0,(25|26)
0.09574468,4.0,(9|25)
0.09574468,4.0,(39|22)
0.09545454,5.0,(4|12)
0.09523810,5.0,(19|33)
0.09523810,2.0,(22|39)
0.09482758,4.0,(28|22)
0.09375000,1.0,(16|31)
0.09278350,4.0,(8|39)
0.09210526,4.0,(46|27)
0.09183674,4.0,(4|45)
0.09090909,1.0,(19|0)
0.08955224,3.0,(6|46)
0.08860759,4.0,(9|23)
0.08823530,5.0,(14|27)
0.08781870,4.0,(24|27)
0.08695652,1.0,(18|33)
0.08620690,5.0,(46|26)
0.08571429,3.0,(41|23)
0.08550186,5.0,(21|4)
0.08527132,4.0,(32|26)
0.08490566,1.0,(24|26)
0.08474576,3.0,(2|8)
0.08474576,2.0,(7|46)
0.08368201,5.0,(28|21)
0.08333334,4.0,(25|36)
0.08294931,4.0,(4|40)
0.08275862,3.0,(0|38)
0.08264463,4.0,(0|44)
0.08176101,5.0,(23|3)
0.08118081,3.0,(48|22)
0.08108108,3.0,(6|44)
0.08071749,5.0,(46|19)
0.07971015,2.0,(10|38)
0.07947020,4.0,(33|32)
0.07913669,5.0,(44|20)
0.07857143,5.0,(24|31)
0.07801419,3.0,(48|34)
0.07792208,3.0,(45|11)
0.07692308,3.0,(3|8)
