Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 15 | Law Firm Management (jpg:15,idx:12)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.5000000,1.0,(2|7)
0.1666667,1.0,(29|46)
0.05555556,1.0,(39|44)
0.03333334,1.0,(27|2)
0.02068966,1.0,(10|48)
0.01851852,1.0,(42|45)
0.01724138,1.0,(3|42)
0.01515152,1.0,(21|8)
0.01428571,1.0,(14|49)
0.01418440,1.0,(18|14)
0.01273885,1.0,(27|4)
0.009259259,1.0,(17|2)
0.009132420,1.0,(34|41)
0.008771930,1.0,(17|11)
0.008695652,1.0,(7|11)
0.008196721,1.0,(39|34)
0.006493506,1.0,(44|0)
0.005780347,1.0,(0|41)
0.005319149,1.0,(10|0)
0.005208333,1.0,(49|39)
0.004950495,1.0,(40|40)
0.004878049,1.0,(9|7)
0.004115226,1.0,(2|46)
0.004065040,1.0,(28|3)
0.004016064,1.0,(1|7)
0.004000000,1.0,(41|36)
0.003787879,1.0,(30|24)
0.003448276,1.0,(12|4)
0.003311258,1.0,(8|7)
0.003144654,1.0,(18|1)
0.001592357,1.0,(28|45)
