Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 4 | Class Action (jpg:4,idx:3)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01666667,1.0,(42|48)
0.01652892,1.0,(6|12)
0.01652892,3.0,(19|4)
0.01639344,1.0,(38|46)
0.01639344,3.0,(40|46)
0.01639344,1.0,(49|49)
0.01621622,3.0,(19|43)
0.01587302,1.0,(9|24)
0.01587302,1.0,(48|49)
0.01550388,2.0,(21|46)
0.01544402,3.0,(8|8)
0.01538462,2.0,(4|1)
0.01530612,2.0,(12|3)
0.01515152,1.0,(46|1)
0.01503759,1.0,(43|48)
0.01498127,1.0,(24|12)
0.01492537,2.0,(26|19)
0.01456311,4.0,(39|45)
0.01438849,3.0,(44|43)
0.01435407,3.0,(8|10)
0.01418440,1.0,(37|44)
0.01379310,2.0,(4|0)
0.01369863,1.0,(34|41)
0.01360544,2.0,(35|5)
0.01342282,1.0,(22|45)
0.01342282,4.0,(30|5)
0.01310044,1.0,(40|1)
0.01298701,1.0,(32|24)
0.01282051,1.0,(31|25)
0.01265823,2.0,(10|35)
0.01265823,1.0,(12|45)
0.01260504,2.0,(18|39)
0.01250000,1.0,(20|6)
0.01242236,2.0,(10|3)
0.01234568,1.0,(31|4)
0.01226994,2.0,(15|8)
0.01226994,2.0,(19|2)
0.01204819,2.0,(7|42)
0.01204819,2.0,(19|44)
0.01200000,1.0,(2|6)
0.01200000,2.0,(41|36)
0.01197605,2.0,(17|33)
0.01190476,2.0,(9|2)
0.01190476,1.0,(39|2)
0.01176471,2.0,(28|17)
0.01176471,1.0,(40|42)
0.01162791,3.0,(41|8)
0.01109057,3.0,(29|21)
0.01092896,2.0,(37|10)
0.01092896,2.0,(47|45)
0.01086957,2.0,(1|6)
0.01086957,1.0,(28|4)
0.01081081,2.0,(7|18)
0.01081081,2.0,(9|49)
0.01073345,4.0,(36|3)
0.01063830,2.0,(34|26)
0.01058201,2.0,(41|41)
0.01058201,2.0,(44|38)
0.01047120,2.0,(27|21)
0.01041667,3.0,(25|3)
0.01035197,2.0,(39|8)
0.01034483,2.0,(12|4)
0.01020408,2.0,(30|22)
0.01005025,1.0,(19|19)
0.009933775,3.0,(8|7)
0.009900990,2.0,(3|44)
0.009900990,1.0,(39|46)
0.009852217,2.0,(24|18)
0.009803922,1.0,(33|36)
0.009756098,1.0,(14|12)
0.009615385,2.0,(31|21)
0.009615385,2.0,(31|22)
0.009615385,1.0,(44|37)
0.009380863,3.0,(6|36)
0.009259259,1.0,(6|28)
0.009174312,2.0,(30|6)
0.009174312,1.0,(43|49)
0.008928572,1.0,(20|47)
0.008928572,1.0,(38|44)
0.008771930,1.0,(25|4)
0.008620690,1.0,(17|4)
0.008547009,2.0,(9|34)
0.008474576,3.0,(31|48)
0.008368201,2.0,(48|2)
0.008333334,1.0,(15|20)
0.008264462,1.0,(0|44)
0.008230452,1.0,(2|46)
0.008196721,2.0,(6|2)
0.008130081,2.0,(28|3)
0.008021390,2.0,(39|9)
0.007936508,1.0,(45|39)
0.007874016,2.0,(33|12)
0.007874016,2.0,(34|24)
0.007633588,1.0,(24|11)
0.007575758,1.0,(26|18)
0.007575758,1.0,(30|24)
0.007272727,2.0,(32|45)
0.007092198,1.0,(25|13)
0.007092198,2.0,(35|8)
0.007017544,2.0,(26|24)
0.006993007,1.0,(43|40)
0.006944444,1.0,(25|10)
0.006944444,1.0,(47|1)
0.006920415,2.0,(12|7)
0.006896552,1.0,(10|2)
0.006849315,2.0,(6|34)
0.006849315,1.0,(7|36)
0.006849315,1.0,(10|47)
0.006849315,1.0,(16|48)
0.006849315,1.0,(34|16)
0.006802721,2.0,(13|6)
0.006666667,1.0,(12|40)
0.006622517,1.0,(33|32)
0.006578947,1.0,(10|37)
0.006493506,1.0,(11|40)
0.006410256,1.0,(25|49)
0.006369427,1.0,(21|13)
0.006369427,1.0,(27|4)
0.006369427,1.0,(38|8)
0.006349206,2.0,(16|12)
0.006289308,1.0,(40|39)
0.006250000,1.0,(48|47)
0.006134969,1.0,(41|37)
0.006072875,1.0,(19|6)
0.006060606,2.0,(8|47)
0.005988024,2.0,(27|16)
0.005952381,1.0,(14|6)
0.005847953,1.0,(9|46)
0.005813953,1.0,(35|43)
0.005747126,1.0,(1|46)
0.005665722,2.0,(21|3)
0.005649718,1.0,(44|41)
0.005555556,1.0,(35|10)
0.005464481,1.0,(16|14)
0.005464481,1.0,(18|40)
0.005369128,3.0,(28|2)
0.005319149,2.0,(10|0)
0.005235602,2.0,(30|46)
0.005154639,2.0,(6|1)
0.005076142,1.0,(47|35)
0.005025126,1.0,(4|5)
0.004739337,1.0,(24|15)
0.004705882,2.0,(35|9)
0.004629630,1.0,(17|2)
0.004504505,2.0,(42|39)
0.004484305,2.0,(41|48)
0.004366812,2.0,(28|19)
0.004166667,2.0,(14|2)
0.004166667,1.0,(43|38)
0.004132231,1.0,(47|43)
0.004065040,2.0,(5|2)
0.004016064,1.0,(7|45)
0.003921569,1.0,(7|13)
0.003906250,1.0,(3|32)
0.003816794,1.0,(34|4)
0.003766478,2.0,(28|0)
0.003597122,1.0,(17|10)
0.003389830,1.0,(32|16)
0.003389830,1.0,(33|2)
0.003333333,1.0,(28|7)
0.003115265,1.0,(38|3)
0.003058104,1.0,(23|47)
0.003058104,1.0,(26|17)
0.003012048,1.0,(26|16)
0.002949852,1.0,(31|8)
0.002915452,1.0,(11|6)
0.002915452,1.0,(32|21)
0.002865330,1.0,(9|5)
0.002840909,1.0,(32|5)
0.002824859,1.0,(11|1)
0.002702703,1.0,(40|43)
0.002652520,1.0,(49|44)
0.002538071,1.0,(30|2)
0.002475247,1.0,(46|33)
0.002352941,1.0,(16|25)
0.002123142,1.0,(40|6)
0.002074689,1.0,(24|4)
0.001996008,1.0,(26|44)
0.001960784,1.0,(14|8)
0.001895735,2.0,(41|46)
0.001872659,1.0,(42|6)
0.001814882,1.0,(27|17)
0.001715266,1.0,(34|5)
0.001700680,1.0,(26|48)
0.001683502,1.0,(33|1)
0.001135074,1.0,(37|46)
0.001023541,1.0,(28|46)
0.0009823183,1.0,(19|10)
