Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 58 | Personal Tax (jpg:58,idx:39)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.1304348,1.0,(11|25)
0.03571429,1.0,(12|37)
0.02941176,1.0,(14|27)
0.02380952,1.0,(28|49)
0.02380952,1.0,(29|0)
0.02298851,1.0,(16|35)
0.01333333,1.0,(17|39)
0.01265823,1.0,(10|35)
0.009174312,1.0,(16|33)
0.008888889,1.0,(23|29)
0.007518797,1.0,(9|1)
0.007194245,1.0,(21|29)
0.005464481,1.0,(18|40)
0.005319149,1.0,(27|26)
0.005025126,1.0,(19|19)
0.004807692,1.0,(31|21)
0.004761905,1.0,(21|21)
0.004132231,1.0,(47|43)
0.003861004,1.0,(45|24)
0.003816794,1.0,(15|27)
0.002832861,1.0,(24|27)
0.002415459,1.0,(17|27)
0.002298851,1.0,(44|15)
0.002166847,1.0,(48|42)
0.001626016,1.0,(22|24)
