Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 7 | Environmental (jpg:7,idx:5)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02127660,2.0,(37|33)
0.02083333,2.0,(0|42)
0.02083333,1.0,(26|10)
0.02066116,1.0,(47|43)
0.02057613,1.0,(32|40)
0.02054795,2.0,(32|32)
0.02040816,2.0,(37|27)
0.02032520,2.0,(28|3)
0.02008032,2.0,(7|45)
0.02000000,2.0,(12|40)
0.02000000,1.0,(17|1)
0.01986755,3.0,(8|7)
0.01960784,2.0,(40|48)
0.01941748,3.0,(8|35)
0.01941748,2.0,(20|17)
0.01935484,3.0,(24|22)
0.01935484,2.0,(49|41)
0.01923077,1.0,(0|37)
0.01923077,3.0,(35|26)
0.01904762,1.0,(0|47)
0.01863354,2.0,(13|44)
0.01851852,2.0,(36|20)
0.01840491,2.0,(5|37)
0.01818182,1.0,(29|30)
0.01809955,2.0,(33|26)
0.01801802,2.0,(43|47)
0.01762114,2.0,(28|26)
0.01724138,2.0,(38|0)
0.01716738,2.0,(2|32)
0.01709402,2.0,(11|44)
0.01694915,2.0,(36|16)
0.01680672,2.0,(21|9)
0.01652892,2.0,(31|23)
0.01639344,1.0,(1|3)
0.01639344,1.0,(43|43)
0.01630435,1.0,(1|6)
0.01616628,2.0,(40|45)
0.01587302,1.0,(48|49)
0.01568628,2.0,(5|38)
0.01562500,2.0,(14|0)
0.01562500,1.0,(18|48)
0.01562500,1.0,(46|2)
0.01559454,4.0,(29|23)
0.01538462,1.0,(28|28)
0.01515152,1.0,(30|24)
0.01506024,3.0,(34|25)
0.01501502,2.0,(29|24)
0.01485149,2.0,(26|20)
0.01485149,2.0,(43|6)
0.01481481,2.0,(27|2)
0.01481481,2.0,(30|4)
0.01463415,1.0,(33|29)
0.01459854,2.0,(44|44)
0.01428571,2.0,(27|27)
0.01428571,1.0,(44|5)
0.01418440,1.0,(36|34)
0.01418440,1.0,(48|34)
0.01408451,1.0,(14|22)
0.01398601,1.0,(38|49)
0.01388889,2.0,(35|30)
0.01369863,2.0,(7|36)
0.01357466,2.0,(43|44)
0.01333333,1.0,(47|3)
0.01304348,1.0,(2|42)
0.01298701,1.0,(49|3)
0.01290323,1.0,(13|40)
0.01290323,1.0,(38|48)
0.01287554,1.0,(2|33)
0.01282051,1.0,(49|33)
0.01273885,2.0,(35|32)
0.01265823,1.0,(40|0)
0.01257862,1.0,(0|1)
0.01255230,1.0,(2|43)
0.01252236,2.0,(36|3)
0.01250000,2.0,(12|33)
0.01242236,1.0,(8|2)
0.01226994,2.0,(42|1)
0.01204819,3.0,(1|7)
0.01190476,2.0,(9|2)
0.01190476,1.0,(25|6)
0.01183432,1.0,(30|32)
0.01179245,2.0,(33|41)
0.01162791,1.0,(24|13)
0.01162791,1.0,(42|47)
0.01149425,1.0,(46|5)
0.01149425,1.0,(47|6)
0.01129944,1.0,(22|20)
0.01129944,1.0,(22|43)
