Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 51 | Energy (jpg:51,idx:32)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02564103,1.0,(35|3)
0.02545455,2.0,(32|45)
0.02531646,1.0,(37|2)
0.02525252,4.0,(29|26)
0.02479339,2.0,(6|12)
0.02469136,1.0,(18|32)
0.02469136,2.0,(37|35)
0.02419355,2.0,(33|24)
0.02415459,3.0,(14|45)
0.02409638,2.0,(48|39)
0.02403846,2.0,(31|21)
0.02400000,3.0,(26|28)
0.02380952,1.0,(9|2)
0.02352941,2.0,(30|45)
0.02343750,2.0,(43|39)
0.02339181,3.0,(45|35)
0.02332362,5.0,(32|21)
0.02325581,1.0,(3|1)
0.02325581,2.0,(13|46)
0.02290076,3.0,(32|30)
0.02276423,4.0,(22|24)
0.02272727,2.0,(0|30)
0.02272727,2.0,(38|27)
0.02272727,1.0,(49|43)
0.02259887,4.0,(11|1)
0.02259887,2.0,(28|24)
0.02222222,3.0,(45|29)
0.02197802,2.0,(5|12)
0.02191235,3.0,(31|12)
0.02173913,1.0,(25|30)
0.02173913,2.0,(39|37)
0.02163462,4.0,(27|25)
0.02162162,3.0,(9|49)
0.02150538,2.0,(28|25)
0.02145923,3.0,(2|33)
0.02127660,1.0,(9|25)
0.02127660,2.0,(9|38)
0.02127660,2.0,(22|32)
0.02108434,3.0,(34|25)
0.02094241,2.0,(1|2)
0.02092050,2.0,(2|43)
0.02072539,4.0,(38|37)
0.02072539,2.0,(45|22)
0.02061856,2.0,(6|5)
0.02040816,2.0,(33|30)
0.01960784,2.0,(33|36)
0.01941748,2.0,(15|43)
0.01941748,2.0,(39|33)
0.01930502,3.0,(0|36)
0.01923077,2.0,(0|40)
0.01923077,1.0,(45|5)
0.01913876,3.0,(7|43)
0.01910828,1.0,(35|32)
0.01891892,3.0,(40|43)
0.01872659,2.0,(8|30)
0.01869159,2.0,(35|31)
0.01851852,1.0,(12|24)
0.01851852,1.0,(26|33)
0.01851852,4.0,(27|2)
0.01843318,2.0,(4|40)
0.01843318,3.0,(10|1)
0.01826484,2.0,(30|34)
0.01818182,2.0,(36|33)
0.01809955,2.0,(43|44)
0.01801802,2.0,(20|21)
0.01801802,3.0,(28|27)
0.01785714,1.0,(23|30)
0.01782178,3.0,(33|25)
0.01769911,2.0,(13|42)
0.01769911,2.0,(44|23)
0.01769911,2.0,(45|37)
0.01754386,3.0,(7|32)
0.01754386,2.0,(49|35)
0.01749271,4.0,(6|32)
0.01746725,2.0,(6|39)
0.01746725,2.0,(46|21)
0.01724138,2.0,(0|31)
0.01724138,2.0,(38|34)
0.01702128,3.0,(30|25)
0.01694915,2.0,(9|41)
0.01694915,2.0,(22|43)
0.01694915,3.0,(37|21)
0.01694915,1.0,(41|1)
0.01680672,2.0,(3|40)
0.01678657,3.0,(44|43)
0.01675978,1.0,(48|35)
0.01673640,2.0,(10|42)
0.01673640,2.0,(28|21)
0.01673640,2.0,(48|2)
0.01656315,3.0,(39|8)
0.01652892,2.0,(31|23)
0.01643836,2.0,(9|42)
0.01639344,2.0,(4|39)
0.01639344,1.0,(10|7)
0.01639344,1.0,(11|3)
0.01639344,1.0,(23|35)
0.01639344,1.0,(33|35)
0.01630435,3.0,(39|40)
0.01626016,2.0,(0|43)
0.01626016,2.0,(44|26)
0.01612903,1.0,(8|43)
0.01612903,1.0,(17|48)
0.01600000,2.0,(14|26)
0.01595745,2.0,(34|26)
0.01595745,3.0,(37|23)
0.01572327,3.0,(18|1)
0.01570681,1.0,(25|28)
0.01562500,1.0,(18|48)
0.01550388,1.0,(14|47)
0.01550388,2.0,(45|2)
0.01538462,2.0,(27|24)
0.01526718,1.0,(10|39)
0.01470588,1.0,(14|21)
0.01465201,3.0,(7|30)
0.01463415,1.0,(33|29)
0.01459854,2.0,(33|37)
0.01449275,1.0,(28|30)
0.01442308,2.0,(22|22)
0.01428571,2.0,(24|31)
