Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 47 | Lawyering Skills (jpg:47,idx:28)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.1990446,1.0,(28|45)
0.1666667,1.0,(30|38)
0.1052632,1.0,(3|46)
0.03030303,1.0,(35|46)
0.02739726,1.0,(25|8)
0.02564103,1.0,(2|45)
0.02105263,1.0,(4|3)
0.02100840,1.0,(18|39)
0.01621622,1.0,(37|1)
0.01562500,1.0,(14|0)
0.01369863,1.0,(10|47)
0.01333333,1.0,(17|39)
0.01273885,1.0,(27|4)
0.01224490,1.0,(15|0)
0.01190476,1.0,(9|2)
0.01129944,1.0,(11|1)
0.01111111,1.0,(17|17)
0.01052632,1.0,(5|45)
0.01052632,1.0,(13|0)
0.01020408,1.0,(12|3)
0.009803922,1.0,(40|48)
0.009345794,1.0,(9|8)
0.009174312,1.0,(44|2)
0.008196721,1.0,(29|7)
0.007407407,1.0,(27|2)
0.007067138,1.0,(38|1)
0.006928407,1.0,(40|45)
0.006535948,1.0,(18|0)
0.006289308,1.0,(18|1)
0.005988024,1.0,(14|46)
0.005780347,1.0,(0|41)
0.005444646,1.0,(8|1)
0.004184100,1.0,(2|43)
0.004000000,1.0,(41|36)
0.002469136,1.0,(30|4)
0.001564945,1.0,(24|48)
