Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:18)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.04081633,1.0,(7|9)
0.04060914,3.0,(17|30)
0.04059041,2.0,(49|18)
0.04035874,3.0,(41|15)
0.04000000,2.0,(17|19)
0.03986711,2.0,(45|16)
0.03975535,3.0,(46|18)
0.03940887,2.0,(47|15)
0.03896104,2.0,(45|11)
0.03883495,1.0,(46|11)
0.03846154,1.0,(43|26)
0.03816794,2.0,(46|31)
0.03797468,2.0,(17|29)
0.03787879,3.0,(2|12)
0.03759398,2.0,(17|20)
0.03753351,3.0,(49|16)
0.03735632,3.0,(44|18)
0.03703704,1.0,(19|39)
0.03703704,1.0,(39|15)
0.03703704,1.0,(44|11)
0.03669725,2.0,(3|26)
0.03587444,3.0,(46|19)
0.03550296,1.0,(1|23)
0.03539823,2.0,(0|8)
0.03539823,2.0,(0|23)
0.03508772,2.0,(44|16)
0.03474903,3.0,(8|8)
0.03448276,1.0,(42|22)
0.03355705,1.0,(24|44)
0.03349282,2.0,(48|19)
0.03333334,1.0,(2|21)
0.03305785,2.0,(6|12)
0.03292181,2.0,(6|20)
0.03246753,2.0,(2|18)
0.03243243,3.0,(3|14)
0.03225806,1.0,(35|16)
0.03225806,1.0,(36|17)
0.03212851,1.0,(45|18)
0.03208556,2.0,(46|22)
0.03191489,2.0,(15|28)
0.03137255,4.0,(23|32)
0.03125000,2.0,(17|22)
0.03125000,1.0,(47|19)
0.03092784,1.0,(7|23)
0.03086420,2.0,(41|14)
0.03082192,2.0,(39|18)
0.03050109,3.0,(45|17)
0.03017241,4.0,(46|26)
0.03012048,2.0,(41|17)
0.02985075,1.0,(2|44)
0.02985075,1.0,(6|22)
0.02985075,2.0,(26|19)
0.02941176,1.0,(22|33)
0.02930403,3.0,(48|20)
0.02923977,2.0,(0|12)
0.02912621,1.0,(39|19)
0.02893891,3.0,(16|23)
0.02873563,2.0,(43|15)
