Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 57 | Accounting/Tax (jpg:57,idx:38)
Catgory Probability,Ex Count at BMU,BMU Map Loc
1.000000,1.0,(30|37)
0.4571429,1.0,(30|36)
0.1666667,1.0,(7|20)
0.08695652,1.0,(18|33)
0.04401228,1.0,(28|46)
0.03921569,1.0,(28|42)
0.02840909,1.0,(27|30)
0.02631579,1.0,(44|7)
0.02580645,1.0,(39|28)
0.02127660,1.0,(27|26)
0.01941748,1.0,(22|29)
0.01851852,1.0,(28|33)
0.01639344,1.0,(34|33)
0.01562500,1.0,(25|38)
0.01492537,1.0,(25|34)
0.01418440,1.0,(23|28)
0.01351351,1.0,(3|15)
0.01234568,1.0,(18|32)
0.01149425,1.0,(3|7)
0.01075269,1.0,(38|25)
0.009950249,1.0,(6|22)
0.009259259,1.0,(26|33)
0.009132420,1.0,(47|22)
0.009049774,1.0,(27|32)
0.008264462,1.0,(28|34)
0.008196721,1.0,(21|34)
0.008000000,1.0,(20|37)
0.007968128,1.0,(2|13)
0.007518797,1.0,(20|36)
0.007092198,1.0,(23|33)
0.006493506,1.0,(2|18)
0.006172840,1.0,(3|11)
0.005649718,1.0,(17|21)
0.005464481,1.0,(23|35)
0.005263158,1.0,(0|15)
0.004310345,1.0,(21|31)
0.004184100,1.0,(2|43)
0.004115226,1.0,(6|20)
0.003992016,1.0,(26|44)
0.003571429,1.0,(21|33)
