Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 35 | Mergers & Acquisitions (jpg:35,idx:22)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.05797102,3.0,(14|45)
0.05780347,3.0,(23|10)
0.05769231,3.0,(0|37)
0.05769231,2.0,(34|32)
0.05714286,2.0,(0|29)
0.05714286,2.0,(14|49)
0.05714286,2.0,(47|34)
0.05714286,2.0,(49|29)
0.05691057,3.0,(7|49)
0.05660377,2.0,(35|38)
0.05555556,1.0,(26|26)
0.05555556,1.0,(28|31)
0.05514706,4.0,(24|1)
0.05494506,3.0,(9|15)
0.05490196,4.0,(7|13)
0.05479452,3.0,(7|36)
0.05416667,3.0,(32|13)
0.05298013,4.0,(8|7)
0.05298013,2.0,(33|32)
0.05263158,3.0,(1|29)
0.05263158,3.0,(5|45)
0.05263158,1.0,(13|39)
0.05176470,3.0,(35|9)
0.05128205,2.0,(2|30)
0.05065666,4.0,(6|36)
0.05031446,3.0,(23|3)
0.04964539,2.0,(37|44)
0.04929578,3.0,(24|6)
0.04907975,2.0,(5|37)
0.04878049,3.0,(5|36)
0.04878049,2.0,(45|1)
0.04864865,3.0,(7|18)
0.04832714,2.0,(21|4)
0.04815864,3.0,(21|3)
0.04807692,2.0,(0|40)
0.04790419,3.0,(10|17)
0.04761905,3.0,(5|11)
0.04761905,2.0,(18|47)
0.04761905,3.0,(25|25)
0.04705882,1.0,(1|43)
0.04687500,3.0,(12|49)
0.04615385,3.0,(33|39)
0.04587156,3.0,(28|23)
0.04580153,3.0,(32|30)
0.04568528,3.0,(30|2)
0.04567308,3.0,(27|25)
0.04545455,2.0,(15|3)
0.04545455,2.0,(47|39)
0.04511278,3.0,(23|24)
0.04477612,2.0,(20|43)
0.04375000,2.0,(0|32)
0.04347826,2.0,(15|23)
0.04347826,1.0,(20|46)
0.04301075,2.0,(28|41)
0.04265403,3.0,(14|24)
0.04255319,3.0,(9|25)
0.04232804,4.0,(44|38)
0.04210526,2.0,(4|3)
0.04166667,1.0,(15|29)
0.04114490,4.0,(29|20)
0.04098361,4.0,(15|1)
0.04089219,3.0,(6|40)
0.04069768,3.0,(1|41)
0.04000000,3.0,(8|17)
0.03940887,2.0,(47|15)
0.03921569,1.0,(28|32)
0.03703704,2.0,(15|2)
0.03703704,3.0,(49|34)
0.03652968,3.0,(34|41)
0.03645833,4.0,(31|32)
0.03623188,3.0,(26|25)
0.03614458,2.0,(49|38)
0.03571429,3.0,(37|27)
0.03524229,4.0,(6|37)
0.03508772,2.0,(3|46)
0.03508772,2.0,(27|20)
0.03508772,1.0,(29|4)
0.03424658,3.0,(11|49)
0.03418804,3.0,(8|31)
0.03389831,2.0,(10|24)
0.03389831,2.0,(33|19)
0.03389831,1.0,(48|43)
0.03370786,1.0,(49|42)
0.03347280,3.0,(2|43)
0.03333334,2.0,(17|17)
0.03311258,2.0,(31|6)
0.03296703,3.0,(0|34)
0.03296703,1.0,(29|1)
0.03278688,3.0,(5|44)
0.03275109,4.0,(28|19)
0.03267974,3.0,(18|0)
0.03260870,3.0,(1|6)
0.03225806,2.0,(18|18)
0.03225806,1.0,(34|31)
0.03206997,3.0,(6|32)
0.03200000,3.0,(41|36)
0.03191489,2.0,(17|25)
0.03174603,2.0,(23|9)
0.03174603,2.0,(48|6)
0.03164557,3.0,(15|5)
0.03125000,2.0,(37|31)
0.03125000,3.0,(43|39)
0.03076923,2.0,(21|35)
0.03076923,2.0,(28|28)
0.03030303,2.0,(30|24)
0.03030303,2.0,(31|27)
0.03030303,2.0,(38|33)
0.03007519,2.0,(9|1)
0.02985075,2.0,(24|8)
0.02962963,3.0,(47|32)
0.02955665,4.0,(11|29)
0.02941176,2.0,(9|16)
0.02941176,2.0,(14|21)
0.02941176,1.0,(18|49)
0.02941176,3.0,(33|36)
0.02941176,2.0,(48|41)
0.02873563,2.0,(1|46)
0.02857143,3.0,(8|38)
0.02836879,1.0,(36|34)
0.02816901,3.0,(3|36)
0.02807018,2.0,(26|24)
0.02800000,2.0,(4|32)
0.02797203,3.0,(5|42)
0.02797203,3.0,(12|48)
0.02777778,2.0,(30|49)
0.02764977,2.0,(2|39)
0.02760736,4.0,(24|25)
0.02739726,3.0,(6|34)
0.02721088,3.0,(3|5)
0.02702703,2.0,(0|36)
0.02702703,2.0,(1|36)
0.02702703,2.0,(14|15)
0.02643172,3.0,(28|26)
0.02631579,1.0,(20|18)
0.02631579,2.0,(29|2)
0.02608696,3.0,(11|25)
0.02608696,2.0,(21|12)
0.02564103,2.0,(49|37)
0.02553191,2.0,(45|19)
0.02547771,3.0,(3|38)
0.02538071,3.0,(47|35)
0.02531646,1.0,(16|19)
0.02531646,2.0,(18|30)
0.02531646,3.0,(21|27)
0.02528090,3.0,(27|28)
0.02525252,2.0,(29|26)
0.02479339,2.0,(31|23)
0.02469136,2.0,(10|27)
0.02469136,1.0,(16|2)
0.02469136,2.0,(18|32)
0.02429150,3.0,(36|48)
0.02409638,1.0,(44|42)
0.02380952,2.0,(9|2)
0.02380952,2.0,(21|6)
0.02352941,2.0,(21|2)
